,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.3179954169751886,0.03672951859757816,1.2490392513153963,1.2926933813666153,1.316793443631492,1.3427038957634612,1.3937235579063776,0.001324252171802431
a_std,0.2691221680818531,0.027729456178860225,0.22023221291092726,0.249300730390409,0.268283811975067,0.2864953200350049,0.32875068748016867,0.0008975563170455246
a_subj.02535fcf7e16bb56,1.0600840332307342,0.06111604399959773,0.9454437204406416,1.0185538058250088,1.0606416861189378,1.0991122215008597,1.185255776156418,0.00206754225616488
a_subj.09ba82a2ca814481,1.0941244672043595,0.07128431449267814,0.9594054624642127,1.0443678816473425,1.0930368275351534,1.1408013639454264,1.2414660486319158,0.003312606101586543
a_subj.0abfc32a4d12c731,1.5254083199387682,0.07903074304257189,1.3777566819858413,1.469130109653499,1.5246794284605987,1.5776376563394017,1.6837395161035373,0.0030644662761170997
a_subj.0b0a94c202d0b233,1.4238962439223448,0.07206627208245,1.2921916301007905,1.372539523083013,1.4228589160136642,1.473343584565873,1.57165358624259,0.0027381218407760317
a_subj.0d894551bc966608,1.4059733244187886,0.09768854365999578,1.2326706321189769,1.3366999883508173,1.402065732490582,1.467696046977503,1.6091228712844743,0.0030090407659265723
a_subj.15e0c065b2c11595,1.2146489763417956,0.07058799227593972,1.0798926159940005,1.1682355397833675,1.2107366896838765,1.2593863846050746,1.3642951326409012,0.002760413786562985
a_subj.163b12703c8e5c3c,1.6074793217039374,0.0829483278193411,1.454133299585557,1.5503117532488104,1.6030468966588487,1.6619067915485857,1.779727113555357,0.003340713508475057
a_subj.1bf86ff948486447,1.3350010989064656,0.06618067169687603,1.2091783264943914,1.291614134140385,1.3327787084794962,1.3775795340093862,1.472672930537481,0.0022975621810797557
a_subj.1cb976bac3a2016b,1.5060333034334665,0.07683748349681019,1.364308250719526,1.4524246076372758,1.5030767684659445,1.5583193654239185,1.6575987324945762,0.0028422009150267232
a_subj.22d84796012679e8,1.8194997123494823,0.10067312632589988,1.6397235094611406,1.749770687378083,1.8149598300376015,1.8797773602242474,2.047171411485526,0.0038012859368854028
a_subj.247384e4eccc4f80,0.9278124581077567,0.05718569850574772,0.8240855049598068,0.8881599326537056,0.9253125398421284,0.9662077381258604,1.0470975228225663,0.0022454548388248638
a_subj.27902f23b60a7b76,1.226992903326956,0.0582561256040509,1.1169254955380656,1.1854595506477252,1.2261840486274855,1.2675950763740835,1.3440227307518264,0.002085631710274889
a_subj.296a71628065dfa8,1.2977514345565608,0.0676681659200604,1.1756132363780574,1.2504824787089912,1.2945967362895936,1.3425991005701727,1.4388123911784083,0.002456319103667093
a_subj.371fb6652968f25f,2.030982043493901,0.15266489054565321,1.764834053025856,1.9232252913410828,2.019329296213821,2.1273566990256465,2.345326520245607,0.006623459280922399
a_subj.3ddf191ed8c33c57,1.4436517228800627,0.0714348878963792,1.3012465729715461,1.3946656308571546,1.443711323385242,1.49276817332529,1.5843116701771351,0.0024342169855043295
a_subj.414f1040212a659b,1.2324201815917442,0.06557434277545945,1.1062993016878573,1.1887982088767237,1.2307816219537862,1.2767114325479283,1.366402577753036,0.00267979149261866
a_subj.46fd6e0b3b5c1df3,0.9949268571927384,0.07403540842996717,0.8676321959682306,0.9430484097461902,0.9896752628072962,1.0413628009093943,1.156474809873761,0.0035226906250118207
a_subj.4866612e834a9f5a,1.2817406734375596,0.06871047304718436,1.14897508930505,1.234808462662816,1.2793107158983592,1.3301289625713608,1.4179796890097347,0.0024828219742156583
a_subj.4a43f99c56b2a634,0.9385746106773611,0.05690451168521109,0.8335047885184169,0.9001317778659457,0.9354487564087022,0.9749626264196842,1.0593903672320384,0.002247399391230709
a_subj.4e3de1ed1c0d6103,1.1612483766472843,0.06823441537416879,1.0330276693383786,1.1152426337725583,1.15904484975048,1.205964467379069,1.2991396953638255,0.0019159406083774095
a_subj.5497867d4afb5993,0.887686964859827,0.06546768356543851,0.7652463247338075,0.8431310334727916,0.8861403749211373,0.9286425915332432,1.022277109531372,0.002633476078234852
a_subj.582ab220066afebc,1.576617734586447,0.07733061199682448,1.4342417190357166,1.5196902731970767,1.5739024035051408,1.6290448141132652,1.7300067155902044,0.0029133260460199274
a_subj.5b92bfe31aef1ef9,0.9458277435465687,0.06118146190343969,0.8279716236034383,0.9039306531745723,0.9444476556319148,0.9863409277010589,1.0659656382059315,0.0023804480854709657
a_subj.6d04498f5bb2aefc,1.0041092632165047,0.05756666874551957,0.8950224952571307,0.963718416828451,1.0037006395687853,1.0426224291754753,1.1196850374077347,0.0022583846084476347
a_subj.6df05dd94d8d774d,1.4309789344721158,0.07568504276724816,1.2910780747352535,1.3769947016799096,1.4316263427341764,1.4803696435349873,1.5808657891777145,0.0024931149904705973
a_subj.6e0c43d93a4a361e,1.2723543421808323,0.06387715648868748,1.1603505589407026,1.2266883797295867,1.2704132545904459,1.3127552230172552,1.410668700981137,0.0022803148158630727
a_subj.6ece121c0867568c,1.2762014959560266,0.07407012141802942,1.1433660547365092,1.223081286915071,1.2717317991701358,1.324503229217513,1.429692522982452,0.0029134211567830664
a_subj.75da8965ce4f9b28,1.3255365990751147,0.06324653878627762,1.2099127259829587,1.2786992820454395,1.3228658804425124,1.3688507902944318,1.4556417316404446,0.0022056018968384973
a_subj.77d9b25715656b19,1.2584119390821673,0.06754804887471254,1.131840023253439,1.2115254237578366,1.258154782170808,1.2994466544235737,1.3964931021513818,0.002327199897842928
a_subj.7e158eee0bbe3c33,1.4442932348546826,0.07216317317783347,1.3122578519182997,1.3947571329063844,1.4419076918450995,1.487060778212434,1.6004029638403614,0.0024584983420167083
a_subj.819c4ba6a036130b,1.0345709636695366,0.05708913391745856,0.9240252733604193,0.9958694176157604,1.0326258076853843,1.0729211598523414,1.143067797013276,0.0022155564039904453
a_subj.820fed1432e2cffc,1.8739662854644035,0.09522777505399212,1.700923581608621,1.8087745238061606,1.8692111719624667,1.9344830607243149,2.077467749770447,0.0034580085831299894
a_subj.8364d0796dcecadf,1.9704819021797315,0.11693692497755591,1.7617138165083852,1.8899851782484052,1.9648277509313146,2.0419830965117445,2.2236328596966315,0.004779889955407459
a_subj.84397dc336c286b4,1.6115851867864084,0.07385678379913406,1.467652715941732,1.560374620587579,1.6101709922412215,1.6608524545444976,1.7588977444401501,0.0025746441474109394
a_subj.88586c741f59e4d3,1.4050453721468548,0.07206698857303494,1.268615568820598,1.3556068838268112,1.4040253022998928,1.453048071419132,1.5503811583926297,0.002670433068480602
a_subj.8b79e9cd1e3a58e9,1.5051303001365977,0.07526240063168295,1.3633179699141507,1.4542114699080397,1.5023556364329531,1.5553611136062442,1.656525762608405,0.002614233726238688
a_subj.8e3374a0d50454e0,1.0389310917050962,0.0625810635375385,0.9198809409516662,0.9970300896854666,1.0375117420336986,1.0786655586616187,1.1632669030611673,0.0023446548496731433
a_subj.8e531917bed03e00,1.3651226829427445,0.07419043687589354,1.2340672997005397,1.3134837300865998,1.3656971224988075,1.4128851888641765,1.521354905668969,0.002810766068760796
a_subj.96b09fe2762bafab,1.3627042658373625,0.07603303782072507,1.21727706317378,1.3111566959800527,1.3606342573723362,1.4141415553457648,1.5183839492617661,0.0027693165329434983
a_subj.99bca86575635ced,1.147527719598112,0.0639874890256706,1.0275795368726994,1.103865769292438,1.1467830719883905,1.1898147206842649,1.2750313768334358,0.0024662153895718434
a_subj.9ead7cfe118211af,1.2379411117644428,0.07026261671912261,1.1135069768041466,1.1889835692737751,1.2327052268346925,1.2814693632223544,1.3859990729205525,0.002387452480514898
a_subj.a0891b37b5b5d79d,1.0576474987920559,0.060382023921981415,0.9422126372934094,1.0150084003752007,1.0568633419620572,1.0982462778992939,1.1774470233859509,0.002320279278369452
a_subj.a0b880b91c2982dc,1.533690312903637,0.07153643373548703,1.3965520774293092,1.4861041964872037,1.5318836095632382,1.5790495151011332,1.680049493503168,0.002646140468192659
a_subj.a751959dd7084c7b,1.4118240841046177,0.06698991384728896,1.280988636204974,1.3646347557382725,1.4101807850413892,1.4576045314051462,1.5462691847391328,0.002340047556038511
a_subj.ab06a32c33b7c594,1.3679441717569838,0.07408871833012445,1.2293332184481311,1.3175124094788293,1.3653945689166538,1.4163059635805844,1.5243220385120342,0.002713572759118346
a_subj.b8d6cea15a548aa9,1.2186805682254649,0.06995067668547843,1.0878579497017216,1.1699633924332147,1.2156199606860028,1.2648870526675458,1.364517745803485,0.002414318345255255
a_subj.c012de0ccb49819f,1.291505947855658,0.06960230044472498,1.1647744931949466,1.2422071188467267,1.287456201305194,1.3356708769397194,1.4362870114351785,0.0026487701790748235
a_subj.c4ea8a11570e9599,1.163695367076624,0.06158033686876873,1.0472742019252508,1.1218670254400689,1.1636996668123871,1.2061107498443047,1.2843317295946894,0.002341900119168757
a_subj.c7ddb07dc740f9c1,1.5942615916258758,0.07719935919640097,1.4533189315868742,1.5398184668121377,1.5908569048184344,1.645182697680375,1.7551585033551762,0.002983046365729069
a_subj.c893ddb5f65f1a1c,1.469495213677338,0.06833692118444377,1.343316879858972,1.4223619762053685,1.4676597811654666,1.5142683574663676,1.610416054253145,0.0025111315200029793
a_subj.d2bdb6ae89eb8aca,1.2567018314867784,0.06722437542202464,1.1339772683129656,1.2088658852925382,1.253700057881998,1.3003968058657014,1.397235046656534,0.0021846341909961087
a_subj.d33cbb234efa4296,1.2262489916776516,0.0655985173578215,1.1057167642945334,1.179950575495267,1.223397093006493,1.2700037458075564,1.3594777128352122,0.0023970700368165536
a_subj.d53b11bcaa0a2095,1.267554923086252,0.07942956789732897,1.1232340233031453,1.2123900130056393,1.26769574744483,1.321169165815249,1.4280604428212211,0.0029521486289606205
a_subj.d9a79bcfee67b028,1.1219381340364512,0.06307750805804535,0.9958912193592548,1.0781816849448536,1.1220831833912865,1.1635559225353824,1.2462532518218503,0.0023113444840559853
a_subj.dfbeb23c419b6979,1.3865887729688042,0.06541890638315155,1.2636093144965168,1.3420889622489676,1.3838199067839692,1.4314494052666689,1.521563125704199,0.0022777050372817928
a_subj.e03130e76a547e00,1.6159233722177377,0.08090716546939643,1.4635991789744176,1.5576015779197092,1.6161102355232346,1.6708073724543908,1.7825072749269095,0.0028135764446018006
a_subj.e35e2512791cd931,1.6992151820251589,0.07920896982330662,1.5511385829337168,1.6441707733275959,1.6988082502050652,1.7500201503343416,1.8584808920768425,0.002802832409437608
a_subj.e7d525b0fc295332,0.9957102351720776,0.06582075170597751,0.8694906922001866,0.9509329330292178,0.9946555947753346,1.038141917804023,1.1324721198306185,0.0026307314163089
a_subj.e9ca70bcef834214,0.9718418249796376,0.05663949492926961,0.8666476570627548,0.9317114092875354,0.9673766319287919,1.0115070701088256,1.086487180261916,0.002197842901541345
a_subj.f98444c434d40f8b,1.0151521369779781,0.06789885785660986,0.886659103017429,0.9691599834673714,1.012565999494424,1.0614627880757248,1.1500748063317394,0.0025644513934740937
a_subj.fc7ef2c5b91399c2,1.1519413962344596,0.08162559892621092,1.0157803323813996,1.0941687379376683,1.141890931619006,1.2030423915574775,1.3304895648622341,0.004124939113455471
v,0.14094091275839105,0.06323576719942556,0.015711420684073857,0.10062627348421274,0.14103809356825134,0.18226110083364241,0.2672891199536299,0.00237226673182646
v_std,0.42670740356925985,0.05527135085206056,0.3308314470814379,0.38848218130810636,0.4227649071449816,0.46089022466032126,0.548502439423394,0.003024051760729778
v_subj.02535fcf7e16bb56,0.0474209975609047,0.2404231729230825,-0.4402430653254944,-0.11158638278933725,0.046325850475617436,0.21085259027274483,0.5015666823744535,0.008301420566920147
v_subj.09ba82a2ca814481,0.5021367478070009,0.2301142545477902,0.04556028367270526,0.3445640191726255,0.4989223465975522,0.6538705311324231,0.9742142561115329,0.011184406739073898
v_subj.0abfc32a4d12c731,0.018169878539592992,0.15285418078406776,-0.29022837344821434,-0.08163228199368577,0.01896568529644882,0.12126224232570193,0.3128255888263267,0.004840500848992104
