,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.3305656398252432,0.03757088553757153,1.2603949117764837,1.3044516492213287,1.3286675754040747,1.355128129217231,1.4071190969058782,0.0011931419338870616
a_std,0.27479066167440885,0.029221898362192605,0.22606935939267703,0.25359503883594764,0.2723017203926634,0.2939384731825767,0.3375338584340123,0.0009883889350265982
a_subj.02535fcf7e16bb56,1.113731714830649,0.062336209648892596,0.9907994987902742,1.0725488357135007,1.1125073576634525,1.1567145079837768,1.2347505448303902,0.002333425659895765
a_subj.09ba82a2ca814481,1.0506352257541562,0.058345534693367,0.9401706911610338,1.0098569373120951,1.04808778005386,1.0899178638220055,1.1710297208886198,0.001962104744902183
a_subj.0abfc32a4d12c731,1.5005856818934808,0.07807606949249488,1.3532462600637938,1.446044351043064,1.500437370197259,1.5533863469661786,1.6583267590906183,0.0030773896079859283
a_subj.0b0a94c202d0b233,1.3816874350679058,0.07144991211282228,1.2523229067245814,1.3329983305623776,1.3785232516793924,1.429169564685326,1.5271891947579999,0.002510506097068893
a_subj.0d894551bc966608,1.3605281272914282,0.09234891478696244,1.195824659030479,1.295732942846655,1.3581410355948351,1.4216459979278813,1.5602187909068586,0.0028255109685302016
a_subj.15e0c065b2c11595,1.2085408004015603,0.06972834736218485,1.073393271617313,1.161262060096484,1.2073123763417315,1.2556461604686477,1.3551275598369308,0.0027079096550893466
a_subj.163b12703c8e5c3c,1.6868953274829,0.09048264692579183,1.526636279063358,1.622790364186423,1.6814684017301154,1.743478854982934,1.8779583709305698,0.0039050620667264425
a_subj.1bf86ff948486447,1.4480413627280824,0.07244506332961721,1.3127391822886498,1.397681604144732,1.4454923095883854,1.4952446488344786,1.5955959110909692,0.002275101087568744
a_subj.1cb976bac3a2016b,1.4848114954419662,0.07496512481943192,1.3504486816101888,1.4331170400302136,1.4808406614938043,1.5305848722881166,1.641452580353223,0.0030141775910231933
a_subj.22d84796012679e8,1.7936657870839656,0.09751788733835087,1.6077147426944984,1.7255053468331092,1.7911529077793291,1.8557151847095137,1.9929309109963218,0.0033869742131554317
a_subj.247384e4eccc4f80,0.896269920465259,0.05724425797257648,0.7933743843347918,0.8563804425666158,0.8928948211960883,0.9333715813644119,1.0161817047662673,0.00231075615862678
a_subj.27902f23b60a7b76,1.1620038017255765,0.06131842395301536,1.0491719948803988,1.1208335668822866,1.1611200275966207,1.2020302276323462,1.291716940400037,0.0018774405706485267
a_subj.296a71628065dfa8,1.4439842370168172,0.09925025462888429,1.2508104020232014,1.376657312992573,1.4517751522431397,1.5143004434762837,1.62743322387651,0.005801189767722098
a_subj.371fb6652968f25f,1.9636120348712205,0.14014617014175387,1.7226238125393638,1.8670147539250848,1.952204410715081,2.0544136650397573,2.269329068575347,0.006147455282919956
a_subj.3ddf191ed8c33c57,1.4432220369641309,0.06618858964771221,1.318430092888087,1.3966317194138345,1.4411900103821522,1.4886885845756161,1.575135463202182,0.002108911653337142
