,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(101),1.5370367178813935,0.03232856425482525,1.4747524783149615,1.514994823315619,1.536610685111346,1.5577952247600393,1.6024993152706772,0.0009609848734256646
a(102),1.5805451801839996,0.034610841247149526,1.514507253112575,1.556898341262476,1.5793912600468136,1.603713700706244,1.6495346558041355,0.0009525040304138261
a_std,0.23130438217030205,0.01917814489949541,0.19659016132533266,0.2182168343180686,0.23035095302399092,0.24306107717955253,0.2729920519081518,0.0006733464405169455
a_subj(101).00aa64fdcb675341,1.3942576567517735,0.06621408604120985,1.2699901217599943,1.3488421823734285,1.39439801940552,1.4365049120028561,1.532079983586717,0.0016666456242831439
a_subj(102).00aa64fdcb675341,1.6265098177339674,0.09787439990543985,1.4439164506166908,1.5566912390445093,1.6269645622566158,1.6911200745521384,1.8276253860529288,0.0024007869489036616
a_subj(101).06c46b112368babf,1.566735936107741,0.08100963814586715,1.4093015495893535,1.5110585243606602,1.5668440943470408,1.6214174788667286,1.7314508827582082,0.0025988565903535027
a_subj(102).06c46b112368babf,1.5013344088484992,0.09389639034506818,1.320743052450311,1.4379361837289453,1.4991126302740856,1.5613947119213183,1.6918148474064836,0.0025037213155005068
a_subj(101).0beac20378edac7b,1.5381885403345577,0.07098536006993066,1.4001625392921084,1.4912418593255619,1.5364519239281778,1.5864474077804855,1.680823096098816,0.002100612098071468
a_subj(102).0beac20378edac7b,1.4588942813812746,0.10104007879739509,1.2747202262830597,1.3918276559493006,1.4535534286615368,1.522037760626366,1.6745833477370242,0.0034446688821452983
a_subj(101).10d15198ac61a404,1.62099328729824,0.0756246032696389,1.48212260813369,1.5697425155250544,1.6184255685267745,1.66665798700501,1.780539734979887,0.002299338164494446
a_subj(102).10d15198ac61a404,1.8070165631973323,0.10466734625067488,1.6092330083460342,1.733583544198628,1.8065698503348686,1.8773075084765858,2.0199688492114816,0.0023497618777999366
a_subj(101).12a096342c4d052f,1.8491212074443828,0.08390484345588704,1.691390654490421,1.79072670506226,1.8452058819961916,1.90605386562765,2.0236500430418625,0.0018728776368679173
a_subj(102).12a096342c4d052f,1.4716027975944508,0.08446025832623978,1.3150029335084426,1.4158262239110366,1.4658892235434033,1.5277868982515725,1.6477472108471973,0.00210220489986246
a_subj(101).13e347e32a454872,1.2215203338799319,0.054195455858037346,1.1177946183115997,1.1848587367553676,1.2211850884113928,1.2555735620525523,1.3311937455680702,0.00161693071522723
a_subj(102).13e347e32a454872,1.4783021929403874,0.09180455710005628,1.3048684998824112,1.4143030460135277,1.4756944254716868,1.5397898968442814,1.6560655021471558,0.0019354581819901468
