,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5716440040471984,0.031632925834429344,1.5135798652625518,1.549328391632166,1.5705125525697672,1.5936227987404559,1.6354195375374017,0.0009040423742928884
a_std,0.21102596739919025,0.023202488980416627,0.17026789875775244,0.19424751215481942,0.20914698863140685,0.22530731487062594,0.26140176871732695,0.0007044146565643318
a_subj.00aa64fdcb675341,1.4737919957829135,0.062243712051418286,1.3580975007118794,1.4313526112142119,1.471490282373208,1.5126973436396332,1.6032672125655747,0.0019565966147207644
a_subj.06c46b112368babf,1.5563305011886146,0.0695021847199713,1.4150671956943448,1.508263438585018,1.5569591806006273,1.6031229144860493,1.6941686798396054,0.0023327700748665926
a_subj.0beac20378edac7b,1.586671021735104,0.07042078949538831,1.4517643204459134,1.5405466577573013,1.5871554006679414,1.6342442119626837,1.7271197279137978,0.0024020118539970466
a_subj.10d15198ac61a404,1.7748545777315086,0.0744529785962561,1.6301554117180188,1.7249085236955328,1.7732000289643979,1.8237904173507204,1.9205416720709234,0.0022978160131195725
a_subj.12a096342c4d052f,1.7322448500662415,0.0692085639574413,1.6043266118683153,1.685612101511794,1.7282041587386132,1.7746100445562205,1.8774612868922695,0.001913531953022181
a_subj.13e347e32a454872,1.3049160379688902,0.05110719791656139,1.2097143314105148,1.269239920215766,1.3043472062031036,1.3395092354576648,1.4045041672746275,0.0013946900846293106
a_subj.1ffdcfc59b83c43a,1.6040875236919272,0.06220235931994454,1.487463136687121,1.5618140803302958,1.6027217641679592,1.6455433449586991,1.730299576772714,0.0019477321857072267
a_subj.221e9f16c114b2c0,1.4949211771146893,0.062107713506672865,1.3775924153719692,1.4512752264590847,1.4948033396965918,1.5370179819730663,1.6210021523325713,0.0016794104127208953
a_subj.2737c4b829b3018f,1.2268794436458474,0.04717689269276436,1.1391448746947224,1.1952130862815145,1.2253929501233445,1.2574023652490218,1.3279285704827983,0.0014222950977200613
a_subj.279cd1540fc8f71f,1.6436782237552365,0.07015821605916277,1.5160098936045918,1.594835513523279,1.6416328256967996,1.689283719426418,1.78690583190725,0.0021416252598981706
a_subj.2a531595d6ab08c8,1.4228453479613603,0.0549332449283256,1.3246844898641106,1.3834259727677993,1.4205509030707457,1.458922842871423,1.541836676448459,0.001618440986224701
