,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.562515638032036,0.030301564737566972,1.5058190692190214,1.5420839680146226,1.56188922437619,1.5826228938136468,1.6239481904232762,0.0008164630632541654
a_std,0.2090534909155555,0.02370755818642542,0.16914064300862222,0.19161676544044579,0.20757602537554196,0.22352095380211057,0.26230085696798794,0.0007429428857390395
a_subj.00aa64fdcb675341,1.4676065842998491,0.0580451739090439,1.3567708834101861,1.4260978866616287,1.468385104351701,1.5080592997843485,1.5821614588413606,0.0016411095349187857
a_subj.06c46b112368babf,1.5555192989506272,0.07206456562801405,1.4049948641494334,1.5109470340754845,1.557854532040384,1.6011282050712334,1.697567265129203,0.0036396454538466876
a_subj.0beac20378edac7b,1.5029787604318243,0.06920640592269206,1.3700921446348135,1.4563508098333797,1.502461132353975,1.5487625729273449,1.639298508461181,0.0030542076685581144
a_subj.10d15198ac61a404,1.7356421601812275,0.0688024925317143,1.6142732737156185,1.686219781745426,1.7330481669276159,1.7805885604099385,1.882362182791566,0.0022000126282245196
a_subj.12a096342c4d052f,1.7367942027041658,0.06662749096582068,1.6132861823734292,1.690968649007168,1.7347830937226427,1.7801033020611938,1.8748971501937128,0.0020445538818203413
a_subj.13e347e32a454872,1.2854837106454742,0.05066939594613148,1.1895996343769633,1.2501020165459287,1.2841656968050434,1.3193343281762926,1.3842841582108256,0.0016010582562450272
a_subj.1ffdcfc59b83c43a,1.6086207715529184,0.06421997681754393,1.4911534200770198,1.5649006050081296,1.6050043303334245,1.6505461294975585,1.746705243512988,0.0022389397907986454
a_subj.221e9f16c114b2c0,1.4939927883658417,0.0626374196720617,1.3701319631901874,1.451001550358958,1.4940036899194,1.535692095841001,1.619949392866644,0.0018093318122893605
a_subj.2737c4b829b3018f,1.2014898012575743,0.04649305660726415,1.112455598513946,1.1702882013710747,1.1999374036434824,1.2312976485650462,1.2963244841358326,0.0014444542495365943
a_subj.279cd1540fc8f71f,1.6432031899764592,0.07163252310984759,1.511051760641984,1.5931072099598698,1.6408959087987431,1.690450055975028,1.7872189165020056,0.0020426499880059536
a_subj.2a531595d6ab08c8,1.4197431578089412,0.05492733165466436,1.3196430528027319,1.3814510910194178,1.4163012390793492,1.4562314469522182,1.5334853302867029,0.0015179508733052939
a_subj.2adc46a1bfc70679,1.6620173282641564,0.1024994646081542,1.480656887597166,1.5834572778070317,1.6570898258827769,1.7324954901607097,1.8755188361031503,0.006346007918791996
a_subj.322d6276c00056e7,1.3698613232213666,0.06253036068254354,1.2518883713560465,1.3267076453469409,1.367228038778144,1.4116381630163934,1.4983433608695833,0.0020420963280959816
a_subj.46099f8b742520b0,1.2615737634479447,0.05390815025935289,1.1643734200732485,1.2229489690223783,1.2618080171234793,1.296397389867665,1.3705040303598794,0.0017548100963345856
a_subj.49c4e664cf02d362,1.4714690865960112,0.06129918230204018,1.3594609742615633,1.4267356919535814,1.4704404909866624,1.5112949122982562,1.5976139445628281,0.001914776015068878
a_subj.4a6bf10e80304920,1.691665474062209,0.06944812847557495,1.5575180027388416,1.6452887788896904,1.689973104127883,1.7384135054633378,1.8298031523079292,0.0020606114165184278
a_subj.4dee88b397c3bbf4,1.7034567129789249,0.07234900566377377,1.5645337931705898,1.6532384894092471,1.7024380151294158,1.7529793847261592,1.850857599507065,0.0023228337621813287
a_subj.52abc657a668b04e,1.3507383148999819,0.05459811630392791,1.2457172704546322,1.3142775192958038,1.348685364349577,1.3874123025045524,1.4613485600321963,0.001533738939686953
a_subj.5696a26f6b865ccb,1.6774517131439002,0.07532722786426982,1.5335366152464733,1.6232411095521402,1.6759558403482455,1.727446495719685,1.826351371660908,0.001832412589078828
a_subj.61dce9b56e969395,1.764039615133131,0.06873253337169152,1.6321736467447325,1.7182440740597955,1.762158006262314,1.808668937504105,1.907008242680603,0.0019134045554031602
a_subj.6246f3d78ae6b481,1.5126750266107674,0.060192856924080024,1.4034624706066696,1.469255871326868,1.5108956008821277,1.5534824497986524,1.6339085587806845,0.001829031690779609
a_subj.6ac61d4f76c3add5,1.419760972629041,0.06411204666938097,1.2912415877039018,1.3770667009245197,1.4204855797252567,1.4626584408059846,1.5445225322727933,0.002193177410460315
a_subj.6b1327cc38c17c20,1.3954697418274522,0.06351627464677471,1.274337883339515,1.3521541187967623,1.3951412428953986,1.4395365037248362,1.5189650936677495,0.0026677933429868784
a_subj.6dcbb2d2c8c4d46a,1.4783077090950223,0.06342920113254275,1.3608541329323562,1.4343800153058448,1.476764488902143,1.51958815904971,1.601986707645679,0.0023239182608918245
a_subj.739442e141b9639a,1.390941284329991,0.05545146177773728,1.284911616991075,1.3548198528088347,1.3891911560549466,1.4253549167535664,1.5070522239440487,0.001718515478439037
a_subj.74dc2bc1712979fe,1.3563526752997919,0.05563243313481716,1.247943344131987,1.3172347461747844,1.3565250291109712,1.3929808100498307,1.4702267316047581,0.0017798242313270193
a_subj.865f30c3abd2af67,1.2836207633071863,0.05174140383805912,1.188709735009271,1.2488543509582506,1.280796403341989,1.317138579489834,1.3915871563966402,0.0013436293417725324
a_subj.88316d88dd9fdbf7,1.8511006109785886,0.07761642052666122,1.709812197291019,1.7974560492199847,1.8467686463817707,1.9020916460384074,2.0171524501668245,0.0020535152275297027
a_subj.946fca84b1d53bed,1.4759838336291642,0.06003914647673209,1.3646420197807576,1.4348064251595747,1.4754555035645098,1.5144318759610358,1.5969816685216935,0.00196895726386694
a_subj.9d781c40d36055b2,1.2915124772009177,0.06473895655478519,1.1653264545362136,1.247078741261013,1.2911415402051603,1.3340783052158258,1.418602947592912,0.003576098604740791
a_subj.9e5ca4f7d45dda1b,1.8065658175820523,0.07736681193810042,1.6641798533324843,1.752969594834343,1.8037962432417542,1.8579935626719386,1.962232526212667,0.002459605348577257
a_subj.a7ef69324e55dcf3,1.770438957657381,0.08810091971671086,1.6060383161448344,1.713126696144806,1.7666788840669239,1.8245645841067695,1.958570013800951,0.0029347400250509443
a_subj.ab652d1792ba579f,1.4873896258254369,0.06467078507129745,1.3608563181554474,1.44270157179745,1.4862447717666238,1.531702129716185,1.6168188091971702,0.001932655430323461
a_subj.ab7c01f6e1ec753a,1.5318186388774802,0.06391769542985114,1.4126601420288594,1.4878731883268035,1.530011512020558,1.5748136933940824,1.6633507130620546,0.0019729912034984727
a_subj.adb5486de57c1af0,1.8577625242377913,0.07926347985290975,1.7070556127380976,1.8048374380361,1.8573439590159444,1.90960968931864,2.0175823419607632,0.0020508582083141372
a_subj.ae4cf4947761ad3f,1.9072010471316347,0.07779009859546902,1.7625302140372399,1.8535278047958441,1.9052600289162762,1.955817221402491,2.074120098379594,0.0024595302420765013
a_subj.af8390dd2a780433,1.5398999436164873,0.0556550380024005,1.4331062152998075,1.5026325094004203,1.5370809954143336,1.5766529600092292,1.6569048926647039,0.001487064334071879
a_subj.bc688588712e0329,1.8711754674694752,0.08177633077556631,1.7229139827338578,1.8157461993229496,1.8655452337344665,1.924355224798282,2.0448689055108775,0.003443083089862165
a_subj.bd2adbff911d558e,1.957825026175954,0.09734927774956612,1.7519573702334394,1.8958991985320681,1.9602654073672663,2.0215329632934496,2.1426785685374865,0.004602230193681696
a_subj.c00c5c68db223d0f,1.521258581118318,0.061937925293362034,1.4057286930023492,1.4783172133504399,1.5193913684582012,1.5621966099667743,1.6476331308509231,0.0018488845188730624
a_subj.c79644ab153c0a48,1.4012898274152394,0.0546763372269404,1.2945900768893919,1.3647438516335817,1.400899808206695,1.4370269860284086,1.513261432878563,0.0015634277855227055
a_subj.ce134a9a9b3122a0,1.5038995183460488,0.06434320246299334,1.3829156438861934,1.4588815497103484,1.502807539828074,1.5470134338855654,1.6313017564976948,0.0018837164689427196
a_subj.d335e83ad7f741bf,1.4198168121020867,0.054899331513298844,1.318472169981598,1.3819416555076762,1.418564970386596,1.4559195726971992,1.5313186197848845,0.0019816118740457944
a_subj.d794e2c3b9ab247f,1.3616913261381827,0.07257193865332556,1.2351436313519848,1.3077727202326106,1.359226893017252,1.4079325274222834,1.512644410964847,0.0032762409583786413
a_subj.e0da73d8b215a4e9,1.4094219874922727,0.05566830163934353,1.3050664341534879,1.3718970751373893,1.4067052956518356,1.4450941366070114,1.5238666941399919,0.0016852930515680383
a_subj.e46f1f873f43128b,1.329850490697677,0.060385536445446905,1.2196611182828838,1.287811055705883,1.3268926944470767,1.3687297499984525,1.4581799838316516,0.002073225515787349
a_subj.ec9403432374ee06,1.5438894714491866,0.06320262892201048,1.4293452166552743,1.4998776401183636,1.5394659583900263,1.5845889710402952,1.6771097092697715,0.0020340640899964863
a_subj.ed3ee15cd6ecee51,1.5620078528145585,0.06456729945580013,1.4407517263518463,1.5193587664241825,1.560734049003041,1.6051693063270096,1.6961630502099387,0.0017377769791825763
a_subj.efbc4b723940e000,1.7216075341948134,0.07131131973621864,1.577331393680776,1.6746459337777742,1.7199748582484948,1.7690405361105683,1.8653070925728166,0.002604218310065982
a_subj.efe8a903afdceede,1.9462901723723534,0.08343193607215847,1.7876234797156927,1.8891362460901486,1.9452123176462095,2.0010493711555766,2.116833611972941,0.0024183219834353615
a_subj.f1de714332531aa5,1.6951775738192785,0.08049074222364382,1.538029090833462,1.641205831750018,1.6940506906303086,1.748586579626923,1.8525624651383539,0.003181208272238157
a_subj.f205d1277e6ea6b4,1.8766739957366239,0.07405093425128129,1.7383568476151763,1.8239918610614876,1.8744296507206513,1.927403986486565,2.0307520855272645,0.0021286420079219084
a_subj.f39ae9088896b47f,1.5735723753445892,0.06424627054669647,1.4521479974907372,1.5298714111724159,1.5719639456750252,1.6148616915234684,1.7064470246267718,0.0019361489709165298
a_subj.ff1d7a9a28686c2b,1.6668026379668726,0.06368609270768977,1.5478061022203358,1.6220371459897918,1.6639120062597252,1.7092446030000292,1.798511767203967,0.0017120650576749018
v,0.16062629946995519,0.05788807909080665,0.05006456058202102,0.12246188075218394,0.1592565157525519,0.19958460635690276,0.2736348585330979,0.0015988885799913303
v_std,0.39013746164521224,0.0438055929398212,0.3118622502733921,0.35889788573825493,0.3880314836426601,0.4179775158624849,0.48276869165874275,0.001398395671001495
v_subj.00aa64fdcb675341,0.6015264684883725,0.13472691332249853,0.33119894603737104,0.5064191816829786,0.6072312332454755,0.6944160875937591,0.8647770681744695,0.004145320046760166
v_subj.06c46b112368babf,0.4224663898139189,0.13035272954756452,0.17198626534558048,0.3356728804158347,0.42257587679827374,0.5091412172826248,0.6921364998214454,0.004087985422581873
v_subj.0beac20378edac7b,0.21851356560518,0.13634793216588967,-0.04476737154818983,0.1267411245719161,0.21973261026039637,0.30593192234641275,0.48641186105908085,0.00400778196950054
v_subj.10d15198ac61a404,-0.027701941379698197,0.11402965797965049,-0.26651362450117144,-0.09872553336372716,-0.028010581313200472,0.048665139220691406,0.18661304126913114,0.003029888680936283
v_subj.12a096342c4d052f,0.3586559590744931,0.12058807168322136,0.1275915436296461,0.27748440647666994,0.3580543925218974,0.43619401701006766,0.6024435839278829,0.0038809911713141355
v_subj.13e347e32a454872,-0.12175763832807823,0.15216043406484236,-0.4287951099995314,-0.22336428369525396,-0.12009416373234871,-0.022308100003416653,0.17996469614287625,0.004725168263160968
v_subj.1ffdcfc59b83c43a,-0.09769085476826168,0.12019466722832528,-0.33629948193611914,-0.17943460840375022,-0.0982686627727361,-0.014014209043357095,0.13118849037010016,0.0032372700861768135
