,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(101),1.572507836832186,0.03320991266236126,1.5075213973830786,1.550392595753241,1.5721275651076232,1.5942986044369876,1.638210474487116,0.00098930791776118
a(102),1.5864029884626225,0.034633818779842236,1.5171833954577525,1.5634629017030606,1.5857037775036722,1.6092381705934131,1.655660461240908,0.0011172860506565865
a_std,0.2453977389828698,0.020018332116542383,0.2086036762580571,0.23171024505060073,0.24478752817746263,0.2583142911346122,0.28830681215137677,0.0007851533265756082
a_subj(101).02535fcf7e16bb56,1.2781590415470085,0.09856283825763784,1.1067725754738584,1.2077616400856674,1.271683526521796,1.3429301872955866,1.4877067882794193,0.0057027737084763015
a_subj(102).02535fcf7e16bb56,1.4230635621274335,0.10263739341059645,1.254417551540201,1.3521769493417166,1.4116952661738391,1.4838870073060808,1.6572227358982592,0.005513457779928352
a_subj(101).09ba82a2ca814481,1.5827595253847921,0.09005010866908414,1.4204414369086096,1.5202001596644543,1.5785342506027051,1.6386020854286754,1.7718354912134515,0.0021879393014947635
a_subj(102).09ba82a2ca814481,1.3733301948147232,0.07893414887553493,1.2256444896914376,1.3173611850525881,1.3711702222418611,1.4266483232104568,1.532164744882829,0.002047935476519591
a_subj(101).0abfc32a4d12c731,1.6693083252320216,0.07911882891525242,1.5134570171930979,1.615208802840764,1.667476167356062,1.7228454117701033,1.830725442949516,0.0021632554166565996
a_subj(102).0abfc32a4d12c731,1.689687696994244,0.10156851139171491,1.5027935419503002,1.6213344700115697,1.6831403076316416,1.7557319676935272,1.9119105552539,0.0026050141497105756
a_subj(101).0b0a94c202d0b233,1.6435322487516442,0.07834740591638444,1.4966557351794985,1.591603561952215,1.6407188969313742,1.6932641782011295,1.8074573233727664,0.002056258103296249
a_subj(102).0b0a94c202d0b233,1.6388861146638838,0.09784039613150108,1.4633747550709808,1.5705743146715618,1.6333514955378279,1.705439674928701,1.844472064206224,0.0024136269198207845
a_subj(101).0d894551bc966608,1.6150618924329123,0.09799785218519373,1.4339893198399047,1.5465887998109136,1.61124534470378,1.6779028164483738,1.8193800712928836,0.0034194769572003882
a_subj(102).0d894551bc966608,1.8082604900194814,0.14388255679265116,1.5536959379448747,1.7090783858469731,1.7967708261694275,1.9002264398461182,2.1228840457852067,0.004294638699747959
a_subj(101).15e0c065b2c11595,1.3407745956560997,0.06601943761728257,1.21662742821017,1.2952569210057452,1.340449517814105,1.3861719295037966,1.4710765762263913,0.002102271955761661
a_subj(102).15e0c065b2c11595,1.6976757286842292,0.09984786238156969,1.515075430631397,1.6299039828107078,1.6941181708931123,1.7634631469360407,1.9058745238238153,0.002678445442337389
a_subj(101).163b12703c8e5c3c,1.9543228431828548,0.09015037850894063,1.7840778284530079,1.8934950730660034,1.9550685044466856,2.0120265354225575,2.1406349752388816,0.0025909171483760696
a_subj(102).163b12703c8e5c3c,1.5495498355164372,0.09497234405950805,1.3826096315689702,1.484783594888988,1.5462763190493194,1.60840626817676,1.7536807876054832,0.002723482673428336
a_subj(101).1bf86ff948486447,1.7681125611597435,0.07711437354522542,1.629004745920398,1.716156828138927,1.765516522350028,1.8198136072880111,1.9239037593803574,0.00197514511959913
a_subj(102).1bf86ff948486447,1.3391991346624437,0.08734289607650092,1.1700053475914083,1.277190926221266,1.3358831423216393,1.3952724765607791,1.523162253568582,0.0026943410689399343
a_subj(101).1cb976bac3a2016b,1.726038319268048,0.08359385556986511,1.5780927374321176,1.6684984176186883,1.722279533908128,1.7787417167569943,1.9085235258599762,0.002728515484122746
a_subj(102).1cb976bac3a2016b,1.569210840141568,0.09548765818302596,1.3890067800277706,1.5074940878558478,1.5631812892075971,1.6295431069129953,1.7814446942570075,0.002722308372269041
a_subj(101).22d84796012679e8,1.8239731581061085,0.09745158414751853,1.6470626486465851,1.7567984107596768,1.816436099518203,1.8864206931091765,2.024796976716593,0.0028723782795710092
a_subj(102).22d84796012679e8,1.9476833347336229,0.12651009869392071,1.7117781423178076,1.8583815126833159,1.9434831859817843,2.0337236523473834,2.2102758716347046,0.003491278004783182
a_subj(101).247384e4eccc4f80,1.218764013894787,0.05790527909497099,1.1110768010125143,1.1790792427894665,1.2186047257330093,1.2565592235573735,1.3361868007218476,0.0016832171436891794
a_subj(102).247384e4eccc4f80,1.322511544557265,0.0766462858494585,1.1814434345749079,1.2711405136434506,1.3201016467069693,1.3708639280519659,1.48245808740692,0.0020789314286377763
a_subj(101).27902f23b60a7b76,1.5550528641784223,0.0701001423018723,1.4206291686863222,1.5057842927312366,1.5537688358471584,1.6026620012802217,1.698372797260052,0.0017932812429895285
a_subj(102).27902f23b60a7b76,1.583651544686477,0.09774357142202061,1.400928913168657,1.5182476269958036,1.5797012001360085,1.6480588310738673,1.7873088194762659,0.002531002175449602
a_subj(101).296a71628065dfa8,1.7497102524534487,0.08941958537831954,1.5971640881862292,1.6874174191859692,1.7428411820119054,1.8038107089343876,1.9494858057936073,0.0039793445894118025
a_subj(102).296a71628065dfa8,1.4568168611168217,0.09467263835094095,1.2839906619238926,1.3915035886049156,1.451836249069573,1.5135660927311496,1.6688744604449446,0.003937025449949973
a_subj(101).371fb6652968f25f,2.1639027469990153,0.13512480342363076,1.914607650292294,2.069912467127251,2.1606866549270025,2.252958540045949,2.442081025502433,0.004569586230815642
a_subj(102).371fb6652968f25f,2.18613615915181,0.16013952943241397,1.8920402729373929,2.0755433601040467,2.1795992634292385,2.2897242072514246,2.529782085926836,0.004989686382765443
