,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5386474488208441,0.029337741881856234,1.4815145897253759,1.518812356404742,1.5382619907605946,1.558457620445497,1.5981692739142979,0.0007494800686553139
a_std,0.2214995634311634,0.02452240247875439,0.17935458329216686,0.2043284655616439,0.21939551716195838,0.23631823328648854,0.27608179732627436,0.000941642796621439
a_subj.02535fcf7e16bb56,1.3519903271016442,0.07288376097651228,1.203674986490008,1.30551414391814,1.3533011189295128,1.4005610138176015,1.490896046898738,0.004223547917325585
a_subj.09ba82a2ca814481,1.4157251422887704,0.06601988676095048,1.2972568055352047,1.3689791984899653,1.4126574266607212,1.4587855274783585,1.5557975372497035,0.0027549977403914685
a_subj.0abfc32a4d12c731,1.6611095463667271,0.0652417995826667,1.5376201251864936,1.6175882924794927,1.6602353610082088,1.7044712018530515,1.795788125747471,0.002034603486026894
a_subj.0b0a94c202d0b233,1.6405785007467575,0.06464587746563662,1.5186183258326622,1.5969551607939159,1.640257702210342,1.6825499718695198,1.7736608122818875,0.0019490248471404092
a_subj.0d894551bc966608,1.662049130870137,0.09068392482909315,1.499588954050389,1.5997379688087419,1.6560605120266092,1.7203121462105935,1.8566800657205444,0.003393049907381914
a_subj.15e0c065b2c11595,1.4583831473648337,0.056962512097963894,1.354734629317626,1.4183760402525092,1.456675927524147,1.4953650291053249,1.5801509334061454,0.0015836341611977286
a_subj.163b12703c8e5c3c,1.7377718369986723,0.0706226835020571,1.605487689857648,1.6865526244842504,1.7386539727643044,1.7857624353210262,1.878590441980362,0.0022252477027499304
a_subj.1bf86ff948486447,1.526687435501558,0.06114940111564893,1.413506123927965,1.4835449424723968,1.5250242346080514,1.5666955597922247,1.6526813017616595,0.0018165580055926052
a_subj.1cb976bac3a2016b,1.6252240696494453,0.0670110082922764,1.4999367103864487,1.5796670057421915,1.621576840440259,1.6693984954017,1.7624212430523596,0.002129689846052631
a_subj.22d84796012679e8,1.9091802287060518,0.1428630019276653,1.6544937181431347,1.7945315486387567,1.9099066023599647,2.017072954939935,2.1735008601063908,0.010205633297006635
a_subj.247384e4eccc4f80,1.2348120882091136,0.04826532730550772,1.1428956033828999,1.2008018504432818,1.233995818933456,1.2683163427588209,1.3314433186161032,0.0014428965206785458
a_subj.27902f23b60a7b76,1.5494720808298268,0.07016705267333585,1.3962404411108873,1.509713019464369,1.5515622361749188,1.5939162783158793,1.6807959632659037,0.00351000001984296
a_subj.296a71628065dfa8,1.513802897564435,0.06324016610105807,1.3925755028666373,1.472163940085155,1.5151385718548278,1.5555669560745626,1.645633334758029,0.0019333880895732024
a_subj.371fb6652968f25f,2.223366920416183,0.13571158526543597,1.9719431319914607,2.1323231745111655,2.215090650796516,2.3080171393971627,2.5171735205588512,0.0056977158644528686
a_subj.3ddf191ed8c33c57,1.5841738085451214,0.061105004370685403,1.4743955198565601,1.5418945368526458,1.5816438078063868,1.6243833959359584,1.708727903683843,0.0017509997553766053
a_subj.414f1040212a659b,1.4889393134676518,0.059772608254772173,1.3746739233607645,1.447311218620137,1.4874426746875593,1.529283351487985,1.6118321312465398,0.0018476988192284393
a_subj.46fd6e0b3b5c1df3,1.274071987069805,0.05977875523194281,1.1625701968291093,1.233064075416521,1.2747650995881596,1.312973264461561,1.3980189986148381,0.0018835757210527132
a_subj.4866612e834a9f5a,1.4694248124877503,0.06419624899115685,1.3465772445639579,1.426214500184468,1.4682312999813196,1.512814958690036,1.5898323262118979,0.002376568767918745
a_subj.4a43f99c56b2a634,1.2166209635320246,0.047487267910602954,1.1270027651127963,1.184338271837852,1.2166058139676919,1.247511482049728,1.3099668476065984,0.0014593311663353525
a_subj.4e3de1ed1c0d6103,1.4176991784431718,0.06385542592744999,1.3007208734042548,1.3736000527452066,1.4140893078385601,1.4600520216856374,1.5495242224051087,0.0019840598229521637
a_subj.5497867d4afb5993,1.2095227679595055,0.0540108509083599,1.1143704318023298,1.1709530363077603,1.2070967883603936,1.247295064027498,1.3134191449377857,0.0019477805609435937
a_subj.582ab220066afebc,1.7105383792917075,0.0714994639698367,1.576813163554244,1.6619808126025621,1.7091111452681929,1.7579019941532943,1.8549573912216468,0.00299962496269503
a_subj.5b92bfe31aef1ef9,1.2478075405276834,0.05117156584622533,1.155231994974772,1.2103668873262965,1.245488994306759,1.2812267148090342,1.3563430361186115,0.0014001599897249528
a_subj.6d04498f5bb2aefc,1.3159522788108386,0.05090982558906895,1.2233164344249932,1.2813222816562975,1.3149687863041,1.3476172145199867,1.4229889791970607,0.0015698027385475859
a_subj.6df05dd94d8d774d,1.5798845330534101,0.07454553956649936,1.4418153143526105,1.5282661714343755,1.5757558735601749,1.6304466018940837,1.735818364773659,0.0023778200718352093
a_subj.6e0c43d93a4a361e,1.5303410831835005,0.060812497999347806,1.4145645736385484,1.4883765680734413,1.5310832811857726,1.5691370637826427,1.6501936441776452,0.0016175517717240539
