,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.6255689965630253,0.03117068947935313,1.5647694961615843,1.6051216364557153,1.62478955502129,1.6461908497692936,1.6915307732526617,0.0008566846328725833
a_std,0.23059488785491772,0.02514764542538929,0.18350374398511154,0.21373299237677282,0.2293341610943103,0.2459080241267872,0.2824395328229969,0.0008054999647601881
a_subj.02535fcf7e16bb56,1.375262441715471,0.0885169509520451,1.2307743019323734,1.3146757379090546,1.361440028396497,1.4267968373636517,1.5803074954530438,0.006064152764356811
a_subj.09ba82a2ca814481,1.5998245563645173,0.07487259827040772,1.4620677241046973,1.5463611906010999,1.5971770110426264,1.6500112196092112,1.7494801080667564,0.0022200578643792675
a_subj.0abfc32a4d12c731,1.6940014210600634,0.06912036344971062,1.5626850383227482,1.647334322111317,1.6937150494541489,1.7384362828873923,1.8352561240089462,0.0019843940188151088
a_subj.0b0a94c202d0b233,1.649740925105074,0.0659373153288528,1.5270239777727608,1.603378908038231,1.6499240822189938,1.6950703429886094,1.780685904986239,0.00178846105034657
a_subj.0d894551bc966608,1.6982979134941152,0.09862447193926314,1.5174480637425112,1.6314874315410748,1.692542188525533,1.7576735868040285,1.9102761583708483,0.0034045288999193695
a_subj.15e0c065b2c11595,1.4960066112886525,0.06003420770279573,1.3816141006427247,1.4560677949418812,1.4959109176443657,1.5324823784270076,1.618695348558772,0.0019992778408897895
a_subj.163b12703c8e5c3c,1.8774212466376266,0.07975860669306269,1.731852536195806,1.8214623467483166,1.8742897653717927,1.9286991889735385,2.045517253269373,0.0023939849651084754
a_subj.1bf86ff948486447,1.7873394172769574,0.07789946826208279,1.6366514734723152,1.7335097447154706,1.7862046936074643,1.8394021640628377,1.9500713199936037,0.002264507435556876
a_subj.1cb976bac3a2016b,1.6773550779533615,0.07032369994594918,1.5488196520489743,1.626630012965532,1.67605745135408,1.724263180271432,1.821085126031898,0.002389492496763729
a_subj.22d84796012679e8,1.9216842084692711,0.09048690972423298,1.758406515498599,1.8581083791195223,1.9174125618329678,1.9792054119041542,2.1147121081487983,0.0033117039982710934
a_subj.247384e4eccc4f80,1.2751464944803117,0.051648609413850854,1.1800522896476984,1.2390377232293157,1.272361120174789,1.3088478224471918,1.3808080754575847,0.0015708183029129695
a_subj.27902f23b60a7b76,1.5753618112234735,0.0650550566466627,1.4524322587014087,1.5292906885856599,1.5740036256639687,1.618293727331702,1.7047595232905097,0.0019229583029276582
a_subj.296a71628065dfa8,1.6613321107161751,0.08076377336332242,1.5270792267311815,1.6077918568352478,1.6519241483240739,1.7035311411173995,1.8556476475351178,0.004571959080104007
a_subj.371fb6652968f25f,2.2768537706418983,0.144381900550112,2.0365135117367226,2.1763764361760236,2.266537269292285,2.368593672243589,2.585148016043705,0.005684851855416896
a_subj.3ddf191ed8c33c57,1.7387922323012668,0.07073992987349544,1.6065405740808048,1.6898248163737357,1.738894998542992,1.7836014342858275,1.8815758806399712,0.002033683006835438
a_subj.414f1040212a659b,1.4949869094666295,0.059972750784217946,1.378572407150661,1.4524855192373436,1.4934904583999895,1.5359289229145092,1.6149428038891116,0.0016335352656504823
a_subj.46fd6e0b3b5c1df3,1.4901184143373718,0.07340769896049486,1.3496575623567797,1.4389344637948354,1.488018711032295,1.5390595573310617,1.6370262685692265,0.002366739276189898
a_subj.4866612e834a9f5a,1.4325996172887188,0.07294211618008913,1.3052877740610276,1.38081447145951,1.4257109530739642,1.4789927774064298,1.5888112049546872,0.003077725730690591
a_subj.4a43f99c56b2a634,1.3025479979601722,0.05569552627157309,1.1938949318616017,1.2652285097870375,1.3029599111117744,1.338141612500195,1.4142459760881252,0.0016586210383987255
a_subj.4e3de1ed1c0d6103,1.437074944834651,0.06620435741347042,1.3161261393976866,1.389920201848266,1.4352996282991661,1.4813663915635684,1.5736489022014442,0.0025400287386948537
a_subj.5497867d4afb5993,1.3034119887075388,0.06329381360837523,1.1839494538427535,1.259774838675302,1.3001240984970146,1.3447026322488644,1.4378767021397376,0.002160863836930726
a_subj.582ab220066afebc,1.7220106916870574,0.06948892864228232,1.5871519242713943,1.6750707178520223,1.7200666518646555,1.7671185598173111,1.859417883586665,0.0020535824797171666
