,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.6071108265603367,0.030862616031145873,1.5479685198262374,1.5859422377966754,1.6073641081590497,1.627143369029759,1.6696710076490477,0.0008266351667748724
a_std,0.22779839985232492,0.025495844840254325,0.18260655822138863,0.21033243913172125,0.22579935150731215,0.2431650960486712,0.28349753502243413,0.0009474109322826224
a_subj.02535fcf7e16bb56,1.3454320208633201,0.08191507714550345,1.2158450692547815,1.2919240102623943,1.3333107742856258,1.3821223972428476,1.5540406907246826,0.005760413890004266
a_subj.09ba82a2ca814481,1.4951935609481715,0.06674169546300007,1.371227913016956,1.4475922527918943,1.4934420805837676,1.5375752185728395,1.6288461606004483,0.002004247825032844
a_subj.0abfc32a4d12c731,1.682114036362073,0.06563575653514955,1.5579943981594746,1.6367556645372632,1.6824965367415614,1.726209827223971,1.81266473402528,0.0019342335939442133
a_subj.0b0a94c202d0b233,1.646196400623847,0.06428690666205807,1.5216285314721292,1.601643444854737,1.6459343209233797,1.6888004583976213,1.7777000337065993,0.001577182634619772
a_subj.0d894551bc966608,1.6753225985638043,0.0921593139414052,1.5026966440104665,1.611089879987417,1.6737200034458715,1.736213700443275,1.8631087539283209,0.0034911700638537236
a_subj.15e0c065b2c11595,1.467527217693831,0.06941227600585463,1.3426382888340622,1.4183294114853826,1.4630870613995663,1.5140474123782095,1.6147881691930923,0.0037369601583034048
a_subj.163b12703c8e5c3c,1.9316571340504733,0.08046395761676263,1.7812933245444258,1.8748514299718848,1.9313803711823074,1.9841456028134186,2.0931916430218007,0.0019449584699964251
a_subj.1bf86ff948486447,1.7903030304020702,0.07680392057396303,1.6425727907885967,1.7396430181746962,1.7864036489207926,1.8379441555629907,1.9511200282904029,0.0020263654067539756
a_subj.1cb976bac3a2016b,1.6782740457389473,0.06886641281165468,1.5500333350810747,1.6290390479847585,1.6763597796604184,1.7241282112424148,1.821506185331529,0.0021058729324694167
a_subj.22d84796012679e8,1.9107944969693325,0.08996419421445451,1.741295634920668,1.8475955983396066,1.9081385000038549,1.9726151205685,2.0963054253784836,0.0030902274768964265
a_subj.247384e4eccc4f80,1.2887178056294881,0.05117807264713286,1.1901330073588694,1.253744709851284,1.2865511909394742,1.3217910081007203,1.3996150495096868,0.0013872942708271642
a_subj.27902f23b60a7b76,1.5599431740272285,0.06202847567129759,1.4434294752676484,1.5177877189668498,1.558940694200089,1.5994483952091352,1.685113270896142,0.001847731737986814
