,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(101),1.554219545319865,0.02322858800510494,1.508409574656806,1.5389034200450382,1.5540213974559645,1.568930346672038,1.6014113113212596,0.000602767440116858
a(102),1.5819823280707561,0.024055192237403766,1.534460173154687,1.565548587787207,1.5821595179449883,1.5986967654023108,1.6283527945743872,0.0006980462204390664
a_std,0.23507487385608136,0.013478290389237913,0.21089540025214926,0.22580512713392709,0.23422105018778205,0.2438644091600262,0.2627065000516724,0.0004872404280239229
a_subj(101).00aa64fdcb675341,1.3956000788086467,0.06298707500323497,1.2760309796153804,1.3535725612154978,1.3942670506694643,1.4367316669762744,1.521235997612374,0.0018123763074564998
a_subj(102).00aa64fdcb675341,1.6294452138633482,0.09525643768648662,1.45076900044868,1.5626462600514266,1.6270465069130842,1.6906050706471913,1.8236678269104887,0.002509818688132203
a_subj(101).02535fcf7e16bb56,1.2833505109511634,0.09879025604728746,1.1035319915458082,1.211206354317376,1.278275875758887,1.3484859157897684,1.486629925229024,0.005812140117960432
a_subj(102).02535fcf7e16bb56,1.4261301838663056,0.1030432465441194,1.2499644493072488,1.3530894151587103,1.414469785568118,1.4913673937758067,1.6535088274097274,0.005274060839481679
a_subj(101).06c46b112368babf,1.5724817957516921,0.0810159685245826,1.4163477681195207,1.5194814063481703,1.5686473079458163,1.6253597230258527,1.7344435539632712,0.0028796075418079637
a_subj(102).06c46b112368babf,1.4994696538521488,0.0920573662782079,1.3256638748013159,1.437582454302376,1.4973921915674873,1.5566529759456469,1.6863293768006429,0.0025466303827439154
a_subj(101).09ba82a2ca814481,1.5770463854223302,0.08568600994138482,1.4168915188472144,1.5173488460669182,1.5744787439291406,1.6299772152865333,1.762616933105715,0.002363674362862623
a_subj(102).09ba82a2ca814481,1.3766945705609306,0.08097252787666949,1.2194093781679753,1.3210699467866571,1.3734505193615663,1.4297183201248977,1.5391964427826994,0.002175482928203691
a_subj(101).0abfc32a4d12c731,1.6629995792099934,0.07895713125813669,1.5160617656018993,1.6086809623510534,1.6594862687665586,1.7134240762005402,1.8264551117682228,0.002137400663011471
a_subj(102).0abfc32a4d12c731,1.683256271911666,0.10039546339510638,1.4986597738705139,1.6127675531313979,1.6778248741821478,1.7487610670376692,1.8922057681400108,0.0026852270380663045
a_subj(101).0b0a94c202d0b233,1.6374155229658827,0.07249857076312378,1.4977196170095501,1.5873199442021648,1.636644391541177,1.6855188599096902,1.784455877091987,0.0017835580806744148
a_subj(102).0b0a94c202d0b233,1.6377844503088932,0.10092684481070194,1.453154128265989,1.568156227345083,1.6320207577974515,1.7022838239363922,1.8510367850728033,0.0026354935663137416
a_subj(101).0beac20378edac7b,1.538664331932076,0.07376685321356935,1.3925521334422224,1.4893847693418762,1.5379670456997891,1.5889811510154899,1.6924310203775677,0.0019350538658861626
a_subj(102).0beac20378edac7b,1.4606483031883408,0.10145086103247003,1.269053618661915,1.3911302157902374,1.4610526063171794,1.5264938283771918,1.6615023634721564,0.002830016398140658
a_subj(101).0d894551bc966608,1.6029610336030702,0.09786287649474831,1.421653620035317,1.534069489342841,1.6001424417634333,1.6697731651689662,1.7977169490552984,0.0029166852564552243
a_subj(102).0d894551bc966608,1.7893424414636885,0.13966755233326336,1.5382615424206811,1.6885483460753297,1.7804672074623513,1.886071466520165,2.0802778594577576,0.0040573370407768735
a_subj(101).10d15198ac61a404,1.6275964568249233,0.0775822790174867,1.4810712869219944,1.5740148389488255,1.6243500284605752,1.6795037455840083,1.782938566965129,0.002434734836663313
a_subj(102).10d15198ac61a404,1.80639325352579,0.09888195561148605,1.6213290121783683,1.7413080139405117,1.8014146030436922,1.8708378170424869,2.015663265182401,0.0020841221278433664
a_subj(101).12a096342c4d052f,1.8517722770439746,0.08326450683541067,1.6909176478195813,1.7956231039610646,1.8484733449993027,1.9074092892348018,2.022843422932008,0.0019909424092702335
a_subj(102).12a096342c4d052f,1.481596577492268,0.08413154406559274,1.3239976440565253,1.4253057513815528,1.4795871020250257,1.5325004416095291,1.659085111780577,0.0025253970187097815
a_subj(101).13e347e32a454872,1.2204786441205742,0.05299591149540671,1.1211344574721898,1.1823027420725793,1.2190578879759022,1.254503422105196,1.3259172739183012,0.001318004321177966
a_subj(102).13e347e32a454872,1.4796802517069632,0.0924512387364816,1.3089992425172474,1.4154532920734817,1.4773998569069582,1.53934628268562,1.6673889268170226,0.002156549103014792
a_subj(101).15e0c065b2c11595,1.3428789935627883,0.06637918558309346,1.2170424201392633,1.2959987333605487,1.34182956906888,1.3896401426151028,1.4792152775469334,0.0019359964837842504
