,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5234223644649514,0.02068743912597423,1.4834506819690674,1.5097047615086323,1.5230487133969017,1.5374168009554567,1.5645679187893493,0.0006347414712521819
a_std,0.2096904857343761,0.016098922990413034,0.1798995098560825,0.19892863897234847,0.20914279500125282,0.21963639605497715,0.24404592265524527,0.0005812443167813342
a_subj.00aa64fdcb675341,1.473641935271974,0.06201607500769203,1.359956818928727,1.430912538854932,1.4698841050832243,1.514757579578457,1.6044904878367494,0.0018965558350888302
a_subj.02535fcf7e16bb56,1.3578086119857136,0.0687710395695937,1.2169694753569933,1.312861912991729,1.356875235714246,1.4031432951601361,1.4961253342320224,0.0035855509465354514
a_subj.06c46b112368babf,1.4847029686544588,0.062017922100449575,1.3630472271742151,1.4421166336808324,1.4856200736812841,1.5285491444486163,1.6015191449491533,0.002000723105978055
a_subj.09ba82a2ca814481,1.4095325887526733,0.06369054244067832,1.293224636755487,1.3667565887672661,1.4064560227729985,1.4500575479030793,1.5441909505288707,0.0025948501620164824
a_subj.0abfc32a4d12c731,1.6590881489537646,0.06647781292864,1.5333558417927793,1.614590467071032,1.6546151647634892,1.7034403645911973,1.795083244769651,0.001772756214760033
a_subj.0b0a94c202d0b233,1.6409123281679492,0.06585472380229788,1.5239866140324858,1.594358175482834,1.6373385951673385,1.685044004111244,1.777004133147517,0.001991717341682456
a_subj.0beac20378edac7b,1.3282152234493727,0.0637132298667768,1.2012913786270725,1.284585349372998,1.3273124165870502,1.3699522765483487,1.456001043448742,0.002561057847709692
a_subj.0d894551bc966608,1.6505271185694337,0.08912800576471773,1.4804058618681508,1.5893240596623237,1.6485513675494183,1.7075328735176303,1.8388973712331849,0.002950746756233013
a_subj.10d15198ac61a404,1.6485673852761373,0.06559198916219784,1.5275073582814127,1.6012812032381663,1.6461261114670331,1.6961349106984804,1.7780232182989173,0.0019351452891124509
a_subj.12a096342c4d052f,1.4507113927395954,0.05734265587793662,1.3505878507498552,1.4120589468624505,1.448099522590792,1.4869878857512573,1.5666981521708918,0.0022096060045731945
a_subj.13e347e32a454872,1.208611189726697,0.046118415293271306,1.1231892508824444,1.177432112517833,1.2076109674550608,1.238584513800408,1.3051246910628564,0.0013037094530212647
a_subj.15e0c065b2c11595,1.4612135736621374,0.057609273076979474,1.352040223176284,1.4213267630165776,1.4582641191482606,1.499483704419103,1.5770319488443847,0.0017159948408351545
a_subj.163b12703c8e5c3c,1.7334148837100856,0.06709585872826843,1.6077454010559327,1.689127524240455,1.730394506467984,1.7764207547636999,1.8709992170941332,0.0020550510732319106
a_subj.1bf86ff948486447,1.5259758054150552,0.06184735900552912,1.4127729740205701,1.4829490227511866,1.5246733450816476,1.5664683855723267,1.6455695269782318,0.0019009759016982088
