,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.6002695322745373,0.02144136421435208,1.5594685654434057,1.585845270888275,1.6002728153203079,1.6139016751631123,1.6435719273393017,0.0006086161193591924
a_std,0.21792990309082513,0.017241782325751877,0.18663178516224682,0.20575987459031966,0.2174364532628906,0.22919941405240735,0.2527159598223151,0.0006057953401520909
a_subj.00aa64fdcb675341,1.4756512603298033,0.06206918259374907,1.3577290027981697,1.433332806418145,1.474907524439457,1.5178070047994887,1.601850226027278,0.002092434595743577
a_subj.02535fcf7e16bb56,1.3832936038566381,0.09301558675227767,1.2273656319270485,1.3173171218089612,1.3690508473109486,1.4410375505208588,1.5868585733549856,0.006134688818428497
a_subj.06c46b112368babf,1.561011838450884,0.06860894472015007,1.4258483119644472,1.5165540053204858,1.5599612457505039,1.605970758829243,1.7033190057650474,0.0022404860761189747
a_subj.09ba82a2ca814481,1.5873507192208243,0.0735396752568146,1.452548650306246,1.536236209997877,1.5821732553243728,1.636681842946125,1.7422197305567442,0.002518245389761367
a_subj.0abfc32a4d12c731,1.6941433536076216,0.06721117439678133,1.5636727028737547,1.649723928890011,1.6911581953783053,1.7380471609432613,1.8306887274862205,0.0021949098553212193
a_subj.0b0a94c202d0b233,1.6491820702796163,0.06736393495150547,1.5162014101777241,1.6048213001218514,1.6493062529047247,1.693793424249264,1.7840346263578164,0.0018425909256244832
a_subj.0beac20378edac7b,1.5993553722329386,0.0705281938136651,1.4622738478984625,1.5496998371563826,1.5975255459697162,1.647639804552924,1.7395227598883563,0.002018555279278603
a_subj.0d894551bc966608,1.684370917465987,0.0957934031184939,1.5103229256768507,1.6188747646157102,1.679749613758282,1.7451585373257932,1.8893560325082022,0.003404516424820231
a_subj.10d15198ac61a404,1.7810540038924696,0.07392593032440072,1.6412032078498504,1.7319188625464983,1.779460587934789,1.8289782920680704,1.9383284599206603,0.001960387836759504
a_subj.12a096342c4d052f,1.738169885595346,0.06923642748954961,1.6124447934709505,1.6914778195273745,1.7342595184787715,1.782715004706952,1.8847494629767731,0.0018601955414753017
a_subj.13e347e32a454872,1.3071914706832208,0.04908997068910149,1.2114959726428092,1.273735539366653,1.3063419209447737,1.3404242487182865,1.4069629578136438,0.0012701814898863721
a_subj.15e0c065b2c11595,1.4946677184490786,0.06041160992272536,1.3786240113688508,1.4544212172631603,1.4961515624035415,1.5328436077160683,1.6179991198184758,0.001777064743467885
a_subj.163b12703c8e5c3c,1.869899880974842,0.0777566903128586,1.7303218438622334,1.814856289743553,1.8652647322416234,1.9198036036927562,2.037789848690863,0.0023395942804857444
a_subj.1bf86ff948486447,1.7789109248800001,0.07678776291328776,1.6305888761757334,1.7269591073949422,1.778374605877664,1.8316322420700288,1.925630802746984,0.0021826151135203526
a_subj.1cb976bac3a2016b,1.6785591889077032,0.07149433698324999,1.5454328206812817,1.6293592152484677,1.6761168198073926,1.7255453626383626,1.829115908069069,0.0022370083474583845
a_subj.1ffdcfc59b83c43a,1.6064920910544533,0.06584708201438678,1.4885372115563136,1.5608244683196124,1.6035652186309157,1.6491439246734028,1.7407845419728671,0.002344062999486308
a_subj.221e9f16c114b2c0,1.496832004293572,0.062412953574528536,1.3811229334550827,1.4534877067700271,1.4947389652890615,1.535936801212873,1.6248038675704035,0.0017451538327846138
a_subj.22d84796012679e8,1.9137100445426432,0.08905550905117057,1.754469600829286,1.851862552727225,1.9075919397235943,1.9679340223715958,2.102020215480271,0.003093512817348786
