,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5841667555143673,0.020765040810152017,1.5437939556503923,1.5698421947036936,1.5843745609091058,1.5984822387186932,1.6247440894889533,0.0005712387879534617
a_std,0.21560725535574982,0.01711683575791628,0.1857435904735214,0.2032442037384624,0.21437879087648795,0.22643499956948082,0.25184965206832327,0.0006525605588150238
a_subj.00aa64fdcb675341,1.4730701051891002,0.059371713157865214,1.3628148140130671,1.4311679883848274,1.4711575725371724,1.5118080505537628,1.5914756543759434,0.0021147199317991926
a_subj.02535fcf7e16bb56,1.3249171416496863,0.06057683666391899,1.2118615311457983,1.2833651766236334,1.3229445666429842,1.3638946282829187,1.4529893436615036,0.002046130570333098
a_subj.06c46b112368babf,1.5565576284908558,0.07436284277198352,1.4056399506546602,1.508395541551498,1.5595013557157746,1.6067724717008014,1.7000379888636745,0.0040315546915827075
a_subj.09ba82a2ca814481,1.488602347992061,0.06478081963568358,1.3633455277130295,1.444413611623926,1.4887039484866913,1.5302394407371858,1.6238694473153696,0.0019910093293926422
a_subj.0abfc32a4d12c731,1.6860234939917675,0.066579295952512,1.5628433991033106,1.6409386373994448,1.684591395467411,1.7302327157332658,1.817862349256602,0.0018785816010508753
a_subj.0b0a94c202d0b233,1.6471471378823417,0.06686524652530955,1.5193763615626978,1.601705603969162,1.647036908600572,1.6904588878041933,1.7862750766727373,0.0018725252552973712
a_subj.0beac20378edac7b,1.5133864868674474,0.07008695403075019,1.37832036019326,1.4651977154907125,1.5121652175376628,1.560398608732692,1.654274332109281,0.0031100381012239752
a_subj.0d894551bc966608,1.6670828377609563,0.09268478335880176,1.5008547108532255,1.6019421653562274,1.6641331125588534,1.7232317904897716,1.863450921395731,0.0036075490168755533
a_subj.10d15198ac61a404,1.7420288075764274,0.06860844650192416,1.6036680298880677,1.6983216839734938,1.7398041634089216,1.789008757088327,1.8760521379037047,0.0021299866288542737
a_subj.12a096342c4d052f,1.746982208380849,0.06710116454256751,1.6232705524703215,1.700481831808915,1.742167627221072,1.7921249089770492,1.8908347144416648,0.001755468296488975
a_subj.13e347e32a454872,1.2864490068943175,0.048843790379203306,1.1972711903349307,1.252326841862333,1.2860487169352257,1.3176925651143043,1.3870796434889534,0.0013608462860373797
a_subj.15e0c065b2c11595,1.4643190407710358,0.0704408944151288,1.3344191111934902,1.4162089001060647,1.4602132834920811,1.5107131333507415,1.6130955015297124,0.0035757602414886623
a_subj.163b12703c8e5c3c,1.9256784279069015,0.07838606069771664,1.7840275187521446,1.873155737423764,1.9214078700961812,1.9787963566877602,2.082308816672745,0.0019412470762284393
a_subj.1bf86ff948486447,1.7855903014872205,0.07407909303513635,1.6492463131301,1.7336109264814477,1.7837528769345323,1.8348799631887356,1.9320884356145946,0.0017888057436287632
a_subj.1cb976bac3a2016b,1.6822383125298812,0.06801279046491422,1.5575631346177667,1.6349508957015415,1.680987771039872,1.727849611851731,1.82531375642772,0.002412934543960242
a_subj.1ffdcfc59b83c43a,1.607816017729325,0.06576838999380491,1.4885124924522433,1.5611414631735303,1.6055060688303353,1.6509452259622892,1.7425552497957606,0.0023000913843631006
a_subj.221e9f16c114b2c0,1.4913871960013916,0.05865269595887107,1.3796325394838305,1.4516343966233263,1.4893156785216024,1.5293902713797112,1.615092662620477,0.0015062634867547046
a_subj.22d84796012679e8,1.9163084814680706,0.09194428269787626,1.750014062995332,1.8545663510654589,1.9125101533727213,1.9701301266105662,2.123664344152199,0.003580964147481312
a_subj.247384e4eccc4f80,1.2908297544193692,0.051241365174113034,1.192568216815625,1.256588257475369,1.2894706225816641,1.3255683018281696,1.3915689509202713,0.001299957191664357
a_subj.2737c4b829b3018f,1.1996501415131793,0.046264455487606125,1.1147413378379825,1.1680644120227412,1.1979498473502312,1.2305133557005983,1.2946474528683507,0.0013952013204613864
a_subj.27902f23b60a7b76,1.5606278049168545,0.06216092835325337,1.4441764049645882,1.5178946425877866,1.5591566510664125,1.6023905075707172,1.6889344650686557,0.001929192898024297
a_subj.279cd1540fc8f71f,1.6449522079840646,0.07092687918511281,1.5136269545782324,1.5977268685234243,1.6442121417047622,1.6893326129446,1.7997532056960752,0.002131808669383217
a_subj.296a71628065dfa8,1.4095029398243983,0.05772067992204553,1.2966008583346273,1.3720717990320452,1.409364719355213,1.4465601086086628,1.530085335144716,0.0015177075804482707
a_subj.2a531595d6ab08c8,1.4218534193262913,0.05349703460830213,1.3184728152816456,1.386200092393171,1.4213567215911316,1.4565868628791094,1.5289134795143262,0.0014262511371301867
a_subj.2adc46a1bfc70679,1.648201404244326,0.10061005467852646,1.4740039289431979,1.5733893110572426,1.64255869561077,1.7186309629964815,1.85652152546434,0.006308296198882575
a_subj.322d6276c00056e7,1.3714808640227993,0.06391111744668197,1.258363993955466,1.326589084830986,1.3684520126141058,1.4134731118671169,1.5110869775189628,0.0023621266344216294
a_subj.371fb6652968f25f,2.223427347141791,0.1317880957658553,1.989736757767114,2.133840399666136,2.2177942586539805,2.3047513079838913,2.507408828706668,0.005518387761000404
a_subj.3ddf191ed8c33c57,1.7357065089903612,0.06701541302412249,1.6073734332062026,1.6905024852542034,1.7340855268763542,1.7781818521833086,1.869913671597719,0.002041943748039681
a_subj.414f1040212a659b,1.491985326989026,0.05873452875581875,1.374196457349802,1.4530433980163198,1.4910896378367708,1.5331661218839985,1.6063927452291185,0.0017762824427616161
a_subj.46099f8b742520b0,1.2615011619520253,0.05276899638860809,1.1654312165811163,1.2244706906973737,1.259338625199483,1.2972622988230267,1.373187013808716,0.00158693415962161
a_subj.46fd6e0b3b5c1df3,1.4920546273494788,0.07029111216504635,1.359939686686018,1.4441657625449367,1.491840848268414,1.538931080784406,1.6374920984073689,0.0022497739612014323
a_subj.4866612e834a9f5a,1.427858189869195,0.07367441090083651,1.2959693482936931,1.3775281369414538,1.4228211129974029,1.4706084505938302,1.5958049366335647,0.0030460279411091236
a_subj.49c4e664cf02d362,1.4794216202739416,0.06361655713089152,1.3620037652304589,1.4322938957949218,1.4780513986727366,1.5215661673875187,1.6057649053002074,0.0021281616877864657
a_subj.4a43f99c56b2a634,1.272737236185576,0.05530130918635468,1.162435428406604,1.235527707060665,1.2716177730834504,1.3087373404157978,1.3831877573821334,0.0016747926490302905
a_subj.4a6bf10e80304920,1.6969003604207862,0.06415188393515184,1.572573669289206,1.65301045365816,1.695894117867811,1.7382073268733045,1.8319698754025497,0.0018450629080187908
a_subj.4dee88b397c3bbf4,1.7056280006154494,0.07196937700890912,1.5706840483046165,1.6555614744130474,1.7044068179613712,1.7531482124585063,1.850232750658067,0.0020495145205839385
a_subj.4e3de1ed1c0d6103,1.4348811073193737,0.06705564677249877,1.314313209496559,1.388516390201553,1.4319029556853713,1.4792906715823324,1.5724766913404793,0.0023332617940758486
