,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5768022593385158,0.030391584751191292,1.5195313030168793,1.5559138073270449,1.5761828406241345,1.5968640231740736,1.6372469833921606,0.0006814420501831267
a_std,0.21165471195281463,0.02409791809650686,0.17074956218136933,0.19443736210944718,0.21017208431764653,0.22652861542983713,0.2641388832081589,0.0005907578654672315
a_subj.00aa64fdcb675341,1.471909055459172,0.060559395218800625,1.3607733397119293,1.4287283045193697,1.470080026335121,1.5112094614086322,1.5922362681735618,0.0016552312596529394
a_subj.06c46b112368babf,1.55834592402425,0.07298414610192036,1.4092097132508263,1.5107564480568212,1.5589242976430002,1.6076983131402864,1.7033137038464163,0.0027041362992913467
a_subj.0beac20378edac7b,1.5865265018559866,0.06855232180960161,1.4489199521866123,1.5410803751856037,1.5858652743255328,1.632796586406024,1.722707271285444,0.0018831605597193432
a_subj.10d15198ac61a404,1.7803937384684183,0.07092310413313573,1.6453753920512706,1.7312100198980211,1.7789280946069015,1.8282477589799526,1.9221337566977805,0.0017110257841793986
a_subj.12a096342c4d052f,1.743640897691707,0.06407753676919026,1.626176729902854,1.6991229313268208,1.7424282735865348,1.786746433951179,1.8729419916435641,0.0012990617179412642
a_subj.13e347e32a454872,1.3025811187523737,0.0504341758162826,1.2065588681233501,1.267164209013205,1.3017280459038432,1.3358965221726575,1.406663977082986,0.001240741844636659
a_subj.1ffdcfc59b83c43a,1.612847506784087,0.06468938240703266,1.4945347846822585,1.5675010563613085,1.6101722516572108,1.6555605112738216,1.7495823997242024,0.0017777783183680282
a_subj.221e9f16c114b2c0,1.490201786810697,0.05902589462114145,1.3770694328225042,1.449975107282694,1.4898737021217494,1.5289721944584076,1.6108667669183498,0.0015185921617810426
a_subj.2737c4b829b3018f,1.2098947758110679,0.04846689533721776,1.120386837747552,1.176421626800603,1.2095927438169265,1.2425318923344117,1.306796591407654,0.0012519594139812449
a_subj.279cd1540fc8f71f,1.645301625516661,0.0699818338308838,1.5141030355339136,1.5972465801120783,1.6440327531511878,1.6922407993209891,1.7863877458704085,0.0016192815734115892
a_subj.2a531595d6ab08c8,1.4206340341112973,0.055109987798127806,1.314018252268967,1.382258348591993,1.419647386509492,1.4594914713514737,1.5272507118231613,0.0012995803314227708
a_subj.2adc46a1bfc70679,1.7217263191241177,0.09470096163740219,1.5373332263450685,1.6584349412836756,1.72156128537982,1.7820786975801575,1.914549130084221,0.0037714470036458456
a_subj.322d6276c00056e7,1.3797692369326153,0.06644991981698045,1.2620070104853707,1.3311085278416352,1.377328803107981,1.424364929468473,1.518412293183775,0.0020207954387586073
a_subj.46099f8b742520b0,1.265479210546695,0.05393437693178949,1.1653667017549967,1.2277152686940909,1.2630392260296917,1.3001177078723805,1.3788352282360872,0.0012269103172750575
a_subj.49c4e664cf02d362,1.4783898995851459,0.061125525214557386,1.3609704844987691,1.4384353552160989,1.4773496656464218,1.5188202721326147,1.5971633341228109,0.0016428164108660578
a_subj.4a6bf10e80304920,1.694734022398159,0.0663095612159255,1.5675699020299687,1.649354674603994,1.693192492158113,1.7388674969858304,1.827842900465571,0.001478694426699655
