"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"5.0","8.0","0.0","1.0","1.0","102","150.0","1465.0","l","0.0","-1.0"
"0.0","12.0","-5.0","1.0","0.0","101","158.0","823.0","l","0.0","3.5"
"0.0","19.0","-3.0","1.0","1.0","101","153.0","1041.0","a","1.0","8.0"
"3.0","6.0","0.0","1.0","0.0","102","172.0","788.0","a","1.0","0.0"
"4.0","8.0","0.0","1.0","0.0","102","172.0","435.0","l","0.0","0.0"
"3.0","8.0","0.0","1.0","0.0","102","172.0","582.0","l","0.0","1.0"
"0.0","13.0","-8.0","1.0","0.0","101","172.0","711.0","a","1.0","2.5"
"4.0","6.0","0.0","1.0","1.0","102","164.0","792.0","l","0.0","-1.0"
"5.0","6.0","0.0","1.0","0.0","102","170.0","643.0","l","0.0","-2.0"
"0.0","14.0","-10.0","0.0","1.0","101","170.0","1060.0","a","0.0","2.0"
"0.0","13.0","-5.0","1.0","0.0","101","170.0","1054.0","l","0.0","4.0"
"0.0","12.0","-4.0","1.0","1.0","101","165.0","849.0","a","1.0","4.0"
"4.0","12.0","0.0","1.0","1.0","102","177.0","704.0","a","1.0","2.0"
"0.0","13.0","-5.0","0.0","1.0","101","189.0","1028.0","a","0.0","4.0"
"0.0","15.0","-8.0","0.0","1.0","101","189.0","1059.0","l","1.0","3.5"
"6.0","10.0","0.0","1.0","1.0","102","189.0","669.0","l","0.0","-1.0"
"7.0","14.0","0.0","1.0","0.0","102","199.0","766.0","l","0.0","0.0"
"3.0","12.0","0.0","1.0","1.0","102","199.0","647.0","a","1.0","3.0"
"0.0","14.0","-5.0","0.0","1.0","101","211.0","981.0","l","1.0","4.5"
"0.0","11.0","-6.0","1.0","0.0","101","211.0","1534.0","l","0.0","2.5"
"0.0","12.0","-3.0","0.0","0.0","101","205.0","1085.0","l","1.0","4.5"
"0.0","14.0","-6.0","0.0","0.0","101","205.0","754.0","l","1.0","4.0"
"6.0","12.0","0.0","1.0","0.0","102","205.0","581.0","a","1.0","0.0"
"0.0","13.0","-10.0","0.0","0.0","101","205.0","797.0","l","1.0","1.5"
"0.0","11.0","-10.0","0.0","1.0","101","205.0","688.0","l","1.0","0.5"
"0.0","19.0","-8.0","0.0","0.0","101","205.0","722.0","l","1.0","5.5"
"0.0","17.0","-4.0","1.0","0.0","101","205.0","1109.0","l","0.0","6.5"
"3.0","6.0","0.0","1.0","1.0","102","201.0","929.0","a","1.0","0.0"
"0.0","11.0","-2.0","1.0","1.0","101","207.0","1005.0","a","1.0","4.5"
"0.0","14.0","-3.0","1.0","0.0","101","218.0","774.0","l","0.0","5.5"
"0.0","12.0","-2.0","1.0","1.0","101","215.0","896.0","a","1.0","5.0"
"0.0","19.0","-6.0","1.0","0.0","101","227.0","1476.0","a","1.0","6.5"
"0.0","13.0","-2.0","1.0","1.0","101","221.0","601.0","a","1.0","5.5"
"4.0","8.0","0.0","1.0","0.0","102","234.0","742.0","l","0.0","0.0"
"0.0","14.0","-8.0","0.0","0.0","101","234.0","1135.0","a","0.0","3.0"
"7.0","14.0","0.0","1.0","1.0","102","234.0","801.0","a","1.0","0.0"
"0.0","15.0","-3.0","1.0","0.0","101","248.0","695.0","l","0.0","6.0"
"0.0","19.0","-4.0","1.0","0.0","101","245.0","952.0","a","1.0","7.5"
"6.0","14.0","0.0","1.0","0.0","102","241.0","545.0","a","1.0","1.0"
"0.0","11.0","-4.0","1.0","1.0","101","241.0","1178.0","a","1.0","3.5"
"0.0","14.0","-4.0","1.0","1.0","101","252.0","998.0","a","1.0","5.0"
"0.0","13.0","-10.0","0.0","0.0","101","266.0","1147.0","a","0.0","1.5"
"0.0","11.0","-2.0","1.0","0.0","101","266.0","772.0","a","1.0","4.5"
"5.0","14.0","0.0","1.0","0.0","102","264.0","730.0","l","0.0","2.0"
"0.0","11.0","-5.0","1.0","0.0","101","264.0","1396.0","a","1.0","3.0"
"0.0","19.0","-10.0","1.0","0.0","101","259.0","909.0","l","0.0","4.5"
"0.0","15.0","-10.0","0.0","1.0","101","249.0","1358.0","l","1.0","2.5"
"0.0","12.0","-4.0","1.0","0.0","101","249.0","1252.0","a","1.0","4.0"
"0.0","11.0","-3.0","1.0","1.0","101","245.0","1470.0","a","1.0","4.0"
"0.0","11.0","-6.0","0.0","0.0","101","256.0","1460.0","l","1.0","2.5"
"3.0","14.0","0.0","1.0","1.0","102","256.0","962.0","a","1.0","4.0"
"0.0","17.0","-4.0","1.0","0.0","101","270.0","937.0","l","0.0","6.5"
"0.0","11.0","-8.0","1.0","0.0","101","266.0","1295.0","a","1.0","1.5"
"0.0","14.0","-8.0","0.0","1.0","101","258.0","901.0","a","0.0","3.0"
"0.0","14.0","-5.0","1.0","0.0","101","258.0","864.0","l","0.0","4.5"
"0.0","12.0","-10.0","0.0","0.0","101","253.0","1000.0","l","1.0","1.0"
"0.0","19.0","-10.0","0.0","0.0","101","253.0","906.0","l","1.0","4.5"
"0.0","17.0","-10.0","0.0","1.0","101","253.0","654.0","l","1.0","3.5"
"4.0","14.0","0.0","1.0","1.0","102","253.0","1612.0","a","1.0","3.0"
"0.0","17.0","-10.0","0.0","1.0","101","267.0","957.0","a","0.0","3.5"
"0.0","17.0","-5.0","0.0","1.0","101","267.0","1030.0","l","1.0","6.0"
"6.0","14.0","0.0","1.0","1.0","102","267.0","1152.0","a","1.0","1.0"
"0.0","19.0","-2.0","1.0","1.0","101","281.0","1058.0","a","1.0","8.5"
"0.0","15.0","-3.0","1.0","0.0","101","300.0","874.0","a","1.0","6.0"
"0.0","13.0","-4.0","1.0","1.0","101","297.0","811.0","a","1.0","4.5"
"0.0","11.0","-8.0","0.0","1.0","101","310.0","1235.0","a","0.0","1.5"
"0.0","15.0","-6.0","0.0","1.0","101","310.0","1142.0","l","1.0","4.5"
"0.0","12.0","-10.0","0.0","0.0","101","310.0","1067.0","a","0.0","1.0"
"5.0","10.0","0.0","0.0","0.0","102","310.0","952.0","l","1.0","0.0"
"4.0","12.0","0.0","1.0","1.0","102","315.0","928.0","l","0.0","2.0"
"0.0","19.0","-8.0","0.0","0.0","101","327.0","847.0","a","0.0","5.5"
"6.0","6.0","0.0","0.0","0.0","102","327.0","1238.0","l","1.0","-3.0"
"0.0","15.0","-6.0","1.0","0.0","101","333.0","1375.0","a","1.0","4.5"
"0.0","12.0","-6.0","1.0","0.0","101","327.0","1240.0","a","1.0","3.0"
"0.0","15.0","-5.0","1.0","1.0","101","321.0","1071.0","a","1.0","5.0"
"3.0","10.0","0.0","1.0","0.0","102","336.0","1267.0","a","1.0","2.0"
"0.0","17.0","-3.0","1.0","0.0","101","336.0","1034.0","a","1.0","7.0"
"0.0","11.0","-3.0","1.0","1.0","101","333.0","1104.0","a","1.0","4.0"
"4.0","10.0","0.0","1.0","0.0","102","344.0","1174.0","l","0.0","1.0"
"6.0","6.0","0.0","0.0","0.0","102","344.0","1054.0","a","0.0","-3.0"
"6.0","10.0","0.0","1.0","1.0","102","350.0","1119.0","l","0.0","-1.0"
"0.0","12.0","-8.0","0.0","0.0","101","360.0","1252.0","l","1.0","2.0"
"3.0","8.0","0.0","1.0","0.0","102","360.0","1239.0","a","1.0","1.0"
"0.0","15.0","-10.0","0.0","1.0","101","360.0","1105.0","a","0.0","2.5"
"0.0","15.0","-4.0","1.0","0.0","101","360.0","1135.0","a","1.0","5.5"
"0.0","12.0","-5.0","0.0","1.0","101","356.0","1663.0","a","0.0","3.5"
"0.0","13.0","-4.0","1.0","0.0","101","356.0","961.0","l","0.0","4.5"
"0.0","17.0","-2.0","0.0","0.0","101","352.0","716.0","a","0.0","7.5"
"7.0","6.0","0.0","0.0","0.0","102","352.0","1141.0","a","0.0","-4.0"
"4.0","14.0","0.0","1.0","1.0","102","359.0","1295.0","a","1.0","3.0"
"0.0","12.0","-6.0","0.0","0.0","101","373.0","1351.0","l","1.0","3.0"
"0.0","13.0","-6.0","1.0","0.0","101","373.0","985.0","a","1.0","3.5"
"0.0","17.0","-5.0","0.0","1.0","101","367.0","1188.0","a","0.0","6.0"
"0.0","15.0","-5.0","1.0","0.0","101","367.0","1101.0","l","0.0","5.0"
"7.0","6.0","0.0","0.0","1.0","102","362.0","1313.0","l","1.0","-4.0"
"5.0","12.0","0.0","1.0","0.0","102","369.0","968.0","l","0.0","1.0"
"0.0","17.0","-3.0","1.0","1.0","101","369.0","1071.0","l","0.0","7.0"
"0.0","15.0","-2.0","1.0","0.0","101","386.0","1125.0","l","0.0","6.5"
"0.0","17.0","-6.0","1.0","1.0","101","384.0","1577.0","l","0.0","5.5"
"0.0","14.0","-10.0","0.0","0.0","101","401.0","845.0","a","0.0","2.0"
"3.0","10.0","0.0","1.0","0.0","102","401.0","1014.0","a","1.0","2.0"
"0.0","12.0","-2.0","1.0","0.0","101","401.0","931.0","a","1.0","5.0"
"0.0","13.0","-8.0","0.0","1.0","101","399.0","1101.0","l","1.0","2.5"
"0.0","19.0","-5.0","1.0","1.0","101","399.0","1599.0","a","1.0","7.0"
"0.0","19.0","-5.0","1.0","0.0","101","418.0","1560.0","l","0.0","7.0"
"0.0","19.0","-3.0","1.0","0.0","101","413.0","690.0","l","0.0","8.0"
"0.0","14.0","-4.0","1.0","0.0","101","410.0","1000.0","l","0.0","5.0"
"7.0","12.0","0.0","1.0","0.0","102","406.0","1909.0","a","1.0","-1.0"
"5.0","10.0","0.0","1.0","0.0","102","406.0","909.0","l","0.0","0.0"
"0.0","11.0","-5.0","0.0","0.0","101","406.0","1172.0","l","1.0","3.0"
"5.0","14.0","0.0","1.0","0.0","102","406.0","1058.0","a","1.0","2.0"
"0.0","14.0","-2.0","1.0","0.0","101","406.0","842.0","l","0.0","6.0"
"0.0","17.0","-6.0","0.0","1.0","101","404.0","783.0","a","0.0","5.5"
"0.0","19.0","-2.0","1.0","1.0","101","404.0","1250.0","a","1.0","8.5"
"0.0","14.0","-6.0","1.0","0.0","101","423.0","1359.0","l","0.0","4.0"
"6.0","12.0","0.0","1.0","0.0","102","417.0","1103.0","l","0.0","0.0"
"0.0","13.0","-2.0","1.0","1.0","101","417.0","1516.0","a","1.0","5.5"
"6.0","8.0","0.0","1.0","0.0","102","430.0","1816.0","l","0.0","-2.0"
"0.0","14.0","-2.0","1.0","1.0","101","430.0","1010.0","l","0.0","6.0"
"0.0","15.0","-2.0","1.0","0.0","101","444.0","919.0","a","1.0","6.5"
"0.0","12.0","-3.0","1.0","0.0","101","442.0","733.0","a","1.0","4.5"
"7.0","8.0","0.0","0.0","1.0","102","439.0","1381.0","l","1.0","-3.0"
"5.0","12.0","0.0","1.0","0.0","102","446.0","948.0","a","1.0","1.0"
"4.0","6.0","0.0","1.0","1.0","102","446.0","859.0","l","0.0","-1.0"
"0.0","12.0","-8.0","1.0","1.0","101","452.0","862.0","a","1.0","2.0"
"6.0","8.0","0.0","0.0","0.0","102","464.0","1038.0","l","1.0","-2.0"
"0.0","17.0","-8.0","1.0","1.0","101","470.0","1135.0","l","0.0","4.5"
"0.0","13.0","-6.0","0.0","0.0","101","487.0","1194.0","l","1.0","3.5"
"7.0","12.0","0.0","1.0","0.0","102","487.0","1043.0","a","1.0","-1.0"
"0.0","13.0","-3.0","1.0","0.0","101","487.0","962.0","a","1.0","5.0"
"7.0","10.0","0.0","0.0","1.0","102","484.0","770.0","l","1.0","-2.0"
"0.0","15.0","-4.0","1.0","1.0","101","491.0","1071.0","l","0.0","5.5"
"0.0","13.0","-3.0","1.0","0.0","101","506.0","1360.0","l","0.0","5.0"
"0.0","14.0","-3.0","1.0","0.0","101","503.0","1078.0","a","1.0","5.5"
"0.0","11.0","-4.0","0.0","1.0","101","500.0","952.0","a","0.0","3.5"
"0.0","17.0","-2.0","0.0","1.0","101","500.0","1135.0","a","0.0","7.5"
"7.0","8.0","0.0","1.0","0.0","102","500.0","1895.0","l","0.0","-3.0"
"0.0","19.0","-6.0","0.0","1.0","101","500.0","769.0","a","0.0","6.5"
"5.0","8.0","0.0","0.0","1.0","102","500.0","1030.0","l","1.0","-1.0"
"5.0","6.0","0.0","0.0","1.0","102","505.0","1305.0","l","1.0","-2.0"
"0.0","17.0","-8.0","1.0","0.0","101","510.0","1231.0","l","0.0","4.5"
"3.0","12.0","0.0","1.0","1.0","102","502.0","1352.0","l","0.0","3.0"
"3.0","14.0","0.0","1.0","1.0","102","514.0","1235.0","a","1.0","4.0"
"0.0","11.0","-10.0","0.0","0.0","101","528.0","1919.0","l","1.0","0.5"
"4.0","10.0","0.0","1.0","0.0","102","528.0","1062.0","l","0.0","1.0"
"0.0","15.0","-8.0","0.0","0.0","101","528.0","1108.0","l","1.0","3.5"
"7.0","10.0","0.0","1.0","1.0","102","528.0","892.0","l","0.0","-2.0"
"0.0","19.0","-4.0","1.0","0.0","101","538.0","2312.0","a","1.0","7.5"
