"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","16.0","-4.0","1.0","1.0","101","150.0","2346.0","l","0.0","6.0"
"0.0","10.0","-8.0","1.0","1.0","101","166.0","2261.0","a","1.0","1.0"
"0.0","14.0","-3.0","1.0","0.0","101","176.0","1927.0","a","1.0","5.5"
"0.0","8.0","-3.0","1.0","1.0","101","173.0","1926.0","l","0.0","2.5"
"0.0","9.0","-8.0","1.0","1.0","101","181.0","1995.0","l","0.0","0.5"
"0.0","14.0","-8.0","1.0","1.0","101","190.0","1928.0","l","0.0","3.0"
"0.0","11.0","-5.0","1.0","1.0","101","204.0","2059.0","l","0.0","3.0"
"0.0","12.0","-4.0","1.0","1.0","101","215.0","2046.0","a","1.0","4.0"
"0.0","8.0","-3.0","1.0","1.0","101","227.0","1786.0","l","0.0","2.5"
"0.0","8.0","-2.0","1.0","0.0","101","235.0","1945.0","l","0.0","3.0"
"0.0","9.0","-4.0","1.0","1.0","101","233.0","2028.0","a","1.0","2.5"
"7.0","12.0","0.0","0.0","0.0","102","242.0","2148.0","a","0.0","-1.0"
"0.0","16.0","-8.0","1.0","0.0","101","249.0","1931.0","l","0.0","4.0"
"5.0","12.0","0.0","1.0","0.0","102","241.0","2094.0","a","1.0","1.0"
"0.0","9.0","-3.0","1.0","1.0","101","241.0","2183.0","a","1.0","3.0"
"0.0","8.0","-6.0","1.0","0.0","101","250.0","1763.0","a","1.0","1.0"
"4.0","6.0","0.0","0.0","0.0","102","244.0","1799.0","l","1.0","-1.0"
"6.0","14.0","0.0","1.0","0.0","102","248.0","1717.0","a","1.0","1.0"
"6.0","8.0","0.0","0.0","0.0","102","248.0","1900.0","a","0.0","-2.0"
"0.0","11.0","-3.0","1.0","1.0","101","254.0","1635.0","l","0.0","4.0"
"7.0","10.0","0.0","0.0","1.0","102","265.0","1702.0","l","1.0","-2.0"
"3.0","12.0","0.0","1.0","0.0","102","272.0","1719.0","l","0.0","3.0"
"4.0","14.0","0.0","1.0","0.0","102","272.0","1841.0","a","1.0","3.0"
"0.0","16.0","-10.0","1.0","0.0","101","272.0","2071.0","a","1.0","3.0"
"0.0","10.0","-6.0","1.0","0.0","101","262.0","1615.0","l","0.0","2.0"
"0.0","11.0","-10.0","1.0","1.0","101","256.0","1964.0","a","1.0","0.5"
"0.0","12.0","-5.0","1.0","1.0","101","267.0","1985.0","a","1.0","3.5"
"0.0","11.0","-10.0","1.0","1.0","101","279.0","1718.0","a","1.0","0.5"
"0.0","12.0","-5.0","1.0","0.0","101","290.0","2005.0","a","1.0","3.5"
"0.0","9.0","-10.0","0.0","1.0","101","285.0","2318.0","a","0.0","-0.5"
"7.0","12.0","0.0","0.0","1.0","102","285.0","1768.0","l","1.0","-1.0"
"0.0","12.0","-2.0","1.0","1.0","101","292.0","1980.0","l","0.0","5.0"
"4.0","8.0","0.0","0.0","1.0","102","304.0","1992.0","l","1.0","0.0"
"0.0","11.0","-8.0","1.0","1.0","101","308.0","2138.0","a","1.0","1.5"
"6.0","12.0","0.0","0.0","1.0","102","319.0","2006.0","l","1.0","0.0"
"0.0","9.0","-6.0","1.0","1.0","101","325.0","1895.0","l","0.0","1.5"
"6.0","12.0","0.0","0.0","1.0","102","334.0","1946.0","l","1.0","0.0"
"0.0","16.0","-10.0","1.0","0.0","101","340.0","2218.0","l","0.0","3.0"
"0.0","9.0","-6.0","1.0","1.0","101","330.0","1868.0","a","1.0","1.5"
"3.0","10.0","0.0","1.0","0.0","102","339.0","1559.0","l","0.0","2.0"
"4.0","14.0","0.0","1.0","0.0","102","339.0","1667.0","a","1.0","3.0"
"0.0","10.0","-8.0","1.0","1.0","101","339.0","1617.0","a","1.0","1.0"
"3.0","8.0","0.0","1.0","1.0","102","349.0","1581.0","l","0.0","1.0"
"7.0","6.0","0.0","0.0","1.0","102","357.0","1928.0","a","0.0","-4.0"
"7.0","8.0","0.0","0.0","1.0","102","364.0","2094.0","a","0.0","-3.0"
"6.0","10.0","0.0","0.0","1.0","102","371.0","1856.0","a","0.0","-1.0"
"0.0","11.0","-6.0","1.0","1.0","101","377.0","1781.0","a","1.0","2.5"
"7.0","10.0","0.0","0.0","0.0","102","388.0","1833.0","a","0.0","-2.0"
"0.0","10.0","-5.0","1.0","1.0","101","395.0","1636.0","l","0.0","2.5"
"0.0","16.0","-8.0","1.0","1.0","101","405.0","2075.0","l","0.0","4.0"
"0.0","10.0","-3.0","1.0","0.0","101","421.0","2000.0","l","0.0","3.5"
"7.0","14.0","0.0","0.0","1.0","102","418.0","1992.0","l","1.0","0.0"
"0.0","12.0","-3.0","1.0","0.0","101","425.0","1711.0","a","1.0","4.5"
"0.0","14.0","-8.0","1.0","1.0","101","422.0","1947.0","a","1.0","3.0"
"3.0","14.0","0.0","1.0","1.0","102","436.0","1651.0","a","1.0","4.0"
"0.0","14.0","-6.0","1.0","0.0","101","450.0","1600.0","a","1.0","4.0"
"4.0","12.0","0.0","1.0","1.0","102","444.0","1532.0","a","1.0","2.0"
"3.0","6.0","0.0","0.0","0.0","102","456.0","1704.0","l","1.0","0.0"
"0.0","14.0","-3.0","1.0","1.0","101","459.0","1523.0","a","1.0","5.5"
"6.0","8.0","0.0","0.0","0.0","102","473.0","2029.0","a","0.0","-2.0"
"0.0","8.0","-10.0","0.0","0.0","101","479.0","2515.0","a","0.0","-1.0"
"5.0","14.0","0.0","1.0","0.0","102","479.0","2259.0","l","0.0","2.0"
"0.0","16.0","-4.0","1.0","0.0","101","479.0","1910.0","l","0.0","6.0"
"0.0","8.0","-5.0","1.0","1.0","101","475.0","2079.0","a","1.0","1.5"
"0.0","14.0","-5.0","1.0","0.0","101","483.0","1836.0","a","1.0","4.5"
"0.0","14.0","-2.0","1.0","0.0","101","478.0","1956.0","a","1.0","6.0"
"0.0","9.0","-3.0","1.0","1.0","101","476.0","2074.0","a","1.0","3.0"
"0.0","11.0","-3.0","1.0","0.0","101","485.0","1752.0","a","1.0","4.0"
"0.0","14.0","-2.0","1.0","1.0","101","482.0","1937.0","a","1.0","6.0"
"0.0","9.0","-5.0","1.0","0.0","101","496.0","1985.0","l","0.0","2.0"
"5.0","6.0","0.0","0.0","0.0","102","491.0","1634.0","a","0.0","-2.0"
"6.0","10.0","0.0","0.0","1.0","102","496.0","1956.0","a","0.0","-1.0"
"3.0","6.0","0.0","0.0","0.0","102","502.0","1997.0","l","1.0","0.0"
"0.0","12.0","-2.0","1.0","1.0","101","505.0","1875.0","l","0.0","5.0"
"5.0","14.0","0.0","1.0","0.0","102","517.0","1603.0","a","1.0","2.0"
"4.0","10.0","0.0","1.0","1.0","102","517.0","1589.0","l","0.0","1.0"
"7.0","6.0","0.0","0.0","0.0","102","527.0","1592.0","l","1.0","-4.0"
"0.0","12.0","-3.0","1.0","0.0","101","534.0","1896.0","a","1.0","4.5"
"0.0","8.0","-10.0","0.0","1.0","101","531.0","1804.0","a","0.0","-1.0"
"0.0","8.0","-8.0","0.0","0.0","101","531.0","2027.0","l","1.0","0.0"
"0.0","14.0","-4.0","1.0","1.0","101","531.0","1991.0","l","0.0","5.0"
"5.0","8.0","0.0","0.0","0.0","102","545.0","2201.0","a","0.0","-1.0"
"6.0","6.0","0.0","0.0","0.0","102","550.0","2169.0","l","1.0","-3.0"
"0.0","9.0","-5.0","1.0","0.0","101","556.0","2350.0","l","0.0","2.0"
"0.0","12.0","-10.0","1.0","1.0","101","551.0","2267.0","a","1.0","1.0"
"0.0","10.0","-6.0","1.0","0.0","101","563.0","1789.0","l","0.0","2.0"
"0.0","16.0","-6.0","1.0","0.0","101","557.0","1894.0","l","0.0","5.0"
"0.0","11.0","-2.0","1.0","1.0","101","551.0","1886.0","a","1.0","4.5"
"0.0","11.0","-4.0","1.0","1.0","101","562.0","1592.0","l","0.0","3.5"
"5.0","10.0","0.0","0.0","0.0","102","573.0","2120.0","l","1.0","0.0"
"0.0","8.0","-4.0","1.0","1.0","101","578.0","1837.0","a","1.0","2.0"
"3.0","8.0","0.0","1.0","1.0","102","586.0","2061.0","l","0.0","1.0"
"0.0","10.0","-4.0","1.0","0.0","101","594.0","1972.0","a","1.0","3.0"
"6.0","14.0","0.0","1.0","0.0","102","590.0","1835.0","a","1.0","1.0"
"0.0","11.0","-6.0","1.0","1.0","101","590.0","2102.0","l","0.0","2.5"
"5.0","10.0","0.0","0.0","0.0","102","601.0","2257.0","a","0.0","0.0"
"0.0","16.0","-3.0","1.0","1.0","101","606.0","2189.0","l","0.0","6.5"
"5.0","8.0","0.0","0.0","0.0","102","622.0","2213.0","l","1.0","-1.0"
"0.0","11.0","-5.0","1.0","0.0","101","627.0","2075.0","a","1.0","3.0"
"4.0","8.0","0.0","0.0","0.0","102","622.0","2072.0","a","0.0","0.0"
"0.0","16.0","-5.0","1.0","0.0","101","626.0","2106.0","a","1.0","5.5"
