"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","8.0","-10.0","0.0","1.0","101","150.0","2216.0","a","0.0","-1.0"
"0.0","14.0","-4.0","1.0","1.0","101","150.0","1221.0","l","0.0","5.0"
"0.0","16.0","-2.0","1.0","0.0","101","164.0","1152.0","a","1.0","7.0"
"0.0","11.0","-4.0","1.0","0.0","101","162.0","958.0","l","0.0","3.5"
"0.0","10.0","-4.0","1.0","1.0","101","158.0","1062.0","l","0.0","3.0"
"4.0","12.0","0.0","1.0","0.0","102","168.0","1187.0","l","0.0","2.0"
"0.0","10.0","-3.0","1.0","1.0","101","168.0","1164.0","a","1.0","3.5"
"0.0","9.0","-5.0","0.0","1.0","101","178.0","1727.0","l","1.0","2.0"
"0.0","8.0","-2.0","1.0","0.0","101","178.0","1246.0","a","1.0","3.0"
"0.0","11.0","-10.0","0.0","0.0","101","176.0","1714.0","a","0.0","0.5"
"0.0","14.0","-6.0","1.0","0.0","101","176.0","1604.0","a","1.0","4.0"
"3.0","10.0","0.0","1.0","1.0","102","170.0","1248.0","l","0.0","2.0"
"3.0","8.0","0.0","1.0","1.0","102","180.0","1294.0","l","0.0","1.0"
"0.0","16.0","-8.0","1.0","1.0","101","188.0","1661.0","a","1.0","4.0"
"0.0","16.0","-4.0","1.0","1.0","101","204.0","1228.0","a","1.0","6.0"
"5.0","14.0","0.0","1.0","1.0","102","220.0","1427.0","l","0.0","2.0"
"5.0","6.0","0.0","0.0","1.0","102","234.0","1477.0","l","1.0","-2.0"
"0.0","16.0","-2.0","1.0","0.0","101","239.0","1234.0","a","1.0","7.0"
"0.0","16.0","-10.0","0.0","1.0","101","237.0","1924.0","l","1.0","3.0"
"0.0","12.0","-10.0","0.0","0.0","101","237.0","1907.0","l","1.0","1.0"
"4.0","12.0","0.0","1.0","0.0","102","237.0","1256.0","l","0.0","2.0"
"0.0","12.0","-5.0","1.0","1.0","101","237.0","1375.0","a","1.0","3.5"
"0.0","16.0","-10.0","0.0","1.0","101","249.0","1616.0","a","0.0","3.0"
"3.0","12.0","0.0","1.0","0.0","102","249.0","1342.0","a","1.0","3.0"
"0.0","9.0","-4.0","1.0","0.0","101","249.0","1978.0","l","0.0","2.5"
"0.0","11.0","-6.0","0.0","0.0","101","245.0","1674.0","l","1.0","2.5"
"0.0","12.0","-8.0","0.0","1.0","101","245.0","1437.0","l","1.0","2.0"
"6.0","8.0","0.0","0.0","0.0","102","245.0","1678.0","a","0.0","-2.0"
"0.0","8.0","-6.0","0.0","1.0","101","251.0","1902.0","a","0.0","1.0"
"0.0","16.0","-8.0","1.0","0.0","101","251.0","1996.0","a","1.0","4.0"
"0.0","11.0","-8.0","0.0","0.0","101","243.0","1530.0","a","0.0","1.5"
"4.0","14.0","0.0","1.0","1.0","102","243.0","1364.0","l","0.0","3.0"
"0.0","9.0","-3.0","1.0","0.0","101","257.0","1847.0","a","1.0","3.0"
"0.0","12.0","-2.0","1.0","0.0","101","254.0","1276.0","a","1.0","5.0"
"0.0","14.0","-3.0","1.0","1.0","101","252.0","1376.0","l","0.0","5.5"
"0.0","9.0","-3.0","1.0","0.0","101","266.0","1274.0","a","1.0","3.0"
"3.0","12.0","0.0","1.0","0.0","102","263.0","1229.0","a","1.0","3.0"
"0.0","14.0","-5.0","1.0","1.0","101","263.0","2178.0","a","1.0","4.5"
"0.0","10.0","-4.0","1.0","0.0","101","277.0","1349.0","a","1.0","3.0"
"6.0","6.0","0.0","0.0","0.0","102","273.0","1653.0","a","0.0","-3.0"
"7.0","10.0","0.0","0.0","1.0","102","279.0","1506.0","l","1.0","-2.0"
"0.0","9.0","-6.0","0.0","1.0","101","286.0","1482.0","l","1.0","1.5"
"0.0","12.0","-8.0","0.0","1.0","101","286.0","1605.0","l","1.0","2.0"
"5.0","12.0","0.0","1.0","0.0","102","286.0","1726.0","a","1.0","1.0"
"3.0","6.0","0.0","0.0","1.0","102","286.0","1856.0","l","1.0","0.0"
"5.0","6.0","0.0","0.0","1.0","102","289.0","1449.0","l","1.0","-2.0"
"0.0","9.0","-6.0","0.0","1.0","101","294.0","2122.0","l","1.0","1.5"
"0.0","9.0","-2.0","1.0","0.0","101","294.0","1190.0","a","1.0","3.5"
"3.0","14.0","0.0","1.0","1.0","102","292.0","1797.0","l","0.0","4.0"
"4.0","6.0","0.0","0.0","1.0","102","306.0","1725.0","l","1.0","-1.0"
"0.0","11.0","-3.0","1.0","1.0","101","310.0","1192.0","a","1.0","4.0"
"0.0","14.0","-8.0","0.0","0.0","101","321.0","1551.0","l","1.0","3.0"
"0.0","9.0","-8.0","1.0","0.0","101","321.0","2638.0","a","1.0","0.5"
"5.0","8.0","0.0","1.0","0.0","102","313.0","2300.0","l","0.0","-1.0"
"6.0","10.0","0.0","0.0","1.0","102","313.0","1854.0","l","1.0","-1.0"
"7.0","14.0","0.0","0.0","1.0","102","319.0","2521.0","a","0.0","0.0"
"6.0","14.0","0.0","1.0","0.0","102","326.0","2406.0","a","1.0","1.0"
"0.0","8.0","-8.0","1.0","0.0","101","326.0","2776.0","l","0.0","0.0"
"0.0","14.0","-10.0","0.0","1.0","101","318.0","2894.0","l","1.0","2.0"
"0.0","16.0","-5.0","1.0","1.0","101","318.0","1637.0","a","1.0","5.5"
"0.0","14.0","-10.0","0.0","0.0","101","334.0","2585.0","a","0.0","2.0"
"3.0","6.0","0.0","1.0","0.0","102","334.0","2087.0","a","1.0","0.0"
"0.0","10.0","-10.0","0.0","1.0","101","334.0","1937.0","a","0.0","0.0"
"4.0","10.0","0.0","1.0","0.0","102","334.0","1384.0","l","0.0","1.0"
"0.0","8.0","-10.0","0.0","1.0","101","334.0","1625.0","l","1.0","-1.0"
"3.0","8.0","0.0","1.0","1.0","102","334.0","1551.0","a","1.0","1.0"
"7.0","10.0","0.0","0.0","0.0","102","342.0","2044.0","a","0.0","-2.0"
"0.0","12.0","-4.0","1.0","0.0","101","349.0","1719.0","a","1.0","4.0"
"0.0","16.0","-6.0","1.0","1.0","101","345.0","1849.0","l","0.0","5.0"
"0.0","9.0","-4.0","1.0","1.0","101","361.0","2451.0","l","0.0","2.5"
"7.0","6.0","0.0","0.0","1.0","102","370.0","1783.0","l","1.0","-4.0"
"0.0","10.0","-2.0","1.0","0.0","101","377.0","1462.0","a","1.0","4.0"
"0.0","12.0","-2.0","1.0","0.0","101","375.0","1376.0","a","1.0","5.0"
"0.0","11.0","-5.0","1.0","0.0","101","373.0","1673.0","a","1.0","3.0"
"7.0","14.0","0.0","0.0","0.0","102","368.0","1604.0","l","1.0","0.0"
"0.0","9.0","-2.0","1.0","1.0","101","375.0","1311.0","l","0.0","3.5"
"0.0","10.0","-5.0","1.0","0.0","101","384.0","1881.0","a","1.0","2.5"
"0.0","8.0","-5.0","0.0","0.0","101","379.0","1441.0","a","0.0","1.5"
"0.0","14.0","-3.0","1.0","0.0","101","379.0","1612.0","a","1.0","5.5"
"0.0","14.0","-2.0","1.0","1.0","101","376.0","1209.0","a","1.0","6.0"
"4.0","10.0","0.0","1.0","0.0","102","390.0","1576.0","a","1.0","1.0"
"0.0","10.0","-5.0","1.0","0.0","101","390.0","1662.0","a","1.0","2.5"
"0.0","12.0","-3.0","1.0","0.0","101","385.0","1263.0","l","0.0","4.5"
"0.0","9.0","-8.0","0.0","1.0","101","382.0","1553.0","a","0.0","0.5"
"0.0","10.0","-10.0","0.0","0.0","101","382.0","1408.0","a","0.0","0.0"
"0.0","16.0","-6.0","1.0","1.0","101","382.0","2106.0","a","1.0","5.0"
"0.0","16.0","-3.0","1.0","0.0","101","398.0","1254.0","l","0.0","6.5"
"0.0","11.0","-8.0","0.0","1.0","101","395.0","1378.0","l","1.0","1.5"
"7.0","6.0","0.0","0.0","0.0","102","395.0","1453.0","l","1.0","-4.0"
"0.0","12.0","-10.0","1.0","1.0","101","402.0","1749.0","l","0.0","1.0"
"0.0","11.0","-6.0","1.0","0.0","101","414.0","1869.0","a","1.0","2.5"
"7.0","12.0","0.0","1.0","0.0","102","408.0","1223.0","l","0.0","-1.0"
"0.0","10.0","-6.0","1.0","1.0","101","408.0","1681.0","l","0.0","2.0"
"0.0","11.0","-2.0","1.0","0.0","101","418.0","1317.0","a","1.0","4.5"
"6.0","10.0","0.0","0.0","0.0","102","416.0","1527.0","l","1.0","-1.0"
"0.0","12.0","-3.0","1.0","1.0","101","422.0","1436.0","l","0.0","4.5"
"0.0","8.0","-5.0","0.0","0.0","101","434.0","1785.0","l","1.0","1.5"
"6.0","8.0","0.0","0.0","0.0","102","434.0","1578.0","a","0.0","-2.0"
"3.0","14.0","0.0","1.0","0.0","102","440.0","1275.0","l","0.0","4.0"
"0.0","8.0","-2.0","1.0","0.0","101","440.0","1689.0","l","0.0","3.0"
"0.0","14.0","-4.0","1.0","0.0","101","438.0","1311.0","a","1.0","5.0"
"0.0","8.0","-4.0","1.0","0.0","101","434.0","1917.0","a","1.0","2.0"
"0.0","9.0","-10.0","0.0","1.0","101","430.0","1118.0","l","1.0","-0.5"
"0.0","14.0","-5.0","1.0","1.0","101","430.0","1820.0","a","1.0","4.5"
"6.0","6.0","0.0","0.0","1.0","102","444.0","1742.0","l","1.0","-3.0"
"0.0","16.0","-3.0","1.0","0.0","101","450.0","1104.0","a","1.0","6.5"
"0.0","9.0","-5.0","1.0","1.0","101","447.0","3090.0","l","0.0","2.0"
"0.0","8.0","-8.0","0.0","0.0","101","456.0","1466.0","a","0.0","0.0"
"0.0","10.0","-8.0","1.0","1.0","101","456.0","1406.0","l","0.0","1.0"
"0.0","16.0","-4.0","1.0","0.0","101","466.0","1136.0","a","1.0","6.0"
"7.0","12.0","0.0","0.0","1.0","102","462.0","2064.0","a","0.0","-1.0"
"0.0","11.0","-4.0","1.0","1.0","101","469.0","1335.0","l","0.0","3.5"
"0.0","12.0","-6.0","1.0","0.0","101","480.0","2606.0","l","0.0","3.0"
"0.0","8.0","-4.0","0.0","1.0","101","474.0","2181.0","l","1.0","2.0"
"6.0","12.0","0.0","0.0","0.0","102","474.0","1734.0","a","0.0","0.0"
"0.0","14.0","-6.0","1.0","1.0","101","480.0","2390.0","l","0.0","4.0"
"0.0","10.0","-3.0","1.0","1.0","101","494.0","1254.0","l","0.0","3.5"
"0.0","12.0","-6.0","1.0","1.0","101","504.0","2379.0","a","1.0","3.0"
"0.0","11.0","-2.0","1.0","1.0","101","516.0","1463.0","a","1.0","4.5"
"5.0","14.0","0.0","1.0","0.0","102","527.0","1879.0","a","1.0","2.0"
"5.0","10.0","0.0","1.0","0.0","102","527.0","1887.0","l","0.0","0.0"
"5.0","8.0","0.0","0.0","0.0","102","527.0","1764.0","a","0.0","-1.0"
"0.0","11.0","-5.0","1.0","0.0","101","532.0","2653.0","a","1.0","3.0"
"6.0","14.0","0.0","1.0","0.0","102","527.0","2126.0","l","0.0","1.0"
"0.0","14.0","-8.0","0.0","1.0","101","527.0","1549.0","a","0.0","3.0"
"5.0","10.0","0.0","0.0","1.0","102","527.0","1895.0","a","0.0","0.0"
"0.0","16.0","-5.0","1.0","1.0","101","532.0","1908.0","a","1.0","5.5"
"4.0","14.0","0.0","1.0","1.0","102","548.0","1540.0","l","0.0","3.0"
"0.0","12.0","-5.0","1.0","1.0","101","562.0","1668.0","l","0.0","3.5"
"0.0","10.0","-2.0","1.0","0.0","101","574.0","1258.0","a","1.0","4.0"
"4.0","6.0","0.0","0.0","1.0","102","572.0","1793.0","a","0.0","-1.0"
"0.0","10.0","-6.0","0.0","1.0","101","576.0","1445.0","a","0.0","2.0"
"0.0","8.0","-6.0","0.0","0.0","101","576.0","1716.0","a","0.0","1.0"
"3.0","10.0","0.0","1.0","1.0","102","576.0","1757.0","l","0.0","2.0"
"0.0","8.0","-3.0","1.0","1.0","101","586.0","1569.0","a","1.0","2.5"
"0.0","11.0","-3.0","1.0","1.0","101","594.0","1120.0","l","0.0","4.0"
"4.0","8.0","0.0","0.0","0.0","102","605.0","1850.0","l","1.0","0.0"
"0.0","9.0","-10.0","0.0","1.0","101","609.0","1863.0","a","0.0","-0.5"
"0.0","10.0","-8.0","1.0","0.0","101","609.0","2617.0","l","0.0","1.0"
"5.0","12.0","0.0","1.0","1.0","102","601.0","1734.0","l","0.0","1.0"
"7.0","8.0","0.0","0.0","0.0","102","613.0","1429.0","a","0.0","-3.0"
"0.0","8.0","-3.0","1.0","1.0","101","620.0","1708.0","l","0.0","2.5"
"7.0","8.0","0.0","0.0","0.0","102","628.0","1140.0","a","0.0","-3.0"
"6.0","12.0","0.0","0.0","0.0","102","635.0","2201.0","l","1.0","0.0"
"0.0","14.0","-2.0","1.0","1.0","101","641.0","1649.0","l","0.0","6.0"
"0.0","12.0","-4.0","1.0","1.0","101","655.0","1651.0","l","0.0","4.0"
"4.0","8.0","0.0","0.0","0.0","102","667.0","2429.0","l","1.0","0.0"
"0.0","11.0","-10.0","0.0","1.0","101","671.0","2428.0","a","0.0","0.5"
