"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","12.0","-6.0","1.0","1.0","101","150.0","2825.0","l","0.0","3.0"
"3.0","6.0","0.0","1.0","0.0","102","162.0","1460.0","l","0.0","0.0"
"0.0","11.0","-6.0","0.0","0.0","101","162.0","1706.0","a","0.0","2.5"
"5.0","12.0","0.0","1.0","1.0","102","162.0","1156.0","l","0.0","1.0"
"3.0","6.0","0.0","1.0","0.0","102","174.0","1047.0","l","0.0","0.0"
"0.0","12.0","-3.0","1.0","1.0","101","174.0","1952.0","l","0.0","4.5"
"0.0","9.0","-10.0","1.0","1.0","101","186.0","1577.0","a","1.0","-0.5"
"4.0","8.0","0.0","1.0","1.0","102","195.0","1437.0","l","0.0","0.0"
"0.0","12.0","-2.0","1.0","1.0","101","203.0","1448.0","a","1.0","5.0"
"0.0","9.0","-5.0","0.0","1.0","101","215.0","1468.0","a","0.0","2.0"
"6.0","10.0","0.0","1.0","1.0","102","215.0","1187.0","a","1.0","-1.0"
"7.0","8.0","0.0","1.0","1.0","102","225.0","1149.0","l","0.0","-3.0"
"3.0","10.0","0.0","1.0","1.0","102","233.0","1313.0","a","1.0","2.0"
"5.0","10.0","0.0","0.0","0.0","102","243.0","1391.0","l","1.0","0.0"
"0.0","17.0","-10.0","0.0","0.0","101","248.0","2202.0","l","1.0","3.5"
"0.0","11.0","-4.0","1.0","0.0","101","248.0","1436.0","l","0.0","3.5"
"0.0","17.0","-3.0","1.0","0.0","101","244.0","920.0","a","1.0","7.0"
"4.0","6.0","0.0","0.0","0.0","102","241.0","1716.0","a","0.0","-1.0"
"0.0","13.0","-5.0","1.0","1.0","101","245.0","1515.0","a","1.0","4.0"
"3.0","14.0","0.0","1.0","0.0","102","258.0","1055.0","a","1.0","4.0"
"5.0","14.0","0.0","1.0","0.0","102","258.0","1093.0","a","1.0","2.0"
"4.0","12.0","0.0","1.0","0.0","102","258.0","1297.0","l","0.0","2.0"
"5.0","8.0","0.0","0.0","1.0","102","258.0","1573.0","l","1.0","-1.0"
"4.0","6.0","0.0","0.0","0.0","102","263.0","1672.0","a","0.0","-1.0"
"0.0","11.0","-5.0","0.0","0.0","101","267.0","1907.0","l","1.0","3.0"
"0.0","15.0","-3.0","1.0","1.0","101","267.0","1018.0","a","1.0","6.0"
"0.0","11.0","-8.0","0.0","0.0","101","282.0","1088.0","a","0.0","1.5"
"5.0","12.0","0.0","1.0","0.0","102","282.0","1140.0","a","1.0","1.0"
"0.0","11.0","-2.0","1.0","1.0","101","282.0","2093.0","a","1.0","4.5"
"0.0","12.0","-4.0","1.0","1.0","101","293.0","1639.0","l","0.0","4.0"
"3.0","10.0","0.0","1.0","0.0","102","305.0","1358.0","a","1.0","2.0"
"0.0","15.0","-8.0","0.0","1.0","101","305.0","1207.0","l","1.0","3.5"
"0.0","9.0","-3.0","1.0","0.0","101","305.0","1122.0","a","1.0","3.0"
"7.0","14.0","0.0","1.0","1.0","102","302.0","1763.0","l","0.0","0.0"
"0.0","17.0","-6.0","1.0","0.0","101","316.0","1232.0","l","0.0","5.5"
"0.0","11.0","-10.0","0.0","0.0","101","310.0","1244.0","l","1.0","0.5"
"7.0","6.0","0.0","1.0","1.0","102","310.0","1478.0","l","0.0","-4.0"
"6.0","8.0","0.0","0.0","1.0","102","316.0","2036.0","a","0.0","-2.0"
"0.0","11.0","-3.0","1.0","1.0","101","322.0","1405.0","a","1.0","4.0"
"0.0","15.0","-4.0","1.0","0.0","101","333.0","926.0","a","1.0","5.5"
"0.0","15.0","-10.0","0.0","0.0","101","329.0","953.0","l","1.0","2.5"
"0.0","17.0","-2.0","1.0","1.0","101","329.0","905.0","a","1.0","7.5"
"4.0","12.0","0.0","1.0","1.0","102","346.0","1263.0","l","0.0","2.0"
"4.0","10.0","0.0","1.0","0.0","102","358.0","1007.0","l","0.0","1.0"
"0.0","11.0","-3.0","1.0","1.0","101","358.0","968.0","l","0.0","4.0"
"6.0","12.0","0.0","1.0","0.0","102","369.0","765.0","l","0.0","0.0"
"0.0","13.0","-3.0","1.0","1.0","101","369.0","1260.0","a","1.0","5.0"
"5.0","8.0","0.0","0.0","1.0","102","382.0","1437.0","l","1.0","-1.0"
"0.0","12.0","-10.0","0.0","1.0","101","387.0","1204.0","a","0.0","1.0"
"0.0","12.0","-10.0","0.0","1.0","101","387.0","954.0","l","1.0","1.0"
"0.0","17.0","-8.0","0.0","0.0","101","387.0","2432.0","a","0.0","4.5"
