"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","20.0","-8.0","0.0","1.0","101","150.0","2709.0","l","1.0","6.0"
"6.0","18.0","0.0","1.0","0.0","102","150.0","1231.0","l","0.0","3.0"
"6.0","16.0","0.0","1.0","0.0","102","150.0","851.0","l","0.0","2.0"
"0.0","13.0","-8.0","0.0","1.0","101","150.0","1245.0","l","1.0","2.5"
"0.0","18.0","-5.0","1.0","1.0","101","150.0","1242.0","a","1.0","6.5"
"0.0","15.0","-6.0","0.0","0.0","101","168.0","1976.0","a","0.0","4.5"
"6.0","16.0","0.0","1.0","0.0","102","168.0","1143.0","a","1.0","2.0"
"0.0","13.0","-2.0","1.0","0.0","101","168.0","1042.0","a","1.0","5.5"
"0.0","20.0","-8.0","0.0","1.0","101","166.0","2264.0","a","0.0","6.0"
"0.0","18.0","-10.0","0.0","1.0","101","166.0","1110.0","l","1.0","4.0"
"0.0","16.0","-8.0","0.0","1.0","101","166.0","1154.0","a","0.0","4.0"
"0.0","14.0","-5.0","1.0","1.0","101","166.0","1302.0","a","1.0","4.5"
"0.0","15.0","-10.0","0.0","1.0","101","180.0","881.0","a","0.0","2.5"
"5.0","18.0","0.0","1.0","0.0","102","180.0","1195.0","l","0.0","4.0"
"0.0","20.0","-5.0","1.0","1.0","101","180.0","1033.0","l","0.0","7.5"
"7.0","12.0","0.0","0.0","0.0","102","200.0","1523.0","l","1.0","-1.0"
"0.0","13.0","-4.0","1.0","0.0","101","207.0","2091.0","l","0.0","4.5"
"0.0","15.0","-5.0","0.0","0.0","101","203.0","1089.0","l","1.0","5.0"
"0.0","13.0","-10.0","0.0","1.0","101","203.0","931.0","l","1.0","1.5"
"0.0","16.0","-2.0","1.0","0.0","101","203.0","873.0","a","1.0","7.0"
"4.0","16.0","0.0","1.0","0.0","102","201.0","1240.0","l","0.0","4.0"
"0.0","20.0","-6.0","1.0","0.0","101","201.0","1663.0","a","1.0","7.0"
"0.0","15.0","-4.0","1.0","0.0","101","195.0","1019.0","l","0.0","5.5"
"0.0","14.0","-8.0","0.0","1.0","101","191.0","1008.0","a","0.0","3.0"
"0.0","20.0","-3.0","1.0","0.0","101","191.0","816.0","a","1.0","8.5"
"0.0","12.0","-8.0","0.0","0.0","101","188.0","877.0","a","0.0","2.0"
"3.0","20.0","0.0","1.0","1.0","102","188.0","763.0","a","1.0","7.0"
"0.0","15.0","-8.0","0.0","0.0","101","208.0","982.0","l","1.0","3.5"
"7.0","20.0","0.0","1.0","1.0","102","208.0","810.0","a","1.0","3.0"
"3.0","12.0","0.0","1.0","1.0","102","228.0","889.0","a","1.0","3.0"
"3.0","16.0","0.0","1.0","0.0","102","240.0","1061.0","l","0.0","5.0"
"0.0","14.0","-10.0","0.0","1.0","101","240.0","871.0","l","1.0","2.0"
"7.0","18.0","0.0","0.0","0.0","102","240.0","1281.0","l","1.0","2.0"
"0.0","13.0","-3.0","1.0","0.0","101","247.0","1431.0","l","0.0","5.0"
"0.0","15.0","-6.0","0.0","1.0","101","244.0","1305.0","l","1.0","4.5"
"0.0","13.0","-3.0","1.0","1.0","101","244.0","958.0","a","1.0","5.0"
"7.0","14.0","0.0","0.0","0.0","102","257.0","1376.0","l","1.0","0.0"
"6.0","20.0","0.0","1.0","1.0","102","264.0","1053.0","a","1.0","4.0"
"7.0","18.0","0.0","1.0","0.0","102","284.0","1208.0","a","1.0","2.0"
"4.0","18.0","0.0","1.0","0.0","102","284.0","833.0","a","1.0","5.0"
"7.0","16.0","0.0","1.0","0.0","102","284.0","861.0","a","1.0","1.0"
"0.0","16.0","-3.0","1.0","0.0","101","284.0","1018.0","l","0.0","6.5"
"3.0","18.0","0.0","1.0","0.0","102","281.0","669.0","l","0.0","6.0"
"0.0","16.0","-4.0","0.0","1.0","101","281.0","2187.0","l","1.0","6.0"
"0.0","13.0","-6.0","0.0","0.0","101","281.0","1104.0","l","1.0","3.5"
"0.0","14.0","-6.0","0.0","1.0","101","281.0","991.0","a","0.0","4.0"
"6.0","12.0","0.0","1.0","0.0","102","281.0","948.0","l","0.0","0.0"
"0.0","18.0","-6.0","0.0","1.0","101","281.0","1069.0","a","0.0","6.0"
"7.0","14.0","0.0","1.0","1.0","102","281.0","689.0","l","0.0","0.0"
"0.0","12.0","-6.0","0.0","1.0","101","295.0","822.0","a","0.0","3.0"
"6.0","14.0","0.0","1.0","0.0","102","295.0","1436.0","l","0.0","1.0"
"5.0","14.0","0.0","1.0","0.0","102","295.0","1875.0","a","1.0","2.0"
"0.0","12.0","-5.0","0.0","1.0","101","295.0","1099.0","l","1.0","3.5"
"0.0","14.0","-5.0","0.0","1.0","101","295.0","934.0","l","1.0","4.5"
"0.0","20.0","-4.0","1.0","1.0","101","295.0","776.0","a","1.0","8.0"
"0.0","20.0","-5.0","0.0","1.0","101","315.0","1139.0","a","0.0","7.5"
"4.0","20.0","0.0","1.0","1.0","102","315.0","701.0","l","0.0","6.0"
"0.0","16.0","-4.0","0.0","1.0","101","335.0","794.0","l","1.0","6.0"
"3.0","18.0","0.0","1.0","1.0","102","335.0","647.0","l","0.0","6.0"
"0.0","12.0","-5.0","0.0","1.0","101","353.0","781.0","a","0.0","3.5"
"7.0","12.0","0.0","1.0","1.0","102","353.0","888.0","a","1.0","-1.0"
"0.0","15.0","-10.0","0.0","1.0","101","365.0","977.0","l","1.0","2.5"
"0.0","13.0","-8.0","0.0","1.0","101","365.0","733.0","a","0.0","2.5"
"0.0","20.0","-4.0","1.0","1.0","101","365.0","1239.0","a","1.0","8.0"
"5.0","18.0","0.0","1.0","0.0","102","385.0","828.0","l","0.0","4.0"
"0.0","16.0","-10.0","0.0","1.0","101","385.0","863.0","a","0.0","3.0"
"5.0","14.0","0.0","1.0","1.0","102","385.0","727.0","a","1.0","2.0"
"5.0","12.0","0.0","1.0","0.0","102","399.0","731.0","l","0.0","1.0"
"0.0","12.0","-2.0","1.0","1.0","101","399.0","920.0","l","0.0","5.0"
"0.0","18.0","-8.0","0.0","1.0","101","411.0","862.0","a","0.0","5.0"
"6.0","14.0","0.0","1.0","1.0","102","411.0","941.0","l","0.0","1.0"
"0.0","13.0","-4.0","1.0","0.0","101","425.0","1171.0","l","0.0","4.5"
"0.0","12.0","-8.0","0.0","1.0","101","421.0","1158.0","l","1.0","2.0"
"0.0","18.0","-3.0","1.0","1.0","101","421.0","874.0","l","0.0","7.5"
"0.0","16.0","-5.0","0.0","1.0","101","439.0","966.0","a","0.0","5.5"
"3.0","20.0","0.0","1.0","0.0","102","439.0","765.0","a","1.0","7.0"
"0.0","18.0","-6.0","0.0","1.0","101","439.0","1007.0","a","0.0","6.0"
"0.0","14.0","-4.0","1.0","1.0","101","439.0","894.0","l","0.0","5.0"
"0.0","20.0","-10.0","0.0","1.0","101","453.0","1024.0","a","0.0","5.0"
"0.0","20.0","-3.0","1.0","0.0","101","453.0","767.0","a","1.0","8.5"
"0.0","13.0","-6.0","0.0","0.0","101","450.0","896.0","a","0.0","3.5"
"0.0","12.0","-10.0","0.0","0.0","101","450.0","761.0","l","1.0","1.0"
"5.0","20.0","0.0","1.0","0.0","102","450.0","840.0","a","1.0","5.0"
"0.0","18.0","-4.0","1.0","1.0","101","450.0","910.0","l","0.0","7.0"
"0.0","14.0","-3.0","1.0","1.0","101","468.0","729.0","a","1.0","5.5"
"0.0","12.0","-3.0","1.0","0.0","101","482.0","1629.0","l","0.0","4.5"
"0.0","14.0","-2.0","1.0","0.0","101","479.0","1112.0","a","1.0","6.0"
"7.0","16.0","0.0","1.0","1.0","102","477.0","803.0","l","0.0","1.0"
"3.0","12.0","0.0","1.0","0.0","102","493.0","863.0","l","0.0","3.0"
"4.0","18.0","0.0","1.0","1.0","102","493.0","589.0","a","1.0","5.0"
"4.0","12.0","0.0","1.0","1.0","102","511.0","608.0","l","0.0","2.0"
"0.0","14.0","-3.0","1.0","0.0","101","523.0","888.0","l","0.0","5.5"
"0.0","14.0","-8.0","0.0","1.0","101","520.0","828.0","a","0.0","3.0"
"0.0","18.0","-3.0","1.0","1.0","101","520.0","1047.0","l","0.0","7.5"
"0.0","13.0","-5.0","0.0","0.0","101","538.0","928.0","a","0.0","4.0"
"0.0","18.0","-8.0","0.0","0.0","101","538.0","772.0","a","0.0","5.0"
"0.0","14.0","-2.0","1.0","0.0","101","538.0","634.0","l","0.0","6.0"
"7.0","20.0","0.0","1.0","0.0","102","536.0","530.0","l","0.0","3.0"
"0.0","12.0","-2.0","1.0","1.0","101","536.0","885.0","a","1.0","5.0"
"0.0","12.0","-4.0","1.0","0.0","101","548.0","1093.0","l","0.0","4.0"
"0.0","15.0","-4.0","1.0","1.0","101","544.0","1284.0","a","1.0","5.5"
"0.0","14.0","-6.0","0.0","1.0","101","559.0","1198.0","l","1.0","4.0"
"6.0","20.0","0.0","1.0","0.0","102","559.0","704.0","l","0.0","4.0"
"6.0","18.0","0.0","1.0","0.0","102","559.0","896.0","a","1.0","3.0"
"5.0","16.0","0.0","1.0","0.0","102","559.0","753.0","l","0.0","3.0"
"0.0","15.0","-2.0","1.0","0.0","101","559.0","1171.0","l","0.0","6.5"
"0.0","15.0","-2.0","1.0","0.0","101","557.0","794.0","l","0.0","6.5"
"0.0","20.0","-6.0","0.0","0.0","101","555.0","749.0","a","0.0","7.0"
"0.0","14.0","-4.0","1.0","0.0","101","555.0","1282.0","l","0.0","5.0"
"4.0","14.0","0.0","1.0","1.0","102","551.0","769.0","a","1.0","3.0"
"0.0","15.0","-3.0","1.0","0.0","101","565.0","1340.0","a","1.0","6.0"
"0.0","14.0","-10.0","0.0","0.0","101","562.0","1029.0","l","1.0","2.0"
"4.0","12.0","0.0","1.0","1.0","102","562.0","874.0","a","1.0","2.0"
"0.0","12.0","-4.0","1.0","1.0","101","574.0","1539.0","a","1.0","4.0"
"3.0","16.0","0.0","1.0","0.0","102","586.0","991.0","a","1.0","5.0"
"0.0","13.0","-10.0","0.0","0.0","101","586.0","1005.0","a","0.0","1.5"
"3.0","14.0","0.0","1.0","0.0","102","586.0","761.0","a","1.0","4.0"
"0.0","18.0","-2.0","1.0","1.0","101","586.0","872.0","l","0.0","8.0"
"0.0","15.0","-8.0","0.0","0.0","101","604.0","894.0","l","1.0","3.5"
"5.0","16.0","0.0","1.0","1.0","102","604.0","843.0","a","1.0","3.0"
"0.0","12.0","-3.0","1.0","0.0","101","620.0","1240.0","l","0.0","4.5"
"0.0","16.0","-2.0","1.0","0.0","101","617.0","772.0","a","1.0","7.0"
"0.0","18.0","-2.0","1.0","1.0","101","615.0","682.0","l","0.0","8.0"
"4.0","20.0","0.0","1.0","1.0","102","633.0","615.0","a","1.0","6.0"
"0.0","18.0","-4.0","1.0","1.0","101","653.0","1172.0","a","1.0","7.0"
"0.0","20.0","-2.0","1.0","0.0","101","671.0","761.0","a","1.0","9.0"
"0.0","12.0","-10.0","0.0","0.0","101","669.0","1127.0","l","1.0","1.0"
"6.0","12.0","0.0","1.0","1.0","102","669.0","1532.0","l","0.0","0.0"
"5.0","12.0","0.0","1.0","0.0","102","681.0","782.0","l","0.0","1.0"
"0.0","18.0","-5.0","0.0","0.0","101","681.0","1121.0","l","1.0","6.5"
"0.0","15.0","-5.0","0.0","0.0","101","681.0","1057.0","a","0.0","5.0"
"3.0","14.0","0.0","1.0","0.0","102","681.0","768.0","a","1.0","4.0"
"0.0","16.0","-6.0","0.0","1.0","101","681.0","1111.0","a","0.0","5.0"
"0.0","16.0","-5.0","1.0","1.0","101","681.0","1331.0","l","0.0","5.5"
"0.0","20.0","-2.0","1.0","1.0","101","697.0","580.0","l","0.0","9.0"
"0.0","13.0","-5.0","0.0","0.0","101","717.0","1538.0","a","0.0","4.0"
"0.0","16.0","-10.0","0.0","1.0","101","717.0","1076.0","l","1.0","3.0"
"0.0","15.0","-3.0","1.0","1.0","101","717.0","803.0","l","0.0","6.0"
"0.0","20.0","-10.0","1.0","1.0","101","732.0","554.0","l","0.0","5.0"
"0.0","16.0","-6.0","0.0","1.0","101","752.0","1095.0","a","0.0","5.0"
