"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"5.0","6.0","0.0","-999.0","0.0","102","150.0","","-999","1.0","-2.0"
"3.0","6.0","0.0","1.0","0.0","102","150.0","777.0","l","0.0","0.0"
"0.0","9.0","-2.0","1.0","1.0","101","150.0","1082.0","a","1.0","3.5"
"0.0","17.0","-10.0","1.0","0.0","101","159.0","882.0","a","1.0","3.5"
"0.0","11.0","-2.0","1.0","1.0","101","149.0","740.0","l","0.0","4.5"
"0.0","17.0","-5.0","1.0","1.0","101","160.0","581.0","a","1.0","6.0"
"0.0","13.0","-6.0","1.0","1.0","101","177.0","487.0","l","0.0","3.5"
"0.0","10.0","-3.0","1.0","0.0","101","175.0","1373.0","a","1.0","3.5"
"6.0","6.0","0.0","0.0","1.0","102","172.0","1429.0","l","1.0","-3.0"
"0.0","15.0","-6.0","1.0","0.0","101","178.0","1551.0","l","0.0","4.5"
"0.0","10.0","-10.0","0.0","0.0","101","172.0","1195.0","a","0.0","0.0"
"0.0","9.0","-8.0","0.0","1.0","101","172.0","1103.0","l","1.0","0.5"
"3.0","12.0","0.0","1.0","1.0","102","172.0","1081.0","l","0.0","3.0"
"0.0","13.0","-10.0","0.0","1.0","101","184.0","1107.0","a","0.0","1.5"
"4.0","12.0","0.0","1.0","1.0","102","184.0","1517.0","a","1.0","2.0"
"0.0","9.0","-6.0","0.0","0.0","101","196.0","1058.0","a","0.0","1.5"
"3.0","8.0","0.0","1.0","0.0","102","196.0","1050.0","a","1.0","1.0"
"6.0","14.0","0.0","1.0","1.0","102","196.0","795.0","a","1.0","1.0"
"6.0","14.0","0.0","1.0","1.0","102","210.0","812.0","a","1.0","1.0"
"0.0","10.0","-2.0","1.0","1.0","101","224.0","1273.0","l","0.0","4.0"
"5.0","12.0","0.0","1.0","1.0","102","234.0","858.0","l","0.0","1.0"
"0.0","12.0","-4.0","1.0","1.0","101","246.0","922.0","a","1.0","4.0"
"5.0","12.0","0.0","1.0","1.0","102","258.0","853.0","l","0.0","1.0"
"0.0","12.0","-3.0","1.0","0.0","101","270.0","828.0","a","1.0","4.5"
"0.0","9.0","-8.0","0.0","0.0","101","267.0","1229.0","a","0.0","0.5"
"0.0","12.0","-5.0","1.0","0.0","101","267.0","895.0","a","1.0","3.5"
"0.0","11.0","-3.0","1.0","1.0","101","262.0","1100.0","a","1.0","4.0"
"0.0","9.0","-4.0","1.0","1.0","101","273.0","1334.0","a","1.0","2.5"
"0.0","10.0","-4.0","1.0","1.0","101","282.0","1313.0","l","0.0","3.0"
"7.0","6.0","0.0","1.0","0.0","102","292.0","681.0","a","1.0","-4.0"
"7.0","10.0","0.0","1.0","1.0","102","292.0","807.0","l","0.0","-2.0"
"0.0","15.0","-10.0","1.0","0.0","101","302.0","1979.0","a","1.0","2.5"
"3.0","14.0","0.0","1.0","1.0","102","292.0","1209.0","l","0.0","4.0"
"0.0","12.0","-4.0","1.0","0.0","101","306.0","1252.0","a","1.0","4.0"
"0.0","9.0","-3.0","1.0","1.0","101","302.0","1024.0","a","1.0","3.0"
