"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"6.0","10.0","0.0","0.0","0.0","102","150.0","1055.0","l","1.0","-1.0"
"0.0","10.0","-3.0","1.0","1.0","101","156.0","874.0","a","1.0","3.5"
"0.0","11.0","-3.0","1.0","0.0","101","166.0","937.0","l","0.0","4.0"
"0.0","9.0","-8.0","1.0","0.0","101","163.0","1023.0","l","0.0","0.5"
"5.0","8.0","0.0","1.0","0.0","102","155.0","738.0","l","0.0","-1.0"
"0.0","9.0","-10.0","0.0","0.0","101","155.0","1028.0","l","1.0","-0.5"
"5.0","10.0","0.0","1.0","1.0","102","155.0","959.0","l","0.0","0.0"
"0.0","8.0","-8.0","0.0","1.0","101","165.0","877.0","a","0.0","0.0"
"0.0","12.0","-6.0","1.0","1.0","101","165.0","748.0","a","1.0","3.0"
"4.0","16.0","0.0","1.0","0.0","102","177.0","725.0","a","1.0","4.0"
"0.0","10.0","-8.0","0.0","1.0","101","177.0","1058.0","l","1.0","1.0"
"0.0","9.0","-2.0","1.0","0.0","101","177.0","884.0","l","0.0","3.5"
"0.0","10.0","-8.0","1.0","1.0","101","175.0","539.0","a","1.0","1.0"
"7.0","14.0","0.0","1.0","1.0","102","185.0","896.0","a","1.0","0.0"
"6.0","10.0","0.0","0.0","1.0","102","199.0","840.0","l","1.0","-1.0"
"6.0","8.0","0.0","1.0","0.0","102","205.0","641.0","l","0.0","-2.0"
"4.0","14.0","0.0","1.0","0.0","102","205.0","836.0","a","1.0","3.0"
"0.0","8.0","-5.0","0.0","1.0","101","205.0","861.0","l","1.0","1.5"
"0.0","9.0","-3.0","1.0","0.0","101","205.0","547.0","l","0.0","3.0"
"0.0","12.0","-2.0","1.0","0.0","101","202.0","517.0","l","0.0","5.0"
"0.0","12.0","-5.0","1.0","0.0","101","200.0","499.0","a","1.0","3.5"
"0.0","16.0","-2.0","1.0","1.0","101","195.0","513.0","a","1.0","7.0"
"0.0","12.0","-4.0","1.0","1.0","101","211.0","479.0","a","1.0","4.0"
"0.0","14.0","-8.0","1.0","0.0","101","223.0","477.0","a","1.0","3.0"
"6.0","12.0","0.0","1.0","0.0","102","215.0","976.0","a","1.0","0.0"
"0.0","8.0","-8.0","0.0","1.0","101","215.0","837.0","l","1.0","0.0"
"0.0","12.0","-8.0","0.0","0.0","101","215.0","881.0","a","0.0","2.0"
"0.0","16.0","-8.0","0.0","1.0","101","215.0","749.0","l","1.0","4.0"
"0.0","10.0","-2.0","1.0","0.0","101","215.0","930.0","l","0.0","4.0"
"0.0","9.0","-3.0","1.0","1.0","101","213.0","799.0","l","0.0","3.0"
"7.0","10.0","0.0","1.0","0.0","102","222.0","992.0","l","0.0","-2.0"
"4.0","10.0","0.0","1.0","1.0","102","222.0","1453.0","a","1.0","1.0"
"0.0","11.0","-4.0","0.0","1.0","101","232.0","933.0","l","1.0","3.5"
"0.0","16.0","-8.0","1.0","0.0","101","232.0","839.0","l","0.0","4.0"
"0.0","14.0","-2.0","1.0","1.0","101","224.0","605.0","a","1.0","6.0"
"0.0","10.0","-2.0","1.0","0.0","101","238.0","631.0","l","0.0","4.0"
"0.0","8.0","-6.0","1.0","1.0","101","236.0","556.0","a","1.0","1.0"
"0.0","12.0","-6.0","1.0","0.0","101","244.0","757.0","a","1.0","3.0"
"3.0","10.0","0.0","1.0","0.0","102","238.0","699.0","a","1.0","2.0"
"0.0","11.0","-5.0","1.0","0.0","101","238.0","458.0","a","1.0","3.0"
"7.0","10.0","0.0","1.0","1.0","102","233.0","685.0","a","1.0","-2.0"
"3.0","14.0","0.0","1.0","0.0","102","243.0","765.0","a","1.0","4.0"
"4.0","8.0","0.0","0.0","1.0","102","243.0","855.0","l","1.0","0.0"
"0.0","8.0","-2.0","1.0","1.0","101","247.0","850.0","a","1.0","3.0"
"6.0","14.0","0.0","1.0","0.0","102","255.0","845.0","a","1.0","1.0"
"7.0","16.0","0.0","1.0","1.0","102","255.0","765.0","l","0.0","1.0"
"6.0","12.0","0.0","0.0","1.0","102","271.0","1004.0","l","1.0","0.0"
"0.0","10.0","-6.0","0.0","0.0","101","277.0","912.0","l","1.0","2.0"
"0.0","16.0","-4.0","1.0","0.0","101","277.0","933.0","l","0.0","6.0"
"3.0","12.0","0.0","1.0","1.0","102","273.0","644.0","a","1.0","3.0"
"0.0","9.0","-4.0","1.0","1.0","101","285.0","798.0","l","0.0","2.5"
"0.0","12.0","-4.0","1.0","0.0","101","294.0","633.0","l","0.0","4.0"
"0.0","14.0","-4.0","1.0","1.0","101","290.0","784.0","l","0.0","5.0"
"0.0","11.0","-2.0","1.0","1.0","101","304.0","643.0","l","0.0","4.5"
"0.0","16.0","-2.0","1.0","0.0","101","315.0","1006.0","a","1.0","7.0"
"0.0","14.0","-4.0","1.0","0.0","101","313.0","820.0","l","0.0","5.0"
"0.0","12.0","-10.0","1.0","0.0","101","309.0","528.0","l","0.0","1.0"
"4.0","8.0","0.0","1.0","0.0","102","299.0","1199.0","l","0.0","0.0"
"3.0","16.0","0.0","1.0","0.0","102","299.0","801.0","l","0.0","5.0"
"7.0","8.0","0.0","0.0","1.0","102","299.0","715.0","l","1.0","-3.0"
"0.0","11.0","-10.0","1.0","1.0","101","306.0","934.0","l","0.0","0.5"
"0.0","14.0","-6.0","0.0","1.0","101","317.0","944.0","l","1.0","4.0"
"0.0","14.0","-5.0","0.0","0.0","101","317.0","754.0","l","1.0","4.5"
"0.0","9.0","-2.0","1.0","1.0","101","317.0","1023.0","l","0.0","3.5"
"0.0","9.0","-6.0","0.0","0.0","101","326.0","1195.0","l","1.0","1.5"
"0.0","14.0","-8.0","1.0","0.0","101","326.0","734.0","a","1.0","3.0"
"3.0","8.0","0.0","1.0","0.0","102","318.0","844.0","l","0.0","1.0"
"0.0","10.0","-4.0","1.0","0.0","101","318.0","885.0","a","1.0","3.0"
"0.0","8.0","-4.0","1.0","1.0","101","314.0","916.0","l","0.0","2.0"
"0.0","12.0","-3.0","1.0","0.0","101","322.0","672.0","a","1.0","4.5"
"0.0","16.0","-6.0","1.0","1.0","101","319.0","459.0","l","0.0","5.0"
"3.0","12.0","0.0","1.0","1.0","102","335.0","596.0","a","1.0","3.0"
"0.0","9.0","-4.0","1.0","0.0","101","347.0","845.0","l","0.0","2.5"
"0.0","14.0","-10.0","0.0","1.0","101","343.0","757.0","l","1.0","2.0"
"4.0","12.0","0.0","1.0","0.0","102","343.0","746.0","a","1.0","2.0"
"0.0","9.0","-5.0","0.0","1.0","101","343.0","871.0","a","0.0","2.0"
"0.0","12.0","-2.0","1.0","0.0","101","343.0","971.0","l","0.0","5.0"
"3.0","8.0","0.0","1.0","1.0","102","341.0","723.0","l","0.0","1.0"
"3.0","10.0","0.0","1.0","1.0","102","349.0","867.0","a","1.0","2.0"
"0.0","11.0","-2.0","1.0","1.0","101","359.0","939.0","l","0.0","4.5"
"0.0","11.0","-4.0","0.0","1.0","101","370.0","840.0","a","0.0","3.5"
"0.0","9.0","-8.0","0.0","0.0","101","370.0","918.0","l","1.0","0.5"
"5.0","12.0","0.0","1.0","0.0","102","370.0","789.0","a","1.0","1.0"
"0.0","14.0","-3.0","1.0","1.0","101","370.0","916.0","l","0.0","5.5"
"0.0","8.0","-6.0","0.0","1.0","101","384.0","843.0","a","0.0","1.0"
"0.0","16.0","-10.0","0.0","1.0","101","384.0","932.0","l","1.0","3.0"
"0.0","12.0","-10.0","0.0","0.0","101","384.0","714.0","a","0.0","1.0"
"3.0","16.0","0.0","1.0","1.0","102","384.0","637.0","l","0.0","5.0"
"0.0","16.0","-6.0","0.0","0.0","101","400.0","705.0","l","1.0","5.0"
"0.0","12.0","-3.0","0.0","0.0","101","400.0","578.0","l","1.0","4.5"
"6.0","8.0","0.0","1.0","0.0","102","400.0","743.0","a","1.0","-2.0"
"0.0","8.0","-10.0","0.0","0.0","101","400.0","686.0","a","0.0","-1.0"
"5.0","16.0","0.0","0.0","1.0","102","400.0","1090.0","l","1.0","3.0"
"5.0","8.0","0.0","1.0","0.0","102","405.0","753.0","l","0.0","-1.0"
