"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"5.0","12.0","0.0","1.0","1.0","102","150.0","1475.0","a","1.0","1.0"
"5.0","18.0","0.0","1.0","0.0","102","162.0","1714.0","a","1.0","4.0"
"0.0","11.0","-6.0","0.0","0.0","101","162.0","1886.0","a","0.0","2.5"
"0.0","11.0","-10.0","0.0","0.0","101","162.0","2128.0","l","1.0","0.5"
"0.0","12.0","-10.0","0.0","0.0","101","162.0","1572.0","a","0.0","1.0"
"0.0","10.0","-3.0","1.0","0.0","101","162.0","1740.0","a","1.0","3.5"
"4.0","10.0","0.0","1.0","0.0","102","159.0","2416.0","a","1.0","1.0"
"6.0","10.0","0.0","0.0","0.0","102","159.0","1291.0","a","0.0","-1.0"
"0.0","11.0","-6.0","0.0","0.0","101","165.0","2410.0","a","0.0","2.5"
"7.0","12.0","0.0","0.0","1.0","102","165.0","2069.0","a","0.0","-1.0"
"0.0","13.0","-6.0","1.0","0.0","101","172.0","2226.0","a","1.0","3.5"
"3.0","18.0","0.0","1.0","1.0","102","166.0","1567.0","a","1.0","6.0"
"5.0","10.0","0.0","0.0","1.0","102","184.0","1834.0","l","1.0","0.0"
"3.0","14.0","0.0","1.0","1.0","102","189.0","1313.0","a","1.0","4.0"
"5.0","14.0","0.0","1.0","1.0","102","203.0","1533.0","l","0.0","2.0"
"0.0","17.0","-6.0","1.0","1.0","101","217.0","1848.0","l","0.0","5.5"
"0.0","9.0","-2.0","1.0","0.0","101","234.0","1736.0","l","0.0","3.5"
"0.0","15.0","-8.0","1.0","0.0","101","232.0","886.0","a","1.0","3.5"
"7.0","10.0","0.0","0.0","0.0","102","224.0","1628.0","l","1.0","-2.0"
"0.0","9.0","-3.0","1.0","0.0","101","231.0","1835.0","l","0.0","3.0"
"0.0","11.0","-3.0","1.0","1.0","101","228.0","1578.0","l","0.0","4.0"
"0.0","9.0","-4.0","1.0","1.0","101","239.0","1506.0","l","0.0","2.5"
"7.0","18.0","0.0","0.0","1.0","102","248.0","1746.0","a","0.0","2.0"
"0.0","11.0","-8.0","0.0","0.0","101","255.0","1443.0","a","0.0","1.5"
"0.0","13.0","-4.0","1.0","0.0","101","255.0","1609.0","l","0.0","4.5"
"0.0","17.0","-5.0","1.0","1.0","101","251.0","2528.0","l","0.0","6.0"
"0.0","9.0","-5.0","1.0","1.0","101","268.0","1371.0","l","0.0","2.0"
"0.0","17.0","-8.0","1.0","1.0","101","277.0","1446.0","a","1.0","4.5"
"0.0","13.0","-6.0","1.0","1.0","101","294.0","1877.0","a","1.0","3.5"
"0.0","9.0","-10.0","0.0","1.0","101","307.0","2651.0","a","0.0","-0.5"
"0.0","9.0","-10.0","0.0","0.0","101","307.0","1903.0","l","1.0","-0.5"
"0.0","17.0","-3.0","1.0","1.0","101","307.0","1429.0","l","0.0","7.0"
"0.0","10.0","-4.0","1.0","1.0","101","324.0","1591.0","a","1.0","3.0"
"0.0","13.0","-10.0","0.0","1.0","101","334.0","2022.0","a","0.0","1.5"
"0.0","13.0","-2.0","1.0","1.0","101","334.0","1465.0","a","1.0","5.5"
"0.0","17.0","-5.0","1.0","1.0","101","347.0","1238.0","l","0.0","6.0"
"0.0","12.0","-10.0","0.0","0.0","101","364.0","1737.0","a","0.0","1.0"
"0.0","15.0","-5.0","1.0","1.0","101","364.0","1301.0","l","0.0","5.0"
"0.0","13.0","-3.0","1.0","0.0","101","379.0","1360.0","l","0.0","5.0"
"0.0","15.0","-10.0","0.0","1.0","101","376.0","1664.0","a","0.0","2.5"
"0.0","10.0","-6.0","0.0","0.0","101","376.0","2067.0","l","1.0","2.0"
