"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","13.0","-5.0","0.0","1.0","101","150.0","3065.0","l","1.0","4.0"
"0.0","16.0","-10.0","0.0","0.0","101","150.0","1797.0","a","0.0","3.0"
"0.0","16.0","-5.0","1.0","0.0","101","150.0","1737.0","a","1.0","5.5"
"0.0","13.0","-5.0","1.0","1.0","101","145.0","2705.0","l","0.0","4.0"
"0.0","14.0","-5.0","1.0","1.0","101","158.0","1590.0","l","0.0","4.5"
"0.0","16.0","-4.0","1.0","1.0","101","172.0","1477.0","a","1.0","6.0"
"3.0","24.0","0.0","1.0","1.0","102","188.0","2627.0","l","0.0","9.0"
"0.0","18.0","-5.0","1.0","1.0","101","212.0","1606.0","l","0.0","6.5"
"4.0","22.0","0.0","1.0","1.0","102","230.0","1514.0","l","0.0","7.0"
"0.0","15.0","-8.0","0.0","1.0","101","252.0","2136.0","l","1.0","3.5"
"0.0","15.0","-8.0","0.0","1.0","101","252.0","3774.0","l","1.0","3.5"
"0.0","14.0","-3.0","1.0","1.0","101","252.0","1211.0","l","0.0","5.5"
"4.0","16.0","0.0","1.0","0.0","102","266.0","1702.0","l","0.0","4.0"
"0.0","15.0","-6.0","0.0","0.0","101","266.0","2509.0","l","1.0","4.5"
"0.0","20.0","-5.0","1.0","0.0","101","266.0","1072.0","a","1.0","7.5"
"0.0","14.0","-4.0","1.0","0.0","101","261.0","1567.0","l","0.0","5.0"
"0.0","18.0","-10.0","0.0","0.0","101","257.0","1434.0","a","0.0","4.0"
"0.0","13.0","-2.0","1.0","0.0","101","257.0","1138.0","l","0.0","5.5"
"3.0","24.0","0.0","1.0","1.0","102","255.0","1586.0","l","0.0","9.0"
"6.0","18.0","0.0","0.0","1.0","102","279.0","2187.0","a","0.0","3.0"
"0.0","15.0","-2.0","1.0","0.0","101","285.0","1194.0","a","1.0","6.5"
"0.0","15.0","-4.0","1.0","0.0","101","283.0","2384.0","a","1.0","5.5"
"3.0","20.0","0.0","1.0","1.0","102","279.0","1415.0","a","1.0","7.0"
"0.0","18.0","-8.0","0.0","1.0","101","299.0","1611.0","l","1.0","5.0"
"0.0","16.0","-8.0","0.0","0.0","101","299.0","1523.0","l","1.0","4.0"
"5.0","24.0","0.0","1.0","1.0","102","299.0","1107.0","l","0.0","7.0"
"0.0","15.0","-6.0","0.0","1.0","101","323.0","2014.0","l","1.0","4.5"
"0.0","16.0","-4.0","1.0","0.0","101","323.0","1265.0","a","1.0","6.0"
"3.0","18.0","0.0","1.0","1.0","102","319.0","1470.0","l","0.0","6.0"
"5.0","16.0","0.0","1.0","0.0","102","337.0","1705.0","l","0.0","3.0"
"0.0","18.0","-5.0","1.0","0.0","101","337.0","1342.0","l","0.0","6.5"
"4.0","18.0","0.0","1.0","1.0","102","332.0","1919.0","l","0.0","5.0"
"0.0","15.0","-5.0","1.0","0.0","101","350.0","2727.0","a","1.0","5.0"
"0.0","12.0","-6.0","0.0","0.0","101","345.0","1391.0","l","1.0","3.0"
"3.0","16.0","0.0","1.0","1.0","102","345.0","1132.0","a","1.0","5.0"
"0.0","18.0","-2.0","1.0","1.0","101","361.0","1314.0","a","1.0","8.0"
"7.0","22.0","0.0","0.0","1.0","102","379.0","1897.0","l","1.0","4.0"
