"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","14.0","-10.0","1.0","1.0","101","150.0","3162.0","a","1.0","2.0"
"0.0","9.0","-6.0","1.0","1.0","101","164.0","3449.0","l","0.0","1.5"
"6.0","12.0","0.0","0.0","0.0","102","173.0","2769.0","a","0.0","0.0"
"0.0","9.0","-2.0","1.0","1.0","101","179.0","1315.0","a","1.0","3.5"
"6.0","6.0","0.0","0.0","0.0","102","188.0","2223.0","a","0.0","-3.0"
"0.0","14.0","-10.0","1.0","0.0","101","194.0","1604.0","a","1.0","2.0"
"0.0","9.0","-4.0","1.0","1.0","101","184.0","1258.0","l","0.0","2.5"
"4.0","10.0","0.0","1.0","1.0","102","193.0","1441.0","a","1.0","1.0"
"0.0","12.0","-4.0","1.0","0.0","101","203.0","1201.0","a","1.0","4.0"
"3.0","10.0","0.0","1.0","0.0","102","199.0","1491.0","l","0.0","2.0"
"3.0","12.0","0.0","1.0","0.0","102","199.0","2043.0","a","1.0","3.0"
"0.0","16.0","-10.0","1.0","1.0","101","199.0","1033.0","l","0.0","3.0"
"0.0","9.0","-8.0","1.0","0.0","101","215.0","1709.0","a","1.0","0.5"
"0.0","12.0","-3.0","1.0","0.0","101","207.0","817.0","l","0.0","4.5"
"3.0","14.0","0.0","1.0","1.0","102","204.0","1843.0","l","0.0","4.0"
"0.0","10.0","-6.0","1.0","1.0","101","218.0","1528.0","a","1.0","2.0"
"0.0","11.0","-6.0","1.0","0.0","101","228.0","2346.0","a","1.0","2.5"
"0.0","8.0","-10.0","0.0","1.0","101","222.0","2336.0","l","1.0","-1.0"
"0.0","10.0","-4.0","1.0","0.0","101","222.0","1274.0","a","1.0","3.0"
"3.0","14.0","0.0","1.0","0.0","102","218.0","1674.0","l","0.0","4.0"
"0.0","9.0","-5.0","1.0","1.0","101","218.0","1192.0","l","0.0","2.0"
"0.0","11.0","-4.0","1.0","0.0","101","227.0","2290.0","a","1.0","3.5"
"4.0","12.0","0.0","1.0","1.0","102","223.0","2043.0","l","0.0","2.0"
"7.0","12.0","0.0","1.0","0.0","102","235.0","1560.0","l","0.0","-1.0"
"0.0","8.0","-3.0","1.0","1.0","101","235.0","2033.0","a","1.0","2.5"
"0.0","11.0","-8.0","1.0","1.0","101","243.0","1611.0","a","1.0","1.5"
"7.0","14.0","0.0","1.0","1.0","102","254.0","1648.0","l","0.0","0.0"
"5.0","12.0","0.0","1.0","0.0","102","268.0","1497.0","l","0.0","1.0"
"0.0","8.0","-5.0","1.0","0.0","101","268.0","2361.0","l","0.0","1.5"
"4.0","12.0","0.0","1.0","1.0","102","263.0","1906.0","l","0.0","2.0"
"0.0","10.0","-5.0","1.0","0.0","101","275.0","978.0","l","0.0","2.5"
"0.0","9.0","-10.0","1.0","0.0","101","270.0","1416.0","a","1.0","-0.5"
"7.0","8.0","0.0","0.0","1.0","102","260.0","1593.0","l","1.0","-3.0"
"3.0","6.0","0.0","1.0","1.0","102","267.0","1874.0","a","1.0","0.0"
"0.0","11.0","-8.0","1.0","1.0","101","273.0","2232.0","a","1.0","1.5"
"6.0","6.0","0.0","0.0","1.0","102","284.0","1762.0","a","0.0","-3.0"
"0.0","11.0","-5.0","1.0","0.0","101","290.0","2004.0","l","0.0","3.0"
"0.0","16.0","-3.0","1.0","0.0","101","285.0","1670.0","a","1.0","6.5"
"7.0","14.0","0.0","1.0","0.0","102","282.0","2090.0","l","0.0","0.0"
"5.0","8.0","0.0","0.0","0.0","102","282.0","1746.0","l","1.0","-1.0"
"0.0","14.0","-5.0","1.0","0.0","101","287.0","1873.0","a","1.0","4.5"
"0.0","8.0","-3.0","1.0","0.0","101","282.0","2074.0","l","0.0","2.5"
"4.0","14.0","0.0","1.0","0.0","102","279.0","1787.0","a","1.0","3.0"
"0.0","16.0","-2.0","1.0","0.0","101","279.0","1466.0","a","1.0","7.0"
"0.0","8.0","-6.0","1.0","0.0","101","277.0","1338.0","a","1.0","1.0"
"0.0","11.0","-5.0","1.0","1.0","101","271.0","1987.0","a","1.0","3.0"
"0.0","11.0","-2.0","1.0","1.0","101","282.0","1730.0","a","1.0","4.5"
"0.0","10.0","-8.0","1.0","1.0","101","293.0","1248.0","a","1.0","1.0"
"0.0","8.0","-4.0","1.0","0.0","101","303.0","1225.0","l","0.0","2.0"
"5.0","14.0","0.0","1.0","1.0","102","299.0","1154.0","a","1.0","2.0"
"0.0","12.0","-5.0","1.0","1.0","101","313.0","875.0","l","0.0","3.5"
"0.0","9.0","-6.0","1.0","1.0","101","325.0","1161.0","a","1.0","1.5"
"0.0","10.0","-4.0","1.0","1.0","101","334.0","1266.0","a","1.0","3.0"
"7.0","10.0","0.0","0.0","0.0","102","344.0","2203.0","a","0.0","-2.0"
"5.0","6.0","0.0","1.0","1.0","102","351.0","1657.0","l","0.0","-2.0"
"0.0","14.0","-6.0","1.0","0.0","101","357.0","1345.0","l","0.0","4.0"
"0.0","12.0","-10.0","1.0","0.0","101","351.0","1050.0","a","1.0","1.0"
"0.0","8.0","-4.0","0.0","0.0","101","341.0","1872.0","l","1.0","2.0"
"0.0","14.0","-2.0","1.0","0.0","101","341.0","2082.0","l","0.0","6.0"
"5.0","10.0","0.0","1.0","0.0","102","339.0","2500.0","l","0.0","0.0"
"6.0","10.0","0.0","1.0","1.0","102","339.0","1968.0","l","0.0","-1.0"
"0.0","12.0","-2.0","1.0","1.0","101","349.0","1178.0","a","1.0","5.0"
"0.0","11.0","-2.0","1.0","1.0","101","361.0","1626.0","l","0.0","4.5"
"0.0","9.0","-3.0","1.0","1.0","101","372.0","1400.0","a","1.0","3.0"
"0.0","14.0","-2.0","1.0","0.0","101","381.0","1521.0","a","1.0","6.0"
"0.0","16.0","-3.0","1.0","0.0","101","379.0","1768.0","l","0.0","6.5"
"4.0","6.0","0.0","1.0","1.0","102","376.0","2905.0","l","0.0","-1.0"
"0.0","14.0","-3.0","1.0","1.0","101","382.0","1178.0","a","1.0","5.5"
"0.0","16.0","-4.0","1.0","1.0","101","396.0","1936.0","l","0.0","6.0"
"3.0","8.0","0.0","1.0","0.0","102","412.0","1890.0","l","0.0","1.0"
"0.0","14.0","-6.0","1.0","0.0","101","412.0","1907.0","l","0.0","4.0"
"0.0","14.0","-4.0","1.0","1.0","101","406.0","2816.0","l","0.0","5.0"
"0.0","8.0","-5.0","1.0","0.0","101","420.0","1745.0","a","1.0","1.5"
"0.0","16.0","-8.0","1.0","1.0","101","415.0","1699.0","a","1.0","4.0"
"0.0","12.0","-6.0","1.0","1.0","101","431.0","1417.0","a","1.0","3.0"
"0.0","12.0","-3.0","1.0","0.0","101","443.0","1322.0","l","0.0","4.5"
"3.0","10.0","0.0","1.0","1.0","102","440.0","1700.0","a","1.0","2.0"
"5.0","6.0","0.0","0.0","0.0","102","450.0","1931.0","l","1.0","-2.0"
"4.0","10.0","0.0","1.0","0.0","102","455.0","1813.0","l","0.0","1.0"
"6.0","8.0","0.0","0.0","0.0","102","455.0","2489.0","l","1.0","-2.0"
"0.0","12.0","-5.0","1.0","1.0","101","461.0","2315.0","a","1.0","3.5"
"0.0","10.0","-8.0","1.0","1.0","101","473.0","1859.0","a","1.0","1.0"
"0.0","16.0","-10.0","1.0","1.0","101","483.0","2474.0","a","1.0","3.0"
"4.0","8.0","0.0","1.0","0.0","102","499.0","2697.0","l","0.0","0.0"
"6.0","10.0","0.0","1.0","1.0","102","499.0","1698.0","a","1.0","-1.0"
"0.0","12.0","-8.0","1.0","1.0","101","509.0","1931.0","l","0.0","2.0"
"0.0","8.0","-6.0","1.0","0.0","101","521.0","2680.0","a","1.0","1.0"
"3.0","12.0","0.0","1.0","1.0","102","515.0","2282.0","l","0.0","3.0"
"4.0","14.0","0.0","1.0","0.0","102","527.0","1555.0","l","0.0","3.0"
"0.0","16.0","-5.0","1.0","1.0","101","527.0","2592.0","l","0.0","5.5"
"0.0","8.0","-8.0","0.0","0.0","101","543.0","2297.0","l","1.0","0.0"
"4.0","8.0","0.0","1.0","1.0","102","543.0","1715.0","l","0.0","0.0"
"0.0","10.0","-3.0","1.0","0.0","101","551.0","1552.0","a","1.0","3.5"
"0.0","9.0","-5.0","1.0","1.0","101","548.0","1543.0","a","1.0","2.0"
"0.0","9.0","-8.0","0.0","1.0","101","557.0","3137.0","l","1.0","0.5"
"0.0","10.0","-6.0","1.0","0.0","101","557.0","1360.0","a","1.0","2.0"
"0.0","8.0","-10.0","0.0","1.0","101","551.0","1649.0","a","0.0","-1.0"
"0.0","8.0","-8.0","-999.0","1.0","101","551.0","","-999","1.0","0.0"
"0.0","9.0","-2.0","1.0","0.0","101","551.0","1548.0","l","0.0","3.5"
"0.0","11.0","-10.0","0.0","1.0","101","549.0","1538.0","l","1.0","0.5"
"0.0","11.0","-3.0","1.0","1.0","101","549.0","1266.0","a","1.0","4.0"
"0.0","10.0","-2.0","1.0","1.0","101","560.0","1177.0","a","1.0","4.0"
"0.0","11.0","-3.0","1.0","1.0","101","570.0","1274.0","l","0.0","4.0"
"5.0","14.0","0.0","1.0","1.0","102","581.0","1419.0","a","1.0","2.0"
"5.0","12.0","0.0","1.0","1.0","102","595.0","1292.0","a","1.0","1.0"
"7.0","6.0","0.0","0.0","1.0","102","607.0","1791.0","l","1.0","-4.0"
"0.0","8.0","-2.0","1.0","1.0","101","614.0","2419.0","l","0.0","3.0"
"6.0","12.0","0.0","1.0","0.0","102","622.0","1915.0","a","1.0","0.0"
"0.0","14.0","-8.0","1.0","1.0","101","622.0","2115.0","l","0.0","3.0"
"3.0","8.0","0.0","1.0","1.0","102","636.0","1768.0","a","1.0","1.0"
"4.0","6.0","0.0","1.0","1.0","102","644.0","2243.0","l","0.0","-1.0"
"7.0","6.0","0.0","0.0","1.0","102","650.0","1545.0","l","1.0","-4.0"
"0.0","16.0","-8.0","1.0","0.0","101","657.0","2114.0","a","1.0","4.0"
"0.0","16.0","-6.0","1.0","0.0","101","649.0","1484.0","l","0.0","5.0"
"0.0","14.0","-5.0","1.0","1.0","101","643.0","2417.0","l","0.0","4.5"
"0.0","10.0","-2.0","1.0","1.0","101","657.0","1481.0","a","1.0","4.0"
"7.0","8.0","0.0","0.0","1.0","102","667.0","2037.0","l","1.0","-3.0"
"0.0","14.0","-8.0","1.0","1.0","101","674.0","2144.0","l","0.0","3.0"
"0.0","9.0","-10.0","0.0","1.0","101","688.0","2034.0","l","1.0","-0.5"
"5.0","8.0","0.0","1.0","0.0","102","688.0","2227.0","a","1.0","-1.0"
"0.0","8.0","-2.0","1.0","1.0","101","688.0","1559.0","a","1.0","3.0"
"0.0","16.0","-2.0","1.0","0.0","101","696.0","1597.0","a","1.0","7.0"
"0.0","16.0","-5.0","1.0","1.0","101","694.0","1539.0","a","1.0","5.5"
"0.0","10.0","-5.0","1.0","1.0","101","710.0","1202.0","l","0.0","2.5"
"0.0","11.0","-10.0","0.0","1.0","101","720.0","1818.0","a","0.0","0.5"
"0.0","12.0","-10.0","0.0","1.0","101","720.0","2059.0","l","1.0","1.0"
"0.0","12.0","-6.0","1.0","1.0","101","720.0","1680.0","a","1.0","3.0"
"0.0","11.0","-6.0","1.0","1.0","101","732.0","1688.0","a","1.0","2.5"
"0.0","12.0","-2.0","1.0","1.0","101","743.0","1603.0","l","0.0","5.0"
"0.0","16.0","-6.0","1.0","1.0","101","755.0","1508.0","a","1.0","5.0"
"0.0","16.0","-4.0","1.0","0.0","101","771.0","1386.0","l","0.0","6.0"
"0.0","10.0","-10.0","0.0","1.0","101","767.0","1858.0","a","0.0","0.0"
"7.0","12.0","0.0","1.0","0.0","102","767.0","1475.0","a","1.0","-1.0"
"3.0","6.0","0.0","0.0","1.0","102","767.0","2771.0","a","0.0","0.0"
"0.0","12.0","-8.0","1.0","1.0","101","770.0","1947.0","a","1.0","2.0"
"0.0","9.0","-4.0","1.0","0.0","101","782.0","1416.0","a","1.0","2.5"
"0.0","10.0","-10.0","0.0","1.0","101","778.0","1815.0","l","1.0","0.0"
"0.0","12.0","-4.0","1.0","0.0","101","778.0","1811.0","a","1.0","4.0"
"0.0","9.0","-3.0","1.0","1.0","101","774.0","1392.0","l","0.0","3.0"
"0.0","14.0","-3.0","1.0","1.0","101","783.0","1223.0","a","1.0","5.5"
"7.0","10.0","0.0","1.0","1.0","102","797.0","2169.0","a","1.0","-2.0"
"6.0","8.0","0.0","1.0","0.0","102","807.0","1209.0","l","0.0","-2.0"
