"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","15.0","-8.0","0.0","1.0","101","150.0","1459.0","a","0.0","3.5"
"7.0","12.0","0.0","1.0","0.0","102","150.0","1300.0","l","0.0","-1.0"
"0.0","18.0","-3.0","1.0","1.0","101","150.0","1577.0","a","1.0","7.5"
"0.0","18.0","-8.0","0.0","0.0","101","168.0","962.0","a","0.0","5.0"
"5.0","6.0","0.0","0.0","1.0","102","168.0","1391.0","l","1.0","-2.0"
"0.0","20.0","-3.0","1.0","0.0","101","173.0","994.0","l","0.0","8.5"
"4.0","10.0","0.0","1.0","1.0","102","170.0","1077.0","l","0.0","1.0"
"0.0","16.0","-2.0","1.0","0.0","101","180.0","986.0","a","1.0","7.0"
"0.0","16.0","-5.0","0.0","0.0","101","178.0","1805.0","a","0.0","5.5"
"0.0","20.0","-8.0","0.0","1.0","101","178.0","869.0","a","0.0","6.0"
"0.0","15.0","-5.0","1.0","0.0","101","178.0","1033.0","l","0.0","5.0"
"3.0","12.0","0.0","1.0","0.0","102","173.0","1042.0","l","0.0","3.0"
"0.0","14.0","-8.0","0.0","0.0","101","173.0","852.0","a","0.0","3.0"
"6.0","8.0","0.0","1.0","0.0","102","173.0","1006.0","l","0.0","-2.0"
"3.0","14.0","0.0","1.0","0.0","102","173.0","982.0","a","1.0","4.0"
"0.0","15.0","-2.0","1.0","0.0","101","173.0","881.0","a","1.0","6.5"
"0.0","20.0","-3.0","1.0","0.0","101","171.0","1321.0","a","1.0","8.5"
"0.0","15.0","-6.0","0.0","1.0","101","168.0","1600.0","a","0.0","4.5"
"0.0","14.0","-10.0","0.0","1.0","101","168.0","902.0","l","1.0","2.0"
"0.0","20.0","-4.0","1.0","0.0","101","168.0","1178.0","a","1.0","8.0"
"0.0","13.0","-10.0","0.0","0.0","101","164.0","908.0","l","1.0","1.5"
"0.0","16.0","-3.0","1.0","0.0","101","164.0","876.0","l","0.0","6.5"
"6.0","12.0","0.0","1.0","0.0","102","161.0","935.0","a","1.0","0.0"
"3.0","8.0","0.0","1.0","1.0","102","161.0","901.0","l","0.0","1.0"
"0.0","18.0","-10.0","0.0","0.0","101","169.0","860.0","l","1.0","4.0"
"7.0","8.0","0.0","0.0","0.0","102","169.0","850.0","a","0.0","-3.0"
"5.0","14.0","0.0","1.0","1.0","102","176.0","750.0","l","0.0","2.0"
"0.0","13.0","-2.0","1.0","1.0","101","190.0","973.0","l","0.0","5.5"
"0.0","16.0","-8.0","0.0","0.0","101","203.0","910.0","l","1.0","4.0"
"0.0","15.0","-2.0","1.0","0.0","101","203.0","856.0","l","0.0","6.5"
"0.0","18.0","-2.0","1.0","0.0","101","201.0","797.0","l","0.0","8.0"
"6.0","6.0","0.0","0.0","0.0","102","199.0","849.0","l","1.0","-3.0"
"0.0","12.0","-4.0","1.0","1.0","101","205.0","1203.0","a","1.0","4.0"
"0.0","12.0","-10.0","0.0","1.0","101","217.0","821.0","a","0.0","1.0"
"7.0","6.0","0.0","0.0","0.0","102","217.0","981.0","a","0.0","-4.0"
"3.0","10.0","0.0","1.0","1.0","102","224.0","949.0","l","0.0","2.0"
"7.0","10.0","0.0","0.0","0.0","102","234.0","1212.0","a","0.0","-2.0"
"6.0","14.0","0.0","1.0","1.0","102","241.0","852.0","a","1.0","1.0"
"0.0","20.0","-6.0","0.0","1.0","101","255.0","775.0","l","1.0","7.0"
"0.0","13.0","-10.0","0.0","1.0","101","255.0","1116.0","l","1.0","1.5"
"6.0","10.0","0.0","1.0","0.0","102","255.0","1080.0","l","0.0","-1.0"
"0.0","12.0","-4.0","0.0","1.0","101","255.0","812.0","l","1.0","4.0"
"0.0","14.0","-8.0","0.0","1.0","101","255.0","1035.0","l","1.0","3.0"
"7.0","6.0","0.0","0.0","1.0","102","255.0","923.0","a","0.0","-4.0"
"0.0","20.0","-2.0","1.0","1.0","101","262.0","838.0","l","0.0","9.0"
"0.0","20.0","-8.0","0.0","0.0","101","282.0","1018.0","a","0.0","6.0"
"3.0","6.0","0.0","0.0","0.0","102","282.0","994.0","a","0.0","0.0"
"6.0","10.0","0.0","0.0","1.0","102","285.0","1132.0","l","1.0","-1.0"
"3.0","14.0","0.0","1.0","0.0","102","291.0","931.0","a","1.0","4.0"
"6.0","8.0","0.0","0.0","1.0","102","291.0","1315.0","a","0.0","-2.0"
"5.0","14.0","0.0","1.0","1.0","102","297.0","1109.0","l","0.0","2.0"
"0.0","20.0","-5.0","1.0","0.0","101","311.0","1443.0","a","1.0","7.5"
"0.0","12.0","-2.0","1.0","1.0","101","306.0","813.0","l","0.0","5.0"
"0.0","14.0","-3.0","1.0","1.0","101","318.0","976.0","a","1.0","5.5"
"0.0","20.0","-2.0","1.0","1.0","101","332.0","890.0","l","0.0","9.0"
"0.0","20.0","-4.0","1.0","0.0","101","352.0","829.0","l","0.0","8.0"
"4.0","6.0","0.0","0.0","1.0","102","348.0","1170.0","l","1.0","-1.0"
"0.0","13.0","-5.0","1.0","1.0","101","352.0","905.0","l","0.0","4.0"
