"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","11.0","-2.0","1.0","1.0","101","150.0","2064.0","l","0.0","4.5"
"0.0","8.0","-5.0","0.0","0.0","101","161.0","1645.0","l","1.0","1.5"
"0.0","12.0","-8.0","1.0","1.0","101","161.0","557.0","a","1.0","2.0"
"0.0","11.0","-3.0","1.0","0.0","101","173.0","893.0","l","0.0","4.0"
"0.0","10.0","-4.0","1.0","0.0","101","170.0","925.0","l","0.0","3.0"
"0.0","12.0","-8.0","0.0","0.0","101","166.0","926.0","a","0.0","2.0"
"0.0","10.0","-10.0","1.0","0.0","101","166.0","718.0","a","1.0","0.0"
"0.0","12.0","-4.0","1.0","1.0","101","156.0","892.0","a","1.0","4.0"
"0.0","9.0","-3.0","1.0","0.0","101","168.0","1069.0","l","0.0","3.0"
"0.0","14.0","-3.0","1.0","1.0","101","165.0","820.0","l","0.0","5.5"
"0.0","14.0","-8.0","0.0","1.0","101","179.0","1021.0","a","0.0","3.0"
"0.0","14.0","-6.0","1.0","0.0","101","179.0","798.0","a","1.0","4.0"
"3.0","8.0","0.0","1.0","1.0","102","173.0","798.0","a","1.0","1.0"
"0.0","10.0","-6.0","1.0","0.0","101","181.0","1035.0","a","1.0","2.0"
"5.0","10.0","0.0","0.0","1.0","102","175.0","1560.0","a","0.0","0.0"
"7.0","12.0","0.0","1.0","1.0","102","180.0","1135.0","l","0.0","-1.0"
"5.0","6.0","0.0","1.0","0.0","102","192.0","1309.0","a","1.0","-2.0"
"0.0","16.0","-8.0","1.0","1.0","101","192.0","1246.0","a","1.0","4.0"
"0.0","8.0","-6.0","0.0","0.0","101","208.0","1038.0","a","0.0","1.0"
"6.0","10.0","0.0","1.0","1.0","102","208.0","894.0","a","1.0","-1.0"
"0.0","11.0","-8.0","0.0","1.0","101","218.0","1389.0","l","1.0","1.5"
"0.0","9.0","-10.0","0.0","1.0","101","218.0","919.0","a","0.0","-0.5"
"0.0","14.0","-2.0","1.0","0.0","101","218.0","958.0","a","1.0","6.0"
"3.0","12.0","0.0","1.0","1.0","102","216.0","862.0","l","0.0","3.0"
"0.0","11.0","-6.0","1.0","1.0","101","228.0","1272.0","l","0.0","2.5"
"4.0","8.0","0.0","0.0","0.0","102","239.0","1445.0","l","1.0","0.0"
"0.0","9.0","-4.0","1.0","0.0","101","243.0","895.0","a","1.0","2.5"
"0.0","16.0","-6.0","1.0","0.0","101","239.0","925.0","l","0.0","5.0"
"7.0","8.0","0.0","1.0","1.0","102","233.0","1278.0","a","1.0","-3.0"
"0.0","12.0","-2.0","1.0","1.0","101","241.0","1150.0","a","1.0","5.0"
"0.0","14.0","-10.0","1.0","0.0","101","253.0","1710.0","l","0.0","2.0"
"6.0","14.0","0.0","1.0","0.0","102","243.0","499.0","a","1.0","1.0"
"0.0","10.0","-5.0","1.0","0.0","101","243.0","799.0","l","0.0","2.5"
"0.0","8.0","-10.0","1.0","0.0","101","238.0","1198.0","a","1.0","-1.0"
"0.0","16.0","-2.0","1.0","0.0","101","228.0","462.0","a","1.0","7.0"
"7.0","6.0","0.0","0.0","0.0","102","226.0","1278.0","a","0.0","-4.0"
"0.0","8.0","-8.0","1.0","0.0","101","233.0","942.0","a","1.0","0.0"
"0.0","9.0","-5.0","1.0","1.0","101","225.0","461.0","l","0.0","2.0"
"4.0","10.0","0.0","1.0","0.0","102","234.0","1326.0","a","1.0","1.0"
"0.0","16.0","-2.0","1.0","0.0","101","234.0","937.0","l","0.0","7.0"
"0.0","16.0","-4.0","1.0","1.0","101","232.0","466.0","a","1.0","6.0"
"0.0","11.0","-5.0","0.0","0.0","101","248.0","1086.0","l","1.0","3.0"
"0.0","9.0","-6.0","1.0","1.0","101","248.0","990.0","l","0.0","1.5"
"0.0","9.0","-3.0","1.0","0.0","101","257.0","797.0","a","1.0","3.0"
"0.0","10.0","-3.0","1.0","0.0","101","254.0","763.0","l","0.0","3.5"
"4.0","14.0","0.0","1.0","0.0","102","251.0","1055.0","a","1.0","3.0"
"0.0","8.0","-3.0","1.0","0.0","101","251.0","618.0","a","1.0","2.5"
"4.0","8.0","0.0","1.0","0.0","102","248.0","798.0","l","0.0","0.0"
"0.0","11.0","-10.0","1.0","0.0","101","248.0","596.0","l","0.0","0.5"
"5.0","14.0","0.0","1.0","0.0","102","238.0","477.0","a","1.0","2.0"
"0.0","9.0","-5.0","1.0","1.0","101","238.0","1167.0","l","0.0","2.0"
"0.0","14.0","-2.0","1.0","0.0","101","247.0","813.0","l","0.0","6.0"
"0.0","9.0","-8.0","1.0","0.0","101","245.0","718.0","a","1.0","0.5"
"0.0","10.0","-8.0","1.0","1.0","101","237.0","445.0","a","1.0","1.0"
"3.0","14.0","0.0","1.0","1.0","102","247.0","766.0","l","0.0","4.0"
"0.0","11.0","-5.0","0.0","0.0","101","261.0","847.0","a","0.0","3.0"
"3.0","12.0","0.0","1.0","0.0","102","261.0","1054.0","a","1.0","3.0"
"0.0","9.0","-4.0","1.0","0.0","101","261.0","774.0","a","1.0","2.5"
"7.0","14.0","0.0","1.0","1.0","102","257.0","541.0","a","1.0","0.0"
"0.0","10.0","-4.0","1.0","1.0","101","271.0","1244.0","a","1.0","3.0"
"7.0","10.0","0.0","1.0","0.0","102","281.0","750.0","a","1.0","-2.0"
"0.0","9.0","-6.0","0.0","0.0","101","281.0","670.0","l","1.0","1.5"
"7.0","14.0","0.0","1.0","1.0","102","281.0","674.0","l","0.0","0.0"
