"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","13.0","-6.0","0.0","1.0","101","150.0","2092.0","l","1.0","3.5"
"7.0","14.0","0.0","0.0","1.0","102","150.0","1154.0","a","0.0","0.0"
"4.0","14.0","0.0","1.0","1.0","102","157.0","1042.0","l","0.0","3.0"
"3.0","12.0","0.0","1.0","1.0","102","171.0","845.0","a","1.0","3.0"
"7.0","16.0","0.0","1.0","1.0","102","183.0","826.0","a","1.0","1.0"
"7.0","12.0","0.0","0.0","1.0","102","199.0","1027.0","a","0.0","-1.0"
"0.0","18.0","-3.0","1.0","1.0","101","206.0","1107.0","l","0.0","7.5"
"0.0","14.0","-5.0","1.0","1.0","101","224.0","625.0","a","1.0","4.5"
"0.0","16.0","-2.0","1.0","1.0","101","238.0","893.0","a","1.0","7.0"
"0.0","13.0","-2.0","1.0","0.0","101","254.0","912.0","l","0.0","5.5"
"4.0","12.0","0.0","1.0","1.0","102","252.0","757.0","a","1.0","2.0"
"0.0","12.0","-2.0","1.0","0.0","101","264.0","927.0","a","1.0","5.0"
"0.0","11.0","-3.0","1.0","0.0","101","262.0","883.0","l","0.0","4.0"
"0.0","10.0","-2.0","1.0","1.0","101","259.0","1172.0","l","0.0","4.0"
"0.0","13.0","-6.0","0.0","1.0","101","269.0","1252.0","a","0.0","3.5"
"3.0","10.0","0.0","1.0","0.0","102","269.0","1051.0","l","0.0","2.0"
"7.0","18.0","0.0","1.0","0.0","102","269.0","1450.0","a","1.0","2.0"
"0.0","11.0","-4.0","0.0","0.0","101","269.0","1339.0","l","1.0","3.5"
"0.0","13.0","-10.0","0.0","1.0","101","269.0","946.0","l","1.0","1.5"
"0.0","16.0","-8.0","0.0","0.0","101","269.0","1075.0","l","1.0","4.0"
"0.0","18.0","-5.0","1.0","1.0","101","269.0","1395.0","l","0.0","6.5"
"0.0","11.0","-6.0","0.0","1.0","101","287.0","1276.0","a","0.0","2.5"
"0.0","18.0","-8.0","1.0","0.0","101","287.0","899.0","a","1.0","5.0"
"0.0","11.0","-4.0","1.0","1.0","101","279.0","1506.0","a","1.0","3.5"
"7.0","12.0","0.0","0.0","0.0","102","290.0","1363.0","l","1.0","-1.0"
"0.0","10.0","-4.0","1.0","1.0","101","297.0","1654.0","a","1.0","3.0"
"5.0","14.0","0.0","1.0","1.0","102","307.0","1218.0","a","1.0","2.0"
"6.0","14.0","0.0","1.0","0.0","102","321.0","740.0","a","1.0","1.0"
"0.0","18.0","-10.0","0.0","0.0","101","321.0","1241.0","a","0.0","4.0"
"0.0","12.0","-10.0","0.0","0.0","101","321.0","1174.0","a","0.0","1.0"
"6.0","12.0","0.0","0.0","0.0","102","321.0","1249.0","a","0.0","0.0"
"5.0","16.0","0.0","0.0","0.0","102","327.0","1123.0","a","0.0","3.0"
"0.0","10.0","-2.0","1.0","0.0","101","332.0","1197.0","l","0.0","4.0"
"6.0","18.0","0.0","1.0","1.0","102","330.0","1807.0","l","0.0","3.0"
"0.0","10.0","-8.0","0.0","0.0","101","348.0","1073.0","a","0.0","1.0"
"7.0","14.0","0.0","1.0","0.0","102","348.0","892.0","a","1.0","0.0"
"3.0","16.0","0.0","1.0","1.0","102","348.0","1259.0","l","0.0","5.0"
"0.0","14.0","-10.0","0.0","0.0","101","364.0","1075.0","a","0.0","2.0"
"0.0","11.0","-2.0","1.0","1.0","101","364.0","1247.0","l","0.0","4.5"
"0.0","14.0","-5.0","1.0","0.0","101","375.0","1347.0","a","1.0","4.5"
"0.0","12.0","-2.0","1.0","1.0","101","370.0","859.0","a","1.0","5.0"
"5.0","18.0","0.0","1.0","1.0","102","382.0","1233.0","l","0.0","4.0"
"0.0","14.0","-4.0","0.0","1.0","101","400.0","984.0","a","0.0","5.0"
"0.0","14.0","-4.0","1.0","0.0","101","400.0","1339.0","l","0.0","5.0"
"0.0","12.0","-4.0","1.0","0.0","101","396.0","1293.0","a","1.0","4.0"
"0.0","12.0","-3.0","1.0","1.0","101","392.0","1363.0","l","0.0","4.5"
"4.0","10.0","0.0","0.0","0.0","102","404.0","1651.0","a","0.0","1.0"
"0.0","16.0","-3.0","1.0","0.0","101","408.0","1020.0","l","0.0","6.5"
"0.0","14.0","-6.0","0.0","0.0","101","405.0","1708.0","a","0.0","4.0"
"0.0","11.0","-2.0","1.0","0.0","101","405.0","875.0","l","0.0","4.5"
"0.0","10.0","-6.0","0.0","1.0","101","403.0","1395.0","l","1.0","2.0"
"5.0","18.0","0.0","1.0","0.0","102","403.0","811.0","a","1.0","4.0"
"0.0","10.0","-6.0","0.0","0.0","101","403.0","1210.0","l","1.0","2.0"
"0.0","11.0","-5.0","0.0","1.0","101","403.0","1341.0","a","0.0","3.0"
"4.0","18.0","0.0","1.0","0.0","102","403.0","1188.0","l","0.0","5.0"
"0.0","16.0","-4.0","1.0","1.0","101","403.0","1091.0","l","0.0","6.0"
"0.0","14.0","-6.0","0.0","0.0","101","419.0","1731.0","a","0.0","4.0"
"0.0","13.0","-10.0","0.0","1.0","101","419.0","1262.0","a","0.0","1.5"
"0.0","11.0","-10.0","0.0","1.0","101","419.0","1179.0","a","0.0","0.5"
"0.0","11.0","-8.0","0.0","1.0","101","419.0","1091.0","a","0.0","1.5"
"0.0","16.0","-6.0","1.0","1.0","101","419.0","1395.0","a","1.0","5.0"
"0.0","13.0","-8.0","0.0","0.0","101","435.0","1261.0","a","0.0","2.5"
"0.0","16.0","-8.0","1.0","1.0","101","435.0","1321.0","l","0.0","4.0"
"0.0","14.0","-2.0","1.0","1.0","101","451.0","984.0","l","0.0","6.0"
"7.0","10.0","0.0","0.0","1.0","102","465.0","1028.0","a","0.0","-2.0"
"0.0","10.0","-10.0","0.0","1.0","101","472.0","853.0","a","0.0","0.0"
"3.0","18.0","0.0","1.0","0.0","102","472.0","1099.0","a","1.0","6.0"
"0.0","10.0","-3.0","0.0","1.0","101","472.0","1515.0","l","1.0","3.5"
"0.0","16.0","-3.0","1.0","1.0","101","472.0","1005.0","a","1.0","6.5"
"0.0","13.0","-2.0","1.0","1.0","101","488.0","963.0","a","1.0","5.5"
"0.0","13.0","-3.0","1.0","0.0","101","501.0","923.0","a","1.0","5.0"
"0.0","11.0","-8.0","0.0","1.0","101","498.0","946.0","a","0.0","1.5"
"0.0","16.0","-5.0","1.0","0.0","101","498.0","921.0","a","1.0","5.5"
"6.0","12.0","0.0","0.0","1.0","102","493.0","1373.0","a","0.0","0.0"
"3.0","18.0","0.0","1.0","0.0","102","499.0","861.0","l","0.0","6.0"
"0.0","14.0","-2.0","1.0","1.0","101","499.0","939.0","a","1.0","6.0"
"0.0","10.0","-4.0","1.0","0.0","101","513.0","1033.0","l","0.0","3.0"
"0.0","12.0","-8.0","0.0","0.0","101","509.0","1029.0","a","0.0","2.0"
"4.0","16.0","0.0","1.0","1.0","102","509.0","868.0","l","0.0","4.0"
"4.0","18.0","0.0","1.0","0.0","102","525.0","870.0","l","0.0","5.0"
"0.0","14.0","-8.0","0.0","0.0","101","525.0","1791.0","l","1.0","3.0"
"0.0","16.0","-5.0","1.0","0.0","101","525.0","1792.0","l","0.0","5.5"
"5.0","10.0","0.0","0.0","1.0","102","520.0","1184.0","a","0.0","0.0"
"5.0","14.0","0.0","1.0","0.0","102","525.0","1107.0","l","0.0","2.0"
"5.0","12.0","0.0","1.0","1.0","102","525.0","1085.0","a","1.0","1.0"
"0.0","14.0","-8.0","0.0","0.0","101","537.0","1458.0","a","0.0","3.0"
"5.0","10.0","0.0","0.0","1.0","102","537.0","901.0","a","0.0","0.0"
"0.0","13.0","-5.0","1.0","0.0","101","542.0","1365.0","a","1.0","4.0"
"0.0","18.0","-5.0","1.0","1.0","101","537.0","954.0","a","1.0","6.5"
"7.0","16.0","0.0","1.0","1.0","102","555.0","974.0","l","0.0","1.0"
"3.0","16.0","0.0","1.0","0.0","102","571.0","938.0","l","0.0","5.0"
"0.0","12.0","-10.0","0.0","0.0","101","571.0","960.0","l","1.0","1.0"
"0.0","12.0","-5.0","1.0","1.0","101","571.0","1414.0","a","1.0","3.5"
"0.0","12.0","-6.0","0.0","0.0","101","583.0","1869.0","a","0.0","3.0"
"7.0","10.0","0.0","1.0","0.0","102","583.0","770.0","a","1.0","-2.0"
"5.0","12.0","0.0","1.0","1.0","102","583.0","1067.0","l","0.0","1.0"
"6.0","18.0","0.0","0.0","1.0","102","595.0","1126.0","a","0.0","3.0"
"4.0","16.0","0.0","1.0","0.0","102","601.0","1454.0","l","0.0","4.0"
"0.0","16.0","-2.0","1.0","0.0","101","601.0","978.0","l","0.0","7.0"
"7.0","18.0","0.0","1.0","1.0","102","599.0","601.0","a","1.0","2.0"
"0.0","18.0","-2.0","1.0","0.0","101","617.0","920.0","a","1.0","8.0"
"0.0","13.0","-4.0","1.0","0.0","101","615.0","993.0","a","1.0","4.5"
"6.0","16.0","0.0","1.0","1.0","102","611.0","643.0","a","1.0","2.0"
"0.0","12.0","-4.0","1.0","1.0","101","627.0","1324.0","a","1.0","4.0"
"0.0","16.0","-4.0","1.0","0.0","101","639.0","948.0","l","0.0","6.0"
"0.0","11.0","-5.0","1.0","1.0","101","635.0","1083.0","a","1.0","3.0"
"0.0","11.0","-10.0","0.0","0.0","101","646.0","850.0","l","1.0","0.5"
"0.0","13.0","-8.0","1.0","0.0","101","646.0","1468.0","l","0.0","2.5"
"0.0","16.0","-10.0","0.0","1.0","101","638.0","1030.0","a","0.0","3.0"
