"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","12.0","-4.0","1.0","1.0","101","150.0","2007.0","l","0.0","4.0"
"3.0","12.0","0.0","1.0","1.0","102","162.0","1051.0","a","1.0","3.0"
"0.0","14.0","-6.0","1.0","0.0","101","174.0","2523.0","a","1.0","4.0"
"0.0","12.0","-3.0","1.0","1.0","101","168.0","1279.0","a","1.0","4.5"
"4.0","12.0","0.0","1.0","0.0","102","180.0","1124.0","l","0.0","2.0"
"0.0","12.0","-4.0","1.0","0.0","101","180.0","1102.0","l","0.0","4.0"
"0.0","14.0","-4.0","0.0","1.0","101","176.0","1226.0","l","1.0","5.0"
"7.0","16.0","0.0","0.0","1.0","102","176.0","1393.0","l","1.0","1.0"
"0.0","16.0","-5.0","1.0","1.0","101","183.0","1592.0","a","1.0","5.5"
"0.0","14.0","-10.0","1.0","0.0","101","199.0","1186.0","a","1.0","2.0"
"0.0","16.0","-3.0","1.0","0.0","101","189.0","943.0","l","0.0","6.5"
"7.0","10.0","0.0","0.0","0.0","102","186.0","643.0","a","0.0","-2.0"
"0.0","15.0","-6.0","0.0","0.0","101","193.0","1414.0","l","1.0","4.5"
"4.0","10.0","0.0","1.0","1.0","102","193.0","1369.0","l","0.0","1.0"
"0.0","18.0","-10.0","0.0","0.0","101","203.0","1550.0","a","0.0","4.0"
"0.0","16.0","-6.0","0.0","1.0","101","203.0","1420.0","a","0.0","5.0"
"4.0","14.0","0.0","0.0","0.0","102","203.0","1559.0","l","1.0","3.0"
"5.0","12.0","0.0","0.0","1.0","102","207.0","1052.0","l","1.0","1.0"
"0.0","16.0","-10.0","0.0","1.0","101","212.0","1050.0","a","0.0","3.0"
"0.0","15.0","-4.0","1.0","0.0","101","212.0","1051.0","l","0.0","5.5"
"0.0","14.0","-8.0","0.0","0.0","101","208.0","1318.0","a","0.0","3.0"
"0.0","20.0","-6.0","1.0","1.0","101","208.0","2665.0","a","1.0","7.0"
"4.0","14.0","0.0","0.0","1.0","102","228.0","986.0","a","0.0","3.0"
"0.0","15.0","-8.0","0.0","0.0","101","232.0","1256.0","l","1.0","3.5"
