"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"3.0","16.0","0.0","1.0","1.0","102","150.0","1819.0","l","0.0","5.0"
"0.0","10.0","-6.0","0.0","0.0","101","166.0","1178.0","l","1.0","2.0"
"0.0","10.0","-4.0","1.0","1.0","101","166.0","1027.0","l","0.0","3.0"
"6.0","10.0","0.0","1.0","0.0","102","176.0","1136.0","l","0.0","-1.0"
"0.0","12.0","-6.0","1.0","0.0","101","176.0","926.0","a","1.0","3.0"
"0.0","16.0","-5.0","1.0","0.0","101","170.0","1098.0","l","0.0","5.5"
"0.0","14.0","-4.0","1.0","0.0","101","165.0","758.0","a","1.0","5.0"
"7.0","16.0","0.0","1.0","1.0","102","161.0","768.0","l","0.0","1.0"
"0.0","18.0","-2.0","1.0","1.0","101","177.0","954.0","l","0.0","8.0"
"0.0","16.0","-4.0","1.0","0.0","101","195.0","1003.0","a","1.0","6.0"
"5.0","8.0","0.0","0.0","1.0","102","191.0","1720.0","l","1.0","-1.0"
"0.0","18.0","-6.0","1.0","0.0","101","196.0","907.0","l","0.0","6.0"
"0.0","18.0","-10.0","0.0","0.0","101","190.0","1170.0","a","0.0","4.0"
"3.0","8.0","0.0","1.0","1.0","102","190.0","914.0","l","0.0","1.0"
"0.0","14.0","-4.0","0.0","0.0","101","198.0","1009.0","a","0.0","5.0"
"0.0","12.0","-10.0","0.0","1.0","101","198.0","898.0","a","0.0","1.0"
"7.0","10.0","0.0","1.0","0.0","102","198.0","661.0","l","0.0","-2.0"
"0.0","13.0","-10.0","0.0","0.0","101","198.0","1161.0","a","0.0","1.5"
"0.0","10.0","-2.0","1.0","0.0","101","198.0","715.0","a","1.0","4.0"
"0.0","11.0","-10.0","0.0","1.0","101","196.0","1342.0","l","1.0","0.5"
"6.0","8.0","0.0","1.0","0.0","102","196.0","607.0","a","1.0","-2.0"
"0.0","13.0","-5.0","0.0","0.0","101","196.0","801.0","l","1.0","4.0"
"3.0","16.0","0.0","1.0","1.0","102","196.0","1066.0","l","0.0","5.0"
"0.0","10.0","-10.0","0.0","1.0","101","212.0","1090.0","a","0.0","0.0"
"3.0","10.0","0.0","1.0","0.0","102","212.0","1015.0","l","0.0","2.0"
"4.0","10.0","0.0","1.0","0.0","102","212.0","891.0","a","1.0","1.0"
"0.0","18.0","-3.0","1.0","0.0","101","212.0","985.0","l","0.0","7.5"
"0.0","12.0","-8.0","0.0","1.0","101","209.0","1172.0","l","1.0","2.0"
