"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","11.0","-6.0","1.0","0.0","101","150.0","1801.0","a","1.0","2.5"
"0.0","9.0","-8.0","1.0","0.0","101","144.0","795.0","a","1.0","0.5"
"0.0","9.0","-2.0","0.0","1.0","101","136.0","179.0","l","1.0","3.5"
"3.0","14.0","0.0","1.0","1.0","102","136.0","1389.0","l","0.0","4.0"
"6.0","20.0","0.0","1.0","1.0","102","150.0","712.0","a","1.0","4.0"
"0.0","9.0","-10.0","1.0","0.0","101","170.0","2667.0","a","1.0","-0.5"
"3.0","16.0","0.0","1.0","1.0","102","160.0","649.0","l","0.0","5.0"
"6.0","16.0","0.0","1.0","0.0","102","176.0","838.0","a","1.0","2.0"
"0.0","11.0","-10.0","1.0","1.0","101","176.0","2207.0","l","0.0","0.5"
"7.0","16.0","0.0","1.0","0.0","102","187.0","728.0","a","1.0","1.0"
"7.0","12.0","0.0","0.0","0.0","102","187.0","1470.0","l","1.0","-1.0"
"6.0","20.0","0.0","1.0","0.0","102","194.0","1688.0","l","0.0","4.0"
"0.0","11.0","-10.0","1.0","1.0","101","194.0","1870.0","a","1.0","0.5"
"0.0","10.0","-3.0","1.0","1.0","101","205.0","1402.0","l","0.0","3.5"
"7.0","16.0","0.0","1.0","1.0","102","215.0","1461.0","a","1.0","1.0"
"5.0","12.0","0.0","1.0","1.0","102","231.0","1567.0","l","0.0","1.0"
"5.0","12.0","0.0","1.0","0.0","102","243.0","1590.0","l","0.0","1.0"
"0.0","9.0","-5.0","1.0","0.0","101","243.0","2017.0","l","0.0","2.0"
"0.0","17.0","-8.0","1.0","0.0","101","238.0","905.0","a","1.0","4.5"
"0.0","13.0","-4.0","1.0","0.0","101","230.0","1194.0","a","1.0","4.5"
"0.0","9.0","-10.0","1.0","1.0","101","226.0","2250.0","a","1.0","-0.5"
"0.0","11.0","-5.0","1.0","0.0","101","235.0","1058.0","l","0.0","3.0"
"0.0","17.0","-10.0","1.0","0.0","101","230.0","610.0","a","1.0","3.5"
"0.0","17.0","-8.0","1.0","1.0","101","220.0","923.0","a","1.0","4.5"
"0.0","13.0","-8.0","1.0","1.0","101","237.0","961.0","l","0.0","2.5"
"0.0","13.0","-2.0","1.0","1.0","101","250.0","946.0","a","1.0","5.5"
"0.0","11.0","-2.0","1.0","0.0","101","263.0","866.0","l","0.0","4.5"
"0.0","9.0","-3.0","1.0","0.0","101","261.0","605.0","a","1.0","3.0"
"0.0","12.0","-2.0","1.0","1.0","101","258.0","668.0","l","0.0","5.0"
"5.0","20.0","0.0","1.0","1.0","102","270.0","1411.0","l","0.0","5.0"
"0.0","15.0","-3.0","1.0","1.0","101","290.0","836.0","a","1.0","6.0"
"0.0","15.0","-10.0","1.0","0.0","101","305.0","1492.0","l","0.0","2.5"
"6.0","18.0","0.0","1.0","1.0","102","295.0","786.0","a","1.0","3.0"
"0.0","17.0","-6.0","1.0","1.0","101","313.0","989.0","a","1.0","5.5"
"0.0","17.0","-2.0","1.0","1.0","101","330.0","810.0","l","0.0","7.5"
"4.0","16.0","0.0","1.0","0.0","102","347.0","746.0","a","1.0","4.0"
"0.0","13.0","-2.0","1.0","0.0","101","347.0","905.0","a","1.0","5.5"
"4.0","20.0","0.0","1.0","0.0","102","345.0","799.0","l","0.0","6.0"
"3.0","14.0","0.0","1.0","1.0","102","345.0","1961.0","l","0.0","4.0"
"0.0","9.0","-4.0","1.0","0.0","101","359.0","1885.0","l","0.0","2.5"
"0.0","9.0","-6.0","1.0","0.0","101","355.0","3071.0","a","1.0","1.5"
"0.0","11.0","-2.0","1.0","1.0","101","349.0","914.0","a","1.0","4.5"
"0.0","10.0","-6.0","1.0","1.0","101","360.0","1129.0","l","0.0","2.0"
"7.0","18.0","0.0","1.0","0.0","102","370.0","1010.0","a","1.0","2.0"
"3.0","20.0","0.0","1.0","1.0","102","370.0","1210.0","l","0.0","7.0"
"0.0","15.0","-3.0","1.0","1.0","101","390.0","1296.0","l","0.0","6.0"
"0.0","15.0","-4.0","1.0","1.0","101","405.0","1553.0","l","0.0","5.5"
"0.0","17.0","-10.0","1.0","1.0","101","420.0","2213.0","a","1.0","3.5"
"4.0","18.0","0.0","1.0","0.0","102","437.0","1145.0","a","1.0","5.0"
"0.0","13.0","-10.0","1.0","0.0","101","437.0","677.0","l","0.0","1.5"
"0.0","10.0","-2.0","1.0","1.0","101","427.0","2641.0","l","0.0","4.0"
"0.0","12.0","-6.0","1.0","0.0","101","437.0","937.0","l","0.0","3.0"
"0.0","12.0","-2.0","1.0","0.0","101","431.0","820.0","l","0.0","5.0"
"0.0","9.0","-2.0","1.0","1.0","101","429.0","1049.0","l","0.0","3.5"
"0.0","11.0","-4.0","1.0","1.0","101","438.0","1175.0","a","1.0","3.5"
"5.0","16.0","0.0","1.0","1.0","102","449.0","1201.0","a","1.0","3.0"
"5.0","18.0","0.0","1.0","1.0","102","465.0","2157.0","l","0.0","4.0"
"0.0","17.0","-3.0","1.0","1.0","101","483.0","1673.0","a","1.0","7.0"
"0.0","12.0","-4.0","1.0","0.0","101","500.0","1552.0","a","1.0","4.0"
"5.0","18.0","0.0","1.0","1.0","102","496.0","980.0","a","1.0","4.0"
"0.0","15.0","-8.0","1.0","0.0","101","514.0","1577.0","l","0.0","3.5"
"0.0","12.0","-3.0","1.0","1.0","101","506.0","1315.0","l","0.0","4.5"
"0.0","13.0","-5.0","1.0","1.0","101","518.0","1292.0","l","0.0","4.0"
"0.0","9.0","-8.0","1.0","1.0","101","531.0","3964.0","a","1.0","0.5"
"0.0","17.0","-2.0","1.0","0.0","101","540.0","1388.0","a","1.0","7.5"
"0.0","13.0","-4.0","1.0","1.0","101","538.0","1032.0","l","0.0","4.5"
"0.0","11.0","-8.0","1.0","1.0","101","551.0","1437.0","a","1.0","1.5"
"7.0","12.0","0.0","1.0","1.0","102","562.0","1178.0","l","0.0","-1.0"
"6.0","12.0","0.0","1.0","1.0","102","574.0","1395.0","a","1.0","0.0"
"3.0","12.0","0.0","1.0","0.0","102","586.0","1095.0","l","0.0","3.0"
"0.0","11.0","-3.0","1.0","1.0","101","586.0","1222.0","a","1.0","4.0"
"6.0","14.0","0.0","1.0","0.0","102","597.0","1544.0","a","1.0","1.0"
"0.0","12.0","-5.0","1.0","1.0","101","597.0","725.0","l","0.0","3.5"
"0.0","12.0","-8.0","0.0","1.0","101","609.0","2987.0","a","0.0","2.0"
