"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","15.0","-3.0","1.0","1.0","101","150.0","1711.0","l","0.0","6.0"
"3.0","6.0","0.0","1.0","1.0","102","165.0","838.0","l","0.0","0.0"
"3.0","14.0","0.0","1.0","1.0","102","171.0","598.0","l","0.0","4.0"
"6.0","12.0","0.0","1.0","1.0","102","185.0","628.0","a","1.0","0.0"
"0.0","12.0","-3.0","1.0","1.0","101","197.0","1171.0","l","0.0","4.5"
"0.0","13.0","-10.0","0.0","0.0","101","209.0","1680.0","l","1.0","1.5"
"6.0","10.0","0.0","1.0","0.0","102","209.0","750.0","a","1.0","-1.0"
"0.0","11.0","-4.0","1.0","1.0","101","209.0","963.0","a","1.0","3.5"
"0.0","10.0","-8.0","0.0","0.0","101","220.0","1079.0","a","0.0","1.0"
"0.0","12.0","-5.0","1.0","0.0","101","220.0","1436.0","l","0.0","3.5"
"0.0","11.0","-10.0","0.0","1.0","101","215.0","1264.0","l","1.0","0.5"
"0.0","11.0","-6.0","1.0","0.0","101","215.0","2308.0","a","1.0","2.5"
"0.0","15.0","-5.0","1.0","0.0","101","209.0","961.0","a","1.0","5.0"
"0.0","9.0","-2.0","1.0","0.0","101","204.0","960.0","l","0.0","3.5"
"5.0","6.0","0.0","1.0","1.0","102","202.0","658.0","l","0.0","-2.0"
"0.0","9.0","-5.0","0.0","0.0","101","208.0","1230.0","l","1.0","2.0"
"0.0","12.0","-3.0","1.0","1.0","101","208.0","989.0","a","1.0","4.5"
"0.0","17.0","-6.0","1.0","1.0","101","220.0","1682.0","a","1.0","5.5"
"0.0","11.0","-3.0","1.0","1.0","101","237.0","801.0","l","0.0","4.0"
"6.0","14.0","0.0","1.0","1.0","102","248.0","659.0","l","0.0","1.0"
"0.0","13.0","-5.0","1.0","1.0","101","262.0","1139.0","a","1.0","4.0"
"0.0","11.0","-2.0","1.0","1.0","101","275.0","773.0","a","1.0","4.5"
"0.0","13.0","-2.0","1.0","0.0","101","286.0","872.0","l","0.0","5.5"
"5.0","12.0","0.0","1.0","1.0","102","284.0","661.0","a","1.0","1.0"
"0.0","17.0","-2.0","1.0","1.0","101","296.0","865.0","l","0.0","7.5"
"0.0","15.0","-4.0","1.0","0.0","101","313.0","688.0","l","0.0","5.5"
"0.0","15.0","-2.0","1.0","0.0","101","309.0","655.0","l","0.0","6.5"
"0.0","10.0","-8.0","0.0","1.0","101","307.0","1259.0","l","1.0","1.0"
"0.0","9.0","-4.0","1.0","0.0","101","307.0","1435.0","a","1.0","2.5"
"7.0","6.0","0.0","1.0","0.0","102","303.0","630.0","l","0.0","-4.0"
"4.0","8.0","0.0","1.0","0.0","102","303.0","725.0","l","0.0","0.0"
"0.0","12.0","-10.0","0.0","1.0","101","303.0","1134.0","l","1.0","1.0"
"5.0","12.0","0.0","1.0","1.0","102","303.0","720.0","l","0.0","1.0"
