"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","13.0","-8.0","1.0","0.0","101","150.0","1286.0","l","0.0","2.5"
"0.0","13.0","-3.0","1.0","1.0","101","142.0","943.0","a","1.0","5.0"
"0.0","15.0","-8.0","0.0","0.0","101","155.0","1458.0","a","0.0","3.5"
"0.0","17.0","-2.0","1.0","1.0","101","155.0","885.0","l","0.0","7.5"
"7.0","12.0","0.0","0.0","0.0","102","172.0","1873.0","a","0.0","-1.0"
"0.0","11.0","-3.0","1.0","0.0","101","179.0","960.0","l","0.0","4.0"
"0.0","17.0","-8.0","1.0","0.0","101","176.0","991.0","a","1.0","4.5"
"0.0","9.0","-5.0","0.0","1.0","101","168.0","830.0","l","1.0","2.0"
"0.0","12.0","-6.0","1.0","0.0","101","168.0","1474.0","l","0.0","3.0"
"0.0","11.0","-2.0","1.0","1.0","101","162.0","612.0","l","0.0","4.5"
"0.0","10.0","-2.0","1.0","0.0","101","173.0","836.0","l","0.0","4.0"
"0.0","9.0","-8.0","0.0","1.0","101","171.0","1416.0","a","0.0","0.5"
"7.0","10.0","0.0","1.0","0.0","102","171.0","1325.0","l","0.0","-2.0"
"3.0","10.0","0.0","1.0","0.0","102","171.0","776.0","a","1.0","2.0"
"6.0","8.0","0.0","1.0","1.0","102","171.0","819.0","a","1.0","-2.0"
"0.0","17.0","-6.0","1.0","0.0","101","179.0","1024.0","l","0.0","5.5"
"0.0","10.0","-4.0","1.0","1.0","101","173.0","1123.0","a","1.0","3.0"
"0.0","9.0","-8.0","0.0","0.0","101","183.0","1049.0","a","0.0","0.5"
"0.0","11.0","-6.0","0.0","0.0","101","183.0","1217.0","l","1.0","2.5"
"0.0","17.0","-6.0","1.0","0.0","101","183.0","797.0","a","1.0","5.5"
"0.0","9.0","-6.0","0.0","0.0","101","177.0","832.0","l","1.0","1.5"
"0.0","17.0","-5.0","1.0","1.0","101","177.0","807.0","l","0.0","6.0"
"0.0","10.0","-10.0","0.0","1.0","101","194.0","1091.0","a","0.0","0.0"
"3.0","8.0","0.0","1.0","1.0","102","194.0","936.0","l","0.0","1.0"
"0.0","13.0","-4.0","1.0","0.0","101","202.0","1020.0","a","1.0","4.5"
"0.0","17.0","-8.0","1.0","1.0","101","198.0","984.0","a","1.0","4.5"
"0.0","10.0","-8.0","0.0","0.0","101","215.0","997.0","l","1.0","1.0"
"0.0","9.0","-2.0","1.0","1.0","101","215.0","926.0","l","0.0","3.5"
"0.0","12.0","-8.0","0.0","0.0","101","224.0","1038.0","l","1.0","2.0"
"0.0","15.0","-8.0","0.0","0.0","101","224.0","1646.0","a","0.0","3.5"
"0.0","10.0","-5.0","1.0","1.0","101","224.0","1153.0","l","0.0","2.5"
"0.0","11.0","-4.0","1.0","0.0","101","234.0","802.0","l","0.0","3.5"
"0.0","12.0","-4.0","1.0","1.0","101","230.0","670.0","l","0.0","4.0"
"0.0","11.0","-4.0","1.0","1.0","101","242.0","974.0","a","1.0","3.5"
"0.0","17.0","-10.0","0.0","0.0","101","253.0","1524.0","a","0.0","3.5"
"4.0","8.0","0.0","1.0","1.0","102","253.0","1547.0","l","0.0","0.0"
"7.0","10.0","0.0","1.0","0.0","102","261.0","1139.0","l","0.0","-2.0"
"0.0","11.0","-10.0","0.0","1.0","101","261.0","1361.0","l","1.0","0.5"
"5.0","10.0","0.0","1.0","0.0","102","261.0","1436.0","l","0.0","0.0"
"0.0","9.0","-3.0","1.0","0.0","101","261.0","1203.0","a","1.0","3.0"
"0.0","12.0","-10.0","0.0","0.0","101","258.0","990.0","a","0.0","1.0"
"0.0","10.0","-10.0","0.0","0.0","101","258.0","879.0","l","1.0","0.0"
"0.0","15.0","-6.0","1.0","1.0","101","258.0","1194.0","l","0.0","4.5"
"6.0","8.0","0.0","0.0","1.0","102","273.0","1303.0","a","0.0","-2.0"
"0.0","13.0","-8.0","0.0","0.0","101","279.0","1131.0","a","0.0","2.5"
"7.0","8.0","0.0","0.0","0.0","102","279.0","1255.0","l","1.0","-3.0"
"0.0","15.0","-2.0","1.0","0.0","101","286.0","1010.0","a","1.0","6.5"
"0.0","13.0","-6.0","1.0","0.0","101","284.0","1123.0","l","0.0","3.5"
"7.0","14.0","0.0","1.0","1.0","102","278.0","1385.0","a","1.0","0.0"
"0.0","12.0","-2.0","1.0","0.0","101","292.0","858.0","a","1.0","5.0"
"0.0","13.0","-10.0","0.0","0.0","101","290.0","1331.0","l","1.0","1.5"
"0.0","11.0","-6.0","0.0","0.0","101","290.0","1828.0","a","0.0","2.5"
"4.0","14.0","0.0","1.0","0.0","102","290.0","657.0","a","1.0","3.0"
"3.0","14.0","0.0","1.0","0.0","102","290.0","892.0","l","0.0","4.0"
"0.0","10.0","-3.0","1.0","1.0","101","290.0","729.0","l","0.0","3.5"
"4.0","12.0","0.0","1.0","0.0","102","300.0","1147.0","l","0.0","2.0"
"0.0","9.0","-10.0","0.0","0.0","101","300.0","741.0","a","0.0","-0.5"
"5.0","14.0","0.0","1.0","1.0","102","300.0","1839.0","l","0.0","2.0"
"4.0","8.0","0.0","1.0","1.0","102","314.0","1774.0","l","0.0","0.0"
"0.0","12.0","-8.0","0.0","0.0","101","322.0","763.0","a","0.0","2.0"
"4.0","14.0","0.0","1.0","0.0","102","322.0","839.0","a","1.0","3.0"
"7.0","12.0","0.0","0.0","1.0","102","322.0","1097.0","l","1.0","-1.0"
"3.0","8.0","0.0","1.0","0.0","102","329.0","1275.0","l","0.0","1.0"
"6.0","12.0","0.0","1.0","1.0","102","329.0","845.0","a","1.0","0.0"
"0.0","17.0","-2.0","1.0","1.0","101","341.0","1436.0","l","0.0","7.5"
"3.0","6.0","0.0","0.0","0.0","102","358.0","1483.0","a","0.0","0.0"
"7.0","6.0","0.0","0.0","1.0","102","361.0","1177.0","a","0.0","-4.0"
"5.0","8.0","0.0","0.0","0.0","102","368.0","1450.0","a","0.0","-1.0"
"5.0","14.0","0.0","1.0","0.0","102","373.0","869.0","l","0.0","2.0"
"0.0","15.0","-6.0","1.0","0.0","101","373.0","1594.0","a","1.0","4.5"
"0.0","12.0","-6.0","0.0","0.0","101","367.0","957.0","l","1.0","3.0"
"0.0","12.0","-4.0","1.0","1.0","101","367.0","905.0","l","0.0","4.0"
"0.0","12.0","-5.0","1.0","1.0","101","379.0","1330.0","l","0.0","3.5"
"5.0","12.0","0.0","1.0","1.0","102","391.0","1654.0","l","0.0","1.0"
"0.0","13.0","-5.0","0.0","0.0","101","403.0","1287.0","a","0.0","4.0"
"0.0","11.0","-10.0","0.0","0.0","101","403.0","848.0","a","0.0","0.5"
"0.0","15.0","-4.0","1.0","0.0","101","403.0","1363.0","a","1.0","5.5"
"0.0","15.0","-4.0","1.0","1.0","101","399.0","530.0","a","1.0","5.5"
"5.0","8.0","0.0","0.0","1.0","102","414.0","1236.0","l","1.0","-1.0"
"0.0","9.0","-6.0","0.0","1.0","101","419.0","975.0","l","1.0","1.5"
"6.0","6.0","0.0","0.0","1.0","102","419.0","1146.0","l","1.0","-3.0"
