"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","9.0","-3.0","1.0","1.0","101","150.0","1643.0","a","1.0","3.0"
"3.0","8.0","0.0","1.0","0.0","102","159.0","909.0","l","0.0","1.0"
"0.0","14.0","-3.0","1.0","0.0","101","159.0","829.0","a","1.0","5.5"
"0.0","14.0","-6.0","1.0","1.0","101","156.0","604.0","a","1.0","4.0"
"0.0","9.0","-10.0","0.0","1.0","101","170.0","829.0","l","1.0","-0.5"
"0.0","10.0","-6.0","0.0","1.0","101","170.0","1066.0","a","0.0","2.0"
"0.0","8.0","-3.0","1.0","1.0","101","170.0","808.0","l","0.0","2.5"
"0.0","11.0","-4.0","1.0","1.0","101","178.0","946.0","a","1.0","3.5"
"0.0","14.0","-8.0","1.0","1.0","101","189.0","652.0","a","1.0","3.0"
"7.0","6.0","0.0","0.0","1.0","102","203.0","1016.0","a","0.0","-4.0"
"0.0","9.0","-3.0","1.0","1.0","101","210.0","1024.0","l","0.0","3.0"
"0.0","14.0","-8.0","1.0","1.0","101","219.0","955.0","a","1.0","3.0"
"7.0","10.0","0.0","0.0","0.0","102","233.0","1393.0","a","0.0","-2.0"
"7.0","8.0","0.0","0.0","0.0","102","240.0","863.0","a","0.0","-3.0"
"7.0","12.0","0.0","0.0","1.0","102","247.0","1033.0","a","0.0","-1.0"
"0.0","16.0","-2.0","1.0","0.0","101","254.0","900.0","a","1.0","7.0"
"0.0","9.0","-10.0","0.0","0.0","101","252.0","1192.0","l","1.0","-0.5"
"0.0","12.0","-2.0","1.0","1.0","101","252.0","773.0","a","1.0","5.0"
"0.0","8.0","-2.0","1.0","1.0","101","264.0","840.0","l","0.0","3.0"
"0.0","12.0","-10.0","1.0","0.0","101","272.0","1235.0","a","1.0","1.0"
"0.0","14.0","-3.0","1.0","0.0","101","262.0","897.0","a","1.0","5.5"
"0.0","11.0","-5.0","1.0","1.0","101","259.0","796.0","l","0.0","3.0"
"0.0","9.0","-6.0","1.0","1.0","101","270.0","695.0","a","1.0","1.5"
"0.0","10.0","-2.0","1.0","1.0","101","279.0","1731.0","l","0.0","4.0"
"0.0","16.0","-8.0","1.0","1.0","101","289.0","651.0","a","1.0","4.0"
"0.0","10.0","-10.0","1.0","1.0","101","305.0","561.0","a","1.0","0.0"
"0.0","16.0","-10.0","1.0","0.0","101","315.0","797.0","l","0.0","3.0"
"0.0","11.0","-2.0","1.0","1.0","101","305.0","572.0","a","1.0","4.5"
"6.0","8.0","0.0","0.0","0.0","102","316.0","1247.0","l","1.0","-2.0"
"0.0","10.0","-8.0","1.0","0.0","101","322.0","1144.0","l","0.0","1.0"
"0.0","11.0","-8.0","1.0","0.0","101","314.0","719.0","l","0.0","1.5"
"0.0","10.0","-2.0","1.0","1.0","101","306.0","864.0","a","1.0","4.0"
"0.0","10.0","-4.0","1.0","0.0","101","316.0","788.0","a","1.0","3.0"
"0.0","16.0","-8.0","1.0","1.0","101","312.0","628.0","a","1.0","4.0"
"4.0","12.0","0.0","1.0","1.0","102","328.0","604.0","a","1.0","2.0"
"5.0","6.0","0.0","0.0","1.0","102","340.0","1313.0","l","1.0","-2.0"
"0.0","16.0","-6.0","1.0","1.0","101","345.0","955.0","a","1.0","5.0"
"5.0","14.0","0.0","1.0","0.0","102","361.0","844.0","l","0.0","2.0"
"6.0","14.0","0.0","1.0","1.0","102","361.0","1009.0","a","1.0","1.0"
"3.0","14.0","0.0","1.0","0.0","102","375.0","968.0","l","0.0","4.0"
"0.0","12.0","-3.0","1.0","1.0","101","375.0","707.0","l","0.0","4.5"
"0.0","12.0","-2.0","1.0","0.0","101","387.0","717.0","a","1.0","5.0"
"0.0","9.0","-2.0","1.0","0.0","101","385.0","741.0","a","1.0","3.5"
"0.0","9.0","-5.0","1.0","0.0","101","383.0","575.0","a","1.0","2.0"
"0.0","10.0","-10.0","1.0","0.0","101","378.0","464.0","l","0.0","0.0"
"0.0","14.0","-5.0","1.0","0.0","101","368.0","617.0","a","1.0","4.5"
"0.0","11.0","-6.0","1.0","1.0","101","363.0","707.0","l","0.0","2.5"
"0.0","16.0","-5.0","1.0","1.0","101","374.0","729.0","l","0.0","5.5"
"6.0","10.0","0.0","0.0","1.0","102","390.0","1192.0","a","0.0","-1.0"
"0.0","8.0","-10.0","0.0","0.0","101","396.0","1199.0","a","0.0","-1.0"
"0.0","16.0","-3.0","1.0","0.0","101","396.0","1032.0","l","0.0","6.5"
"3.0","10.0","0.0","1.0","1.0","102","393.0","1023.0","l","0.0","2.0"
"0.0","11.0","-10.0","1.0","0.0","101","403.0","909.0","a","1.0","0.5"
"0.0","14.0","-2.0","1.0","1.0","101","393.0","2314.0","l","0.0","6.0"
"0.0","10.0","-3.0","1.0","1.0","101","407.0","817.0","a","1.0","3.5"
"3.0","12.0","0.0","1.0","0.0","102","417.0","762.0","l","0.0","3.0"
"5.0","12.0","0.0","1.0","0.0","102","417.0","832.0","a","1.0","1.0"
"0.0","11.0","-3.0","1.0","1.0","101","417.0","619.0","l","0.0","4.0"
"0.0","8.0","-8.0","0.0","1.0","101","428.0","922.0","l","1.0","0.0"
"4.0","8.0","0.0","0.0","1.0","102","428.0","1223.0","a","0.0","0.0"
"5.0","8.0","0.0","1.0","1.0","102","432.0","1246.0","a","1.0","-1.0"
"6.0","14.0","0.0","1.0","1.0","102","440.0","977.0","a","1.0","1.0"
"0.0","8.0","-4.0","1.0","0.0","101","454.0","841.0","a","1.0","2.0"
"6.0","12.0","0.0","1.0","1.0","102","450.0","965.0","a","1.0","0.0"
"5.0","12.0","0.0","1.0","1.0","102","462.0","1092.0","a","1.0","1.0"
"6.0","10.0","0.0","0.0","0.0","102","474.0","1020.0","l","1.0","-1.0"
"0.0","10.0","-3.0","1.0","1.0","101","480.0","1404.0","l","0.0","3.5"
"3.0","10.0","0.0","1.0","1.0","102","490.0","1045.0","a","1.0","2.0"
"0.0","10.0","-5.0","1.0","1.0","101","500.0","653.0","l","0.0","2.5"
"0.0","14.0","-4.0","1.0","0.0","101","510.0","594.0","a","1.0","5.0"
"0.0","12.0","-4.0","1.0","0.0","101","506.0","595.0","a","1.0","4.0"
"0.0","11.0","-8.0","1.0","1.0","101","502.0","662.0","a","1.0","1.5"
"0.0","9.0","-4.0","1.0","0.0","101","513.0","762.0","l","0.0","2.5"
"0.0","9.0","-4.0","1.0","1.0","101","509.0","618.0","l","0.0","2.5"
"4.0","12.0","0.0","1.0","1.0","102","518.0","862.0","a","1.0","2.0"
"0.0","11.0","-5.0","1.0","1.0","101","530.0","633.0","l","0.0","3.0"
"0.0","11.0","-4.0","1.0","1.0","101","541.0","650.0","l","0.0","3.5"
"5.0","6.0","0.0","0.0","0.0","102","552.0","975.0","l","1.0","-2.0"
"0.0","12.0","-8.0","1.0","1.0","101","557.0","638.0","l","0.0","2.0"
"3.0","6.0","0.0","0.0","1.0","102","569.0","1079.0","l","1.0","0.0"
"0.0","10.0","-6.0","1.0","0.0","101","572.0","676.0","l","0.0","2.0"
"6.0","8.0","0.0","1.0","1.0","102","566.0","969.0","a","1.0","-2.0"
"0.0","12.0","-8.0","1.0","0.0","101","574.0","693.0","a","1.0","2.0"
"0.0","10.0","-8.0","1.0","1.0","101","566.0","664.0","l","0.0","1.0"
"0.0","8.0","-8.0","0.0","1.0","101","576.0","1157.0","l","1.0","0.0"
"6.0","6.0","0.0","0.0","1.0","102","576.0","1068.0","a","0.0","-3.0"
"0.0","10.0","-4.0","1.0","1.0","101","582.0","729.0","l","0.0","3.0"
"4.0","14.0","0.0","1.0","0.0","102","592.0","1358.0","a","1.0","3.0"
"0.0","8.0","-5.0","1.0","1.0","101","592.0","773.0","l","0.0","1.5"
"7.0","12.0","0.0","0.0","0.0","102","600.0","1282.0","l","1.0","-1.0"
"3.0","6.0","0.0","0.0","0.0","102","607.0","1102.0","l","1.0","0.0"
"0.0","16.0","-3.0","1.0","1.0","101","610.0","876.0","l","0.0","6.5"
"6.0","6.0","0.0","0.0","1.0","102","626.0","1270.0","a","0.0","-3.0"
"0.0","11.0","-10.0","1.0","1.0","101","632.0","1011.0","l","0.0","0.5"
"6.0","12.0","0.0","1.0","0.0","102","643.0","1329.0","l","0.0","0.0"
"0.0","12.0","-5.0","1.0","0.0","101","643.0","717.0","a","1.0","3.5"
"5.0","10.0","0.0","0.0","1.0","102","638.0","1070.0","a","0.0","0.0"
"0.0","16.0","-4.0","1.0","0.0","101","643.0","705.0","a","1.0","6.0"
"0.0","16.0","-4.0","1.0","1.0","101","639.0","1381.0","l","0.0","6.0"
"0.0","9.0","-5.0","1.0","0.0","101","655.0","664.0","l","0.0","2.0"
"0.0","16.0","-5.0","1.0","0.0","101","650.0","821.0","a","1.0","5.5"
"0.0","11.0","-6.0","1.0","1.0","101","645.0","694.0","a","1.0","2.5"
"0.0","14.0","-2.0","1.0","1.0","101","656.0","607.0","a","1.0","6.0"
"0.0","14.0","-10.0","1.0","0.0","101","670.0","571.0","l","0.0","2.0"
"5.0","14.0","0.0","1.0","1.0","102","660.0","1058.0","l","0.0","2.0"
"0.0","8.0","-6.0","1.0","0.0","101","674.0","841.0","l","0.0","1.0"
"4.0","10.0","0.0","1.0","0.0","102","668.0","1099.0","a","1.0","1.0"
"7.0","14.0","0.0","1.0","1.0","102","668.0","842.0","a","1.0","0.0"
"7.0","10.0","0.0","0.0","1.0","102","682.0","984.0","l","1.0","-2.0"
"0.0","11.0","-3.0","1.0","0.0","101","689.0","784.0","l","0.0","4.0"
"4.0","14.0","0.0","1.0","0.0","102","686.0","866.0","a","1.0","3.0"
"0.0","8.0","-5.0","1.0","1.0","101","686.0","695.0","l","0.0","1.5"
"0.0","14.0","-6.0","1.0","0.0","101","694.0","796.0","a","1.0","4.0"
"0.0","16.0","-2.0","1.0","0.0","101","688.0","639.0","l","0.0","7.0"
"0.0","10.0","-5.0","1.0","0.0","101","686.0","708.0","a","1.0","2.5"
"0.0","12.0","-6.0","1.0","0.0","101","681.0","593.0","l","0.0","3.0"
"0.0","9.0","-8.0","1.0","0.0","101","675.0","674.0","l","0.0","0.5"
"3.0","8.0","0.0","1.0","1.0","102","667.0","1090.0","a","1.0","1.0"
"5.0","8.0","0.0","1.0","1.0","102","675.0","1473.0","a","1.0","-1.0"
"0.0","12.0","-5.0","1.0","1.0","101","683.0","742.0","a","1.0","3.5"
"0.0","12.0","-3.0","1.0","0.0","101","695.0","762.0","a","1.0","4.5"
"4.0","10.0","0.0","1.0","0.0","102","692.0","819.0","a","1.0","1.0"
"0.0","14.0","-4.0","1.0","0.0","101","692.0","627.0","l","0.0","5.0"
"0.0","9.0","-2.0","1.0","0.0","101","688.0","584.0","l","0.0","3.5"
"0.0","8.0","-4.0","1.0","1.0","101","686.0","628.0","a","1.0","2.0"
"4.0","8.0","0.0","0.0","0.0","102","694.0","1014.0","l","1.0","0.0"
"0.0","14.0","-10.0","1.0","1.0","101","698.0","687.0","l","0.0","2.0"
"4.0","6.0","0.0","0.0","0.0","102","712.0","1244.0","l","1.0","-1.0"
"0.0","14.0","-5.0","1.0","0.0","101","716.0","766.0","a","1.0","4.5"
"0.0","9.0","-8.0","1.0","0.0","101","711.0","740.0","l","0.0","0.5"
"0.0","11.0","-2.0","1.0","1.0","101","703.0","753.0","l","0.0","4.5"
"7.0","6.0","0.0","0.0","1.0","102","714.0","1177.0","a","0.0","-4.0"
"3.0","14.0","0.0","1.0","1.0","102","721.0","752.0","a","1.0","4.0"
"0.0","12.0","-10.0","1.0","1.0","101","735.0","921.0","a","1.0","1.0"
"5.0","10.0","0.0","0.0","1.0","102","747.0","1067.0","l","1.0","0.0"
"0.0","12.0","-6.0","1.0","1.0","101","752.0","775.0","l","0.0","3.0"
"0.0","16.0","-6.0","1.0","0.0","101","764.0","663.0","l","0.0","5.0"
"0.0","8.0","-2.0","1.0","1.0","101","758.0","685.0","l","0.0","3.0"
"0.0","8.0","-3.0","1.0","1.0","101","766.0","777.0","a","1.0","2.5"
"7.0","8.0","0.0","0.0","1.0","102","774.0","1155.0","a","0.0","-3.0"
"0.0","12.0","-4.0","1.0","1.0","101","781.0","648.0","l","0.0","4.0"
