"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"5.0","10.0","0.0","1.0","0.0","102","150.0","2315.0","l","0.0","0.0"
"4.0","12.0","0.0","1.0","0.0","102","150.0","818.0","a","1.0","2.0"
"0.0","18.0","-8.0","1.0","0.0","101","150.0","1519.0","a","1.0","5.0"
"3.0","10.0","0.0","1.0","1.0","102","142.0","1000.0","l","0.0","2.0"
"0.0","12.0","-6.0","1.0","1.0","101","152.0","2039.0","a","1.0","3.0"
"7.0","10.0","0.0","1.0","0.0","102","164.0","639.0","a","1.0","-2.0"
"0.0","14.0","-6.0","1.0","1.0","101","164.0","1057.0","a","1.0","4.0"
"0.0","12.0","-6.0","1.0","0.0","101","178.0","834.0","a","1.0","3.0"
"0.0","15.0","-6.0","1.0","0.0","101","172.0","910.0","a","1.0","4.5"
"0.0","12.0","-3.0","1.0","0.0","101","166.0","381.0","a","1.0","4.5"
"0.0","14.0","-10.0","1.0","1.0","101","163.0","456.0","l","0.0","2.0"
"7.0","10.0","0.0","1.0","0.0","102","177.0","617.0","a","1.0","-2.0"
"3.0","16.0","0.0","1.0","0.0","102","177.0","525.0","a","1.0","5.0"
"0.0","20.0","-10.0","1.0","0.0","101","177.0","1086.0","a","1.0","5.0"
"3.0","18.0","0.0","1.0","1.0","102","167.0","505.0","l","0.0","6.0"
"0.0","20.0","-3.0","1.0","1.0","101","185.0","1027.0","a","1.0","8.5"
"0.0","18.0","-4.0","0.0","0.0","101","205.0","1037.0","l","1.0","7.0"
"0.0","16.0","-10.0","1.0","0.0","101","205.0","1820.0","l","0.0","3.0"
"0.0","12.0","-5.0","1.0","0.0","101","195.0","353.0","l","0.0","3.5"
"0.0","12.0","-4.0","1.0","0.0","101","190.0","418.0","a","1.0","4.0"
"0.0","13.0","-6.0","1.0","1.0","101","186.0","336.0","l","0.0","3.5"
"0.0","20.0","-8.0","1.0","0.0","101","199.0","404.0","l","0.0","6.0"
"4.0","18.0","0.0","1.0","1.0","102","191.0","954.0","a","1.0","5.0"
"0.0","14.0","-8.0","1.0","0.0","101","209.0","595.0","l","0.0","3.0"
"0.0","18.0","-8.0","0.0","1.0","101","201.0","1920.0","a","0.0","5.0"
"0.0","14.0","-4.0","0.0","1.0","101","201.0","909.0","l","1.0","5.0"
"7.0","12.0","0.0","1.0","1.0","102","201.0","594.0","a","1.0","-1.0"
"6.0","16.0","0.0","1.0","0.0","102","213.0","654.0","a","1.0","2.0"
