"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","11.0","-5.0","1.0","1.0","101","150.0","1566.0","a","1.0","3.0"
"0.0","10.0","-4.0","1.0","1.0","101","161.0","1285.0","l","0.0","3.0"
"5.0","16.0","0.0","0.0","0.0","102","171.0","1271.0","a","0.0","3.0"
"0.0","12.0","-2.0","1.0","0.0","101","176.0","1519.0","l","0.0","5.0"
"0.0","8.0","-5.0","1.0","0.0","101","174.0","853.0","a","1.0","1.5"
"6.0","24.0","0.0","1.0","0.0","102","169.0","1238.0","l","0.0","6.0"
"0.0","16.0","-6.0","1.0","1.0","101","169.0","1174.0","l","0.0","5.0"
"5.0","22.0","0.0","0.0","1.0","102","185.0","788.0","a","0.0","6.0"
"0.0","9.0","-4.0","1.0","1.0","101","190.0","1264.0","a","1.0","2.5"
"0.0","8.0","-8.0","1.0","0.0","101","199.0","1345.0","a","1.0","0.0"
"5.0","16.0","0.0","0.0","1.0","102","191.0","1729.0","a","0.0","3.0"
"4.0","16.0","0.0","1.0","0.0","102","196.0","1159.0","l","0.0","4.0"
"0.0","14.0","-5.0","0.0","0.0","101","196.0","2063.0","a","0.0","4.5"
"0.0","11.0","-3.0","1.0","1.0","101","196.0","1028.0","l","0.0","4.0"
"0.0","10.0","-5.0","1.0","1.0","101","207.0","1471.0","a","1.0","2.5"
"0.0","10.0","-5.0","1.0","0.0","101","217.0","1154.0","a","1.0","2.5"
"0.0","12.0","-4.0","1.0","1.0","101","212.0","1074.0","l","0.0","4.0"
"4.0","18.0","0.0","1.0","0.0","102","224.0","1657.0","l","0.0","5.0"
"4.0","18.0","0.0","1.0","0.0","102","224.0","1729.0","l","0.0","5.0"
"5.0","22.0","0.0","1.0","1.0","102","224.0","1141.0","l","0.0","6.0"
"6.0","22.0","0.0","0.0","0.0","102","246.0","1206.0","l","1.0","5.0"
"7.0","22.0","0.0","0.0","0.0","102","252.0","844.0","l","1.0","4.0"
"0.0","9.0","-8.0","0.0","0.0","101","259.0","1571.0","l","1.0","0.5"
"0.0","8.0","-3.0","1.0","0.0","101","259.0","1145.0","a","1.0","2.5"
"0.0","9.0","-6.0","1.0","0.0","101","256.0","1501.0","l","0.0","1.5"
"5.0","20.0","0.0","1.0","0.0","102","250.0","2021.0","a","1.0","5.0"
"0.0","10.0","-3.0","1.0","1.0","101","250.0","985.0","a","1.0","3.5"
"0.0","11.0","-8.0","0.0","1.0","101","260.0","1635.0","a","0.0","1.5"
"3.0","22.0","0.0","1.0","1.0","102","260.0","1614.0","l","0.0","8.0"
"6.0","24.0","0.0","1.0","1.0","102","282.0","1643.0","l","0.0","6.0"
"3.0","24.0","0.0","1.0","1.0","102","306.0","1562.0","l","0.0","9.0"
"0.0","11.0","-6.0","1.0","1.0","101","330.0","2200.0","a","1.0","2.5"
"0.0","14.0","-10.0","0.0","1.0","101","341.0","1262.0","a","0.0","2.0"
"0.0","16.0","-4.0","1.0","1.0","101","341.0","1356.0","a","1.0","6.0"
"0.0","9.0","-10.0","0.0","1.0","101","357.0","2305.0","l","1.0","-0.5"
"0.0","10.0","-4.0","1.0","0.0","101","357.0","1288.0","l","0.0","3.0"
"0.0","8.0","-6.0","0.0","0.0","101","353.0","1319.0","a","0.0","1.0"
"0.0","12.0","-5.0","1.0","1.0","101","353.0","1257.0","l","0.0","3.5"
"0.0","12.0","-2.0","1.0","0.0","101","365.0","1088.0","l","0.0","5.0"
"0.0","9.0","-4.0","1.0","1.0","101","363.0","1596.0","a","1.0","2.5"
"0.0","16.0","-10.0","1.0","1.0","101","372.0","1475.0","l","0.0","3.0"
"0.0","8.0","-2.0","1.0","0.0","101","388.0","1262.0","a","1.0","3.0"
"0.0","14.0","-6.0","1.0","1.0","101","386.0","777.0","a","1.0","4.0"
"0.0","16.0","-5.0","1.0","0.0","101","400.0","1391.0","a","1.0","5.5"
"7.0","18.0","0.0","0.0","0.0","102","395.0","2012.0","a","0.0","2.0"
"4.0","22.0","0.0","0.0","0.0","102","402.0","1509.0","a","0.0","7.0"
"6.0","20.0","0.0","0.0","1.0","102","406.0","1614.0","l","1.0","4.0"
"0.0","16.0","-4.0","1.0","1.0","101","412.0","1323.0","a","1.0","6.0"
"0.0","11.0","-5.0","1.0","1.0","101","428.0","1183.0","l","0.0","3.0"
"7.0","20.0","0.0","1.0","1.0","102","439.0","1275.0","a","1.0","3.0"
"0.0","9.0","-3.0","1.0","1.0","101","459.0","1717.0","l","0.0","3.0"
"0.0","9.0","-3.0","1.0","0.0","101","468.0","1094.0","l","0.0","3.0"
"0.0","10.0","-8.0","1.0","0.0","101","465.0","1085.0","a","1.0","1.0"
"0.0","14.0","-8.0","1.0","1.0","101","457.0","2183.0","l","0.0","3.0"
"4.0","20.0","0.0","1.0","1.0","102","471.0","1432.0","l","0.0","6.0"
"0.0","14.0","-3.0","1.0","0.0","101","491.0","1018.0","a","1.0","5.5"
"0.0","11.0","-2.0","1.0","1.0","101","488.0","856.0","a","1.0","4.5"
"0.0","9.0","-5.0","0.0","0.0","101","499.0","1496.0","a","0.0","2.0"
"0.0","9.0","-6.0","0.0","1.0","101","499.0","1753.0","l","1.0","1.5"
"5.0","24.0","0.0","1.0","1.0","102","499.0","1502.0","a","1.0","7.0"
"0.0","12.0","-10.0","0.0","0.0","101","523.0","1830.0","a","0.0","1.0"
"4.0","22.0","0.0","1.0","1.0","102","523.0","1950.0","a","1.0","7.0"
"7.0","16.0","0.0","0.0","0.0","102","545.0","1695.0","l","1.0","1.0"
"0.0","12.0","-6.0","0.0","0.0","101","552.0","1420.0","a","0.0","3.0"
"0.0","16.0","-3.0","1.0","0.0","101","552.0","1171.0","a","1.0","6.5"
"0.0","14.0","-2.0","1.0","0.0","101","549.0","906.0","l","0.0","6.0"
"0.0","9.0","-2.0","1.0","1.0","101","547.0","930.0","l","0.0","3.5"
"0.0","16.0","-3.0","1.0","0.0","101","556.0","1038.0","a","1.0","6.5"
"0.0","11.0","-10.0","0.0","1.0","101","553.0","1253.0","a","0.0","0.5"
"0.0","14.0","-2.0","1.0","0.0","101","553.0","1396.0","a","1.0","6.0"
"0.0","12.0","-8.0","0.0","0.0","101","551.0","1453.0","a","0.0","2.0"
"0.0","11.0","-10.0","1.0","1.0","101","551.0","2201.0","l","0.0","0.5"
"4.0","24.0","0.0","1.0","1.0","102","562.0","1243.0","l","0.0","8.0"
"6.0","16.0","0.0","1.0","0.0","102","586.0","817.0","l","0.0","2.0"
"0.0","16.0","-10.0","0.0","1.0","101","586.0","1794.0","a","0.0","3.0"
"0.0","12.0","-3.0","1.0","1.0","101","586.0","857.0","l","0.0","4.5"
"0.0","16.0","-8.0","1.0","0.0","101","598.0","1458.0","a","1.0","4.0"
"5.0","20.0","0.0","1.0","1.0","102","590.0","1696.0","l","0.0","5.0"
"6.0","20.0","0.0","1.0","0.0","102","610.0","1512.0","l","0.0","4.0"
"7.0","22.0","0.0","0.0","0.0","102","610.0","739.0","a","0.0","4.0"
"5.0","18.0","0.0","0.0","1.0","102","617.0","2042.0","l","1.0","4.0"
"0.0","11.0","-4.0","1.0","0.0","101","622.0","1115.0","a","1.0","3.5"
"5.0","18.0","0.0","1.0","1.0","102","618.0","1375.0","l","0.0","4.0"
"5.0","24.0","0.0","1.0","0.0","102","636.0","1148.0","a","1.0","7.0"
"0.0","10.0","-6.0","0.0","1.0","101","636.0","1428.0","l","1.0","2.0"
"4.0","24.0","0.0","1.0","1.0","102","636.0","1412.0","l","0.0","8.0"
"3.0","16.0","0.0","1.0","1.0","102","660.0","1310.0","a","1.0","5.0"
"0.0","12.0","-6.0","1.0","0.0","101","676.0","1433.0","l","0.0","3.0"
"0.0","16.0","-8.0","1.0","1.0","101","670.0","1228.0","l","0.0","4.0"
"0.0","8.0","-5.0","0.0","0.0","101","686.0","1331.0","a","0.0","1.5"
"0.0","11.0","-8.0","0.0","0.0","101","686.0","1520.0","a","0.0","1.5"
"7.0","16.0","0.0","0.0","1.0","102","686.0","1256.0","l","1.0","1.0"
"0.0","8.0","-10.0","0.0","0.0","101","693.0","1619.0","l","1.0","-1.0"
"0.0","9.0","-5.0","0.0","1.0","101","693.0","1787.0","l","1.0","2.0"
"0.0","8.0","-8.0","1.0","1.0","101","693.0","1914.0","l","0.0","0.0"
"4.0","20.0","0.0","1.0","1.0","102","701.0","1337.0","a","1.0","6.0"
"6.0","18.0","0.0","0.0","1.0","102","721.0","2161.0","a","0.0","3.0"
"7.0","20.0","0.0","1.0","0.0","102","727.0","839.0","l","0.0","3.0"
"3.0","24.0","0.0","1.0","0.0","102","727.0","1761.0","l","0.0","9.0"
"0.0","12.0","-4.0","1.0","1.0","101","727.0","1557.0","l","0.0","4.0"
"0.0","8.0","-2.0","1.0","1.0","101","739.0","1619.0","a","1.0","3.0"
"3.0","18.0","0.0","1.0","1.0","102","747.0","954.0","l","0.0","6.0"
"3.0","16.0","0.0","1.0","1.0","102","765.0","892.0","a","1.0","5.0"
"3.0","20.0","0.0","1.0","1.0","102","781.0","893.0","l","0.0","7.0"
"0.0","12.0","-5.0","1.0","1.0","101","801.0","1431.0","l","0.0","3.5"
"0.0","14.0","-4.0","1.0","0.0","101","813.0","1016.0","l","0.0","5.0"
"0.0","8.0","-6.0","0.0","0.0","101","809.0","1311.0","a","0.0","1.0"
"0.0","16.0","-6.0","1.0","1.0","101","809.0","990.0","l","0.0","5.0"
"0.0","14.0","-5.0","1.0","1.0","101","825.0","1444.0","a","1.0","4.5"
"0.0","14.0","-3.0","1.0","1.0","101","839.0","1144.0","a","1.0","5.5"
"0.0","9.0","-8.0","0.0","0.0","101","853.0","1295.0","a","0.0","0.5"
"3.0","18.0","0.0","1.0","0.0","102","853.0","1697.0","a","1.0","6.0"
"0.0","16.0","-2.0","1.0","1.0","101","853.0","1039.0","l","0.0","7.0"
"0.0","14.0","-8.0","0.0","1.0","101","869.0","1363.0","a","0.0","3.0"
"0.0","11.0","-2.0","1.0","1.0","101","869.0","872.0","a","1.0","4.5"
"7.0","18.0","0.0","0.0","1.0","102","880.0","1244.0","l","1.0","2.0"
"6.0","18.0","0.0","0.0","1.0","102","887.0","1188.0","l","1.0","3.0"
"7.0","24.0","0.0","1.0","0.0","102","893.0","894.0","a","1.0","5.0"
"6.0","22.0","0.0","1.0","1.0","102","893.0","1265.0","l","0.0","5.0"
"0.0","16.0","-2.0","1.0","1.0","101","915.0","1666.0","a","1.0","7.0"
"0.0","11.0","-3.0","1.0","0.0","101","931.0","1448.0","l","0.0","4.0"
"0.0","10.0","-3.0","1.0","1.0","101","928.0","1040.0","l","0.0","3.5"
"0.0","8.0","-10.0","0.0","0.0","101","938.0","1638.0","a","0.0","-1.0"
"0.0","11.0","-4.0","1.0","1.0","101","938.0","1058.0","a","1.0","3.5"
"3.0","20.0","0.0","1.0","0.0","102","949.0","1324.0","a","1.0","7.0"
"0.0","10.0","-2.0","1.0","1.0","101","949.0","1320.0","a","1.0","4.0"
"6.0","16.0","0.0","0.0","0.0","102","959.0","2099.0","l","1.0","2.0"
"0.0","14.0","-10.0","1.0","1.0","101","965.0","910.0","a","1.0","2.0"
"0.0","14.0","-6.0","1.0","0.0","101","979.0","1047.0","a","1.0","4.0"
"0.0","10.0","-6.0","1.0","1.0","101","973.0","1087.0","a","1.0","2.0"
"0.0","8.0","-4.0","1.0","1.0","101","983.0","1173.0","a","1.0","2.0"
"0.0","10.0","-10.0","0.0","1.0","101","991.0","1560.0","a","0.0","0.0"
"0.0","8.0","-4.0","1.0","1.0","101","991.0","1359.0","l","0.0","2.0"
"0.0","8.0","-3.0","1.0","1.0","101","999.0","1544.0","l","0.0","2.5"
"0.0","10.0","-8.0","0.0","1.0","101","1007.0","1550.0","a","0.0","1.0"
"0.0","10.0","-2.0","1.0","1.0","101","1007.0","1232.0","a","1.0","4.0"
"0.0","11.0","-6.0","1.0","0.0","101","1017.0","1242.0","a","1.0","2.5"
"0.0","16.0","-5.0","1.0","0.0","101","1011.0","1137.0","l","0.0","5.5"
"0.0","12.0","-10.0","0.0","1.0","101","1006.0","1525.0","l","1.0","1.0"
"3.0","22.0","0.0","0.0","1.0","102","1006.0","1611.0","a","0.0","8.0"
"4.0","16.0","0.0","0.0","0.0","102","1009.0","699.0","l","1.0","4.0"
"0.0","14.0","-4.0","1.0","0.0","101","1013.0","1346.0","l","0.0","5.0"
"0.0","9.0","-10.0","0.0","1.0","101","1009.0","1308.0","l","1.0","-0.5"
"7.0","24.0","0.0","0.0","1.0","102","1009.0","1899.0","a","0.0","5.0"
"0.0","9.0","-2.0","0.0","0.0","101","1016.0","1036.0","l","1.0","3.5"
"0.0","12.0","-3.0","1.0","1.0","101","1016.0","1110.0","a","1.0","4.5"
"0.0","12.0","-8.0","0.0","0.0","101","1028.0","1504.0","a","0.0","2.0"
"0.0","10.0","-10.0","0.0","1.0","101","1028.0","1093.0","a","0.0","0.0"
