"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","18.0","-3.0","-999.0","0.0","101","150.0","","-999","1.0","7.5"
"0.0","16.0","-6.0","1.0","0.0","101","150.0","344.0","l","0.0","5.0"
"0.0","14.0","-10.0","0.0","0.0","101","144.0","671.0","a","0.0","2.0"
"0.0","22.0","-8.0","0.0","0.0","101","144.0","688.0","l","1.0","7.0"
"0.0","20.0","-2.0","0.0","0.0","101","144.0","741.0","l","1.0","9.0"
"0.0","17.0","-8.0","1.0","1.0","101","144.0","918.0","a","1.0","4.5"
"0.0","18.0","-2.0","1.0","0.0","101","161.0","1016.0","l","0.0","8.0"
"4.0","14.0","0.0","1.0","0.0","102","159.0","707.0","a","1.0","3.0"
"0.0","16.0","-8.0","0.0","0.0","101","159.0","908.0","a","0.0","4.0"
"5.0","16.0","0.0","0.0","0.0","102","159.0","1042.0","a","0.0","3.0"
"0.0","22.0","-6.0","1.0","0.0","101","164.0","1119.0","a","1.0","8.0"
"0.0","14.0","-6.0","0.0","0.0","101","158.0","880.0","a","0.0","4.0"
"7.0","20.0","0.0","0.0","1.0","102","158.0","1145.0","a","0.0","3.0"
"4.0","20.0","0.0","0.0","1.0","102","165.0","1632.0","l","1.0","6.0"
"6.0","22.0","0.0","0.0","1.0","102","169.0","625.0","l","1.0","5.0"
"0.0","14.0","-5.0","0.0","1.0","101","175.0","1000.0","a","0.0","4.5"
"0.0","15.0","-3.0","1.0","0.0","101","175.0","1085.0","l","0.0","6.0"
"0.0","15.0","-3.0","0.0","0.0","101","172.0","1037.0","a","0.0","6.0"
"0.0","20.0","-6.0","0.0","0.0","101","172.0","929.0","a","0.0","7.0"
"4.0","16.0","0.0","0.0","1.0","102","172.0","758.0","a","0.0","4.0"
"0.0","22.0","-3.0","0.0","1.0","101","176.0","1544.0","l","1.0","9.5"
"0.0","22.0","-5.0","1.0","0.0","101","176.0","999.0","a","1.0","8.5"
"0.0","22.0","-5.0","0.0","1.0","101","171.0","1101.0","a","0.0","8.5"
"0.0","15.0","-10.0","0.0","0.0","101","171.0","701.0","l","1.0","2.5"
"5.0","18.0","0.0","1.0","1.0","102","171.0","997.0","a","1.0","4.0"
"4.0","20.0","0.0","0.0","1.0","102","189.0","1290.0","a","0.0","6.0"
"0.0","20.0","-10.0","0.0","0.0","101","193.0","893.0","a","0.0","5.0"
"0.0","16.0","-6.0","0.0","0.0","101","193.0","768.0","a","0.0","5.0"
"0.0","15.0","-5.0","0.0","1.0","101","193.0","1021.0","l","1.0","5.0"
"3.0","22.0","0.0","1.0","0.0","102","193.0","1072.0","a","1.0","8.0"
"0.0","15.0","-8.0","0.0","1.0","101","193.0","1541.0","l","1.0","3.5"
"7.0","22.0","0.0","0.0","0.0","102","193.0","848.0","l","1.0","4.0"
"0.0","15.0","-2.0","0.0","0.0","101","200.0","801.0","a","0.0","6.5"
"0.0","16.0","-5.0","0.0","1.0","101","200.0","1155.0","a","0.0","5.5"
"0.0","17.0","-2.0","1.0","0.0","101","200.0","1059.0","a","1.0","7.5"
"0.0","18.0","-5.0","1.0","0.0","101","198.0","839.0","a","1.0","6.5"
"0.0","20.0","-4.0","0.0","1.0","101","193.0","621.0","a","0.0","8.0"
"5.0","22.0","0.0","0.0","0.0","102","193.0","633.0","l","1.0","6.0"
"5.0","20.0","0.0","0.0","1.0","102","198.0","624.0","l","1.0","5.0"
"0.0","20.0","-10.0","0.0","0.0","101","203.0","934.0","l","1.0","5.0"
"0.0","18.0","-10.0","0.0","1.0","101","203.0","1026.0","a","0.0","4.0"
"0.0","20.0","-8.0","0.0","1.0","101","203.0","582.0","l","1.0","6.0"
"0.0","15.0","-2.0","1.0","1.0","101","203.0","618.0","l","0.0","6.5"
"0.0","16.0","-5.0","0.0","0.0","101","218.0","871.0","a","0.0","5.5"
"0.0","18.0","-4.0","0.0","0.0","101","218.0","799.0","l","1.0","7.0"
"0.0","22.0","-10.0","0.0","0.0","101","218.0","857.0","l","1.0","6.0"
"0.0","17.0","-3.0","0.0","1.0","101","218.0","703.0","a","0.0","7.0"
"0.0","22.0","-4.0","1.0","1.0","101","218.0","717.0","l","0.0","9.0"
"0.0","18.0","-6.0","0.0","0.0","101","240.0","1122.0","l","1.0","6.0"
"0.0","17.0","-3.0","1.0","1.0","101","240.0","2146.0","a","1.0","7.0"
"4.0","22.0","0.0","0.0","1.0","102","257.0","694.0","l","1.0","7.0"
"6.0","18.0","0.0","0.0","1.0","102","261.0","645.0","a","0.0","3.0"
"0.0","22.0","-4.0","1.0","0.0","101","267.0","941.0","l","0.0","9.0"
"7.0","14.0","0.0","0.0","0.0","102","263.0","591.0","a","0.0","0.0"
"0.0","17.0","-4.0","1.0","0.0","101","270.0","1260.0","l","0.0","6.5"
"0.0","16.0","-4.0","0.0","0.0","101","266.0","631.0","a","0.0","6.0"
"0.0","15.0","-4.0","0.0","1.0","101","266.0","741.0","a","0.0","5.5"
"0.0","17.0","-10.0","0.0","1.0","101","266.0","814.0","a","0.0","3.5"
"0.0","18.0","-3.0","1.0","0.0","101","266.0","815.0","l","0.0","7.5"
"4.0","16.0","0.0","0.0","1.0","102","263.0","615.0","l","1.0","4.0"
"0.0","20.0","-2.0","0.0","0.0","101","267.0","727.0","a","0.0","9.0"
"6.0","22.0","0.0","0.0","1.0","102","267.0","1263.0","a","0.0","5.0"
"0.0","18.0","-8.0","0.0","1.0","101","273.0","1051.0","a","0.0","5.0"
"6.0","16.0","0.0","0.0","1.0","102","273.0","615.0","l","1.0","2.0"
"5.0","14.0","0.0","0.0","1.0","102","279.0","703.0","l","1.0","2.0"
"0.0","17.0","-5.0","1.0","0.0","101","284.0","1614.0","a","1.0","6.0"
"5.0","14.0","0.0","0.0","0.0","102","279.0","952.0","a","0.0","2.0"
"0.0","15.0","-4.0","0.0","0.0","101","284.0","715.0","l","1.0","5.5"
"4.0","14.0","0.0","0.0","1.0","102","284.0","539.0","a","0.0","3.0"
"3.0","18.0","0.0","0.0","1.0","102","288.0","631.0","l","1.0","6.0"
"0.0","20.0","-5.0","0.0","0.0","101","291.0","639.0","a","0.0","7.5"
"3.0","20.0","0.0","0.0","0.0","102","291.0","1163.0","l","1.0","7.0"
"4.0","18.0","0.0","0.0","0.0","102","294.0","1406.0","a","0.0","5.0"
"0.0","17.0","-4.0","0.0","1.0","101","298.0","1803.0","a","0.0","6.5"
"0.0","14.0","-8.0","0.0","1.0","101","298.0","865.0","a","0.0","3.0"
"3.0","18.0","0.0","0.0","1.0","102","298.0","530.0","a","0.0","6.0"
"0.0","15.0","-6.0","0.0","0.0","101","301.0","708.0","l","1.0","4.5"
"0.0","16.0","-3.0","0.0","1.0","101","301.0","671.0","l","1.0","6.5"
"4.0","18.0","0.0","0.0","1.0","102","301.0","564.0","a","0.0","5.0"
"0.0","22.0","-10.0","0.0","1.0","101","305.0","531.0","l","1.0","6.0"
"5.0","16.0","0.0","0.0","0.0","102","305.0","806.0","l","1.0","3.0"
"0.0","15.0","-5.0","0.0","1.0","101","310.0","822.0","a","0.0","5.0"
"0.0","14.0","-6.0","1.0","1.0","101","310.0","2400.0","l","0.0","4.0"
"0.0","17.0","-6.0","0.0","0.0","101","324.0","966.0","l","1.0","5.5"
"0.0","14.0","-3.0","0.0","1.0","101","324.0","639.0","l","1.0","5.5"
"7.0","16.0","0.0","0.0","1.0","102","324.0","630.0","a","0.0","1.0"
"6.0","20.0","0.0","0.0","0.0","102","331.0","588.0","a","0.0","4.0"
"7.0","18.0","0.0","0.0","0.0","102","337.0","784.0","l","1.0","2.0"
"4.0","22.0","0.0","0.0","1.0","102","344.0","595.0","a","0.0","7.0"
"0.0","17.0","-6.0","0.0","0.0","101","348.0","599.0","l","1.0","5.5"
"0.0","22.0","-3.0","1.0","0.0","101","348.0","989.0","a","1.0","9.5"
"7.0","14.0","0.0","0.0","1.0","102","345.0","684.0","l","1.0","0.0"
"0.0","16.0","-4.0","0.0","0.0","101","352.0","632.0","a","0.0","6.0"
"0.0","17.0","-5.0","0.0","1.0","101","352.0","685.0","l","1.0","6.0"
"6.0","14.0","0.0","0.0","0.0","102","352.0","606.0","l","1.0","1.0"
"0.0","15.0","-6.0","0.0","0.0","101","358.0","885.0","l","1.0","4.5"
"3.0","16.0","0.0","0.0","0.0","102","358.0","493.0","a","0.0","5.0"
"0.0","14.0","-5.0","0.0","1.0","101","361.0","937.0","a","0.0","4.5"
"0.0","16.0","-3.0","1.0","1.0","101","361.0","1198.0","l","0.0","6.5"
"0.0","16.0","-10.0","0.0","1.0","101","377.0","1760.0","l","1.0","3.0"
"0.0","22.0","-2.0","1.0","1.0","101","377.0","1002.0","a","1.0","10.0"
"0.0","18.0","-10.0","0.0","1.0","101","399.0","936.0","l","1.0","4.0"
"5.0","22.0","0.0","0.0","0.0","102","399.0","925.0","l","1.0","6.0"
"3.0","22.0","0.0","0.0","0.0","102","404.0","743.0","a","0.0","8.0"
"7.0","20.0","0.0","0.0","0.0","102","407.0","536.0","l","1.0","3.0"
"0.0","16.0","-2.0","0.0","0.0","101","414.0","692.0","a","0.0","7.0"
"0.0","20.0","-6.0","0.0","1.0","101","414.0","611.0","l","1.0","7.0"
"0.0","18.0","-4.0","0.0","0.0","101","414.0","881.0","l","1.0","7.0"
"0.0","20.0","-3.0","1.0","0.0","101","414.0","1395.0","l","0.0","8.5"
"0.0","14.0","-2.0","1.0","0.0","101","411.0","1203.0","l","0.0","6.0"
"0.0","22.0","-6.0","0.0","0.0","101","409.0","605.0","a","0.0","8.0"
"0.0","14.0","-10.0","0.0","1.0","101","409.0","1752.0","a","0.0","2.0"
"3.0","16.0","0.0","0.0","1.0","102","409.0","701.0","a","0.0","5.0"
"0.0","22.0","-2.0","0.0","0.0","101","412.0","1075.0","a","0.0","10.0"
"5.0","20.0","0.0","0.0","0.0","102","412.0","572.0","l","1.0","5.0"
"0.0","17.0","-2.0","0.0","0.0","101","417.0","970.0","l","1.0","7.5"
"0.0","18.0","-5.0","0.0","1.0","101","417.0","549.0","l","1.0","6.5"
"3.0","14.0","0.0","0.0","1.0","102","417.0","624.0","l","1.0","4.0"
"0.0","15.0","-10.0","0.0","0.0","101","420.0","686.0","l","1.0","2.5"
"6.0","18.0","0.0","0.0","0.0","102","420.0","605.0","l","1.0","3.0"
"0.0","20.0","-4.0","0.0","1.0","101","426.0","659.0","l","1.0","8.0"
"6.0","20.0","0.0","0.0","1.0","102","426.0","770.0","l","1.0","4.0"
"0.0","16.0","-2.0","1.0","0.0","101","432.0","1260.0","l","0.0","7.0"
"0.0","20.0","-3.0","0.0","0.0","101","430.0","598.0","l","1.0","8.5"
"0.0","17.0","-8.0","0.0","0.0","101","430.0","883.0","a","0.0","4.5"
"0.0","14.0","-8.0","0.0","0.0","101","430.0","621.0","l","1.0","3.0"
"0.0","14.0","-3.0","1.0","0.0","101","430.0","635.0","a","1.0","5.5"
"6.0","14.0","0.0","0.0","1.0","102","427.0","857.0","a","0.0","1.0"
"7.0","16.0","0.0","0.0","1.0","102","433.0","659.0","l","1.0","1.0"
"0.0","14.0","-2.0","0.0","1.0","101","440.0","864.0","l","1.0","6.0"
"3.0","20.0","0.0","0.0","1.0","102","440.0","623.0","a","0.0","7.0"
"0.0","15.0","-8.0","0.0","1.0","101","443.0","2033.0","a","0.0","3.5"
"0.0","16.0","-8.0","0.0","1.0","101","443.0","1102.0","a","0.0","4.0"
"7.0","22.0","0.0","1.0","1.0","102","443.0","837.0","l","0.0","4.0"
"6.0","16.0","0.0","0.0","0.0","102","465.0","1432.0","a","0.0","2.0"
"0.0","17.0","-10.0","0.0","0.0","101","471.0","837.0","l","1.0","3.5"
"0.0","18.0","-8.0","0.0","1.0","101","471.0","1009.0","a","0.0","5.0"
"0.0","14.0","-4.0","0.0","1.0","101","471.0","1062.0","a","0.0","5.0"
"0.0","16.0","-10.0","0.0","1.0","101","471.0","692.0","l","1.0","3.0"
"0.0","20.0","-8.0","0.0","1.0","101","471.0","764.0","a","0.0","6.0"
"0.0","18.0","-6.0","0.0","1.0","101","471.0","728.0","a","0.0","6.0"
"0.0","22.0","-8.0","0.0","1.0","101","471.0","678.0","l","1.0","7.0"
"0.0","20.0","-5.0","0.0","0.0","101","471.0","676.0","l","1.0","7.5"
"5.0","18.0","0.0","1.0","1.0","102","471.0","1208.0","l","0.0","4.0"
"3.0","14.0","0.0","1.0","0.0","102","489.0","842.0","l","0.0","4.0"
