"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","17.0","-5.0","1.0","0.0","101","150.0","1350.0","a","1.0","6.0"
"7.0","10.0","0.0","1.0","0.0","102","145.0","1800.0","l","0.0","-2.0"
"0.0","10.0","-2.0","1.0","1.0","101","145.0","1016.0","a","1.0","4.0"
"0.0","13.0","-8.0","0.0","1.0","101","155.0","1275.0","a","0.0","2.5"
"5.0","12.0","0.0","1.0","1.0","102","155.0","1208.0","l","0.0","1.0"
"7.0","12.0","0.0","0.0","1.0","102","167.0","1149.0","a","0.0","-1.0"
"0.0","10.0","-5.0","1.0","0.0","101","174.0","1693.0","l","0.0","2.5"
"0.0","12.0","-10.0","0.0","0.0","101","169.0","1453.0","l","1.0","1.0"
"0.0","15.0","-8.0","1.0","1.0","101","169.0","1394.0","l","0.0","3.5"
"4.0","10.0","0.0","0.0","1.0","102","184.0","1458.0","l","1.0","1.0"
"0.0","12.0","-8.0","1.0","1.0","101","188.0","1744.0","l","0.0","2.0"
"0.0","13.0","-3.0","1.0","1.0","101","200.0","1176.0","l","0.0","5.0"
"0.0","11.0","-5.0","1.0","0.0","101","213.0","1056.0","l","0.0","3.0"
"4.0","8.0","0.0","0.0","0.0","102","208.0","1417.0","a","0.0","0.0"
"0.0","15.0","-2.0","0.0","0.0","101","212.0","1229.0","l","1.0","6.5"
"0.0","15.0","-8.0","0.0","0.0","101","212.0","1556.0","a","0.0","3.5"
"0.0","15.0","-2.0","1.0","1.0","101","212.0","1291.0","a","1.0","6.5"
"0.0","11.0","-4.0","1.0","0.0","101","227.0","1213.0","l","0.0","3.5"
"0.0","10.0","-3.0","1.0","0.0","101","223.0","890.0","a","1.0","3.5"
"3.0","10.0","0.0","1.0","0.0","102","220.0","1270.0","l","0.0","2.0"
"0.0","17.0","-4.0","1.0","0.0","101","220.0","832.0","a","1.0","6.5"
"0.0","9.0","-6.0","0.0","1.0","101","216.0","1106.0","a","0.0","1.5"
"0.0","10.0","-8.0","0.0","0.0","101","216.0","976.0","a","0.0","1.0"
"0.0","13.0","-2.0","1.0","0.0","101","216.0","901.0","l","0.0","5.5"
"0.0","17.0","-3.0","1.0","0.0","101","214.0","1063.0","a","1.0","7.0"
"0.0","13.0","-8.0","0.0","0.0","101","211.0","1265.0","l","1.0","2.5"
"0.0","10.0","-4.0","1.0","1.0","101","211.0","1065.0","l","0.0","3.0"
"6.0","14.0","0.0","1.0","0.0","102","221.0","1364.0","a","1.0","1.0"
"0.0","9.0","-5.0","0.0","1.0","101","221.0","1456.0","a","0.0","2.0"
"4.0","12.0","0.0","1.0","1.0","102","221.0","1331.0","a","1.0","2.0"
"6.0","10.0","0.0","0.0","0.0","102","233.0","1419.0","a","0.0","-1.0"
