"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","17.0","-8.0","0.0","0.0","101","150.0","3177.0","l","1.0","4.5"
"6.0","24.0","0.0","1.0","0.0","102","150.0","1176.0","l","0.0","6.0"
"0.0","16.0","-8.0","0.0","1.0","101","150.0","702.0","l","1.0","4.0"
"0.0","16.0","-4.0","1.0","0.0","101","150.0","1394.0","l","0.0","6.0"
"5.0","24.0","0.0","0.0","0.0","102","146.0","662.0","l","1.0","7.0"
"0.0","17.0","-10.0","0.0","1.0","101","151.0","770.0","a","0.0","3.5"
"0.0","22.0","-5.0","1.0","1.0","101","151.0","922.0","l","0.0","8.5"
"4.0","22.0","0.0","0.0","0.0","102","173.0","575.0","a","0.0","7.0"
"0.0","22.0","-10.0","0.0","1.0","101","177.0","978.0","a","0.0","6.0"
"0.0","22.0","-3.0","0.0","1.0","101","177.0","1205.0","a","0.0","9.5"
"3.0","22.0","0.0","1.0","1.0","102","177.0","794.0","l","0.0","8.0"
"0.0","16.0","-4.0","0.0","1.0","101","199.0","683.0","l","1.0","6.0"
"5.0","24.0","0.0","1.0","0.0","102","199.0","604.0","l","0.0","7.0"
"4.0","18.0","0.0","0.0","0.0","102","199.0","657.0","l","1.0","5.0"
"0.0","16.0","-2.0","0.0","1.0","101","203.0","702.0","a","0.0","7.0"
"0.0","22.0","-2.0","0.0","0.0","101","203.0","831.0","a","0.0","10.0"
"0.0","17.0","-4.0","0.0","0.0","101","203.0","791.0","l","1.0","6.5"
"0.0","22.0","-8.0","0.0","1.0","101","203.0","917.0","l","1.0","7.0"
"0.0","20.0","-10.0","0.0","1.0","101","203.0","855.0","a","0.0","5.0"
"0.0","16.0","-6.0","0.0","1.0","101","203.0","902.0","a","0.0","5.0"
"0.0","20.0","-6.0","0.0","0.0","101","203.0","602.0","a","0.0","7.0"
"0.0","17.0","-3.0","0.0","1.0","101","203.0","983.0","l","1.0","7.0"
"0.0","15.0","-8.0","0.0","1.0","101","203.0","957.0","a","0.0","3.5"
"0.0","14.0","-3.0","1.0","1.0","101","203.0","1114.0","a","1.0","5.5"
"0.0","14.0","-6.0","0.0","1.0","101","217.0","916.0","a","0.0","4.0"
"0.0","17.0","-10.0","0.0","1.0","101","217.0","651.0","l","1.0","3.5"
"5.0","20.0","0.0","1.0","0.0","102","217.0","754.0","a","1.0","5.0"
"6.0","20.0","0.0","0.0","0.0","102","217.0","751.0","l","1.0","4.0"
"0.0","14.0","-2.0","0.0","0.0","101","223.0","906.0","l","1.0","6.0"
"0.0","22.0","-4.0","1.0","1.0","101","223.0","978.0","l","0.0","9.0"
"0.0","18.0","-2.0","1.0","1.0","101","245.0","949.0","l","0.0","8.0"
"0.0","20.0","-5.0","0.0","1.0","101","263.0","745.0","l","1.0","7.5"
"0.0","16.0","-5.0","0.0","1.0","101","263.0","706.0","l","1.0","5.5"
"0.0","16.0","-2.0","1.0","1.0","101","263.0","930.0","l","0.0","7.0"
"0.0","14.0","-8.0","0.0","0.0","101","279.0","1068.0","l","1.0","3.0"
"0.0","17.0","-8.0","0.0","0.0","101","279.0","660.0","a","0.0","4.5"
"0.0","16.0","-10.0","0.0","1.0","101","279.0","879.0","l","1.0","3.0"
"5.0","18.0","0.0","1.0","0.0","102","279.0","693.0","l","0.0","4.0"
"0.0","14.0","-5.0","0.0","0.0","101","279.0","562.0","a","0.0","4.5"
"0.0","15.0","-2.0","1.0","0.0","101","279.0","733.0","a","1.0","6.5"
"3.0","20.0","0.0","0.0","1.0","102","277.0","754.0","l","1.0","7.0"
"0.0","20.0","-4.0","0.0","0.0","101","280.0","869.0","l","1.0","8.0"
"3.0","18.0","0.0","0.0","1.0","102","280.0","653.0","l","1.0","6.0"
"0.0","22.0","-8.0","0.0","0.0","101","283.0","748.0","l","1.0","7.0"
"4.0","24.0","0.0","1.0","0.0","102","283.0","1310.0","l","0.0","8.0"
"0.0","15.0","-4.0","0.0","0.0","101","283.0","714.0","l","1.0","5.5"
"0.0","14.0","-6.0","0.0","1.0","101","283.0","581.0","l","1.0","4.0"
"0.0","17.0","-2.0","0.0","0.0","101","283.0","838.0","l","1.0","7.5"
"5.0","16.0","0.0","0.0","0.0","102","283.0","602.0","l","1.0","3.0"
"0.0","20.0","-6.0","0.0","0.0","101","288.0","737.0","a","0.0","7.0"
"0.0","22.0","-6.0","0.0","1.0","101","288.0","1521.0","a","0.0","8.0"
"5.0","22.0","0.0","0.0","0.0","102","288.0","617.0","l","1.0","6.0"
"0.0","15.0","-10.0","0.0","1.0","101","293.0","604.0","l","1.0","2.5"
"0.0","15.0","-6.0","0.0","1.0","101","293.0","581.0","l","1.0","4.5"
"0.0","16.0","-10.0","0.0","1.0","101","293.0","797.0","l","1.0","3.0"
"6.0","24.0","0.0","1.0","1.0","102","293.0","643.0","l","0.0","6.0"
"0.0","18.0","-5.0","0.0","0.0","101","317.0","705.0","a","0.0","6.5"
"0.0","22.0","-2.0","0.0","1.0","101","317.0","634.0","l","1.0","10.0"
"3.0","16.0","0.0","0.0","1.0","102","317.0","733.0","l","1.0","5.0"
"0.0","20.0","-5.0","0.0","0.0","101","320.0","587.0","a","0.0","7.5"
"6.0","16.0","0.0","1.0","1.0","102","320.0","875.0","a","1.0","2.0"
"6.0","18.0","0.0","1.0","0.0","102","336.0","690.0","l","0.0","3.0"
"0.0","16.0","-3.0","0.0","0.0","101","336.0","588.0","a","0.0","6.5"
"5.0","22.0","0.0","1.0","1.0","102","336.0","561.0","l","0.0","6.0"
"7.0","20.0","0.0","1.0","0.0","102","358.0","582.0","l","0.0","3.0"
"0.0","17.0","-4.0","0.0","1.0","101","358.0","683.0","l","1.0","6.5"
"7.0","24.0","0.0","1.0","1.0","102","358.0","762.0","l","0.0","5.0"
"7.0","22.0","0.0","0.0","0.0","102","382.0","854.0","l","1.0","4.0"
"0.0","15.0","-3.0","0.0","1.0","101","389.0","496.0","a","0.0","6.0"
"0.0","15.0","-6.0","0.0","0.0","101","389.0","569.0","l","1.0","4.5"
"0.0","17.0","-5.0","0.0","0.0","101","389.0","589.0","l","1.0","6.0"
"0.0","17.0","-6.0","0.0","1.0","101","389.0","638.0","l","1.0","5.5"
"7.0","16.0","0.0","0.0","0.0","102","389.0","677.0","l","1.0","1.0"
"0.0","18.0","-8.0","0.0","0.0","101","396.0","603.0","l","1.0","5.0"
"5.0","18.0","0.0","1.0","1.0","102","396.0","638.0","l","0.0","4.0"
"0.0","14.0","-4.0","0.0","1.0","101","414.0","956.0","l","1.0","5.0"
