"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"6.0","8.0","0.0","1.0","0.0","102","150.0","3646.0","l","0.0","-2.0"
"5.0","16.0","0.0","1.0","1.0","102","150.0","763.0","l","0.0","3.0"
"0.0","12.0","-2.0","1.0","1.0","101","166.0","725.0","l","0.0","5.0"
"0.0","15.0","-5.0","1.0","0.0","101","178.0","528.0","a","1.0","5.0"
"0.0","14.0","-6.0","0.0","0.0","101","173.0","919.0","a","0.0","4.0"
"0.0","14.0","-6.0","0.0","1.0","101","173.0","1063.0","a","0.0","4.0"
"0.0","19.0","-10.0","0.0","0.0","101","173.0","921.0","a","0.0","4.5"
"0.0","13.0","-8.0","0.0","1.0","101","173.0","1116.0","l","1.0","2.5"
"0.0","14.0","-4.0","0.0","0.0","101","173.0","752.0","l","1.0","5.0"
"0.0","14.0","-5.0","0.0","0.0","101","173.0","1000.0","l","1.0","4.5"
"7.0","10.0","0.0","1.0","0.0","102","173.0","683.0","l","0.0","-2.0"
"6.0","10.0","0.0","1.0","1.0","102","173.0","844.0","l","0.0","-1.0"
"0.0","13.0","-4.0","0.0","0.0","101","183.0","1080.0","l","1.0","4.5"
"6.0","16.0","0.0","1.0","0.0","102","183.0","817.0","a","1.0","2.0"
"0.0","12.0","-10.0","0.0","1.0","101","183.0","795.0","l","1.0","1.0"
"0.0","14.0","-2.0","1.0","1.0","101","183.0","862.0","a","1.0","6.0"
"4.0","14.0","0.0","1.0","1.0","102","197.0","1200.0","a","1.0","3.0"
"7.0","14.0","0.0","1.0","1.0","102","211.0","1055.0","a","1.0","0.0"
"0.0","15.0","-4.0","1.0","1.0","101","225.0","1141.0","l","0.0","5.5"
"0.0","19.0","-6.0","1.0","0.0","101","240.0","982.0","l","0.0","6.5"
"5.0","8.0","0.0","1.0","0.0","102","234.0","913.0","l","0.0","-1.0"
"6.0","14.0","0.0","1.0","0.0","102","234.0","652.0","a","1.0","1.0"
"3.0","12.0","0.0","1.0","1.0","102","234.0","860.0","a","1.0","3.0"
"0.0","14.0","-10.0","0.0","1.0","101","246.0","944.0","a","0.0","2.0"
"0.0","19.0","-6.0","0.0","0.0","101","246.0","1073.0","a","0.0","6.5"
"0.0","13.0","-2.0","1.0","1.0","101","246.0","865.0","l","0.0","5.5"
"0.0","12.0","-4.0","1.0","0.0","101","259.0","1234.0","a","1.0","4.0"
"0.0","15.0","-8.0","0.0","1.0","101","255.0","879.0","l","1.0","3.5"
"4.0","12.0","0.0","1.0","0.0","102","255.0","654.0","a","1.0","2.0"
"0.0","19.0","-2.0","1.0","0.0","101","255.0","968.0","l","0.0","8.5"
"0.0","13.0","-4.0","0.0","0.0","101","253.0","1018.0","l","1.0","4.5"
"0.0","19.0","-4.0","1.0","1.0","101","253.0","861.0","a","1.0","7.5"
"0.0","14.0","-8.0","0.0","1.0","101","272.0","1166.0","l","1.0","3.0"
"0.0","19.0","-8.0","0.0","0.0","101","272.0","868.0","a","0.0","5.5"
"7.0","8.0","0.0","1.0","0.0","102","272.0","677.0","l","0.0","-3.0"
"7.0","8.0","0.0","1.0","0.0","102","272.0","717.0","l","0.0","-3.0"
"0.0","12.0","-8.0","0.0","0.0","101","272.0","895.0","l","1.0","2.0"
"0.0","17.0","-8.0","1.0","1.0","101","272.0","1255.0","l","0.0","4.5"
"3.0","8.0","0.0","1.0","0.0","102","289.0","881.0","l","0.0","1.0"
"0.0","11.0","-5.0","0.0","1.0","101","289.0","1109.0","l","1.0","3.0"
"0.0","17.0","-4.0","0.0","0.0","101","289.0","1246.0","a","0.0","6.5"
"0.0","19.0","-5.0","0.0","0.0","101","289.0","1070.0","a","0.0","7.0"
"0.0","11.0","-10.0","0.0","1.0","101","289.0","986.0","l","1.0","0.5"
"3.0","16.0","0.0","1.0","0.0","102","289.0","801.0","l","0.0","5.0"
"7.0","12.0","0.0","1.0","0.0","102","289.0","618.0","l","0.0","-1.0"
"0.0","15.0","-6.0","0.0","0.0","101","289.0","916.0","l","1.0","4.5"
"6.0","12.0","0.0","1.0","0.0","102","289.0","1056.0","a","1.0","0.0"
"0.0","11.0","-8.0","0.0","0.0","101","289.0","759.0","l","1.0","1.5"
"0.0","17.0","-5.0","0.0","0.0","101","289.0","1076.0","a","0.0","6.0"
"7.0","10.0","0.0","0.0","1.0","102","289.0","758.0","l","1.0","-2.0"
"6.0","12.0","0.0","0.0","1.0","102","296.0","1420.0","a","0.0","0.0"
"0.0","17.0","-2.0","1.0","1.0","101","302.0","1213.0","l","0.0","7.5"
"5.0","10.0","0.0","1.0","1.0","102","319.0","1975.0","l","0.0","0.0"
"0.0","13.0","-5.0","0.0","1.0","101","329.0","970.0","l","1.0","4.0"
"0.0","13.0","-10.0","0.0","0.0","101","329.0","792.0","l","1.0","1.5"
"0.0","15.0","-8.0","0.0","0.0","101","329.0","1130.0","a","0.0","3.5"
"7.0","16.0","0.0","1.0","0.0","102","329.0","1259.0","l","0.0","1.0"
"0.0","17.0","-6.0","0.0","0.0","101","329.0","802.0","l","1.0","5.5"
"0.0","12.0","-3.0","1.0","1.0","101","329.0","958.0","l","0.0","4.5"
"6.0","8.0","0.0","0.0","0.0","102","341.0","1202.0","a","0.0","-2.0"
"0.0","13.0","-6.0","0.0","0.0","101","347.0","590.0","l","1.0","3.5"
"0.0","19.0","-2.0","1.0","0.0","101","347.0","1053.0","a","1.0","8.5"
"3.0","10.0","0.0","1.0","0.0","102","345.0","1668.0","l","0.0","2.0"
"0.0","15.0","-4.0","0.0","1.0","101","345.0","816.0","l","1.0","5.5"
"5.0","8.0","0.0","0.0","0.0","102","345.0","694.0","l","1.0","-1.0"
"0.0","15.0","-10.0","0.0","0.0","101","350.0","1057.0","l","1.0","2.5"
"0.0","14.0","-4.0","0.0","1.0","101","350.0","1002.0","a","0.0","5.0"
"0.0","12.0","-6.0","0.0","0.0","101","350.0","610.0","l","1.0","3.0"
"4.0","8.0","0.0","1.0","1.0","102","350.0","1022.0","l","0.0","0.0"
"0.0","11.0","-3.0","1.0","1.0","101","358.0","1193.0","l","0.0","4.0"
"4.0","14.0","0.0","1.0","1.0","102","369.0","1304.0","a","1.0","3.0"
"0.0","13.0","-5.0","0.0","0.0","101","383.0","1195.0","a","0.0","4.0"
"5.0","14.0","0.0","1.0","0.0","102","383.0","1152.0","a","1.0","2.0"
"0.0","11.0","-2.0","1.0","0.0","101","383.0","1011.0","l","0.0","4.5"
"0.0","13.0","-3.0","0.0","1.0","101","381.0","1133.0","a","0.0","5.0"
"0.0","14.0","-10.0","0.0","0.0","101","381.0","859.0","a","0.0","2.0"
"0.0","12.0","-4.0","0.0","0.0","101","381.0","795.0","l","1.0","4.0"
"0.0","11.0","-5.0","0.0","1.0","101","381.0","698.0","l","1.0","3.0"
"5.0","12.0","0.0","1.0","1.0","102","381.0","715.0","l","0.0","1.0"
"0.0","19.0","-3.0","1.0","0.0","101","393.0","1088.0","l","0.0","8.0"
"0.0","17.0","-2.0","1.0","0.0","101","390.0","1338.0","l","0.0","7.5"
"5.0","10.0","0.0","0.0","1.0","102","388.0","734.0","l","1.0","0.0"
"0.0","17.0","-5.0","0.0","1.0","101","393.0","1087.0","a","0.0","6.0"
"0.0","11.0","-6.0","0.0","1.0","101","393.0","801.0","a","0.0","2.5"
"5.0","12.0","0.0","1.0","1.0","102","393.0","738.0","a","1.0","1.0"
"0.0","17.0","-10.0","0.0","1.0","101","405.0","1261.0","a","0.0","3.5"
"0.0","11.0","-4.0","0.0","1.0","101","405.0","801.0","l","1.0","3.5"
"4.0","10.0","0.0","1.0","0.0","102","405.0","735.0","a","1.0","1.0"
"0.0","14.0","-3.0","0.0","0.0","101","405.0","997.0","a","0.0","5.5"
"0.0","14.0","-3.0","0.0","1.0","101","405.0","786.0","a","0.0","5.5"
"0.0","19.0","-8.0","0.0","1.0","101","405.0","1156.0","l","1.0","5.5"
"0.0","19.0","-4.0","0.0","0.0","101","405.0","1102.0","a","0.0","7.5"
"0.0","11.0","-10.0","0.0","1.0","101","405.0","734.0","l","1.0","0.5"
"0.0","12.0","-5.0","0.0","0.0","101","405.0","697.0","l","1.0","3.5"
"4.0","16.0","0.0","1.0","1.0","102","405.0","804.0","a","1.0","4.0"
"0.0","15.0","-2.0","0.0","1.0","101","421.0","908.0","l","1.0","6.5"
"0.0","17.0","-4.0","0.0","1.0","101","421.0","929.0","l","1.0","6.5"
"0.0","12.0","-3.0","1.0","0.0","101","421.0","1453.0","l","0.0","4.5"
"0.0","11.0","-3.0","0.0","0.0","101","418.0","1077.0","a","0.0","4.0"
"0.0","17.0","-3.0","1.0","0.0","101","418.0","787.0","l","0.0","7.0"
"4.0","10.0","0.0","1.0","0.0","102","415.0","1007.0","a","1.0","1.0"
"6.0","14.0","0.0","1.0","0.0","102","415.0","853.0","a","1.0","1.0"
"0.0","17.0","-6.0","0.0","1.0","101","415.0","1270.0","a","0.0","5.5"
"4.0","12.0","0.0","1.0","0.0","102","415.0","667.0","a","1.0","2.0"
"0.0","11.0","-4.0","0.0","0.0","101","415.0","629.0","l","1.0","3.5"
"0.0","14.0","-2.0","1.0","0.0","101","415.0","969.0","l","0.0","6.0"
"3.0","16.0","0.0","1.0","0.0","102","413.0","777.0","l","0.0","5.0"
"0.0","13.0","-8.0","0.0","1.0","101","413.0","802.0","a","0.0","2.5"
"0.0","14.0","-8.0","0.0","0.0","101","413.0","658.0","l","1.0","3.0"
"0.0","19.0","-10.0","0.0","0.0","101","413.0","917.0","a","0.0","4.5"
"0.0","11.0","-6.0","0.0","0.0","101","413.0","1137.0","l","1.0","2.5"
"0.0","14.0","-5.0","0.0","1.0","101","413.0","532.0","l","1.0","4.5"
"0.0","11.0","-2.0","1.0","1.0","101","413.0","825.0","a","1.0","4.5"
"0.0","12.0","-8.0","0.0","1.0","101","424.0","1017.0","a","0.0","2.0"
