"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"6.0","10.0","0.0","1.0","0.0","102","150.0","1677.0","a","1.0","-1.0"
"0.0","18.0","-6.0","1.0","0.0","101","150.0","1170.0","a","1.0","6.0"
"0.0","10.0","-2.0","1.0","0.0","101","144.0","1071.0","a","1.0","4.0"
"0.0","11.0","-6.0","0.0","0.0","101","142.0","1229.0","l","1.0","2.5"
"6.0","8.0","0.0","0.0","0.0","102","142.0","1684.0","a","0.0","-2.0"
"5.0","10.0","0.0","0.0","0.0","102","148.0","829.0","a","0.0","0.0"
"0.0","12.0","-8.0","0.0","1.0","101","153.0","1378.0","l","1.0","2.0"
"3.0","12.0","0.0","0.0","0.0","102","153.0","766.0","a","0.0","3.0"
"6.0","6.0","0.0","0.0","0.0","102","156.0","1599.0","l","1.0","-3.0"
"4.0","10.0","0.0","0.0","0.0","102","162.0","1281.0","l","1.0","1.0"
"3.0","14.0","0.0","1.0","0.0","102","166.0","1366.0","l","0.0","4.0"
"0.0","16.0","-2.0","1.0","1.0","101","166.0","1303.0","a","1.0","7.0"
"0.0","18.0","-8.0","0.0","0.0","101","182.0","1416.0","a","0.0","5.0"
"0.0","18.0","-2.0","1.0","0.0","101","182.0","987.0","l","0.0","8.0"
"0.0","12.0","-3.0","1.0","0.0","101","180.0","1350.0","l","0.0","4.5"
"0.0","11.0","-5.0","0.0","0.0","101","177.0","1250.0","l","1.0","3.0"
"5.0","10.0","0.0","0.0","0.0","102","177.0","1186.0","a","0.0","0.0"
"0.0","16.0","-4.0","1.0","1.0","101","182.0","2442.0","a","1.0","6.0"
"0.0","10.0","-6.0","0.0","1.0","101","198.0","1742.0","a","0.0","2.0"
"0.0","11.0","-4.0","0.0","0.0","101","198.0","2132.0","l","1.0","3.5"
"0.0","12.0","-6.0","0.0","1.0","101","198.0","1194.0","a","0.0","3.0"
"4.0","6.0","0.0","0.0","0.0","102","198.0","812.0","l","1.0","-1.0"
"7.0","12.0","0.0","0.0","1.0","102","202.0","624.0","a","0.0","-1.0"
"0.0","18.0","-10.0","0.0","1.0","101","209.0","1601.0","l","1.0","4.0"
"0.0","13.0","-4.0","0.0","0.0","101","209.0","1055.0","a","0.0","4.5"
"0.0","16.0","-5.0","0.0","1.0","101","209.0","1297.0","l","1.0","5.5"
"0.0","11.0","-8.0","0.0","0.0","101","209.0","1172.0","a","0.0","1.5"
"7.0","14.0","0.0","0.0","0.0","102","209.0","1015.0","l","1.0","0.0"
"0.0","11.0","-10.0","0.0","1.0","101","216.0","1271.0","l","1.0","0.5"
"5.0","14.0","0.0","0.0","0.0","102","216.0","1538.0","l","1.0","2.0"
"3.0","12.0","0.0","1.0","0.0","102","221.0","1035.0","l","0.0","3.0"
"0.0","10.0","-3.0","0.0","0.0","101","221.0","857.0","a","0.0","3.5"
"0.0","14.0","-5.0","0.0","1.0","101","221.0","1486.0","l","1.0","4.5"
"0.0","18.0","-4.0","0.0","0.0","101","221.0","854.0","l","1.0","7.0"
"0.0","11.0","-2.0","1.0","1.0","101","221.0","1138.0","a","1.0","4.5"
"7.0","8.0","0.0","0.0","1.0","102","232.0","1402.0","l","1.0","-3.0"
"0.0","16.0","-8.0","0.0","0.0","101","239.0","891.0","a","0.0","4.0"
"0.0","14.0","-10.0","0.0","0.0","101","239.0","1172.0","a","0.0","2.0"
"0.0","14.0","-10.0","0.0","1.0","101","239.0","1580.0","l","1.0","2.0"
"0.0","14.0","-4.0","1.0","1.0","101","239.0","1682.0","l","0.0","5.0"
"0.0","12.0","-5.0","0.0","1.0","101","253.0","1176.0","a","0.0","3.5"
"4.0","8.0","0.0","0.0","0.0","102","253.0","1422.0","l","1.0","0.0"
"0.0","10.0","-4.0","0.0","0.0","101","257.0","1392.0","a","0.0","3.0"
"0.0","13.0","-2.0","1.0","0.0","101","257.0","1263.0","a","1.0","5.5"
"0.0","14.0","-3.0","0.0","0.0","101","255.0","1042.0","l","1.0","5.5"
"0.0","18.0","-3.0","1.0","0.0","101","255.0","1124.0","a","1.0","7.5"
"0.0","14.0","-8.0","0.0","0.0","101","252.0","1024.0","a","0.0","3.0"
"0.0","13.0","-8.0","0.0","0.0","101","252.0","802.0","a","0.0","2.5"
"0.0","11.0","-5.0","0.0","0.0","101","252.0","880.0","a","0.0","3.0"
