"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","14.0","-3.0","1.0","1.0","101","150.0","1734.0","l","0.0","5.5"
"0.0","13.0","-5.0","1.0","0.0","101","164.0","1192.0","a","1.0","4.0"
"5.0","18.0","0.0","1.0","0.0","102","159.0","1259.0","l","0.0","4.0"
"0.0","19.0","-4.0","1.0","1.0","101","159.0","1090.0","l","0.0","7.5"
"0.0","19.0","-6.0","1.0","1.0","101","178.0","650.0","l","0.0","6.5"
"3.0","12.0","0.0","1.0","1.0","102","197.0","807.0","a","1.0","3.0"
"7.0","16.0","0.0","1.0","1.0","102","209.0","925.0","a","1.0","1.0"
"7.0","12.0","0.0","0.0","0.0","102","225.0","1870.0","a","0.0","-1.0"
"3.0","10.0","0.0","0.0","1.0","102","232.0","1384.0","a","0.0","2.0"
"0.0","14.0","-8.0","1.0","0.0","101","235.0","1686.0","a","1.0","3.0"
"7.0","18.0","0.0","1.0","0.0","102","227.0","870.0","l","0.0","2.0"
"0.0","13.0","-2.0","1.0","0.0","101","227.0","723.0","a","1.0","5.5"
"0.0","21.0","-10.0","0.0","1.0","101","225.0","1711.0","a","0.0","5.5"
"0.0","16.0","-10.0","1.0","1.0","101","225.0","1156.0","a","1.0","3.0"
"0.0","15.0","-4.0","1.0","1.0","101","241.0","1127.0","l","0.0","5.5"
"4.0","10.0","0.0","0.0","1.0","102","256.0","903.0","a","0.0","1.0"
"0.0","13.0","-8.0","1.0","1.0","101","260.0","910.0","l","0.0","2.5"
"0.0","19.0","-2.0","1.0","1.0","101","273.0","762.0","a","1.0","8.5"
"0.0","15.0","-6.0","1.0","0.0","101","292.0","998.0","l","0.0","4.5"
"0.0","13.0","-8.0","1.0","1.0","101","286.0","780.0","l","0.0","2.5"
"6.0","12.0","0.0","1.0","0.0","102","299.0","572.0","a","1.0","0.0"
"0.0","16.0","-6.0","1.0","0.0","101","299.0","1159.0","l","0.0","5.0"
"0.0","14.0","-3.0","1.0","0.0","101","293.0","615.0","l","0.0","5.5"
"0.0","17.0","-3.0","1.0","1.0","101","290.0","1043.0","l","0.0","7.0"
"7.0","16.0","0.0","0.0","0.0","102","307.0","1709.0","l","1.0","1.0"
