"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","12.0","-3.0","1.0","1.0","101","150.0","1789.0","l","0.0","4.5"
"0.0","10.0","-8.0","0.0","1.0","101","162.0","1332.0","a","0.0","1.0"
"0.0","9.0","-2.0","1.0","1.0","101","162.0","1029.0","l","0.0","3.5"
"0.0","15.0","-3.0","1.0","0.0","101","171.0","1279.0","a","1.0","6.0"
"0.0","9.0","-3.0","1.0","1.0","101","168.0","836.0","a","1.0","3.0"
"0.0","10.0","-3.0","1.0","0.0","101","177.0","996.0","a","1.0","3.5"
"0.0","15.0","-5.0","1.0","1.0","101","174.0","1157.0","l","0.0","5.0"
"7.0","12.0","0.0","0.0","1.0","102","189.0","1572.0","l","1.0","-1.0"
"0.0","9.0","-5.0","0.0","1.0","101","196.0","1139.0","l","1.0","2.0"
"0.0","15.0","-8.0","0.0","1.0","101","196.0","1583.0","l","1.0","3.5"
"5.0","10.0","0.0","0.0","0.0","102","196.0","1575.0","l","1.0","0.0"
"0.0","10.0","-5.0","0.0","0.0","101","201.0","2944.0","a","0.0","2.5"
"6.0","10.0","0.0","0.0","0.0","102","201.0","1682.0","a","0.0","-1.0"
"0.0","11.0","-10.0","1.0","0.0","101","207.0","2394.0","a","1.0","0.5"
"0.0","15.0","-5.0","1.0","0.0","101","197.0","822.0","a","1.0","5.0"
"0.0","11.0","-5.0","1.0","0.0","101","192.0","1098.0","l","0.0","3.0"
"5.0","12.0","0.0","1.0","0.0","102","187.0","1389.0","a","1.0","1.0"
"0.0","11.0","-8.0","0.0","0.0","101","187.0","1852.0","l","1.0","1.5"
"0.0","17.0","-6.0","1.0","1.0","101","187.0","1000.0","a","1.0","5.5"
"0.0","10.0","-8.0","1.0","0.0","101","204.0","1755.0","l","0.0","1.0"
"0.0","10.0","-6.0","0.0","1.0","101","196.0","1362.0","a","0.0","2.0"
"0.0","11.0","-3.0","1.0","0.0","101","196.0","1012.0","l","0.0","4.0"
"0.0","17.0","-5.0","1.0","1.0","101","193.0","854.0","a","1.0","6.0"
"0.0","10.0","-3.0","1.0","1.0","101","210.0","1048.0","l","0.0","3.5"
"0.0","17.0","-2.0","1.0","0.0","101","220.0","1018.0","l","0.0","7.5"
"0.0","11.0","-3.0","1.0","0.0","101","218.0","995.0","l","0.0","4.0"
"3.0","10.0","0.0","1.0","1.0","102","215.0","1256.0","l","0.0","2.0"
"0.0","17.0","-3.0","1.0","0.0","101","225.0","908.0","l","0.0","7.0"
"0.0","11.0","-6.0","1.0","0.0","101","222.0","1805.0","l","0.0","2.5"
"0.0","12.0","-4.0","1.0","0.0","101","216.0","718.0","a","1.0","4.0"
"0.0","17.0","-10.0","0.0","0.0","101","212.0","1525.0","a","0.0","3.5"
"0.0","13.0","-4.0","1.0","1.0","101","212.0","963.0","l","0.0","4.5"
"0.0","12.0","-3.0","1.0","0.0","101","225.0","1226.0","a","1.0","4.5"
"0.0","9.0","-10.0","0.0","1.0","101","222.0","1128.0","a","0.0","-0.5"
"0.0","11.0","-5.0","1.0","0.0","101","222.0","987.0","a","1.0","3.0"
"0.0","13.0","-8.0","1.0","1.0","101","217.0","1163.0","a","1.0","2.5"
"7.0","8.0","0.0","0.0","1.0","102","230.0","2210.0","a","0.0","-3.0"
"3.0","10.0","0.0","1.0","1.0","102","237.0","1388.0","a","1.0","2.0"
"0.0","12.0","-8.0","1.0","1.0","101","247.0","1272.0","l","0.0","2.0"
"0.0","13.0","-5.0","1.0","1.0","101","259.0","777.0","a","1.0","4.0"
"0.0","15.0","-2.0","1.0","0.0","101","272.0","1164.0","a","1.0","6.5"
"5.0","8.0","0.0","0.0","1.0","102","270.0","1590.0","a","0.0","-1.0"
"4.0","12.0","0.0","1.0","0.0","102","275.0","1414.0","a","1.0","2.0"
"6.0","8.0","0.0","0.0","1.0","102","275.0","1586.0","a","0.0","-2.0"
"0.0","15.0","-4.0","1.0","0.0","101","281.0","987.0","l","0.0","5.5"
"5.0","14.0","0.0","1.0","0.0","102","277.0","1101.0","a","1.0","2.0"
"0.0","10.0","-4.0","1.0","1.0","101","277.0","749.0","a","1.0","3.0"
"3.0","8.0","0.0","1.0","0.0","102","287.0","1278.0","a","1.0","1.0"
"0.0","9.0","-2.0","1.0","0.0","101","287.0","882.0","l","0.0","3.5"
"0.0","17.0","-5.0","1.0","0.0","101","285.0","1630.0","a","1.0","6.0"
"5.0","6.0","0.0","0.0","0.0","102","280.0","1231.0","l","1.0","-2.0"
"0.0","9.0","-10.0","0.0","0.0","101","285.0","1489.0","a","0.0","-0.5"
"0.0","13.0","-6.0","1.0","0.0","101","285.0","1282.0","l","0.0","3.5"
"0.0","11.0","-2.0","1.0","1.0","101","279.0","885.0","l","0.0","4.5"
"0.0","10.0","-5.0","1.0","0.0","101","290.0","1611.0","a","1.0","2.5"
"0.0","17.0","-8.0","1.0","0.0","101","285.0","765.0","a","1.0","4.5"
"0.0","11.0","-6.0","1.0","0.0","101","277.0","911.0","l","0.0","2.5"
"6.0","12.0","0.0","0.0","1.0","102","271.0","1499.0","a","0.0","0.0"
"0.0","10.0","-10.0","0.0","1.0","101","277.0","1206.0","l","1.0","0.0"
"7.0","6.0","0.0","0.0","1.0","102","277.0","1678.0","l","1.0","-4.0"
"0.0","9.0","-6.0","1.0","0.0","101","284.0","1251.0","a","1.0","1.5"
"0.0","12.0","-4.0","1.0","1.0","101","278.0","980.0","l","0.0","4.0"
"0.0","12.0","-10.0","1.0","1.0","101","290.0","1148.0","a","1.0","1.0"
"0.0","15.0","-8.0","0.0","1.0","101","302.0","1559.0","l","1.0","3.5"
"0.0","11.0","-10.0","1.0","0.0","101","302.0","1253.0","l","0.0","0.5"
"0.0","9.0","-5.0","1.0","1.0","101","292.0","985.0","a","1.0","2.0"
"6.0","8.0","0.0","0.0","0.0","102","301.0","1142.0","l","1.0","-2.0"
"0.0","12.0","-5.0","1.0","0.0","101","307.0","1063.0","a","1.0","3.5"
"4.0","8.0","0.0","0.0","1.0","102","302.0","1183.0","a","0.0","0.0"
"3.0","12.0","0.0","1.0","1.0","102","306.0","1058.0","a","1.0","3.0"
"0.0","17.0","-10.0","1.0","1.0","101","318.0","786.0","a","1.0","3.5"
"6.0","14.0","0.0","1.0","1.0","102","335.0","1288.0","l","0.0","1.0"
"0.0","10.0","-10.0","0.0","1.0","101","349.0","1456.0","l","1.0","0.0"
"0.0","13.0","-3.0","1.0","0.0","101","349.0","1008.0","a","1.0","5.0"
"6.0","14.0","0.0","1.0","0.0","102","346.0","1489.0","l","0.0","1.0"
"5.0","8.0","0.0","0.0","0.0","102","346.0","1405.0","l","1.0","-1.0"
"0.0","12.0","-2.0","1.0","0.0","101","351.0","747.0","a","1.0","5.0"
"0.0","12.0","-8.0","1.0","0.0","101","349.0","839.0","a","1.0","2.0"
"0.0","17.0","-3.0","1.0","1.0","101","341.0","631.0","a","1.0","7.0"
"0.0","15.0","-6.0","1.0","0.0","101","358.0","944.0","l","0.0","4.5"
"0.0","12.0","-10.0","1.0","1.0","101","352.0","927.0","a","1.0","1.0"
"0.0","11.0","-4.0","1.0","0.0","101","364.0","695.0","a","1.0","3.5"
"5.0","10.0","0.0","0.0","0.0","102","360.0","1077.0","a","0.0","0.0"
"0.0","9.0","-3.0","1.0","1.0","101","365.0","609.0","a","1.0","3.0"
"0.0","15.0","-4.0","1.0","0.0","101","374.0","550.0","a","1.0","5.5"
"3.0","6.0","0.0","0.0","0.0","102","370.0","1240.0","l","1.0","0.0"
"0.0","13.0","-6.0","1.0","1.0","101","373.0","820.0","a","1.0","3.5"
"7.0","10.0","0.0","0.0","1.0","102","386.0","1604.0","a","0.0","-2.0"
"6.0","12.0","0.0","0.0","0.0","102","393.0","1224.0","l","1.0","0.0"
"0.0","15.0","-10.0","1.0","1.0","101","399.0","1001.0","l","0.0","2.5"
"0.0","9.0","-8.0","1.0","1.0","101","414.0","1194.0","a","1.0","0.5"
"0.0","9.0","-6.0","1.0","0.0","101","423.0","849.0","a","1.0","1.5"
"0.0","9.0","-4.0","1.0","0.0","101","417.0","845.0","l","0.0","2.5"
"4.0","12.0","0.0","1.0","0.0","102","413.0","1348.0","l","0.0","2.0"
"0.0","12.0","-5.0","1.0","1.0","101","413.0","791.0","l","0.0","3.5"
"0.0","17.0","-8.0","1.0","1.0","101","425.0","792.0","a","1.0","4.5"
"3.0","8.0","0.0","1.0","0.0","102","442.0","1519.0","l","0.0","1.0"
"5.0","6.0","0.0","0.0","1.0","102","442.0","1357.0","l","1.0","-2.0"
"4.0","14.0","0.0","1.0","0.0","102","447.0","1736.0","l","0.0","3.0"
"0.0","17.0","-2.0","1.0","1.0","101","447.0","836.0","l","0.0","7.5"
"4.0","6.0","0.0","0.0","1.0","102","464.0","1099.0","l","1.0","-1.0"
"0.0","11.0","-2.0","1.0","1.0","101","468.0","754.0","a","1.0","4.5"
"0.0","15.0","-2.0","1.0","0.0","101","479.0","601.0","a","1.0","6.5"
"0.0","12.0","-6.0","0.0","1.0","101","477.0","1941.0","l","1.0","3.0"
"5.0","12.0","0.0","1.0","0.0","102","477.0","1350.0","a","1.0","1.0"
"7.0","6.0","0.0","0.0","1.0","102","477.0","1560.0","a","0.0","-4.0"
"0.0","13.0","-8.0","0.0","0.0","101","484.0","1732.0","l","1.0","2.5"
"0.0","13.0","-10.0","1.0","1.0","101","484.0","1510.0","l","0.0","1.5"
"3.0","14.0","0.0","1.0","1.0","102","497.0","1058.0","a","1.0","4.0"
