"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","18.0","-4.0","1.0","0.0","101","150.0","2066.0","a","1.0","7.0"
"5.0","16.0","0.0","0.0","0.0","102","146.0","1673.0","l","1.0","3.0"
"0.0","11.0","-8.0","0.0","1.0","101","151.0","1110.0","a","0.0","1.5"
"0.0","14.0","-10.0","0.0","1.0","101","151.0","1000.0","a","0.0","2.0"
"0.0","13.0","-4.0","0.0","1.0","101","151.0","1155.0","l","1.0","4.5"
"0.0","11.0","-2.0","1.0","0.0","101","151.0","814.0","l","0.0","4.5"
"0.0","14.0","-8.0","0.0","1.0","101","149.0","921.0","l","1.0","3.0"
"0.0","10.0","-2.0","1.0","0.0","101","149.0","704.0","a","1.0","4.0"
"0.0","14.0","-4.0","0.0","0.0","101","147.0","876.0","l","1.0","5.0"
"0.0","12.0","-3.0","0.0","0.0","101","147.0","1032.0","l","1.0","4.5"
"0.0","10.0","-8.0","1.0","1.0","101","147.0","531.0","a","1.0","1.0"
"3.0","8.0","0.0","0.0","1.0","102","157.0","1204.0","a","0.0","1.0"
"0.0","16.0","-3.0","1.0","0.0","101","160.0","1061.0","l","0.0","6.5"
"0.0","18.0","-8.0","0.0","1.0","101","157.0","860.0","a","0.0","5.0"
"0.0","12.0","-8.0","0.0","0.0","101","157.0","982.0","a","0.0","2.0"
"0.0","16.0","-6.0","1.0","1.0","101","157.0","704.0","a","1.0","5.0"
"0.0","11.0","-6.0","1.0","0.0","101","173.0","687.0","l","0.0","2.5"
"0.0","12.0","-5.0","1.0","0.0","101","167.0","674.0","a","1.0","3.5"
"0.0","13.0","-10.0","1.0","0.0","101","162.0","2669.0","l","0.0","1.5"
"5.0","10.0","0.0","0.0","0.0","102","152.0","1017.0","l","1.0","0.0"
"0.0","18.0","-5.0","0.0","1.0","101","157.0","1061.0","a","0.0","6.5"
"5.0","14.0","0.0","1.0","1.0","102","157.0","924.0","l","0.0","2.0"
"0.0","16.0","-4.0","0.0","0.0","101","171.0","1033.0","l","1.0","6.0"
"4.0","8.0","0.0","1.0","0.0","102","171.0","641.0","a","1.0","0.0"
"0.0","13.0","-6.0","0.0","1.0","101","171.0","1062.0","a","0.0","3.5"
"0.0","16.0","-8.0","1.0","0.0","101","171.0","539.0","a","1.0","4.0"
"0.0","13.0","-8.0","0.0","1.0","101","163.0","903.0","a","0.0","2.5"
"0.0","14.0","-5.0","1.0","1.0","101","163.0","719.0","a","1.0","4.5"
"0.0","10.0","-5.0","0.0","0.0","101","177.0","914.0","a","0.0","2.5"
"6.0","10.0","0.0","1.0","1.0","102","177.0","642.0","a","1.0","-1.0"
"0.0","13.0","-5.0","0.0","1.0","101","187.0","845.0","l","1.0","4.0"
"5.0","8.0","0.0","1.0","0.0","102","187.0","721.0","l","0.0","-1.0"
"0.0","12.0","-4.0","0.0","0.0","101","187.0","1189.0","l","1.0","4.0"
"7.0","10.0","0.0","1.0","0.0","102","187.0","655.0","a","1.0","-2.0"
"0.0","14.0","-3.0","1.0","1.0","101","187.0","946.0","l","0.0","5.5"
"0.0","13.0","-2.0","1.0","1.0","101","201.0","1030.0","a","1.0","5.5"
"0.0","18.0","-6.0","0.0","1.0","101","214.0","1078.0","a","0.0","6.0"
"0.0","18.0","-3.0","0.0","0.0","101","214.0","623.0","l","1.0","7.5"
"0.0","12.0","-6.0","0.0","0.0","101","214.0","797.0","l","1.0","3.0"
"0.0","16.0","-2.0","1.0","1.0","101","214.0","672.0","a","1.0","7.0"
"0.0","14.0","-6.0","0.0","1.0","101","230.0","1002.0","l","1.0","4.0"
"3.0","12.0","0.0","1.0","0.0","102","230.0","562.0","a","1.0","3.0"
"3.0","16.0","0.0","1.0","1.0","102","230.0","641.0","a","1.0","5.0"
"0.0","11.0","-2.0","1.0","1.0","101","246.0","953.0","l","0.0","4.5"
"0.0","10.0","-10.0","0.0","0.0","101","257.0","1061.0","a","0.0","0.0"
"0.0","13.0","-2.0","1.0","0.0","101","257.0","797.0","a","1.0","5.5"
"0.0","14.0","-2.0","1.0","0.0","101","255.0","875.0","l","0.0","6.0"
"6.0","14.0","0.0","1.0","1.0","102","253.0","718.0","a","1.0","1.0"
"5.0","12.0","0.0","1.0","0.0","102","267.0","687.0","a","1.0","1.0"
"6.0","12.0","0.0","1.0","0.0","102","267.0","1454.0","l","0.0","0.0"
"0.0","12.0","-5.0","0.0","0.0","101","267.0","876.0","a","0.0","3.5"
"6.0","12.0","0.0","0.0","1.0","102","267.0","1522.0","l","1.0","0.0"
"0.0","11.0","-5.0","0.0","1.0","101","273.0","906.0","a","0.0","3.0"
"4.0","14.0","0.0","1.0","1.0","102","273.0","1405.0","l","0.0","3.0"
"0.0","12.0","-4.0","0.0","0.0","101","287.0","751.0","a","0.0","4.0"
"0.0","18.0","-10.0","0.0","1.0","101","287.0","1171.0","l","1.0","4.0"
"0.0","12.0","-10.0","0.0","1.0","101","287.0","811.0","a","0.0","1.0"
"0.0","18.0","-4.0","0.0","0.0","101","287.0","953.0","l","1.0","7.0"
"7.0","10.0","0.0","1.0","1.0","102","287.0","1172.0","l","0.0","-2.0"
"6.0","16.0","0.0","1.0","1.0","102","297.0","877.0","a","1.0","2.0"
"0.0","14.0","-6.0","0.0","1.0","101","313.0","952.0","l","1.0","4.0"
"0.0","10.0","-3.0","0.0","0.0","101","313.0","906.0","a","0.0","3.5"
"0.0","12.0","-3.0","1.0","1.0","101","313.0","1001.0","a","1.0","4.5"
"0.0","16.0","-3.0","1.0","1.0","101","325.0","952.0","l","0.0","6.5"
"6.0","14.0","0.0","0.0","1.0","102","341.0","830.0","l","1.0","1.0"
"0.0","18.0","-6.0","0.0","1.0","101","347.0","1515.0","a","0.0","6.0"
"0.0","11.0","-10.0","0.0","0.0","101","347.0","922.0","a","0.0","0.5"
"0.0","12.0","-10.0","0.0","0.0","101","347.0","938.0","a","0.0","1.0"
"6.0","8.0","0.0","1.0","1.0","102","347.0","947.0","a","1.0","-2.0"
"6.0","10.0","0.0","0.0","1.0","102","355.0","1280.0","l","1.0","-1.0"
"5.0","14.0","0.0","0.0","0.0","102","361.0","1000.0","l","1.0","2.0"
"0.0","16.0","-5.0","0.0","0.0","101","366.0","1912.0","l","1.0","5.5"
"0.0","16.0","-2.0","1.0","0.0","101","366.0","2638.0","l","0.0","7.0"
"0.0","11.0","-6.0","0.0","1.0","101","364.0","1140.0","l","1.0","2.5"
"7.0","14.0","0.0","0.0","0.0","102","364.0","1079.0","a","0.0","0.0"
"7.0","16.0","0.0","1.0","1.0","102","371.0","904.0","l","0.0","1.0"
"3.0","16.0","0.0","1.0","0.0","102","387.0","1687.0","a","1.0","5.0"
"0.0","12.0","-2.0","0.0","1.0","101","387.0","923.0","l","1.0","5.0"
"7.0","16.0","0.0","1.0","0.0","102","387.0","657.0","l","0.0","1.0"
"0.0","18.0","-5.0","0.0","1.0","101","387.0","907.0","l","1.0","6.5"
"0.0","14.0","-2.0","1.0","1.0","101","387.0","1298.0","l","0.0","6.0"
"0.0","10.0","-8.0","0.0","1.0","101","401.0","859.0","a","0.0","1.0"
"0.0","13.0","-3.0","0.0","1.0","101","401.0","828.0","a","0.0","5.0"
"4.0","16.0","0.0","1.0","1.0","102","401.0","797.0","l","0.0","4.0"
"7.0","12.0","0.0","0.0","0.0","102","417.0","1062.0","a","0.0","-1.0"
"6.0","16.0","0.0","1.0","0.0","102","424.0","1138.0","l","0.0","2.0"
"6.0","8.0","0.0","0.0","0.0","102","424.0","1470.0","l","1.0","-2.0"
"0.0","14.0","-4.0","0.0","1.0","101","430.0","735.0","a","0.0","5.0"
"0.0","10.0","-6.0","0.0","1.0","101","430.0","1091.0","l","1.0","2.0"
"5.0","8.0","0.0","0.0","1.0","102","430.0","1437.0","l","1.0","-1.0"
"0.0","10.0","-10.0","0.0","1.0","101","435.0","2172.0","l","1.0","0.0"
"0.0","11.0","-4.0","0.0","0.0","101","435.0","750.0","l","1.0","3.5"
"0.0","13.0","-10.0","0.0","1.0","101","435.0","1081.0","a","0.0","1.5"
"0.0","13.0","-4.0","0.0","0.0","101","435.0","953.0","a","0.0","4.5"
"0.0","10.0","-4.0","0.0","0.0","101","435.0","1046.0","l","1.0","3.0"
"0.0","16.0","-10.0","0.0","0.0","101","435.0","1234.0","a","0.0","3.0"
"0.0","10.0","-3.0","0.0","0.0","101","435.0","1015.0","a","0.0","3.5"
"0.0","16.0","-5.0","0.0","1.0","101","435.0","967.0","l","1.0","5.5"
"0.0","13.0","-5.0","0.0","0.0","101","435.0","984.0","a","0.0","4.0"
"0.0","14.0","-3.0","0.0","0.0","101","435.0","924.0","a","0.0","5.5"
"3.0","8.0","0.0","1.0","1.0","102","435.0","783.0","l","0.0","1.0"
"0.0","16.0","-10.0","0.0","0.0","101","443.0","1529.0","l","1.0","3.0"
"5.0","16.0","0.0","0.0","1.0","102","443.0","1188.0","a","0.0","3.0"
"0.0","11.0","-3.0","0.0","1.0","101","448.0","970.0","a","0.0","4.0"
"4.0","10.0","0.0","1.0","0.0","102","448.0","1001.0","a","1.0","1.0"
"7.0","12.0","0.0","1.0","0.0","102","448.0","1076.0","a","1.0","-1.0"
"0.0","18.0","-8.0","0.0","1.0","101","448.0","735.0","l","1.0","5.0"
"0.0","16.0","-4.0","0.0","1.0","101","448.0","1062.0","l","1.0","6.0"
"0.0","10.0","-2.0","1.0","0.0","101","448.0","860.0","a","1.0","4.0"
"4.0","12.0","0.0","0.0","0.0","102","446.0","829.0","a","0.0","2.0"
"0.0","18.0","-10.0","0.0","1.0","101","450.0","769.0","l","1.0","4.0"
"4.0","10.0","0.0","0.0","0.0","102","450.0","898.0","l","1.0","1.0"
"0.0","13.0","-6.0","0.0","0.0","101","454.0","1233.0","l","1.0","3.5"
"0.0","13.0","-8.0","0.0","1.0","101","454.0","952.0","l","1.0","2.5"
"0.0","11.0","-8.0","0.0","0.0","101","454.0","955.0","l","1.0","1.5"
"0.0","10.0","-4.0","1.0","1.0","101","454.0","750.0","a","1.0","3.0"
"7.0","8.0","0.0","0.0","0.0","102","464.0","1047.0","l","1.0","-3.0"
"0.0","14.0","-5.0","0.0","1.0","101","471.0","1133.0","a","0.0","4.5"
"7.0","14.0","0.0","0.0","0.0","102","471.0","813.0","l","1.0","0.0"
"0.0","18.0","-2.0","1.0","0.0","101","478.0","1125.0","a","1.0","8.0"
"3.0","12.0","0.0","0.0","0.0","102","476.0","862.0","a","0.0","3.0"
"0.0","18.0","-3.0","0.0","0.0","101","479.0","829.0","a","0.0","7.5"
"3.0","10.0","0.0","0.0","0.0","102","479.0","968.0","l","1.0","2.0"
"0.0","14.0","-10.0","0.0","1.0","101","482.0","874.0","l","1.0","2.0"
"0.0","10.0","-6.0","0.0","0.0","101","482.0","798.0","l","1.0","2.0"
"0.0","10.0","-5.0","0.0","1.0","101","482.0","879.0","a","0.0","2.5"
"3.0","14.0","0.0","1.0","0.0","102","482.0","1205.0","l","0.0","4.0"
"0.0","11.0","-10.0","0.0","1.0","101","482.0","829.0","a","0.0","0.5"
"0.0","12.0","-8.0","0.0","0.0","101","482.0","1048.0","a","0.0","2.0"
"0.0","18.0","-2.0","0.0","1.0","101","482.0","935.0","a","0.0","8.0"
"3.0","10.0","0.0","1.0","1.0","102","482.0","1153.0","a","1.0","2.0"
"4.0","14.0","0.0","0.0","1.0","102","492.0","1283.0","a","0.0","3.0"
"0.0","12.0","-6.0","0.0","1.0","101","496.0","1015.0","a","0.0","3.0"
"0.0","11.0","-4.0","0.0","1.0","101","496.0","797.0","a","0.0","3.5"
"0.0","11.0","-3.0","0.0","0.0","101","496.0","814.0","a","0.0","4.0"
"7.0","8.0","0.0","1.0","1.0","102","496.0","1639.0","l","0.0","-3.0"
"4.0","8.0","0.0","0.0","1.0","102","504.0","1374.0","l","1.0","0.0"
"0.0","16.0","-6.0","0.0","0.0","101","508.0","846.0","a","0.0","5.0"
"3.0","14.0","0.0","1.0","0.0","102","508.0","1125.0","l","0.0","4.0"
"4.0","16.0","0.0","1.0","1.0","102","508.0","1593.0","a","1.0","4.0"
"5.0","10.0","0.0","0.0","1.0","102","524.0","1367.0","l","1.0","0.0"
"0.0","13.0","-3.0","0.0","0.0","101","529.0","1233.0","l","1.0","5.0"
"0.0","16.0","-8.0","0.0","1.0","101","529.0","968.0","l","1.0","4.0"
"0.0","14.0","-8.0","0.0","1.0","101","529.0","895.0","l","1.0","3.0"
"0.0","11.0","-5.0","0.0","1.0","101","529.0","859.0","l","1.0","3.0"
"0.0","12.0","-2.0","1.0","1.0","101","529.0","814.0","l","0.0","5.0"
"4.0","12.0","0.0","0.0","1.0","102","541.0","1764.0","l","1.0","2.0"
"5.0","12.0","0.0","0.0","0.0","102","545.0","1139.0","a","0.0","1.0"
