"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","18.0","-6.0","-999.0","0.0","101","150.0","","-999","0.0","6.0"
"0.0","21.0","-2.0","1.0","1.0","101","150.0","1714.0","l","0.0","9.5"
"4.0","6.0","0.0","1.0","0.0","102","171.0","1726.0","a","1.0","-1.0"
"0.0","26.0","-3.0","1.0","0.0","101","171.0","1338.0","a","1.0","11.5"
"7.0","12.0","0.0","1.0","1.0","102","168.0","1293.0","l","0.0","-1.0"
"3.0","14.0","0.0","1.0","0.0","102","180.0","1737.0","l","0.0","4.0"
"0.0","19.0","-3.0","1.0","1.0","101","180.0","1150.0","a","1.0","8.0"
"5.0","8.0","0.0","1.0","1.0","102","199.0","1479.0","l","0.0","-1.0"
"7.0","12.0","0.0","1.0","0.0","102","207.0","912.0","l","0.0","-1.0"
"0.0","26.0","-3.0","1.0","1.0","101","207.0","1321.0","l","0.0","11.5"
"3.0","12.0","0.0","1.0","1.0","102","233.0","1292.0","l","0.0","3.0"
"0.0","21.0","-6.0","0.0","0.0","101","245.0","1488.0","l","1.0","7.5"
"0.0","18.0","-5.0","0.0","0.0","101","245.0","1083.0","a","0.0","6.5"
"0.0","22.0","-5.0","0.0","0.0","101","245.0","1353.0","a","0.0","8.5"
"0.0","26.0","-6.0","0.0","1.0","101","245.0","1232.0","l","1.0","10.0"
"0.0","26.0","-4.0","1.0","1.0","101","245.0","1540.0","a","1.0","11.0"
"0.0","18.0","-2.0","1.0","0.0","101","271.0","1378.0","l","0.0","8.0"
"5.0","6.0","0.0","0.0","0.0","102","269.0","1539.0","l","1.0","-2.0"
"4.0","12.0","0.0","1.0","1.0","102","274.0","1231.0","a","1.0","2.0"
"0.0","20.0","-2.0","1.0","0.0","101","286.0","1147.0","l","0.0","9.0"
"0.0","26.0","-10.0","0.0","0.0","101","284.0","1123.0","a","0.0","8.0"
"0.0","22.0","-4.0","1.0","0.0","101","284.0","1661.0","l","0.0","9.0"
"7.0","8.0","0.0","0.0","1.0","102","280.0","1335.0","l","1.0","-3.0"
"0.0","22.0","-6.0","0.0","1.0","101","287.0","1355.0","l","1.0","8.0"
"0.0","26.0","-6.0","0.0","1.0","101","287.0","1261.0","a","0.0","10.0"
"0.0","18.0","-10.0","0.0","1.0","101","287.0","983.0","a","0.0","4.0"
"0.0","20.0","-4.0","1.0","0.0","101","287.0","1452.0","l","0.0","8.0"
"0.0","21.0","-10.0","0.0","0.0","101","283.0","1114.0","l","1.0","5.5"
"7.0","8.0","0.0","0.0","0.0","102","283.0","1505.0","a","0.0","-3.0"
"0.0","24.0","-6.0","0.0","1.0","101","290.0","1124.0","a","0.0","9.0"
"6.0","12.0","0.0","1.0","0.0","102","290.0","1345.0","a","1.0","0.0"
"0.0","20.0","-5.0","0.0","0.0","101","290.0","1995.0","l","1.0","7.5"
"0.0","21.0","-6.0","0.0","0.0","101","290.0","877.0","a","0.0","7.5"
"0.0","19.0","-8.0","0.0","0.0","101","290.0","1036.0","a","0.0","5.5"
"0.0","19.0","-2.0","1.0","1.0","101","290.0","1218.0","l","0.0","8.5"
"0.0","20.0","-5.0","0.0","0.0","101","309.0","1107.0","l","1.0","7.5"
"0.0","24.0","-4.0","0.0","1.0","101","309.0","1502.0","l","1.0","10.0"
"4.0","14.0","0.0","1.0","0.0","102","309.0","1069.0","a","1.0","3.0"
"0.0","22.0","-4.0","1.0","0.0","101","309.0","1391.0","a","1.0","9.0"
"5.0","10.0","0.0","1.0","0.0","102","305.0","1550.0","a","1.0","0.0"
"0.0","22.0","-8.0","0.0","1.0","101","305.0","1068.0","a","0.0","7.0"
"4.0","8.0","0.0","0.0","1.0","102","305.0","1569.0","l","1.0","0.0"
"0.0","22.0","-2.0","1.0","1.0","101","309.0","1696.0","l","0.0","10.0"
"0.0","19.0","-5.0","0.0","0.0","101","331.0","1058.0","a","0.0","7.0"
"0.0","18.0","-2.0","1.0","0.0","101","331.0","939.0","a","1.0","8.0"
"5.0","10.0","0.0","1.0","0.0","102","329.0","1040.0","a","1.0","0.0"
"0.0","26.0","-2.0","1.0","1.0","101","329.0","1033.0","l","0.0","12.0"
"0.0","24.0","-8.0","0.0","0.0","101","355.0","1960.0","l","1.0","8.0"
"0.0","24.0","-3.0","1.0","0.0","101","355.0","1091.0","a","1.0","10.5"
"0.0","18.0","-3.0","1.0","1.0","101","352.0","1118.0","l","0.0","7.5"
"0.0","18.0","-6.0","0.0","0.0","101","370.0","1998.0","l","1.0","6.0"
"0.0","18.0","-4.0","1.0","1.0","101","370.0","755.0","l","0.0","7.0"
"4.0","12.0","0.0","1.0","0.0","102","388.0","1068.0","l","0.0","2.0"
"0.0","22.0","-5.0","0.0","1.0","101","388.0","1256.0","a","0.0","8.5"
"0.0","19.0","-6.0","1.0","1.0","101","388.0","1403.0","l","0.0","6.5"
"6.0","8.0","0.0","0.0","0.0","102","407.0","2049.0","a","0.0","-2.0"
"0.0","18.0","-4.0","1.0","1.0","101","413.0","1083.0","l","0.0","7.0"
"0.0","24.0","-2.0","1.0","1.0","101","431.0","890.0","l","0.0","11.0"
"0.0","21.0","-5.0","0.0","0.0","101","455.0","1469.0","l","1.0","8.0"
"4.0","10.0","0.0","1.0","1.0","102","455.0","1448.0","l","0.0","1.0"
"0.0","19.0","-2.0","1.0","1.0","101","465.0","1302.0","a","1.0","8.5"
"6.0","10.0","0.0","1.0","0.0","102","484.0","1570.0","l","0.0","-1.0"
"0.0","21.0","-3.0","1.0","0.0","101","484.0","1467.0","a","1.0","9.0"
"0.0","18.0","-3.0","0.0","1.0","101","481.0","1345.0","l","1.0","7.5"
"7.0","10.0","0.0","0.0","1.0","102","481.0","1394.0","a","0.0","-2.0"
"0.0","18.0","-8.0","0.0","1.0","101","488.0","1366.0","l","1.0","5.0"
"3.0","10.0","0.0","0.0","0.0","102","488.0","1475.0","l","1.0","2.0"
"0.0","20.0","-4.0","1.0","0.0","101","491.0","1156.0","l","0.0","8.0"
"4.0","6.0","0.0","0.0","1.0","102","487.0","1992.0","l","1.0","-1.0"
