"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"6.0","8.0","0.0","0.0","1.0","102","150.0","2332.0","l","1.0","-2.0"
"0.0","12.0","-6.0","1.0","1.0","101","156.0","1773.0","l","0.0","3.0"
"0.0","14.0","-8.0","1.0","1.0","101","168.0","2142.0","l","0.0","3.0"
"0.0","10.0","-10.0","0.0","0.0","101","182.0","2550.0","a","0.0","0.0"
"0.0","11.0","-3.0","1.0","0.0","101","182.0","1221.0","a","1.0","4.0"
"0.0","8.0","-10.0","0.0","1.0","101","179.0","1896.0","a","0.0","-1.0"
"0.0","10.0","-10.0","0.0","0.0","101","179.0","2205.0","l","1.0","0.0"
"7.0","6.0","0.0","0.0","1.0","102","179.0","1742.0","l","1.0","-4.0"
"6.0","12.0","0.0","0.0","0.0","102","186.0","2021.0","l","1.0","0.0"
"0.0","9.0","-2.0","1.0","0.0","101","192.0","1820.0","a","1.0","3.5"
"0.0","12.0","-4.0","1.0","1.0","101","190.0","1351.0","l","0.0","4.0"
"0.0","9.0","-6.0","1.0","0.0","101","202.0","1584.0","a","1.0","1.5"
"0.0","8.0","-6.0","1.0","1.0","101","196.0","1400.0","l","0.0","1.0"
"0.0","12.0","-2.0","1.0","0.0","101","204.0","1076.0","l","0.0","5.0"
"0.0","16.0","-6.0","1.0","1.0","101","202.0","1261.0","l","0.0","5.0"
"0.0","16.0","-8.0","1.0","1.0","101","218.0","1451.0","a","1.0","4.0"
"0.0","12.0","-6.0","1.0","0.0","101","234.0","2222.0","l","0.0","3.0"
"6.0","6.0","0.0","0.0","0.0","102","228.0","1373.0","l","1.0","-3.0"
"5.0","12.0","0.0","1.0","1.0","102","234.0","1799.0","l","0.0","1.0"
"0.0","10.0","-6.0","1.0","0.0","101","246.0","2409.0","a","1.0","2.0"
"0.0","10.0","-4.0","1.0","0.0","101","240.0","1721.0","l","0.0","3.0"
"0.0","16.0","-10.0","1.0","0.0","101","236.0","1869.0","l","0.0","3.0"
"3.0","12.0","0.0","1.0","0.0","102","226.0","1908.0","l","0.0","3.0"
"0.0","10.0","-5.0","1.0","0.0","101","226.0","2558.0","a","1.0","2.5"
"0.0","8.0","-6.0","1.0","1.0","101","221.0","1689.0","l","0.0","1.0"
"0.0","14.0","-4.0","1.0","1.0","101","229.0","1289.0","a","1.0","5.0"
"0.0","11.0","-3.0","1.0","0.0","101","243.0","847.0","l","0.0","4.0"
"0.0","16.0","-3.0","1.0","0.0","101","240.0","1167.0","l","0.0","6.5"
"0.0","11.0","-10.0","1.0","0.0","101","237.0","1477.0","a","1.0","0.5"
"4.0","12.0","0.0","1.0","1.0","102","227.0","1768.0","l","0.0","2.0"
"7.0","10.0","0.0","0.0","1.0","102","239.0","2268.0","a","0.0","-2.0"
"0.0","11.0","-8.0","1.0","1.0","101","246.0","2091.0","a","1.0","1.5"
"0.0","11.0","-6.0","1.0","1.0","101","257.0","2046.0","a","1.0","2.5"
"0.0","16.0","-8.0","0.0","0.0","101","268.0","2513.0","a","0.0","4.0"
"0.0","14.0","-2.0","1.0","1.0","101","268.0","2192.0","a","1.0","6.0"
"0.0","8.0","-2.0","1.0","0.0","101","282.0","1017.0","a","1.0","3.0"
"7.0","12.0","0.0","0.0","0.0","102","280.0","2460.0","l","1.0","-1.0"
"3.0","12.0","0.0","1.0","0.0","102","287.0","1061.0","a","1.0","3.0"
"0.0","8.0","-3.0","1.0","1.0","101","287.0","1394.0","l","0.0","2.5"
"0.0","11.0","-10.0","1.0","0.0","101","295.0","1580.0","a","1.0","0.5"
"0.0","11.0","-4.0","1.0","1.0","101","285.0","1532.0","a","1.0","3.5"
"6.0","14.0","0.0","1.0","0.0","102","296.0","2883.0","a","1.0","1.0"
"0.0","12.0","-5.0","1.0","1.0","101","296.0","1602.0","l","0.0","3.5"
"0.0","14.0","-5.0","1.0","0.0","101","308.0","1683.0","a","1.0","4.5"
"3.0","8.0","0.0","1.0","0.0","102","303.0","1871.0","l","0.0","1.0"
"0.0","11.0","-2.0","1.0","1.0","101","303.0","1361.0","a","1.0","4.5"
"0.0","10.0","-4.0","1.0","1.0","101","314.0","1126.0","l","0.0","3.0"
"5.0","10.0","0.0","0.0","1.0","102","324.0","1278.0","l","1.0","0.0"
"0.0","8.0","-5.0","1.0","1.0","101","329.0","1149.0","a","1.0","1.5"
"0.0","9.0","-5.0","1.0","1.0","101","337.0","3017.0","l","0.0","2.0"
"4.0","6.0","0.0","0.0","0.0","102","346.0","2293.0","a","0.0","-1.0"
"0.0","16.0","-10.0","1.0","1.0","101","350.0","1461.0","a","1.0","3.0"
"0.0","16.0","-3.0","1.0","1.0","101","366.0","1147.0","a","1.0","6.5"
"5.0","6.0","0.0","0.0","0.0","102","382.0","1826.0","l","1.0","-2.0"
"0.0","9.0","-8.0","1.0","0.0","101","387.0","2853.0","l","0.0","0.5"
"3.0","10.0","0.0","1.0","0.0","102","379.0","1665.0","a","1.0","2.0"
"4.0","6.0","0.0","0.0","1.0","102","379.0","2164.0","l","1.0","-1.0"
"0.0","8.0","-3.0","1.0","0.0","101","383.0","2205.0","a","1.0","2.5"
"0.0","9.0","-6.0","1.0","0.0","101","380.0","2526.0","l","0.0","1.5"
"0.0","9.0","-4.0","1.0","1.0","101","374.0","1540.0","l","0.0","2.5"
"6.0","8.0","0.0","0.0","1.0","102","383.0","1871.0","a","0.0","-2.0"
"0.0","10.0","-8.0","1.0","0.0","101","389.0","1337.0","l","0.0","1.0"
"0.0","9.0","-8.0","1.0","0.0","101","381.0","1279.0","a","1.0","0.5"
"3.0","6.0","0.0","0.0","0.0","102","373.0","1870.0","l","1.0","0.0"
"0.0","14.0","-6.0","1.0","0.0","101","376.0","2284.0","l","0.0","4.0"
"0.0","9.0","-5.0","1.0","0.0","101","370.0","2726.0","a","1.0","2.0"
"0.0","8.0","-10.0","0.0","0.0","101","365.0","2603.0","l","1.0","-1.0"
"0.0","11.0","-5.0","1.0","0.0","101","365.0","1142.0","l","0.0","3.0"
"4.0","12.0","0.0","1.0","0.0","102","360.0","1487.0","a","1.0","2.0"
