"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","16.0","-10.0","1.0","1.0","101","150.0","2635.0","a","1.0","3.0"
"0.0","19.0","-8.0","1.0","1.0","101","166.0","2093.0","a","1.0","5.5"
"0.0","15.0","-8.0","0.0","1.0","101","185.0","2955.0","a","0.0","3.5"
"0.0","17.0","-3.0","1.0","0.0","101","185.0","1695.0","a","1.0","7.0"
"0.0","16.0","-8.0","0.0","1.0","101","182.0","1886.0","l","1.0","4.0"
"3.0","16.0","0.0","1.0","0.0","102","182.0","1749.0","l","0.0","5.0"
"0.0","19.0","-8.0","0.0","1.0","101","182.0","2171.0","a","0.0","5.5"
"3.0","12.0","0.0","1.0","0.0","102","182.0","1523.0","l","0.0","3.0"
"0.0","15.0","-3.0","1.0","1.0","101","182.0","2149.0","a","1.0","6.0"
"0.0","21.0","-4.0","1.0","1.0","101","197.0","2216.0","l","0.0","8.5"
"0.0","21.0","-2.0","1.0","0.0","101","218.0","1475.0","l","0.0","9.5"
"0.0","17.0","-3.0","1.0","1.0","101","216.0","1550.0","a","1.0","7.0"
"0.0","21.0","-6.0","1.0","0.0","101","233.0","1791.0","l","0.0","7.5"
"0.0","17.0","-2.0","1.0","1.0","101","227.0","1518.0","a","1.0","7.5"
"0.0","16.0","-4.0","1.0","1.0","101","244.0","2064.0","a","1.0","6.0"
"0.0","21.0","-6.0","1.0","0.0","101","260.0","1915.0","a","1.0","7.5"
"0.0","15.0","-2.0","1.0","1.0","101","254.0","1567.0","a","1.0","6.5"
"4.0","12.0","0.0","1.0","0.0","102","269.0","1979.0","l","0.0","2.0"
"0.0","14.0","-2.0","1.0","1.0","101","269.0","1657.0","l","0.0","6.0"
"6.0","16.0","0.0","1.0","1.0","102","283.0","1990.0","a","1.0","2.0"
"0.0","13.0","-5.0","1.0","0.0","101","299.0","2140.0","a","1.0","4.0"
"0.0","13.0","-6.0","0.0","1.0","101","294.0","2916.0","a","0.0","3.5"
"5.0","12.0","0.0","1.0","0.0","102","294.0","1650.0","a","1.0","1.0"
"0.0","14.0","-5.0","1.0","1.0","101","294.0","1958.0","a","1.0","4.5"
"0.0","14.0","-8.0","1.0","1.0","101","308.0","1680.0","l","0.0","3.0"
"6.0","14.0","0.0","1.0","1.0","102","322.0","3030.0","a","1.0","1.0"
"3.0","14.0","0.0","1.0","0.0","102","336.0","2140.0","l","0.0","4.0"
