"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"5.0","18.0","0.0","1.0","1.0","102","150.0","2171.0","l","0.0","4.0"
"7.0","16.0","0.0","1.0","0.0","102","168.0","1384.0","l","0.0","1.0"
"5.0","18.0","0.0","1.0","0.0","102","168.0","853.0","l","0.0","4.0"
"0.0","13.0","-5.0","1.0","1.0","101","168.0","1394.0","a","1.0","4.0"
"0.0","9.0","-3.0","1.0","1.0","101","181.0","932.0","a","1.0","3.0"
"0.0","15.0","-2.0","1.0","1.0","101","190.0","1001.0","a","1.0","6.5"
"0.0","9.0","-6.0","0.0","1.0","101","205.0","1224.0","l","1.0","1.5"
"3.0","16.0","0.0","1.0","1.0","102","205.0","1496.0","l","0.0","5.0"
"0.0","9.0","-6.0","0.0","1.0","101","221.0","1601.0","a","0.0","1.5"
"0.0","11.0","-6.0","0.0","1.0","101","221.0","1901.0","a","0.0","2.5"
"6.0","10.0","0.0","1.0","0.0","102","221.0","1624.0","l","0.0","-1.0"
"5.0","10.0","0.0","1.0","1.0","102","221.0","1311.0","l","0.0","0.0"
"0.0","15.0","-4.0","1.0","0.0","101","231.0","1814.0","l","0.0","5.5"
"6.0","14.0","0.0","1.0","0.0","102","227.0","1446.0","a","1.0","1.0"
"0.0","15.0","-3.0","1.0","0.0","101","227.0","1529.0","l","0.0","6.0"
"6.0","14.0","0.0","1.0","0.0","102","224.0","1539.0","l","0.0","1.0"
"0.0","13.0","-10.0","0.0","0.0","101","224.0","1097.0","l","1.0","1.5"
"0.0","11.0","-5.0","1.0","0.0","101","224.0","2146.0","a","1.0","3.0"
"0.0","11.0","-3.0","1.0","0.0","101","219.0","1178.0","l","0.0","4.0"
"0.0","10.0","-6.0","0.0","0.0","101","216.0","1099.0","a","0.0","2.0"
"0.0","13.0","-8.0","0.0","1.0","101","216.0","2368.0","a","0.0","2.5"
"4.0","14.0","0.0","1.0","0.0","102","216.0","941.0","l","0.0","3.0"
"0.0","11.0","-2.0","1.0","0.0","101","216.0","794.0","a","1.0","4.5"
"0.0","13.0","-6.0","1.0","0.0","101","214.0","1193.0","a","1.0","3.5"
"0.0","11.0","-10.0","1.0","1.0","101","208.0","678.0","a","1.0","0.5"
"0.0","15.0","-10.0","0.0","1.0","101","219.0","2092.0","a","0.0","2.5"
"4.0","16.0","0.0","1.0","0.0","102","219.0","974.0","a","1.0","4.0"
"7.0","18.0","0.0","1.0","0.0","102","219.0","630.0","a","1.0","2.0"
"0.0","15.0","-10.0","0.0","0.0","101","219.0","1703.0","l","1.0","2.5"
"0.0","9.0","-8.0","0.0","1.0","101","219.0","1759.0","l","1.0","0.5"
"6.0","16.0","0.0","1.0","0.0","102","219.0","967.0","a","1.0","2.0"
"0.0","10.0","-2.0","1.0","0.0","101","219.0","1245.0","l","0.0","4.0"
"0.0","11.0","-3.0","1.0","1.0","101","217.0","721.0","a","1.0","4.0"
"0.0","9.0","-4.0","0.0","1.0","101","228.0","1476.0","l","1.0","2.5"
"0.0","17.0","-6.0","1.0","0.0","101","228.0","1502.0","a","1.0","5.5"
"0.0","15.0","-2.0","1.0","0.0","101","222.0","649.0","a","1.0","6.5"
"3.0","10.0","0.0","1.0","0.0","102","220.0","1223.0","l","0.0","2.0"
"0.0","9.0","-8.0","0.0","0.0","101","220.0","981.0","a","0.0","0.5"
"0.0","17.0","-4.0","1.0","1.0","101","220.0","1024.0","l","0.0","6.5"
"0.0","10.0","-6.0","0.0","0.0","101","237.0","2210.0","l","1.0","2.0"
"0.0","10.0","-10.0","0.0","0.0","101","237.0","1123.0","l","1.0","0.0"
"0.0","13.0","-2.0","1.0","1.0","101","237.0","1034.0","a","1.0","5.5"
"0.0","9.0","-10.0","0.0","0.0","101","250.0","1321.0","a","0.0","-0.5"
"0.0","9.0","-2.0","1.0","1.0","101","250.0","804.0","a","1.0","3.5"
"0.0","15.0","-8.0","0.0","1.0","101","259.0","2323.0","l","1.0","3.5"
"0.0","10.0","-10.0","0.0","1.0","101","259.0","1215.0","l","1.0","0.0"
"0.0","11.0","-4.0","1.0","1.0","101","259.0","1640.0","l","0.0","3.5"
"0.0","11.0","-6.0","0.0","0.0","101","270.0","1521.0","l","1.0","2.5"
"7.0","12.0","0.0","1.0","1.0","102","270.0","1959.0","a","1.0","-1.0"
"7.0","12.0","0.0","0.0","1.0","102","282.0","1688.0","l","1.0","-1.0"
"0.0","9.0","-10.0","0.0","0.0","101","289.0","1238.0","l","1.0","-0.5"
"0.0","17.0","-3.0","1.0","0.0","101","289.0","1372.0","l","0.0","7.0"
"5.0","12.0","0.0","1.0","0.0","102","286.0","1637.0","a","1.0","1.0"
"0.0","10.0","-5.0","0.0","0.0","101","286.0","1442.0","l","1.0","2.5"
"0.0","9.0","-5.0","0.0","1.0","101","286.0","1433.0","l","1.0","2.0"
"4.0","18.0","0.0","1.0","1.0","102","286.0","1132.0","a","1.0","5.0"
"0.0","13.0","-3.0","1.0","1.0","101","304.0","1144.0","l","0.0","5.0"
"3.0","14.0","0.0","1.0","0.0","102","317.0","1250.0","l","0.0","4.0"
"3.0","12.0","0.0","1.0","0.0","102","317.0","1076.0","l","0.0","3.0"
"0.0","15.0","-3.0","1.0","1.0","101","317.0","1001.0","a","1.0","6.0"
"0.0","12.0","-4.0","1.0","0.0","101","332.0","1351.0","a","1.0","4.0"
"7.0","10.0","0.0","0.0","0.0","102","328.0","1254.0","l","1.0","-2.0"
"5.0","12.0","0.0","1.0","1.0","102","335.0","1712.0","l","0.0","1.0"
"6.0","12.0","0.0","0.0","0.0","102","347.0","1462.0","l","1.0","0.0"
"0.0","13.0","-5.0","1.0","1.0","101","353.0","2011.0","a","1.0","4.0"
"3.0","12.0","0.0","1.0","0.0","102","366.0","1476.0","l","0.0","3.0"
"0.0","9.0","-4.0","1.0","1.0","101","366.0","2126.0","a","1.0","2.5"
"0.0","13.0","-10.0","0.0","0.0","101","375.0","1907.0","a","0.0","1.5"
"0.0","15.0","-6.0","1.0","0.0","101","375.0","1993.0","a","1.0","4.5"
"0.0","9.0","-2.0","1.0","1.0","101","369.0","1004.0","a","1.0","3.5"
"0.0","17.0","-10.0","0.0","1.0","101","378.0","1786.0","a","0.0","3.5"
"0.0","17.0","-3.0","1.0","1.0","101","378.0","1010.0","a","1.0","7.0"
"4.0","12.0","0.0","1.0","0.0","102","395.0","1197.0","l","0.0","2.0"
"0.0","12.0","-5.0","1.0","0.0","101","395.0","961.0","a","1.0","3.5"
"4.0","18.0","0.0","1.0","0.0","102","390.0","975.0","l","0.0","5.0"
"0.0","13.0","-3.0","1.0","0.0","101","390.0","948.0","l","0.0","5.0"
"0.0","11.0","-5.0","1.0","1.0","101","387.0","996.0","l","0.0","3.0"
"0.0","11.0","-8.0","0.0","1.0","101","398.0","1408.0","l","1.0","1.5"
"0.0","12.0","-6.0","0.0","1.0","101","398.0","1616.0","l","1.0","3.0"
"4.0","16.0","0.0","1.0","0.0","102","398.0","988.0","a","1.0","4.0"
"0.0","13.0","-4.0","1.0","0.0","101","398.0","1101.0","l","0.0","4.5"
"7.0","16.0","0.0","0.0","1.0","102","394.0","1353.0","l","1.0","1.0"
"0.0","15.0","-5.0","1.0","1.0","101","401.0","1110.0","a","1.0","5.0"
"0.0","17.0","-10.0","0.0","0.0","101","416.0","1125.0","a","0.0","3.5"
"0.0","13.0","-4.0","1.0","1.0","101","416.0","995.0","l","0.0","4.5"
"0.0","11.0","-2.0","1.0","0.0","101","429.0","745.0","a","1.0","4.5"
"6.0","12.0","0.0","0.0","1.0","102","427.0","1402.0","a","0.0","0.0"
"0.0","9.0","-5.0","0.0","1.0","101","433.0","2668.0","l","1.0","2.0"
"0.0","10.0","-8.0","0.0","1.0","101","433.0","1262.0","l","1.0","1.0"
"0.0","11.0","-8.0","0.0","1.0","101","433.0","2300.0","a","0.0","1.5"
"5.0","14.0","0.0","1.0","0.0","102","433.0","974.0","a","1.0","2.0"
"4.0","14.0","0.0","1.0","1.0","102","433.0","930.0","l","0.0","3.0"
"0.0","11.0","-10.0","0.0","0.0","101","447.0","1023.0","a","0.0","0.5"
"3.0","14.0","0.0","1.0","1.0","102","447.0","1744.0","l","0.0","4.0"
"0.0","15.0","-4.0","1.0","1.0","101","461.0","1433.0","l","0.0","5.5"
"7.0","10.0","0.0","0.0","0.0","102","476.0","1812.0","a","0.0","-2.0"
"0.0","10.0","-3.0","1.0","1.0","101","483.0","1102.0","a","1.0","3.5"
"0.0","12.0","-2.0","1.0","1.0","101","493.0","1044.0","l","0.0","5.0"
"7.0","18.0","0.0","1.0","1.0","102","505.0","1337.0","a","1.0","2.0"
"0.0","17.0","-2.0","1.0","1.0","101","523.0","904.0","l","0.0","7.5"
"0.0","17.0","-4.0","1.0","1.0","101","540.0","943.0","l","0.0","6.5"
"0.0","12.0","-5.0","1.0","1.0","101","557.0","1200.0","a","1.0","3.5"
"0.0","12.0","-2.0","1.0","1.0","101","569.0","1023.0","l","0.0","5.0"
"4.0","10.0","0.0","1.0","0.0","102","581.0","1165.0","l","0.0","1.0"
"0.0","10.0","-3.0","1.0","0.0","101","581.0","907.0","a","1.0","3.5"
"0.0","12.0","-4.0","1.0","1.0","101","578.0","1112.0","l","0.0","4.0"
"0.0","9.0","-3.0","1.0","0.0","101","590.0","1091.0","a","1.0","3.0"
"0.0","15.0","-8.0","0.0","0.0","101","587.0","1571.0","l","1.0","3.5"
"0.0","12.0","-8.0","0.0","0.0","101","587.0","1578.0","a","0.0","2.0"
"0.0","13.0","-2.0","1.0","1.0","101","587.0","933.0","l","0.0","5.5"
"0.0","12.0","-8.0","0.0","0.0","101","600.0","1238.0","l","1.0","2.0"
"6.0","18.0","0.0","1.0","1.0","102","600.0","1834.0","l","0.0","3.0"
"0.0","10.0","-4.0","1.0","1.0","101","618.0","1872.0","l","0.0","3.0"
"5.0","16.0","0.0","1.0","0.0","102","628.0","2290.0","a","1.0","3.0"
"0.0","17.0","-2.0","1.0","0.0","101","628.0","815.0","l","0.0","7.5"
"0.0","17.0","-5.0","1.0","0.0","101","626.0","1002.0","l","0.0","6.0"
"0.0","11.0","-4.0","1.0","1.0","101","621.0","1433.0","l","0.0","3.5"
"0.0","12.0","-10.0","0.0","0.0","101","632.0","1077.0","l","1.0","1.0"
"0.0","17.0","-6.0","1.0","1.0","101","632.0","2518.0","a","1.0","5.5"
"0.0","12.0","-3.0","1.0","1.0","101","649.0","903.0","l","0.0","4.5"
"3.0","16.0","0.0","1.0","0.0","102","661.0","1033.0","a","1.0","5.0"
"0.0","17.0","-8.0","0.0","0.0","101","661.0","1808.0","a","0.0","4.5"
"0.0","10.0","-2.0","1.0","0.0","101","661.0","1253.0","a","1.0","4.0"
"6.0","16.0","0.0","1.0","1.0","102","659.0","1253.0","a","1.0","2.0"
"3.0","10.0","0.0","1.0","0.0","102","675.0","842.0","a","1.0","2.0"
"0.0","13.0","-6.0","0.0","1.0","101","675.0","1726.0","a","0.0","3.5"
"6.0","18.0","0.0","1.0","0.0","102","675.0","962.0","a","1.0","3.0"
"0.0","15.0","-6.0","1.0","1.0","101","675.0","2302.0","l","0.0","4.5"
"3.0","18.0","0.0","1.0","0.0","102","690.0","846.0","l","0.0","6.0"
"0.0","12.0","-3.0","1.0","0.0","101","690.0","1223.0","l","0.0","4.5"
"4.0","12.0","0.0","1.0","1.0","102","687.0","920.0","a","1.0","2.0"
"5.0","14.0","0.0","1.0","0.0","102","699.0","865.0","a","1.0","2.0"
"6.0","10.0","0.0","1.0","1.0","102","699.0","894.0","l","0.0","-1.0"
"0.0","12.0","-10.0","0.0","0.0","101","709.0","1005.0","a","0.0","1.0"
"5.0","16.0","0.0","1.0","1.0","102","709.0","923.0","l","0.0","3.0"
"0.0","17.0","-8.0","0.0","1.0","101","725.0","1317.0","l","1.0","4.5"
"7.0","14.0","0.0","0.0","0.0","102","725.0","1663.0","l","1.0","0.0"
"0.0","13.0","-8.0","0.0","0.0","101","732.0","2052.0","a","0.0","2.5"
"0.0","15.0","-5.0","1.0","1.0","101","732.0","1201.0","l","0.0","5.0"
"0.0","17.0","-5.0","1.0","0.0","101","747.0","1293.0","l","0.0","6.0"
"0.0","10.0","-8.0","0.0","0.0","101","742.0","1089.0","l","1.0","1.0"
"3.0","18.0","0.0","1.0","1.0","102","742.0","742.0","a","1.0","6.0"
"5.0","10.0","0.0","0.0","1.0","102","760.0","1733.0","l","1.0","0.0"
"0.0","10.0","-4.0","1.0","0.0","101","765.0","1297.0","l","0.0","3.0"
"7.0","14.0","0.0","0.0","1.0","102","761.0","1283.0","a","0.0","0.0"
"4.0","10.0","0.0","1.0","1.0","102","768.0","1302.0","a","1.0","1.0"
"0.0","12.0","-6.0","1.0","1.0","101","778.0","2783.0","a","1.0","3.0"
"0.0","10.0","-5.0","1.0","1.0","101","790.0","1903.0","l","0.0","2.5"
