"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","11.0","-6.0","-999.0","0.0","101","150.0","","-999","0.0","2.5"
"6.0","22.0","0.0","1.0","0.0","102","150.0","1350.0","l","0.0","5.0"
"0.0","14.0","-3.0","1.0","0.0","101","150.0","1767.0","a","1.0","5.5"
"0.0","18.0","-3.0","1.0","0.0","101","147.0","1330.0","l","0.0","7.5"
"0.0","18.0","-5.0","1.0","1.0","101","144.0","1082.0","a","1.0","6.5"
"0.0","16.0","-3.0","1.0","0.0","101","162.0","1337.0","a","1.0","6.5"
"5.0","20.0","0.0","1.0","0.0","102","159.0","1585.0","l","0.0","5.0"
"3.0","14.0","0.0","1.0","0.0","102","159.0","1465.0","a","1.0","4.0"
"0.0","12.0","-3.0","1.0","0.0","101","159.0","1518.0","l","0.0","4.5"
"0.0","11.0","-5.0","1.0","1.0","101","156.0","1383.0","a","1.0","3.0"
"0.0","18.0","-2.0","1.0","0.0","101","167.0","1381.0","a","1.0","8.0"
"5.0","16.0","0.0","1.0","0.0","102","165.0","1846.0","a","1.0","3.0"
"0.0","18.0","-8.0","1.0","1.0","101","165.0","1838.0","a","1.0","5.0"
"7.0","16.0","0.0","0.0","0.0","102","183.0","1738.0","l","1.0","1.0"
"0.0","11.0","-5.0","1.0","0.0","101","190.0","1822.0","l","0.0","3.0"
"5.0","14.0","0.0","1.0","1.0","102","185.0","1137.0","l","0.0","2.0"
"6.0","20.0","0.0","0.0","0.0","102","199.0","1815.0","l","1.0","4.0"
"0.0","11.0","-2.0","1.0","0.0","101","205.0","1776.0","l","0.0","4.5"
"0.0","18.0","-8.0","1.0","1.0","101","203.0","1330.0","a","1.0","5.0"
"4.0","20.0","0.0","1.0","0.0","102","221.0","1451.0","l","0.0","6.0"
"0.0","13.0","-4.0","1.0","0.0","101","221.0","1289.0","a","1.0","4.5"
"0.0","14.0","-4.0","1.0","1.0","101","217.0","1406.0","l","0.0","5.0"
"5.0","18.0","0.0","1.0","0.0","102","231.0","1527.0","l","0.0","4.0"
"0.0","16.0","-3.0","1.0","0.0","101","231.0","1078.0","a","1.0","6.5"
"0.0","14.0","-2.0","1.0","0.0","101","228.0","774.0","a","1.0","6.0"
