"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"4.0","8.0","0.0","1.0","0.0","102","150.0","1965.0","a","1.0","0.0"
"0.0","15.0","-5.0","1.0","1.0","101","150.0","1159.0","a","1.0","5.0"
"0.0","9.0","-6.0","1.0","0.0","101","165.0","1901.0","a","1.0","1.5"
"0.0","10.0","-6.0","1.0","1.0","101","159.0","1371.0","a","1.0","2.0"
"0.0","9.0","-2.0","1.0","0.0","101","169.0","1239.0","a","1.0","3.5"
"0.0","9.0","-2.0","1.0","1.0","101","167.0","1051.0","a","1.0","3.5"
"3.0","6.0","0.0","0.0","1.0","102","176.0","2614.0","l","1.0","0.0"
"5.0","12.0","0.0","1.0","0.0","102","179.0","1818.0","l","0.0","1.0"
"0.0","11.0","-4.0","1.0","0.0","101","179.0","1682.0","a","1.0","3.5"
"6.0","14.0","0.0","1.0","1.0","102","175.0","2095.0","l","0.0","1.0"
"4.0","12.0","0.0","1.0","0.0","102","189.0","2307.0","l","0.0","2.0"
"3.0","14.0","0.0","1.0","1.0","102","189.0","1504.0","a","1.0","4.0"
"4.0","6.0","0.0","1.0","1.0","102","203.0","2075.0","l","0.0","-1.0"
"0.0","9.0","-4.0","1.0","1.0","101","209.0","2582.0","l","0.0","2.5"
"0.0","12.0","-3.0","1.0","0.0","101","218.0","1417.0","a","1.0","4.5"
"6.0","8.0","0.0","0.0","1.0","102","215.0","1741.0","l","1.0","-2.0"
"6.0","14.0","0.0","1.0","0.0","102","221.0","1431.0","a","1.0","1.0"
"0.0","15.0","-2.0","1.0","0.0","101","221.0","1152.0","l","0.0","6.5"
"0.0","15.0","-10.0","0.0","1.0","101","219.0","1892.0","a","0.0","2.5"
"6.0","12.0","0.0","1.0","1.0","102","219.0","1385.0","l","0.0","0.0"
"6.0","6.0","0.0","0.0","0.0","102","231.0","1882.0","l","1.0","-3.0"
"0.0","15.0","-3.0","1.0","0.0","101","237.0","1233.0","l","0.0","6.0"
"5.0","6.0","0.0","0.0","1.0","102","234.0","2354.0","a","0.0","-2.0"
"0.0","11.0","-4.0","1.0","0.0","101","239.0","1648.0","a","1.0","3.5"
"0.0","11.0","-2.0","1.0","0.0","101","235.0","1508.0","l","0.0","4.5"
"0.0","17.0","-5.0","1.0","1.0","101","233.0","1706.0","l","0.0","6.0"
"0.0","15.0","-10.0","0.0","0.0","101","250.0","2468.0","l","1.0","2.5"
"0.0","17.0","-8.0","0.0","0.0","101","250.0","1573.0","a","0.0","4.5"
"0.0","12.0","-10.0","0.0","0.0","101","250.0","1689.0","l","1.0","1.0"
"5.0","8.0","0.0","1.0","1.0","102","250.0","1963.0","l","0.0","-1.0"
"3.0","8.0","0.0","1.0","0.0","102","258.0","1684.0","l","0.0","1.0"
"0.0","11.0","-2.0","1.0","1.0","101","258.0","1196.0","a","1.0","4.5"
"0.0","9.0","-8.0","0.0","0.0","101","269.0","1682.0","a","0.0","0.5"
"0.0","11.0","-3.0","1.0","1.0","101","269.0","1828.0","l","0.0","4.0"
"0.0","12.0","-10.0","0.0","1.0","101","280.0","1666.0","l","1.0","1.0"
"0.0","10.0","-8.0","0.0","0.0","101","280.0","1396.0","l","1.0","1.0"
"3.0","10.0","0.0","1.0","0.0","102","280.0","2149.0","a","1.0","2.0"
"5.0","12.0","0.0","1.0","0.0","102","280.0","2022.0","a","1.0","1.0"
"0.0","13.0","-3.0","1.0","1.0","101","280.0","1535.0","l","0.0","5.0"
"3.0","12.0","0.0","1.0","1.0","102","293.0","1601.0","a","1.0","3.0"
"0.0","13.0","-8.0","0.0","1.0","101","305.0","2101.0","a","0.0","2.5"
"0.0","10.0","-3.0","1.0","1.0","101","305.0","1250.0","a","1.0","3.5"
"0.0","17.0","-6.0","1.0","0.0","101","315.0","1464.0","l","0.0","5.5"
"0.0","13.0","-6.0","1.0","0.0","101","309.0","1093.0","l","0.0","3.5"
"0.0","9.0","-10.0","0.0","0.0","101","303.0","1267.0","a","0.0","-0.5"
"0.0","12.0","-2.0","1.0","1.0","101","303.0","1587.0","a","1.0","5.0"
"0.0","12.0","-6.0","0.0","0.0","101","315.0","1510.0","a","0.0","3.0"
"0.0","13.0","-10.0","0.0","0.0","101","315.0","1408.0","l","1.0","1.5"
"0.0","13.0","-8.0","1.0","0.0","101","315.0","1887.0","a","1.0","2.5"
"0.0","13.0","-3.0","1.0","0.0","101","307.0","1072.0","a","1.0","5.0"
"0.0","17.0","-6.0","1.0","0.0","101","304.0","1347.0","l","0.0","5.5"
"0.0","13.0","-4.0","1.0","0.0","101","298.0","1586.0","a","1.0","4.5"
"7.0","12.0","0.0","1.0","1.0","102","294.0","1454.0","a","1.0","-1.0"
"0.0","15.0","-6.0","1.0","0.0","101","306.0","1497.0","l","0.0","4.5"
"7.0","14.0","0.0","1.0","0.0","102","300.0","1129.0","l","0.0","0.0"
"0.0","11.0","-8.0","0.0","1.0","101","300.0","2601.0","l","1.0","1.5"
"0.0","10.0","-10.0","0.0","1.0","101","300.0","1404.0","l","1.0","0.0"
