"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","10.0","-3.0","1.0","1.0","101","150.0","3886.0","a","1.0","3.5"
"5.0","10.0","0.0","1.0","1.0","102","160.0","1314.0","l","0.0","0.0"
"5.0","6.0","0.0","1.0","1.0","102","170.0","884.0","a","1.0","-2.0"
"0.0","12.0","-8.0","0.0","1.0","101","176.0","1679.0","a","0.0","2.0"
"3.0","6.0","0.0","1.0","0.0","102","176.0","837.0","l","0.0","0.0"
"0.0","17.0","-4.0","1.0","1.0","101","176.0","909.0","l","0.0","6.5"
"0.0","15.0","-10.0","0.0","0.0","101","193.0","1013.0","a","0.0","2.5"
"3.0","12.0","0.0","1.0","0.0","102","193.0","1036.0","l","0.0","3.0"
"0.0","15.0","-3.0","1.0","1.0","101","193.0","895.0","l","0.0","6.0"
"4.0","14.0","0.0","1.0","1.0","102","208.0","816.0","a","1.0","3.0"
"6.0","14.0","0.0","1.0","1.0","102","222.0","832.0","a","1.0","1.0"
"4.0","14.0","0.0","1.0","0.0","102","236.0","838.0","a","1.0","3.0"
"6.0","6.0","0.0","0.0","1.0","102","236.0","1342.0","l","1.0","-3.0"
"7.0","10.0","0.0","1.0","1.0","102","242.0","1116.0","a","1.0","-2.0"
"0.0","12.0","-2.0","1.0","0.0","101","252.0","755.0","l","0.0","5.0"
"0.0","10.0","-6.0","1.0","1.0","101","250.0","945.0","a","1.0","2.0"
"0.0","12.0","-6.0","1.0","1.0","101","260.0","1093.0","a","1.0","3.0"
"0.0","15.0","-8.0","0.0","1.0","101","272.0","1341.0","l","1.0","3.5"
"0.0","15.0","-5.0","1.0","1.0","101","272.0","957.0","l","0.0","5.0"
"3.0","6.0","0.0","1.0","0.0","102","287.0","1021.0","l","0.0","0.0"
"0.0","17.0","-10.0","0.0","1.0","101","287.0","938.0","a","0.0","3.5"
"5.0","6.0","0.0","0.0","1.0","102","287.0","1326.0","a","0.0","-2.0"
"0.0","13.0","-4.0","1.0","1.0","101","292.0","734.0","l","0.0","4.5"
"5.0","12.0","0.0","1.0","0.0","102","305.0","839.0","l","0.0","1.0"
"7.0","14.0","0.0","1.0","0.0","102","305.0","915.0","a","1.0","0.0"
"0.0","12.0","-10.0","0.0","1.0","101","305.0","1081.0","l","1.0","1.0"
"0.0","13.0","-5.0","1.0","1.0","101","305.0","1103.0","a","1.0","4.0"
"4.0","8.0","0.0","1.0","0.0","102","318.0","930.0","a","1.0","0.0"
"0.0","11.0","-8.0","0.0","1.0","101","318.0","946.0","a","0.0","1.5"
"0.0","11.0","-4.0","1.0","1.0","101","318.0","1210.0","l","0.0","3.5"
"0.0","9.0","-4.0","1.0","1.0","101","329.0","1433.0","a","1.0","2.5"
"0.0","15.0","-2.0","1.0","1.0","101","338.0","875.0","l","0.0","6.5"
"7.0","14.0","0.0","1.0","0.0","102","353.0","847.0","l","0.0","0.0"
"0.0","11.0","-5.0","1.0","0.0","101","353.0","1046.0","l","0.0","3.0"
"0.0","9.0","-5.0","0.0","1.0","101","348.0","1127.0","a","0.0","2.0"
"0.0","9.0","-8.0","0.0","1.0","101","348.0","705.0","a","0.0","0.5"
"0.0","9.0","-2.0","1.0","1.0","101","348.0","1362.0","a","1.0","3.5"
"0.0","13.0","-10.0","0.0","1.0","101","357.0","1238.0","a","0.0","1.5"
"7.0","6.0","0.0","0.0","1.0","102","357.0","758.0","l","1.0","-4.0"
"0.0","15.0","-2.0","1.0","0.0","101","364.0","936.0","l","0.0","6.5"
"0.0","9.0","-10.0","0.0","1.0","101","362.0","1256.0","l","1.0","-0.5"
"0.0","9.0","-3.0","1.0","1.0","101","362.0","1976.0","l","0.0","3.0"
"0.0","15.0","-4.0","1.0","1.0","101","371.0","918.0","l","0.0","5.5"
"0.0","15.0","-3.0","1.0","0.0","101","386.0","922.0","l","0.0","6.0"
"0.0","13.0","-3.0","1.0","1.0","101","383.0","927.0","a","1.0","5.0"
"0.0","12.0","-4.0","1.0","1.0","101","396.0","889.0","l","0.0","4.0"
"6.0","8.0","0.0","1.0","1.0","102","408.0","1041.0","a","1.0","-2.0"
"0.0","15.0","-6.0","1.0","0.0","101","416.0","1164.0","a","1.0","4.5"
"0.0","11.0","-5.0","1.0","0.0","101","410.0","1559.0","l","0.0","3.0"
"0.0","17.0","-8.0","1.0","0.0","101","405.0","894.0","l","0.0","4.5"
"0.0","9.0","-6.0","0.0","0.0","101","397.0","2120.0","a","0.0","1.5"
"0.0","15.0","-6.0","1.0","1.0","101","397.0","1151.0","a","1.0","4.5"
"0.0","10.0","-6.0","1.0","0.0","101","412.0","1063.0","l","0.0","2.0"
"0.0","13.0","-6.0","1.0","0.0","101","406.0","1210.0","a","1.0","3.5"
"0.0","12.0","-5.0","0.0","0.0","101","400.0","990.0","a","0.0","3.5"
"0.0","13.0","-10.0","0.0","1.0","101","400.0","896.0","a","0.0","1.5"
"0.0","17.0","-6.0","1.0","1.0","101","400.0","1006.0","l","0.0","5.5"
"0.0","10.0","-3.0","1.0","1.0","101","417.0","960.0","l","0.0","3.5"
"0.0","15.0","-10.0","0.0","0.0","101","427.0","825.0","l","1.0","2.5"
"0.0","12.0","-3.0","1.0","0.0","101","427.0","907.0","a","1.0","4.5"
"0.0","12.0","-4.0","1.0","1.0","101","424.0","855.0","a","1.0","4.0"
"7.0","6.0","0.0","0.0","0.0","102","436.0","1389.0","a","0.0","-4.0"
"0.0","17.0","-5.0","1.0","1.0","101","443.0","960.0","l","0.0","6.0"
"6.0","10.0","0.0","1.0","1.0","102","460.0","1239.0","a","1.0","-1.0"
"0.0","11.0","-2.0","1.0","1.0","101","470.0","992.0","a","1.0","4.5"
"0.0","12.0","-6.0","1.0","1.0","101","481.0","1693.0","l","0.0","3.0"
"7.0","10.0","0.0","1.0","1.0","102","493.0","881.0","l","0.0","-2.0"
"0.0","17.0","-3.0","1.0","1.0","101","503.0","920.0","a","1.0","7.0"
"7.0","8.0","0.0","1.0","1.0","102","520.0","1047.0","a","1.0","-3.0"
"3.0","14.0","0.0","1.0","0.0","102","528.0","988.0","a","1.0","4.0"
"0.0","17.0","-2.0","1.0","0.0","101","528.0","813.0","l","0.0","7.5"
"0.0","10.0","-5.0","1.0","1.0","101","526.0","1686.0","a","1.0","2.5"
"0.0","13.0","-6.0","1.0","0.0","101","536.0","769.0","a","1.0","3.5"
"0.0","12.0","-3.0","1.0","1.0","101","530.0","1048.0","l","0.0","4.5"
"0.0","11.0","-3.0","1.0","1.0","101","542.0","952.0","a","1.0","4.0"
"0.0","17.0","-3.0","1.0","0.0","101","553.0","1404.0","l","0.0","7.0"
"5.0","12.0","0.0","1.0","0.0","102","550.0","903.0","l","0.0","1.0"
"0.0","15.0","-5.0","1.0","0.0","101","550.0","1330.0","a","1.0","5.0"
"4.0","10.0","0.0","1.0","1.0","102","545.0","690.0","l","0.0","1.0"
"0.0","13.0","-3.0","1.0","0.0","101","555.0","904.0","l","0.0","5.0"
"7.0","12.0","0.0","1.0","1.0","102","552.0","974.0","l","0.0","-1.0"
"0.0","17.0","-10.0","0.0","1.0","101","564.0","1346.0","l","1.0","3.5"
"0.0","10.0","-4.0","1.0","0.0","101","564.0","688.0","l","0.0","3.0"
"0.0","13.0","-8.0","0.0","0.0","101","560.0","922.0","l","1.0","2.5"
"0.0","17.0","-4.0","1.0","0.0","101","560.0","1046.0","a","1.0","6.5"
"0.0","13.0","-5.0","0.0","1.0","101","556.0","804.0","a","0.0","4.0"
"0.0","11.0","-8.0","0.0","0.0","101","556.0","1097.0","l","1.0","1.5"
"0.0","10.0","-10.0","0.0","0.0","101","556.0","1052.0","l","1.0","0.0"
"5.0","10.0","0.0","1.0","1.0","102","556.0","981.0","l","0.0","0.0"
"5.0","14.0","0.0","1.0","0.0","102","566.0","907.0","l","0.0","2.0"
"0.0","11.0","-10.0","0.0","0.0","101","566.0","917.0","l","1.0","0.5"
"0.0","13.0","-2.0","1.0","1.0","101","566.0","913.0","a","1.0","5.5"
"6.0","12.0","0.0","1.0","1.0","102","579.0","704.0","l","0.0","0.0"
"0.0","13.0","-2.0","1.0","0.0","101","591.0","958.0","a","1.0","5.5"
