"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","12.0","-5.0","1.0","1.0","101","150.0","2201.0","l","0.0","3.5"
"0.0","11.0","-3.0","1.0","1.0","101","162.0","1462.0","a","1.0","4.0"
"5.0","8.0","0.0","0.0","1.0","102","173.0","1165.0","l","1.0","-1.0"
"0.0","9.0","-2.0","1.0","0.0","101","178.0","1132.0","l","0.0","3.5"
"0.0","15.0","-4.0","1.0","0.0","101","176.0","1596.0","l","0.0","5.5"
"0.0","13.0","-10.0","0.0","1.0","101","172.0","1671.0","a","0.0","1.5"
"0.0","11.0","-4.0","1.0","1.0","101","172.0","1310.0","a","1.0","3.5"
"0.0","10.0","-8.0","0.0","1.0","101","183.0","1496.0","l","1.0","1.0"
"0.0","15.0","-3.0","1.0","1.0","101","183.0","1417.0","a","1.0","6.0"
"0.0","11.0","-3.0","1.0","0.0","101","198.0","1390.0","a","1.0","4.0"
"0.0","17.0","-4.0","1.0","1.0","101","195.0","1187.0","l","0.0","6.5"
"0.0","15.0","-6.0","1.0","0.0","101","212.0","1335.0","a","1.0","4.5"
"6.0","10.0","0.0","0.0","1.0","102","206.0","1099.0","l","1.0","-1.0"
"6.0","8.0","0.0","0.0","1.0","102","212.0","1216.0","l","1.0","-2.0"
"6.0","10.0","0.0","0.0","1.0","102","218.0","1002.0","l","1.0","-1.0"
"0.0","13.0","-5.0","1.0","1.0","101","224.0","1344.0","l","0.0","4.0"
"0.0","12.0","-6.0","1.0","0.0","101","237.0","1371.0","a","1.0","3.0"
"0.0","10.0","-4.0","1.0","1.0","101","231.0","1831.0","a","1.0","3.0"
"0.0","12.0","-4.0","1.0","1.0","101","241.0","1367.0","a","1.0","4.0"
"0.0","17.0","-3.0","1.0","0.0","101","253.0","1216.0","a","1.0","7.0"
"0.0","17.0","-4.0","1.0","1.0","101","250.0","935.0","a","1.0","6.5"
"0.0","9.0","-5.0","1.0","0.0","101","267.0","2423.0","l","0.0","2.0"
"0.0","9.0","-2.0","1.0","1.0","101","262.0","1178.0","l","0.0","3.5"
"0.0","15.0","-8.0","1.0","1.0","101","271.0","1628.0","l","0.0","3.5"
"0.0","17.0","-10.0","0.0","0.0","101","286.0","2253.0","l","1.0","3.5"
"0.0","9.0","-6.0","0.0","0.0","101","286.0","1722.0","l","1.0","1.5"
"0.0","10.0","-6.0","0.0","1.0","101","286.0","1407.0","l","1.0","2.0"
"0.0","9.0","-3.0","1.0","0.0","101","286.0","1284.0","l","0.0","3.0"
"6.0","14.0","0.0","1.0","0.0","102","283.0","1447.0","a","1.0","1.0"
"5.0","16.0","0.0","1.0","0.0","102","283.0","1495.0","l","0.0","3.0"
"7.0","16.0","0.0","1.0","1.0","102","283.0","1246.0","a","1.0","1.0"
"0.0","13.0","-6.0","0.0","0.0","101","299.0","1917.0","l","1.0","3.5"
"6.0","12.0","0.0","0.0","1.0","102","299.0","1474.0","l","1.0","0.0"
"4.0","10.0","0.0","1.0","1.0","102","305.0","1559.0","a","1.0","1.0"
"4.0","14.0","0.0","1.0","0.0","102","315.0","1450.0","a","1.0","3.0"
"5.0","16.0","0.0","1.0","1.0","102","315.0","1108.0","a","1.0","3.0"
"6.0","16.0","0.0","1.0","0.0","102","331.0","1306.0","a","1.0","2.0"
"0.0","17.0","-5.0","1.0","1.0","101","331.0","1610.0","l","0.0","6.0"
"0.0","10.0","-5.0","1.0","1.0","101","348.0","1618.0","a","1.0","2.5"
"0.0","13.0","-4.0","1.0","0.0","101","358.0","1189.0","l","0.0","4.5"
"7.0","12.0","0.0","0.0","0.0","102","354.0","1264.0","l","1.0","-1.0"
"0.0","10.0","-3.0","1.0","0.0","101","361.0","1180.0","a","1.0","3.5"
"0.0","9.0","-6.0","0.0","0.0","101","358.0","1189.0","a","0.0","1.5"
"6.0","12.0","0.0","0.0","0.0","102","358.0","1772.0","a","0.0","0.0"
"0.0","9.0","-8.0","0.0","1.0","101","364.0","1229.0","l","1.0","0.5"
"0.0","17.0","-2.0","1.0","1.0","101","364.0","1138.0","a","1.0","7.5"
"0.0","11.0","-6.0","0.0","0.0","101","381.0","1755.0","l","1.0","2.5"
"0.0","17.0","-6.0","1.0","0.0","101","381.0","944.0","a","1.0","5.5"
"0.0","12.0","-2.0","1.0","0.0","101","375.0","1146.0","l","0.0","5.0"
"0.0","15.0","-10.0","0.0","0.0","101","373.0","2238.0","a","0.0","2.5"
"0.0","15.0","-6.0","1.0","0.0","101","373.0","1247.0","l","0.0","4.5"
"5.0","10.0","0.0","0.0","1.0","102","367.0","1103.0","l","1.0","0.0"
"3.0","10.0","0.0","1.0","0.0","102","372.0","1232.0","a","1.0","2.0"
"7.0","16.0","0.0","0.0","0.0","102","372.0","1972.0","a","0.0","1.0"
"5.0","12.0","0.0","0.0","1.0","102","379.0","1448.0","l","1.0","1.0"
"0.0","13.0","-8.0","1.0","1.0","101","384.0","1855.0","a","1.0","2.5"
"3.0","10.0","0.0","1.0","1.0","102","397.0","1352.0","l","0.0","2.0"
