"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","18.0","-5.0","0.0","1.0","101","150.0","2550.0","l","1.0","6.5"
"5.0","28.0","0.0","1.0","1.0","102","150.0","1359.0","l","0.0","9.0"
"0.0","14.0","-8.0","0.0","0.0","101","178.0","1100.0","a","0.0","3.0"
"0.0","18.0","-2.0","1.0","0.0","101","178.0","1253.0","a","1.0","8.0"
"0.0","15.0","-2.0","1.0","1.0","101","176.0","1194.0","l","0.0","6.5"
"5.0","26.0","0.0","0.0","1.0","102","191.0","1726.0","l","1.0","8.0"
"0.0","20.0","-8.0","0.0","1.0","101","196.0","962.0","a","0.0","6.0"
"6.0","20.0","0.0","0.0","0.0","102","196.0","856.0","l","1.0","4.0"
"6.0","24.0","0.0","1.0","1.0","102","202.0","1450.0","a","1.0","6.0"
"0.0","16.0","-4.0","0.0","0.0","101","226.0","963.0","a","0.0","6.0"
"5.0","24.0","0.0","0.0","0.0","102","226.0","1280.0","a","0.0","7.0"
"0.0","18.0","-8.0","0.0","0.0","101","231.0","1085.0","l","1.0","5.0"
"0.0","17.0","-4.0","0.0","1.0","101","231.0","975.0","l","1.0","6.5"
"4.0","28.0","0.0","1.0","0.0","102","231.0","1261.0","l","0.0","10.0"
"0.0","20.0","-3.0","0.0","0.0","101","231.0","937.0","a","0.0","8.5"
"0.0","22.0","-10.0","0.0","1.0","101","231.0","1062.0","a","0.0","6.0"
"0.0","18.0","-4.0","0.0","0.0","101","231.0","1177.0","l","1.0","7.0"
"7.0","22.0","0.0","1.0","1.0","102","231.0","664.0","l","0.0","4.0"
"0.0","15.0","-2.0","0.0","1.0","101","253.0","1062.0","l","1.0","6.5"
"0.0","16.0","-3.0","1.0","1.0","101","253.0","1859.0","l","0.0","6.5"
"4.0","28.0","0.0","1.0","0.0","102","269.0","1541.0","a","1.0","10.0"
"6.0","26.0","0.0","1.0","0.0","102","269.0","1193.0","a","1.0","7.0"
"3.0","24.0","0.0","1.0","0.0","102","269.0","931.0","a","1.0","9.0"
"0.0","17.0","-3.0","0.0","0.0","101","269.0","812.0","a","0.0","7.0"
"0.0","14.0","-4.0","0.0","1.0","101","269.0","748.0","a","0.0","5.0"
"0.0","16.0","-5.0","0.0","1.0","101","269.0","1080.0","l","1.0","5.5"
"3.0","28.0","0.0","1.0","0.0","102","269.0","871.0","l","0.0","11.0"
"7.0","24.0","0.0","0.0","1.0","102","269.0","1294.0","a","0.0","5.0"
"0.0","15.0","-3.0","0.0","0.0","101","276.0","763.0","a","0.0","6.0"
"0.0","15.0","-4.0","0.0","1.0","101","276.0","1112.0","l","1.0","5.5"
"0.0","14.0","-5.0","0.0","1.0","101","276.0","860.0","l","1.0","4.5"
"6.0","22.0","0.0","0.0","0.0","102","276.0","2155.0","l","1.0","5.0"
"7.0","28.0","0.0","1.0","0.0","102","282.0","1079.0","a","1.0","7.0"
"0.0","18.0","-2.0","0.0","0.0","101","282.0","970.0","a","0.0","8.0"
"0.0","14.0","-3.0","0.0","1.0","101","282.0","1331.0","a","0.0","5.5"
"0.0","20.0","-6.0","0.0","0.0","101","282.0","1544.0","l","1.0","7.0"
"0.0","15.0","-6.0","0.0","0.0","101","282.0","887.0","a","0.0","4.5"
"0.0","16.0","-8.0","0.0","0.0","101","282.0","892.0","l","1.0","4.0"
"7.0","20.0","0.0","0.0","0.0","102","282.0","1307.0","a","0.0","3.0"
"0.0","14.0","-6.0","0.0","1.0","101","289.0","996.0","l","1.0","4.0"
"0.0","17.0","-5.0","0.0","1.0","101","289.0","1360.0","a","0.0","6.0"
"0.0","22.0","-8.0","0.0","0.0","101","289.0","845.0","a","0.0","7.0"
"0.0","18.0","-5.0","0.0","0.0","101","289.0","705.0","a","0.0","6.5"
"0.0","20.0","-4.0","1.0","1.0","101","289.0","1358.0","l","0.0","8.0"
"0.0","22.0","-6.0","0.0","0.0","101","309.0","1045.0","a","0.0","8.0"
"0.0","18.0","-6.0","0.0","0.0","101","309.0","930.0","a","0.0","6.0"
"0.0","15.0","-10.0","0.0","0.0","101","309.0","1424.0","a","0.0","2.5"
"4.0","26.0","0.0","1.0","0.0","102","309.0","1258.0","a","1.0","9.0"
"5.0","26.0","0.0","1.0","1.0","102","309.0","1108.0","a","1.0","8.0"
"0.0","15.0","-3.0","1.0","1.0","101","335.0","1647.0","a","1.0","6.0"
"0.0","16.0","-6.0","0.0","0.0","101","350.0","982.0","l","1.0","5.0"
"7.0","26.0","0.0","0.0","0.0","102","350.0","1065.0","a","0.0","6.0"
"0.0","16.0","-10.0","0.0","1.0","101","357.0","1035.0","a","0.0","3.0"
"0.0","17.0","-6.0","0.0","1.0","101","357.0","1002.0","l","1.0","5.5"
"0.0","22.0","-5.0","0.0","1.0","101","357.0","1010.0","l","1.0","8.5"
"0.0","20.0","-5.0","0.0","1.0","101","357.0","1017.0","a","0.0","7.5"
"0.0","18.0","-10.0","0.0","1.0","101","357.0","1169.0","a","0.0","4.0"
"0.0","18.0","-3.0","0.0","1.0","101","357.0","1052.0","l","1.0","7.5"
"0.0","17.0","-5.0","0.0","1.0","101","357.0","1338.0","l","1.0","6.0"
"0.0","14.0","-8.0","0.0","0.0","101","357.0","920.0","l","1.0","3.0"
"3.0","20.0","0.0","1.0","1.0","102","357.0","1630.0","a","1.0","7.0"
"3.0","20.0","0.0","1.0","1.0","102","377.0","1216.0","a","1.0","7.0"
"0.0","22.0","-8.0","0.0","0.0","101","397.0","1114.0","l","1.0","7.0"
"7.0","26.0","0.0","0.0","0.0","102","397.0","750.0","a","0.0","6.0"
"0.0","17.0","-4.0","0.0","1.0","101","404.0","753.0","a","0.0","6.5"
"0.0","14.0","-6.0","0.0","1.0","101","404.0","738.0","a","0.0","4.0"
"3.0","26.0","0.0","1.0","1.0","102","404.0","967.0","a","1.0","10.0"
"0.0","15.0","-8.0","0.0","1.0","101","430.0","1060.0","l","1.0","3.5"
"0.0","16.0","-10.0","0.0","1.0","101","430.0","530.0","a","0.0","3.0"
"0.0","20.0","-10.0","0.0","1.0","101","430.0","1136.0","a","0.0","5.0"
"0.0","17.0","-3.0","1.0","0.0","101","430.0","2798.0","a","1.0","7.0"
"0.0","18.0","-6.0","0.0","1.0","101","427.0","1293.0","l","1.0","6.0"
"0.0","14.0","-10.0","0.0","0.0","101","427.0","933.0","l","1.0","2.0"
"6.0","22.0","0.0","0.0","0.0","102","427.0","679.0","a","0.0","5.0"
"4.0","22.0","0.0","1.0","0.0","102","433.0","2036.0","l","0.0","7.0"
