"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"4.0","18.0","0.0","1.0","0.0","102","150.0","2079.0","a","1.0","5.0"
"0.0","14.0","-6.0","1.0","0.0","101","150.0","2687.0","l","0.0","4.0"
"0.0","15.0","-6.0","1.0","1.0","101","144.0","1402.0","a","1.0","4.5"
"5.0","24.0","0.0","0.0","0.0","102","159.0","1509.0","l","1.0","7.0"
"0.0","14.0","-3.0","1.0","0.0","101","164.0","1651.0","a","1.0","5.5"
"0.0","13.0","-6.0","1.0","0.0","101","161.0","2961.0","a","1.0","3.5"
"7.0","16.0","0.0","0.0","0.0","102","155.0","1694.0","a","0.0","1.0"
"4.0","16.0","0.0","0.0","0.0","102","162.0","2744.0","l","1.0","4.0"
"0.0","15.0","-4.0","1.0","1.0","101","166.0","2375.0","l","0.0","5.5"
"0.0","17.0","-3.0","1.0","0.0","101","181.0","1291.0","l","0.0","7.0"
"6.0","20.0","0.0","0.0","0.0","102","178.0","2712.0","l","1.0","4.0"
"0.0","15.0","-10.0","0.0","0.0","101","184.0","3141.0","a","0.0","2.5"
"0.0","12.0","-3.0","1.0","0.0","101","184.0","1280.0","a","1.0","4.5"
"7.0","22.0","0.0","0.0","1.0","102","181.0","1396.0","a","0.0","4.0"
"0.0","19.0","-3.0","1.0","0.0","101","188.0","1519.0","a","1.0","8.0"
"0.0","17.0","-4.0","1.0","1.0","101","185.0","1643.0","a","1.0","6.5"
"0.0","13.0","-6.0","1.0","0.0","101","202.0","723.0","a","1.0","3.5"
"0.0","17.0","-2.0","1.0","1.0","101","196.0","1263.0","l","0.0","7.5"
"0.0","12.0","-3.0","1.0","0.0","101","213.0","702.0","l","0.0","4.5"
"0.0","12.0","-10.0","0.0","0.0","101","210.0","1311.0","a","0.0","1.0"
"6.0","24.0","0.0","0.0","1.0","102","210.0","1109.0","a","0.0","6.0"
"0.0","13.0","-2.0","1.0","0.0","101","216.0","1364.0","l","0.0","5.5"
"0.0","14.0","-4.0","1.0","0.0","101","214.0","1831.0","a","1.0","5.0"
"6.0","24.0","0.0","0.0","1.0","102","210.0","1879.0","a","0.0","6.0"
"0.0","11.0","-8.0","1.0","1.0","101","216.0","1861.0","l","0.0","1.5"
"0.0","11.0","-3.0","1.0","0.0","101","227.0","1404.0","a","1.0","4.0"
"0.0","11.0","-10.0","0.0","0.0","101","224.0","1427.0","l","1.0","0.5"
"7.0","18.0","0.0","0.0","0.0","102","224.0","1845.0","l","1.0","2.0"
"3.0","20.0","0.0","1.0","0.0","102","231.0","1852.0","a","1.0","7.0"
"0.0","13.0","-2.0","1.0","0.0","101","231.0","2017.0","a","1.0","5.5"
"0.0","17.0","-5.0","1.0","1.0","101","229.0","1690.0","l","0.0","6.0"
"0.0","19.0","-8.0","0.0","0.0","101","246.0","3146.0","l","1.0","5.5"
"0.0","12.0","-5.0","1.0","1.0","101","246.0","1549.0","a","1.0","3.5"
"0.0","13.0","-10.0","0.0","0.0","101","258.0","1271.0","l","1.0","1.5"
"0.0","15.0","-5.0","0.0","1.0","101","258.0","2582.0","l","1.0","5.0"
"0.0","15.0","-10.0","0.0","1.0","101","258.0","1015.0","l","1.0","2.5"
"5.0","16.0","0.0","0.0","0.0","102","258.0","1793.0","l","1.0","3.0"
"0.0","14.0","-3.0","1.0","1.0","101","263.0","1202.0","a","1.0","5.5"
"4.0","22.0","0.0","0.0","1.0","102","277.0","1488.0","a","0.0","7.0"
"6.0","16.0","0.0","0.0","0.0","102","281.0","1338.0","a","0.0","2.0"
"0.0","14.0","-4.0","1.0","0.0","101","287.0","2916.0","a","1.0","5.0"
"0.0","19.0","-10.0","0.0","1.0","101","283.0","1881.0","a","0.0","4.5"
