"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","11.0","-3.0","1.0","1.0","101","150.0","2488.0","l","0.0","4.0"
"3.0","14.0","0.0","1.0","1.0","102","161.0","951.0","a","1.0","4.0"
"7.0","10.0","0.0","0.0","0.0","102","175.0","1591.0","l","1.0","-2.0"
"0.0","14.0","-6.0","1.0","1.0","101","182.0","1169.0","l","0.0","4.0"
"5.0","12.0","0.0","1.0","0.0","102","196.0","1053.0","l","0.0","1.0"
"0.0","16.0","-2.0","1.0","0.0","101","196.0","1178.0","l","0.0","7.0"
"0.0","8.0","-4.0","1.0","1.0","101","194.0","914.0","l","0.0","2.0"
"0.0","9.0","-2.0","1.0","0.0","101","202.0","1177.0","a","1.0","3.5"
"0.0","16.0","-10.0","1.0","0.0","101","200.0","1598.0","l","0.0","3.0"
"0.0","14.0","-2.0","1.0","0.0","101","190.0","1009.0","l","0.0","6.0"
"4.0","12.0","0.0","1.0","1.0","102","188.0","1703.0","l","0.0","2.0"
"0.0","12.0","-8.0","1.0","0.0","101","200.0","1266.0","l","0.0","2.0"
"0.0","14.0","-8.0","1.0","1.0","101","192.0","1016.0","l","0.0","3.0"
"0.0","12.0","-8.0","1.0","0.0","101","206.0","967.0","a","1.0","2.0"
"6.0","8.0","0.0","0.0","0.0","102","198.0","1655.0","a","0.0","-2.0"
"6.0","6.0","0.0","0.0","0.0","102","204.0","1919.0","l","1.0","-3.0"
"5.0","6.0","0.0","0.0","0.0","102","210.0","1284.0","l","1.0","-2.0"
"0.0","9.0","-3.0","1.0","1.0","101","215.0","1134.0","a","1.0","3.0"
"4.0","8.0","0.0","0.0","0.0","102","224.0","1545.0","l","1.0","0.0"
"0.0","16.0","-5.0","1.0","0.0","101","228.0","1081.0","l","0.0","5.5"
"5.0","14.0","0.0","1.0","1.0","102","223.0","1271.0","a","1.0","2.0"
"0.0","9.0","-3.0","1.0","1.0","101","237.0","1162.0","l","0.0","3.0"
"0.0","14.0","-3.0","1.0","1.0","101","246.0","1104.0","l","0.0","5.5"
"5.0","6.0","0.0","0.0","1.0","102","260.0","1638.0","l","1.0","-2.0"
"0.0","8.0","-3.0","1.0","1.0","101","265.0","1051.0","l","0.0","2.5"
"7.0","14.0","0.0","1.0","1.0","102","273.0","1755.0","a","1.0","0.0"
"0.0","12.0","-10.0","0.0","0.0","101","287.0","1954.0","l","1.0","1.0"
"0.0","12.0","-4.0","1.0","0.0","101","287.0","1367.0","l","0.0","4.0"
"0.0","14.0","-8.0","0.0","0.0","101","283.0","1521.0","l","1.0","3.0"
"0.0","16.0","-5.0","1.0","0.0","101","283.0","911.0","a","1.0","5.5"
"5.0","8.0","0.0","0.0","1.0","102","278.0","1953.0","l","1.0","-1.0"
"0.0","11.0","-8.0","0.0","1.0","101","283.0","1407.0","l","1.0","1.5"
"0.0","11.0","-5.0","1.0","0.0","101","283.0","1031.0","a","1.0","3.0"
"3.0","6.0","0.0","0.0","0.0","102","278.0","1855.0","l","1.0","0.0"
"0.0","14.0","-10.0","0.0","0.0","101","281.0","1518.0","a","0.0","2.0"
"7.0","6.0","0.0","0.0","0.0","102","281.0","1660.0","a","0.0","-4.0"
