"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"6.0","6.0","0.0","0.0","0.0","102","150.0","2020.0","a","0.0","-3.0"
"0.0","13.0","-6.0","1.0","0.0","101","156.0","1155.0","l","0.0","3.5"
"6.0","12.0","0.0","1.0","0.0","102","150.0","1496.0","l","0.0","0.0"
"0.0","17.0","-3.0","1.0","0.0","101","150.0","1000.0","a","1.0","7.0"
"0.0","11.0","-4.0","1.0","0.0","101","147.0","1100.0","l","0.0","3.5"
"0.0","12.0","-5.0","1.0","1.0","101","143.0","1544.0","l","0.0","3.5"
"0.0","15.0","-3.0","1.0","0.0","101","155.0","987.0","l","0.0","6.0"
"7.0","10.0","0.0","0.0","1.0","102","152.0","1685.0","l","1.0","-2.0"
"0.0","15.0","-10.0","0.0","1.0","101","159.0","1171.0","a","0.0","2.5"
"4.0","10.0","0.0","1.0","1.0","102","159.0","1215.0","a","1.0","1.0"
"5.0","8.0","0.0","0.0","1.0","102","169.0","1121.0","a","0.0","-1.0"
"4.0","8.0","0.0","1.0","1.0","102","174.0","2063.0","a","1.0","0.0"
"6.0","14.0","0.0","1.0","0.0","102","182.0","1774.0","l","0.0","1.0"
"0.0","10.0","-2.0","1.0","0.0","101","182.0","975.0","l","0.0","4.0"
"0.0","15.0","-8.0","1.0","0.0","101","180.0","1586.0","a","1.0","3.5"
"0.0","10.0","-10.0","0.0","0.0","101","172.0","1049.0","l","1.0","0.0"
"0.0","10.0","-6.0","0.0","0.0","101","172.0","1224.0","l","1.0","2.0"
"0.0","11.0","-3.0","1.0","1.0","101","172.0","977.0","l","0.0","4.0"
"0.0","17.0","-2.0","1.0","1.0","101","183.0","1112.0","l","0.0","7.5"
"6.0","10.0","0.0","0.0","0.0","102","200.0","1525.0","l","1.0","-1.0"
"0.0","15.0","-2.0","1.0","0.0","101","206.0","997.0","l","0.0","6.5"
"0.0","17.0","-4.0","1.0","1.0","101","204.0","1016.0","l","0.0","6.5"
"0.0","13.0","-3.0","1.0","0.0","101","221.0","867.0","a","1.0","5.0"
"3.0","14.0","0.0","1.0","1.0","102","218.0","1409.0","l","0.0","4.0"
"0.0","12.0","-3.0","1.0","1.0","101","232.0","1103.0","l","0.0","4.5"
"0.0","9.0","-8.0","0.0","0.0","101","244.0","1058.0","l","1.0","0.5"
"3.0","12.0","0.0","1.0","1.0","102","244.0","1294.0","a","1.0","3.0"
"0.0","11.0","-5.0","1.0","0.0","101","256.0","1925.0","l","0.0","3.0"
"4.0","8.0","0.0","1.0","0.0","102","251.0","1449.0","a","1.0","0.0"
"0.0","17.0","-10.0","1.0","1.0","101","251.0","1562.0","a","1.0","3.5"
"0.0","9.0","-5.0","1.0","0.0","101","268.0","1523.0","l","0.0","2.0"
"0.0","15.0","-5.0","1.0","1.0","101","263.0","1000.0","l","0.0","5.0"
"0.0","12.0","-4.0","1.0","0.0","101","278.0","1892.0","l","0.0","4.0"
"0.0","17.0","-8.0","1.0","1.0","101","274.0","1530.0","l","0.0","4.5"
"0.0","10.0","-10.0","0.0","0.0","101","291.0","965.0","a","0.0","0.0"
"0.0","13.0","-6.0","1.0","1.0","101","291.0","1341.0","a","1.0","3.5"
"0.0","13.0","-4.0","1.0","1.0","101","304.0","1081.0","a","1.0","4.5"
"0.0","12.0","-8.0","1.0","1.0","101","317.0","1390.0","a","1.0","2.0"
"0.0","11.0","-6.0","1.0","1.0","101","329.0","1028.0","l","0.0","2.5"
"7.0","10.0","0.0","1.0","0.0","102","340.0","1382.0","a","1.0","-2.0"
"0.0","11.0","-3.0","1.0","1.0","101","340.0","1180.0","l","0.0","4.0"
"5.0","6.0","0.0","0.0","0.0","102","351.0","1542.0","a","0.0","-2.0"
"6.0","6.0","0.0","0.0","1.0","102","356.0","1554.0","a","0.0","-3.0"
"3.0","10.0","0.0","1.0","1.0","102","362.0","1516.0","a","1.0","2.0"
"0.0","17.0","-10.0","1.0","0.0","101","372.0","1399.0","l","0.0","3.5"
"0.0","15.0","-8.0","1.0","1.0","101","362.0","859.0","a","1.0","3.5"
"0.0","13.0","-10.0","1.0","1.0","101","377.0","2602.0","a","1.0","1.5"
"0.0","10.0","-6.0","1.0","1.0","101","390.0","1310.0","l","0.0","2.0"
"0.0","12.0","-8.0","1.0","1.0","101","400.0","1767.0","a","1.0","2.0"
"4.0","6.0","0.0","1.0","1.0","102","412.0","1176.0","a","1.0","-1.0"
"5.0","14.0","0.0","1.0","1.0","102","418.0","947.0","l","0.0","2.0"
"0.0","9.0","-6.0","1.0","1.0","101","432.0","1722.0","l","0.0","1.5"
"7.0","14.0","0.0","1.0","1.0","102","441.0","1038.0","l","0.0","0.0"
"0.0","11.0","-8.0","1.0","0.0","101","455.0","1223.0","a","1.0","1.5"
"0.0","13.0","-3.0","1.0","1.0","101","447.0","760.0","a","1.0","5.0"
"5.0","10.0","0.0","1.0","1.0","102","460.0","1848.0","l","0.0","0.0"
"0.0","10.0","-4.0","1.0","1.0","101","470.0","903.0","l","0.0","3.0"
"7.0","8.0","0.0","0.0","1.0","102","480.0","1056.0","a","0.0","-3.0"
"0.0","12.0","-4.0","1.0","1.0","101","487.0","970.0","l","0.0","4.0"
"4.0","14.0","0.0","1.0","0.0","102","499.0","1041.0","l","0.0","3.0"
"3.0","8.0","0.0","1.0","0.0","102","499.0","1160.0","a","1.0","1.0"
"3.0","14.0","0.0","1.0","1.0","102","499.0","1068.0","l","0.0","4.0"
