"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","11.0","-3.0","1.0","0.0","101","150.0","1440.0","l","0.0","4.0"
"6.0","16.0","0.0","1.0","0.0","102","147.0","1260.0","l","0.0","2.0"
"0.0","10.0","-10.0","1.0","0.0","101","147.0","1147.0","l","0.0","0.0"
"0.0","13.0","-6.0","1.0","0.0","101","137.0","1284.0","l","0.0","3.5"
"5.0","16.0","0.0","0.0","0.0","102","131.0","1051.0","a","0.0","3.0"
"6.0","12.0","0.0","0.0","0.0","102","136.0","1138.0","l","1.0","0.0"
"0.0","12.0","-8.0","1.0","0.0","101","142.0","1163.0","a","1.0","2.0"
"0.0","17.0","-8.0","1.0","0.0","101","134.0","1163.0","a","1.0","4.5"
"4.0","16.0","0.0","1.0","1.0","102","126.0","1228.0","l","0.0","4.0"
"0.0","13.0","-3.0","1.0","1.0","101","142.0","1092.0","l","0.0","5.0"
"0.0","10.0","-6.0","1.0","0.0","101","155.0","954.0","l","0.0","2.0"
"0.0","10.0","-10.0","1.0","1.0","101","149.0","897.0","l","0.0","0.0"
"4.0","12.0","0.0","1.0","1.0","102","159.0","1307.0","l","0.0","2.0"
"0.0","9.0","-4.0","1.0","0.0","101","171.0","1316.0","a","1.0","2.5"
"5.0","16.0","0.0","1.0","1.0","102","167.0","1162.0","l","0.0","3.0"
"0.0","9.0","-2.0","1.0","0.0","101","183.0","1153.0","l","0.0","3.5"
"0.0","10.0","-2.0","1.0","0.0","101","181.0","1164.0","l","0.0","4.0"
"0.0","11.0","-4.0","1.0","1.0","101","179.0","1221.0","l","0.0","3.5"
"3.0","14.0","0.0","1.0","1.0","102","190.0","1276.0","a","1.0","4.0"
"0.0","15.0","-4.0","1.0","0.0","101","204.0","1107.0","l","0.0","5.5"
"5.0","12.0","0.0","1.0","0.0","102","200.0","1363.0","a","1.0","1.0"
"0.0","12.0","-6.0","1.0","0.0","101","200.0","1283.0","a","1.0","3.0"
"0.0","15.0","-4.0","0.0","0.0","101","194.0","1476.0","l","1.0","5.5"
"0.0","17.0","-2.0","0.0","1.0","101","194.0","1406.0","a","0.0","7.5"
"0.0","15.0","-8.0","1.0","1.0","101","194.0","1548.0","a","1.0","3.5"
"0.0","11.0","-5.0","1.0","1.0","101","209.0","1101.0","l","0.0","3.0"
"0.0","17.0","-4.0","1.0","0.0","101","220.0","1119.0","l","0.0","6.5"
"7.0","14.0","0.0","0.0","1.0","102","216.0","1571.0","l","1.0","0.0"
"5.0","10.0","0.0","1.0","1.0","102","223.0","1483.0","a","1.0","0.0"
"0.0","9.0","-10.0","0.0","1.0","101","233.0","1931.0","a","0.0","-0.5"
"5.0","12.0","0.0","1.0","0.0","102","233.0","1547.0","a","1.0","1.0"
"0.0","15.0","-10.0","1.0","0.0","101","233.0","1322.0","a","1.0","2.5"
"3.0","10.0","0.0","1.0","0.0","102","223.0","1355.0","a","1.0","2.0"
"0.0","9.0","-3.0","1.0","0.0","101","223.0","1516.0","l","0.0","3.0"
"0.0","10.0","-4.0","1.0","1.0","101","220.0","1929.0","a","1.0","3.0"
"0.0","17.0","-6.0","1.0","0.0","101","230.0","1140.0","a","1.0","5.5"
"3.0","12.0","0.0","1.0","1.0","102","224.0","1602.0","l","0.0","3.0"
"0.0","13.0","-6.0","1.0","1.0","101","236.0","1369.0","a","1.0","3.5"
"0.0","13.0","-10.0","0.0","1.0","101","249.0","1498.0","a","0.0","1.5"
"4.0","10.0","0.0","1.0","1.0","102","249.0","1629.0","a","1.0","1.0"
"0.0","12.0","-8.0","1.0","0.0","101","259.0","1154.0","l","0.0","2.0"
"0.0","11.0","-4.0","1.0","0.0","101","251.0","1826.0","a","1.0","3.5"
"5.0","8.0","0.0","0.0","0.0","102","247.0","1003.0","l","1.0","-1.0"
"0.0","13.0","-5.0","0.0","0.0","101","252.0","1370.0","a","0.0","4.0"
"0.0","12.0","-3.0","1.0","1.0","101","252.0","1289.0","a","1.0","4.5"
"0.0","11.0","-10.0","0.0","0.0","101","264.0","1322.0","l","1.0","0.5"
"0.0","10.0","-8.0","1.0","0.0","101","264.0","1627.0","l","0.0","1.0"
"0.0","15.0","-5.0","1.0","0.0","101","256.0","1259.0","l","0.0","5.0"
"3.0","12.0","0.0","1.0","1.0","102","251.0","1372.0","a","1.0","3.0"
"0.0","13.0","-2.0","1.0","0.0","101","263.0","1956.0","l","0.0","5.5"
"3.0","8.0","0.0","1.0","1.0","102","261.0","1403.0","a","1.0","1.0"
"6.0","10.0","0.0","0.0","1.0","102","269.0","1579.0","a","0.0","-1.0"
"0.0","10.0","-5.0","1.0","1.0","101","275.0","996.0","l","0.0","2.5"
"6.0","14.0","0.0","1.0","1.0","102","285.0","1394.0","l","0.0","1.0"
"0.0","11.0","-2.0","1.0","0.0","101","299.0","1193.0","l","0.0","4.5"
"0.0","12.0","-4.0","1.0","1.0","101","297.0","1291.0","a","1.0","4.0"
"4.0","8.0","0.0","1.0","1.0","102","309.0","1076.0","l","0.0","0.0"
"0.0","10.0","-3.0","1.0","0.0","101","317.0","1137.0","a","1.0","3.5"
"0.0","12.0","-3.0","1.0","1.0","101","314.0","1106.0","l","0.0","4.5"
"7.0","16.0","0.0","1.0","0.0","102","326.0","1115.0","l","0.0","1.0"
"3.0","14.0","0.0","1.0","1.0","102","326.0","954.0","l","0.0","4.0"
"4.0","8.0","0.0","1.0","0.0","102","340.0","970.0","l","0.0","0.0"
"5.0","10.0","0.0","0.0","0.0","102","340.0","1652.0","a","0.0","0.0"
"7.0","8.0","0.0","0.0","1.0","102","345.0","1043.0","l","1.0","-3.0"
"0.0","9.0","-8.0","0.0","1.0","101","352.0","1569.0","a","0.0","0.5"
"0.0","11.0","-2.0","1.0","1.0","101","352.0","1243.0","a","1.0","4.5"
"0.0","11.0","-8.0","1.0","0.0","101","363.0","865.0","l","0.0","1.5"
"0.0","10.0","-3.0","1.0","0.0","101","355.0","1314.0","l","0.0","3.5"
"0.0","13.0","-2.0","1.0","1.0","101","352.0","994.0","a","1.0","5.5"
"0.0","9.0","-3.0","1.0","0.0","101","365.0","1587.0","l","0.0","3.0"
"0.0","12.0","-5.0","1.0","1.0","101","362.0","1094.0","a","1.0","3.5"
"6.0","8.0","0.0","1.0","1.0","102","374.0","1358.0","l","0.0","-2.0"
"0.0","12.0","-2.0","1.0","0.0","101","382.0","1065.0","a","1.0","5.0"
"0.0","13.0","-3.0","1.0","1.0","101","380.0","1010.0","a","1.0","5.0"
"4.0","10.0","0.0","1.0","1.0","102","393.0","1045.0","a","1.0","1.0"
"0.0","10.0","-8.0","1.0","1.0","101","403.0","1034.0","a","1.0","1.0"
"3.0","16.0","0.0","1.0","1.0","102","413.0","1081.0","a","1.0","5.0"
"0.0","15.0","-5.0","1.0","0.0","101","429.0","885.0","l","0.0","5.0"
"7.0","12.0","0.0","0.0","0.0","102","424.0","1283.0","l","1.0","-1.0"
"0.0","12.0","-10.0","0.0","0.0","101","431.0","1372.0","l","1.0","1.0"
"0.0","17.0","-3.0","1.0","1.0","101","431.0","980.0","l","0.0","7.0"
"0.0","11.0","-3.0","1.0","1.0","101","448.0","1012.0","l","0.0","4.0"
"0.0","17.0","-5.0","1.0","0.0","101","459.0","1150.0","a","1.0","6.0"
"4.0","14.0","0.0","1.0","1.0","102","454.0","1214.0","l","0.0","3.0"
"3.0","10.0","0.0","1.0","1.0","102","468.0","1084.0","l","0.0","2.0"
"0.0","10.0","-6.0","0.0","1.0","101","478.0","1507.0","a","0.0","2.0"
"7.0","16.0","0.0","1.0","1.0","102","478.0","979.0","a","1.0","1.0"
"0.0","10.0","-5.0","0.0","1.0","101","494.0","1330.0","a","0.0","2.5"
"0.0","13.0","-10.0","0.0","0.0","101","494.0","1378.0","a","0.0","1.5"
"7.0","8.0","0.0","1.0","0.0","102","494.0","1403.0","a","1.0","-3.0"
"0.0","15.0","-2.0","1.0","0.0","101","494.0","1131.0","l","0.0","6.5"
"0.0","11.0","-8.0","0.0","0.0","101","492.0","1225.0","a","0.0","1.5"
"0.0","15.0","-10.0","0.0","1.0","101","492.0","1434.0","l","1.0","2.5"
"0.0","9.0","-8.0","0.0","1.0","101","492.0","1270.0","a","0.0","0.5"
"0.0","17.0","-3.0","1.0","1.0","101","492.0","1195.0","a","1.0","7.0"
"0.0","9.0","-10.0","0.0","0.0","101","509.0","1212.0","a","0.0","-0.5"
"5.0","14.0","0.0","1.0","1.0","102","509.0","1027.0","l","0.0","2.0"
"0.0","11.0","-5.0","1.0","1.0","101","523.0","1124.0","l","0.0","3.0"
"6.0","14.0","0.0","1.0","0.0","102","534.0","1300.0","l","0.0","1.0"
"3.0","16.0","0.0","1.0","1.0","102","534.0","870.0","l","0.0","5.0"
"0.0","15.0","-3.0","1.0","0.0","101","550.0","1139.0","l","0.0","6.0"
"0.0","15.0","-6.0","1.0","1.0","101","547.0","985.0","a","1.0","4.5"
"0.0","12.0","-5.0","1.0","1.0","101","562.0","1337.0","a","1.0","3.5"
"0.0","9.0","-6.0","0.0","1.0","101","574.0","1258.0","a","0.0","1.5"
"0.0","15.0","-2.0","1.0","1.0","101","574.0","892.0","a","1.0","6.5"
"0.0","11.0","-6.0","1.0","1.0","101","589.0","1067.0","a","1.0","2.5"
"6.0","16.0","0.0","1.0","1.0","102","600.0","945.0","a","1.0","2.0"
"0.0","17.0","-8.0","1.0","1.0","101","616.0","1105.0","a","1.0","4.5"
"0.0","13.0","-5.0","1.0","0.0","101","633.0","1036.0","l","0.0","4.0"
"0.0","11.0","-10.0","0.0","0.0","101","628.0","1574.0","a","0.0","0.5"
"0.0","13.0","-4.0","1.0","1.0","101","628.0","1313.0","a","1.0","4.5"
"4.0","14.0","0.0","1.0","0.0","102","641.0","1097.0","a","1.0","3.0"
"5.0","14.0","0.0","1.0","1.0","102","641.0","825.0","a","1.0","2.0"
"0.0","15.0","-8.0","1.0","0.0","101","655.0","1171.0","l","0.0","3.5"
"0.0","9.0","-2.0","0.0","0.0","101","647.0","1324.0","l","1.0","3.5"
"0.0","12.0","-6.0","1.0","0.0","101","647.0","1211.0","l","0.0","3.0"
"7.0","10.0","0.0","1.0","1.0","102","641.0","934.0","l","0.0","-2.0"
"5.0","8.0","0.0","1.0","0.0","102","651.0","1091.0","a","1.0","-1.0"
"7.0","14.0","0.0","1.0","1.0","102","651.0","1388.0","l","0.0","0.0"
"0.0","17.0","-6.0","1.0","1.0","101","665.0","1050.0","a","1.0","5.5"
"6.0","10.0","0.0","1.0","0.0","102","682.0","1228.0","l","0.0","-1.0"
"0.0","13.0","-8.0","1.0","0.0","101","682.0","1217.0","l","0.0","2.5"
"0.0","10.0","-2.0","1.0","0.0","101","674.0","1316.0","a","1.0","4.0"
"0.0","11.0","-6.0","1.0","1.0","101","672.0","1524.0","l","0.0","2.5"
"0.0","9.0","-5.0","0.0","0.0","101","683.0","1458.0","a","0.0","2.0"
"3.0","8.0","0.0","1.0","1.0","102","683.0","940.0","a","1.0","1.0"
"0.0","12.0","-2.0","1.0","1.0","101","691.0","1209.0","a","1.0","5.0"
"6.0","12.0","0.0","1.0","1.0","102","703.0","1115.0","l","0.0","0.0"
"0.0","9.0","-5.0","1.0","0.0","101","715.0","1342.0","a","1.0","2.0"
"0.0","10.0","-4.0","1.0","1.0","101","710.0","1371.0","l","0.0","3.0"
"0.0","17.0","-4.0","1.0","0.0","101","720.0","979.0","l","0.0","6.5"
"0.0","12.0","-4.0","1.0","1.0","101","716.0","1050.0","l","0.0","4.0"
"0.0","9.0","-6.0","1.0","1.0","101","728.0","1198.0","a","1.0","1.5"
"7.0","10.0","0.0","1.0","1.0","102","737.0","950.0","l","0.0","-2.0"
"4.0","12.0","0.0","1.0","0.0","102","747.0","1001.0","a","1.0","2.0"
"0.0","17.0","-5.0","1.0","0.0","101","747.0","971.0","a","1.0","6.0"
"0.0","13.0","-4.0","1.0","0.0","101","742.0","1158.0","l","0.0","4.5"
"0.0","17.0","-10.0","0.0","0.0","101","738.0","1482.0","l","1.0","3.5"
"0.0","15.0","-6.0","1.0","0.0","101","738.0","842.0","a","1.0","4.5"
"0.0","9.0","-4.0","1.0","1.0","101","732.0","1022.0","l","0.0","2.5"
"0.0","15.0","-3.0","1.0","1.0","101","741.0","877.0","l","0.0","6.0"
"0.0","17.0","-10.0","0.0","1.0","101","756.0","1369.0","l","1.0","3.5"
"6.0","8.0","0.0","1.0","1.0","102","756.0","1707.0","a","1.0","-2.0"
"0.0","12.0","-10.0","0.0","1.0","101","764.0","1203.0","a","0.0","1.0"
"0.0","13.0","-8.0","1.0","1.0","101","764.0","962.0","l","0.0","2.5"
"4.0","16.0","0.0","1.0","0.0","102","777.0","881.0","a","1.0","4.0"
