"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","16.0","-10.0","0.0","1.0","101","150.0","1406.0","a","0.0","3.0"
"6.0","14.0","0.0","1.0","1.0","102","150.0","1294.0","l","0.0","1.0"
"0.0","14.0","-10.0","0.0","1.0","101","164.0","1123.0","l","1.0","2.0"
"0.0","17.0","-6.0","0.0","1.0","101","164.0","1314.0","a","0.0","5.5"
"0.0","17.0","-4.0","0.0","1.0","101","164.0","934.0","a","0.0","6.5"
"0.0","18.0","-10.0","0.0","0.0","101","164.0","1007.0","a","0.0","4.0"
"0.0","22.0","-5.0","1.0","1.0","101","164.0","1975.0","a","1.0","8.5"
"0.0","20.0","-4.0","1.0","0.0","101","186.0","1337.0","a","1.0","8.0"
"0.0","16.0","-5.0","0.0","0.0","101","182.0","1423.0","a","0.0","5.5"
"0.0","16.0","-6.0","0.0","0.0","101","182.0","1164.0","l","1.0","5.0"
"0.0","17.0","-8.0","0.0","0.0","101","182.0","1037.0","a","0.0","4.5"
"7.0","12.0","0.0","1.0","0.0","102","182.0","1040.0","l","0.0","-1.0"
"0.0","16.0","-8.0","0.0","1.0","101","182.0","1009.0","l","1.0","4.0"
"0.0","17.0","-10.0","0.0","1.0","101","182.0","1301.0","l","1.0","3.5"
"0.0","22.0","-6.0","1.0","1.0","101","182.0","1685.0","l","0.0","8.0"
"0.0","16.0","-5.0","0.0","0.0","101","204.0","1184.0","a","0.0","5.5"
"0.0","20.0","-8.0","0.0","1.0","101","204.0","1164.0","l","1.0","6.0"
"7.0","10.0","0.0","1.0","0.0","102","204.0","1017.0","l","0.0","-2.0"
"0.0","22.0","-6.0","0.0","1.0","101","204.0","1714.0","l","1.0","8.0"
"0.0","20.0","-2.0","1.0","1.0","101","204.0","977.0","a","1.0","9.0"
"0.0","18.0","-10.0","0.0","0.0","101","224.0","998.0","l","1.0","4.0"
"0.0","17.0","-3.0","0.0","1.0","101","224.0","769.0","a","0.0","7.0"
"0.0","20.0","-5.0","0.0","0.0","101","224.0","1090.0","a","0.0","7.5"
"0.0","20.0","-6.0","0.0","1.0","101","224.0","1061.0","l","1.0","7.0"
"0.0","18.0","-3.0","1.0","1.0","101","224.0","1292.0","l","0.0","7.5"
"0.0","17.0","-6.0","0.0","1.0","101","242.0","973.0","l","1.0","5.5"
"6.0","8.0","0.0","1.0","0.0","102","242.0","746.0","a","1.0","-2.0"
"6.0","6.0","0.0","1.0","1.0","102","242.0","701.0","a","1.0","-3.0"
"7.0","12.0","0.0","1.0","1.0","102","248.0","1741.0","a","1.0","-1.0"
"0.0","16.0","-4.0","1.0","1.0","101","260.0","2185.0","a","1.0","6.0"
"0.0","14.0","-8.0","0.0","0.0","101","276.0","871.0","l","1.0","3.0"
"4.0","8.0","0.0","1.0","0.0","102","276.0","1875.0","l","0.0","0.0"
"0.0","15.0","-10.0","0.0","0.0","101","276.0","1366.0","l","1.0","2.5"
"0.0","22.0","-3.0","1.0","0.0","101","276.0","1692.0","l","0.0","9.5"
"0.0","14.0","-10.0","0.0","0.0","101","273.0","998.0","l","1.0","2.0"
"0.0","18.0","-8.0","0.0","1.0","101","273.0","1149.0","a","0.0","5.0"
"7.0","10.0","0.0","1.0","0.0","102","273.0","1532.0","l","0.0","-2.0"
"5.0","10.0","0.0","1.0","0.0","102","273.0","779.0","a","1.0","0.0"
