"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"6.0","10.0","0.0","1.0","0.0","102","150.0","2512.0","l","0.0","-1.0"
"0.0","16.0","-4.0","1.0","0.0","101","150.0","1043.0","a","1.0","6.0"
"0.0","16.0","-5.0","1.0","0.0","101","146.0","1029.0","a","1.0","5.5"
"6.0","8.0","0.0","-999.0","1.0","102","141.0","","-999","0.0","-2.0"
"0.0","11.0","-4.0","1.0","0.0","101","141.0","1093.0","a","1.0","3.5"
"0.0","9.0","-6.0","1.0","0.0","101","137.0","639.0","l","0.0","1.5"
"3.0","14.0","0.0","1.0","0.0","102","131.0","1107.0","l","0.0","4.0"
"0.0","8.0","-2.0","1.0","0.0","101","131.0","955.0","a","1.0","3.0"
"0.0","16.0","-3.0","1.0","1.0","101","129.0","724.0","l","0.0","6.5"
"0.0","10.0","-10.0","0.0","0.0","101","145.0","1970.0","l","1.0","0.0"
"0.0","16.0","-5.0","1.0","1.0","101","145.0","1377.0","l","0.0","5.5"
"0.0","11.0","-3.0","1.0","1.0","101","161.0","898.0","l","0.0","4.0"
"5.0","16.0","0.0","1.0","0.0","102","172.0","1547.0","a","1.0","3.0"
"5.0","12.0","0.0","1.0","0.0","102","172.0","890.0","a","1.0","1.0"
"6.0","14.0","0.0","1.0","1.0","102","172.0","1261.0","l","0.0","1.0"
"0.0","12.0","-6.0","1.0","0.0","101","186.0","1179.0","l","0.0","3.0"
"3.0","14.0","0.0","1.0","0.0","102","180.0","706.0","l","0.0","4.0"
"4.0","8.0","0.0","1.0","1.0","102","180.0","730.0","l","0.0","0.0"
"0.0","8.0","-5.0","1.0","1.0","101","188.0","1275.0","l","0.0","1.5"
"5.0","16.0","0.0","1.0","1.0","102","196.0","971.0","a","1.0","3.0"
"0.0","14.0","-2.0","1.0","0.0","101","212.0","809.0","l","0.0","6.0"
"0.0","9.0","-10.0","0.0","0.0","101","210.0","2220.0","a","0.0","-0.5"
"4.0","8.0","0.0","1.0","1.0","102","210.0","763.0","l","0.0","0.0"
"0.0","10.0","-6.0","1.0","0.0","101","218.0","1196.0","l","0.0","2.0"
"5.0","10.0","0.0","1.0","0.0","102","212.0","1012.0","a","1.0","0.0"
"7.0","14.0","0.0","1.0","1.0","102","212.0","1039.0","l","0.0","0.0"
"4.0","14.0","0.0","1.0","0.0","102","226.0","829.0","a","1.0","3.0"
"0.0","10.0","-2.0","1.0","0.0","101","226.0","1418.0","l","0.0","4.0"
"0.0","9.0","-6.0","1.0","0.0","101","224.0","1433.0","a","1.0","1.5"
"0.0","12.0","-8.0","0.0","1.0","101","218.0","1351.0","a","0.0","2.0"
"0.0","10.0","-8.0","1.0","0.0","101","218.0","1651.0","l","0.0","1.0"
"4.0","14.0","0.0","1.0","0.0","102","210.0","728.0","l","0.0","3.0"
"0.0","14.0","-6.0","1.0","1.0","101","210.0","1395.0","l","0.0","4.0"
"6.0","16.0","0.0","1.0","1.0","102","224.0","667.0","l","0.0","2.0"
"0.0","16.0","-3.0","1.0","1.0","101","240.0","1019.0","l","0.0","6.5"
"7.0","16.0","0.0","1.0","0.0","102","256.0","1560.0","a","1.0","1.0"
"0.0","16.0","-4.0","1.0","1.0","101","256.0","888.0","a","1.0","6.0"
"0.0","11.0","-6.0","1.0","0.0","101","272.0","1009.0","l","0.0","2.5"
"5.0","8.0","0.0","0.0","1.0","102","266.0","2394.0","a","0.0","-1.0"
"0.0","11.0","-2.0","1.0","1.0","101","271.0","1324.0","l","0.0","4.5"
"0.0","9.0","-8.0","1.0","1.0","101","282.0","2146.0","a","1.0","0.5"
"0.0","11.0","-4.0","1.0","0.0","101","291.0","861.0","l","0.0","3.5"
"5.0","14.0","0.0","1.0","1.0","102","287.0","1197.0","a","1.0","2.0"
"0.0","8.0","-8.0","0.0","0.0","101","301.0","1156.0","l","1.0","0.0"
"0.0","12.0","-4.0","1.0","1.0","101","301.0","1195.0","l","0.0","4.0"
"3.0","12.0","0.0","1.0","1.0","102","313.0","1082.0","a","1.0","3.0"
"4.0","16.0","0.0","1.0","0.0","102","325.0","725.0","a","1.0","4.0"
"7.0","14.0","0.0","0.0","1.0","102","325.0","1315.0","l","1.0","0.0"
"0.0","9.0","-2.0","1.0","1.0","101","332.0","1193.0","a","1.0","3.5"
"0.0","12.0","-4.0","1.0","1.0","101","341.0","1299.0","a","1.0","4.0"
"0.0","16.0","-10.0","1.0","0.0","101","353.0","2081.0","l","0.0","3.0"
"0.0","12.0","-2.0","1.0","1.0","101","343.0","2870.0","l","0.0","5.0"
"0.0","10.0","-5.0","1.0","0.0","101","355.0","867.0","l","0.0","2.5"
"4.0","16.0","0.0","1.0","1.0","102","350.0","1168.0","l","0.0","4.0"
"0.0","12.0","-6.0","0.0","0.0","101","366.0","1466.0","l","1.0","3.0"
"0.0","10.0","-6.0","1.0","0.0","101","366.0","1521.0","l","0.0","2.0"
"0.0","11.0","-10.0","0.0","0.0","101","360.0","1821.0","l","1.0","0.5"
"3.0","10.0","0.0","1.0","1.0","102","360.0","1036.0","l","0.0","2.0"
"0.0","14.0","-3.0","1.0","0.0","101","370.0","994.0","a","1.0","5.5"
"0.0","8.0","-4.0","1.0","0.0","101","367.0","1731.0","a","1.0","2.0"
"0.0","14.0","-8.0","1.0","0.0","101","363.0","1899.0","a","1.0","3.0"
"0.0","14.0","-10.0","0.0","1.0","101","355.0","1947.0","l","1.0","2.0"
"0.0","8.0","-4.0","1.0","1.0","101","355.0","1668.0","l","0.0","2.0"
"3.0","16.0","0.0","1.0","1.0","102","363.0","719.0","l","0.0","5.0"
"3.0","8.0","0.0","1.0","1.0","102","379.0","1197.0","l","0.0","1.0"
"6.0","12.0","0.0","0.0","0.0","102","387.0","1418.0","a","0.0","0.0"
"0.0","8.0","-3.0","1.0","1.0","101","393.0","1339.0","l","0.0","2.5"
"3.0","10.0","0.0","1.0","1.0","102","401.0","1058.0","l","0.0","2.0"
"0.0","9.0","-5.0","1.0","0.0","101","411.0","1371.0","l","0.0","2.0"
"4.0","10.0","0.0","1.0","1.0","102","406.0","1554.0","l","0.0","1.0"
"0.0","10.0","-4.0","1.0","1.0","101","416.0","1258.0","a","1.0","3.0"
"0.0","16.0","-6.0","1.0","0.0","101","426.0","1210.0","a","1.0","5.0"
"6.0","16.0","0.0","1.0","0.0","102","420.0","1346.0","l","0.0","2.0"
"4.0","12.0","0.0","1.0","0.0","102","420.0","1947.0","a","1.0","2.0"
"0.0","10.0","-10.0","0.0","0.0","101","420.0","1212.0","l","1.0","0.0"
"0.0","14.0","-5.0","1.0","1.0","101","420.0","1386.0","a","1.0","4.5"
"7.0","8.0","0.0","0.0","0.0","102","434.0","1674.0","a","0.0","-3.0"
"4.0","10.0","0.0","1.0","1.0","102","441.0","1226.0","l","0.0","1.0"
