"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","15.0","-5.0","0.0","0.0","101","150.0","2280.0","a","0.0","5.0"
"0.0","13.0","-5.0","0.0","1.0","101","150.0","1548.0","l","1.0","4.0"
"0.0","14.0","-10.0","0.0","0.0","101","150.0","1067.0","l","1.0","2.0"
"6.0","14.0","0.0","1.0","1.0","102","150.0","1226.0","a","1.0","1.0"
"0.0","13.0","-3.0","1.0","0.0","101","164.0","1059.0","l","0.0","5.0"
"0.0","21.0","-3.0","1.0","0.0","101","161.0","1456.0","a","1.0","9.0"
"0.0","16.0","-8.0","0.0","1.0","101","158.0","1389.0","a","0.0","4.0"
"0.0","17.0","-5.0","1.0","0.0","101","158.0","1609.0","l","0.0","6.0"
"0.0","17.0","-10.0","0.0","1.0","101","153.0","1113.0","a","0.0","3.5"
"0.0","13.0","-8.0","0.0","1.0","101","153.0","1252.0","a","0.0","2.5"
"0.0","14.0","-3.0","1.0","0.0","101","153.0","1091.0","a","1.0","5.5"
"0.0","13.0","-10.0","0.0","0.0","101","150.0","1221.0","a","0.0","1.5"
"4.0","12.0","0.0","1.0","0.0","102","150.0","1283.0","a","1.0","2.0"
"0.0","14.0","-6.0","0.0","0.0","101","150.0","1263.0","l","1.0","4.0"
"0.0","17.0","-8.0","0.0","1.0","101","150.0","1546.0","a","0.0","4.5"
"0.0","21.0","-5.0","1.0","0.0","101","150.0","1128.0","l","0.0","8.0"
"0.0","15.0","-4.0","0.0","0.0","101","145.0","1417.0","a","0.0","5.5"
"3.0","14.0","0.0","1.0","0.0","102","145.0","1271.0","a","1.0","4.0"
"4.0","14.0","0.0","1.0","1.0","102","145.0","1490.0","a","1.0","3.0"
"0.0","14.0","-6.0","0.0","0.0","101","159.0","1328.0","l","1.0","4.0"
"0.0","14.0","-4.0","1.0","1.0","101","159.0","1214.0","a","1.0","5.0"
"0.0","14.0","-10.0","0.0","1.0","101","173.0","1172.0","l","1.0","2.0"
"0.0","17.0","-3.0","1.0","0.0","101","173.0","1036.0","a","1.0","7.0"
"0.0","16.0","-6.0","0.0","1.0","101","170.0","1521.0","l","1.0","5.0"
"6.0","12.0","0.0","0.0","0.0","102","170.0","1808.0","l","1.0","0.0"
"0.0","15.0","-4.0","0.0","1.0","101","176.0","1714.0","l","1.0","5.5"
