"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"6.0","10.0","0.0","0.0","1.0","102","150.0","922.0","l","1.0","-1.0"
"0.0","10.0","-10.0","0.0","0.0","101","156.0","1096.0","l","1.0","0.0"
"0.0","14.0","-4.0","1.0","1.0","101","156.0","936.0","l","0.0","5.0"
"0.0","16.0","-6.0","1.0","1.0","101","170.0","891.0","a","1.0","5.0"
"0.0","12.0","-8.0","1.0","0.0","101","186.0","1430.0","a","1.0","2.0"
"0.0","11.0","-4.0","0.0","0.0","101","178.0","1079.0","l","1.0","3.5"
"0.0","9.0","-6.0","0.0","0.0","101","178.0","1064.0","a","0.0","1.5"
"7.0","16.0","0.0","1.0","1.0","102","178.0","1135.0","l","0.0","1.0"
"0.0","8.0","-4.0","0.0","1.0","101","194.0","1184.0","l","1.0","2.0"
"3.0","14.0","0.0","1.0","1.0","102","194.0","484.0","a","1.0","4.0"
"0.0","8.0","-4.0","0.0","1.0","101","208.0","956.0","a","0.0","2.0"
"0.0","12.0","-5.0","1.0","0.0","101","208.0","1177.0","a","1.0","3.5"
"7.0","8.0","0.0","0.0","0.0","102","203.0","1897.0","l","1.0","-3.0"
"0.0","11.0","-2.0","1.0","1.0","101","210.0","1267.0","l","0.0","4.5"
"0.0","9.0","-8.0","0.0","0.0","101","221.0","1242.0","l","1.0","0.5"
"0.0","11.0","-8.0","0.0","0.0","101","221.0","1097.0","l","1.0","1.5"
"0.0","11.0","-8.0","0.0","0.0","101","221.0","1057.0","l","1.0","1.5"
"4.0","10.0","0.0","1.0","1.0","102","221.0","1007.0","l","0.0","1.0"
"0.0","14.0","-4.0","1.0","1.0","101","231.0","1686.0","l","0.0","5.0"
"0.0","12.0","-6.0","0.0","0.0","101","245.0","1005.0","l","1.0","3.0"
"0.0","14.0","-10.0","0.0","1.0","101","245.0","976.0","l","1.0","2.0"
"7.0","14.0","0.0","1.0","1.0","102","245.0","1297.0","a","1.0","0.0"
"0.0","12.0","-10.0","0.0","0.0","101","259.0","1143.0","a","0.0","1.0"
"0.0","16.0","-5.0","0.0","0.0","101","259.0","821.0","l","1.0","5.5"
"0.0","9.0","-2.0","0.0","1.0","101","259.0","835.0","l","1.0","3.5"
"0.0","10.0","-6.0","0.0","0.0","101","259.0","1145.0","a","0.0","2.0"
"7.0","10.0","0.0","1.0","0.0","102","259.0","624.0","l","0.0","-2.0"
"6.0","8.0","0.0","0.0","1.0","102","259.0","991.0","a","0.0","-2.0"
"0.0","9.0","-3.0","0.0","0.0","101","265.0","993.0","a","0.0","3.0"
"0.0","12.0","-5.0","1.0","1.0","101","265.0","1425.0","a","1.0","3.5"
"0.0","9.0","-5.0","0.0","0.0","101","277.0","933.0","a","0.0","2.0"
"0.0","16.0","-2.0","1.0","0.0","101","277.0","1067.0","l","0.0","7.0"
"6.0","14.0","0.0","1.0","1.0","102","275.0","552.0","a","1.0","1.0"
"5.0","12.0","0.0","1.0","0.0","102","289.0","1724.0","l","0.0","1.0"
"4.0","8.0","0.0","0.0","1.0","102","289.0","1627.0","a","0.0","0.0"
"0.0","8.0","-8.0","0.0","1.0","101","293.0","623.0","a","0.0","0.0"
"0.0","8.0","-5.0","0.0","1.0","101","293.0","952.0","a","0.0","1.5"
"0.0","10.0","-8.0","0.0","0.0","101","293.0","833.0","l","1.0","1.0"
"3.0","16.0","0.0","0.0","1.0","102","293.0","578.0","l","1.0","5.0"
"0.0","16.0","-4.0","0.0","0.0","101","296.0","906.0","l","1.0","6.0"
"4.0","16.0","0.0","1.0","0.0","102","296.0","913.0","a","1.0","4.0"
"7.0","10.0","0.0","1.0","1.0","102","296.0","663.0","l","0.0","-2.0"
"0.0","8.0","-2.0","1.0","0.0","101","306.0","1246.0","l","0.0","3.0"
"0.0","11.0","-6.0","0.0","1.0","101","304.0","968.0","l","1.0","2.5"
"0.0","12.0","-10.0","0.0","1.0","101","304.0","764.0","a","0.0","1.0"
"5.0","8.0","0.0","0.0","1.0","102","304.0","1110.0","a","0.0","-1.0"
"0.0","11.0","-3.0","0.0","1.0","101","309.0","696.0","a","0.0","4.0"
"0.0","8.0","-10.0","0.0","1.0","101","309.0","509.0","a","0.0","-1.0"
"6.0","16.0","0.0","0.0","0.0","102","309.0","1142.0","l","1.0","2.0"
"0.0","10.0","-3.0","0.0","0.0","101","315.0","936.0","l","1.0","3.5"
"0.0","14.0","-10.0","0.0","0.0","101","315.0","814.0","l","1.0","2.0"
"0.0","11.0","-2.0","1.0","0.0","101","315.0","921.0","a","1.0","4.5"
"5.0","10.0","0.0","1.0","0.0","102","313.0","1481.0","a","1.0","0.0"
"0.0","14.0","-5.0","0.0","0.0","101","313.0","490.0","a","0.0","4.5"
"0.0","9.0","-4.0","0.0","0.0","101","313.0","582.0","l","1.0","2.5"
"3.0","12.0","0.0","1.0","0.0","102","313.0","1723.0","l","0.0","3.0"
