"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","11.0","-6.0","1.0","1.0","101","150.0","1892.0","a","1.0","2.5"
"0.0","13.0","-3.0","1.0","0.0","101","161.0","1784.0","a","1.0","5.0"
"0.0","14.0","-5.0","1.0","1.0","101","158.0","1697.0","a","1.0","4.5"
"0.0","13.0","-8.0","1.0","0.0","101","172.0","2155.0","l","0.0","2.5"
"0.0","10.0","-5.0","1.0","0.0","101","164.0","1342.0","a","1.0","2.5"
"0.0","10.0","-4.0","1.0","0.0","101","159.0","1807.0","a","1.0","3.0"
"0.0","16.0","-6.0","1.0","1.0","101","155.0","2177.0","l","0.0","5.0"
"0.0","14.0","-6.0","1.0","1.0","101","171.0","2423.0","a","1.0","4.0"
"0.0","13.0","-2.0","1.0","1.0","101","185.0","1425.0","a","1.0","5.5"
"0.0","14.0","-4.0","1.0","0.0","101","198.0","1276.0","l","0.0","5.0"
"0.0","14.0","-8.0","0.0","0.0","101","194.0","1537.0","a","0.0","3.0"
"4.0","18.0","0.0","1.0","1.0","102","194.0","2449.0","a","1.0","5.0"
"0.0","12.0","-6.0","0.0","0.0","101","212.0","2053.0","l","1.0","3.0"
"0.0","13.0","-3.0","1.0","1.0","101","212.0","1506.0","l","0.0","5.0"
"0.0","11.0","-6.0","0.0","0.0","101","225.0","2001.0","l","1.0","2.5"
"6.0","14.0","0.0","1.0","0.0","102","225.0","1966.0","l","0.0","1.0"
"0.0","10.0","-6.0","0.0","0.0","101","225.0","1669.0","a","0.0","2.0"
"0.0","14.0","-10.0","0.0","0.0","101","225.0","1405.0","l","1.0","2.0"
"0.0","12.0","-3.0","1.0","1.0","101","225.0","1316.0","l","0.0","4.5"
"0.0","11.0","-2.0","1.0","1.0","101","237.0","1396.0","a","1.0","4.5"
"0.0","12.0","-8.0","0.0","0.0","101","248.0","1287.0","l","1.0","2.0"
"0.0","16.0","-10.0","0.0","1.0","101","248.0","1466.0","a","0.0","3.0"
"0.0","13.0","-8.0","0.0","1.0","101","248.0","2014.0","l","1.0","2.5"
"0.0","13.0","-10.0","0.0","1.0","101","248.0","1264.0","l","1.0","1.5"
"0.0","18.0","-5.0","1.0","1.0","101","248.0","963.0","a","1.0","6.5"
"0.0","13.0","-6.0","0.0","0.0","101","266.0","1698.0","a","0.0","3.5"
"7.0","16.0","0.0","0.0","0.0","102","266.0","1541.0","l","1.0","1.0"
"0.0","16.0","-4.0","1.0","0.0","101","273.0","1182.0","l","0.0","6.0"
"0.0","10.0","-5.0","0.0","1.0","101","269.0","1394.0","l","1.0","2.5"
"3.0","10.0","0.0","1.0","1.0","102","269.0","1579.0","l","0.0","2.0"
"0.0","13.0","-5.0","1.0","0.0","101","279.0","2302.0","l","0.0","4.0"
"0.0","12.0","-5.0","1.0","0.0","101","274.0","1830.0","l","0.0","3.5"
"0.0","18.0","-2.0","1.0","1.0","101","269.0","1210.0","a","1.0","8.0"
"0.0","11.0","-5.0","0.0","1.0","101","287.0","1481.0","a","0.0","3.0"
"0.0","16.0","-5.0","1.0","1.0","101","287.0","1248.0","a","1.0","5.5"
"7.0","14.0","0.0","0.0","0.0","102","303.0","2020.0","a","0.0","0.0"
"0.0","16.0","-3.0","1.0","1.0","101","310.0","1490.0","a","1.0","6.5"
"0.0","10.0","-3.0","1.0","0.0","101","326.0","1018.0","l","0.0","3.5"
"3.0","16.0","0.0","1.0","0.0","102","323.0","1609.0","a","1.0","5.0"
"4.0","10.0","0.0","1.0","0.0","102","323.0","1577.0","a","1.0","1.0"
"0.0","10.0","-6.0","0.0","0.0","101","323.0","1377.0","a","0.0","2.0"
"3.0","10.0","0.0","1.0","1.0","102","323.0","2192.0","l","0.0","2.0"
"0.0","11.0","-3.0","1.0","1.0","101","333.0","1089.0","l","0.0","4.0"
"0.0","18.0","-8.0","1.0","1.0","101","344.0","2296.0","a","1.0","5.0"
"0.0","14.0","-6.0","0.0","1.0","101","362.0","1716.0","a","0.0","4.0"
"0.0","10.0","-3.0","1.0","0.0","101","362.0","1000.0","l","0.0","3.5"
"0.0","12.0","-5.0","1.0","1.0","101","359.0","1813.0","a","1.0","3.5"
"0.0","11.0","-5.0","0.0","1.0","101","371.0","1394.0","a","0.0","3.0"
"0.0","11.0","-2.0","1.0","0.0","101","371.0","985.0","a","1.0","4.5"
"5.0","14.0","0.0","0.0","1.0","102","369.0","1299.0","l","1.0","2.0"
"4.0","14.0","0.0","1.0","1.0","102","374.0","2853.0","a","1.0","3.0"
"0.0","14.0","-4.0","1.0","1.0","101","388.0","1284.0","l","0.0","5.0"
"6.0","16.0","0.0","0.0","0.0","102","402.0","1632.0","l","1.0","2.0"
"3.0","14.0","0.0","1.0","0.0","102","408.0","1639.0","l","0.0","4.0"
"4.0","14.0","0.0","1.0","1.0","102","408.0","1898.0","l","0.0","3.0"
"5.0","18.0","0.0","0.0","0.0","102","422.0","2070.0","l","1.0","4.0"
"0.0","13.0","-4.0","1.0","0.0","101","427.0","1182.0","a","1.0","4.5"
"0.0","11.0","-8.0","0.0","1.0","101","423.0","1323.0","a","0.0","1.5"
"0.0","13.0","-6.0","0.0","1.0","101","423.0","1578.0","l","1.0","3.5"
"5.0","12.0","0.0","1.0","1.0","102","423.0","1821.0","a","1.0","1.0"
"0.0","14.0","-2.0","1.0","1.0","101","435.0","959.0","l","0.0","6.0"
"5.0","18.0","0.0","0.0","0.0","102","449.0","2347.0","a","0.0","4.0"
"0.0","18.0","-10.0","0.0","0.0","101","454.0","1371.0","a","0.0","4.0"
"0.0","18.0","-6.0","1.0","1.0","101","454.0","1478.0","a","1.0","6.0"
"0.0","11.0","-8.0","0.0","1.0","101","472.0","1491.0","l","1.0","1.5"
"4.0","10.0","0.0","0.0","0.0","102","472.0","1766.0","l","1.0","1.0"
"3.0","12.0","0.0","1.0","0.0","102","476.0","1726.0","l","0.0","3.0"
"7.0","12.0","0.0","0.0","1.0","102","476.0","1023.0","l","1.0","-1.0"
"0.0","16.0","-2.0","1.0","0.0","101","483.0","1124.0","l","0.0","7.0"
"0.0","10.0","-4.0","1.0","0.0","101","481.0","1924.0","a","1.0","3.0"
"4.0","16.0","0.0","1.0","0.0","102","477.0","1099.0","a","1.0","4.0"
"0.0","18.0","-3.0","1.0","1.0","101","477.0","1080.0","a","1.0","7.5"
"0.0","12.0","-2.0","1.0","1.0","101","495.0","1175.0","a","1.0","5.0"
"7.0","18.0","0.0","0.0","0.0","102","507.0","1209.0","l","1.0","2.0"
"0.0","18.0","-8.0","1.0","0.0","101","514.0","2150.0","a","1.0","5.0"
"0.0","18.0","-3.0","1.0","1.0","101","506.0","1140.0","l","0.0","7.5"
"0.0","13.0","-10.0","0.0","1.0","101","524.0","1684.0","l","1.0","1.5"
"3.0","16.0","0.0","1.0","0.0","102","524.0","2373.0","a","1.0","5.0"
"0.0","12.0","-10.0","0.0","0.0","101","524.0","1064.0","a","0.0","1.0"
"0.0","12.0","-8.0","0.0","0.0","101","524.0","1302.0","a","0.0","2.0"
"0.0","18.0","-4.0","1.0","1.0","101","524.0","1380.0","l","0.0","7.0"
"0.0","11.0","-4.0","1.0","0.0","101","542.0","1304.0","l","0.0","3.5"
"7.0","10.0","0.0","1.0","1.0","102","538.0","1731.0","l","0.0","-2.0"
"0.0","14.0","-5.0","1.0","0.0","101","548.0","1492.0","l","0.0","4.5"
"6.0","12.0","0.0","0.0","0.0","102","543.0","1264.0","l","1.0","0.0"
"0.0","16.0","-5.0","1.0","1.0","101","549.0","1097.0","a","1.0","5.5"
"0.0","18.0","-6.0","1.0","1.0","101","565.0","1875.0","a","1.0","6.0"
"3.0","18.0","0.0","1.0","1.0","102","583.0","2029.0","l","0.0","6.0"
"7.0","18.0","0.0","1.0","1.0","102","601.0","1907.0","l","0.0","2.0"
"7.0","10.0","0.0","0.0","1.0","102","619.0","2245.0","a","0.0","-2.0"
"0.0","16.0","-3.0","1.0","0.0","101","626.0","1201.0","l","0.0","6.5"
"0.0","14.0","-8.0","0.0","1.0","101","623.0","1922.0","a","0.0","3.0"
"3.0","18.0","0.0","1.0","0.0","102","623.0","1157.0","l","0.0","6.0"
"3.0","12.0","0.0","1.0","1.0","102","623.0","1330.0","l","0.0","3.0"
"0.0","14.0","-3.0","1.0","0.0","101","635.0","1237.0","a","1.0","5.5"
"0.0","16.0","-8.0","0.0","1.0","101","632.0","2774.0","a","0.0","4.0"
"0.0","18.0","-2.0","1.0","1.0","101","632.0","1011.0","a","1.0","8.0"
"0.0","16.0","-2.0","1.0","1.0","101","650.0","929.0","l","0.0","7.0"
"6.0","18.0","0.0","0.0","0.0","102","666.0","1862.0","a","0.0","3.0"
"7.0","12.0","0.0","0.0","1.0","102","672.0","1114.0","a","0.0","-1.0"
"0.0","11.0","-3.0","1.0","0.0","101","679.0","927.0","a","1.0","4.0"
