"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","15.0","-2.0","1.0","1.0","101","150.0","1823.0","l","0.0","6.5"
"0.0","18.0","-5.0","1.0","0.0","101","165.0","910.0","l","0.0","6.5"
"0.0","15.0","-3.0","1.0","0.0","101","160.0","821.0","l","0.0","6.0"
"4.0","8.0","0.0","1.0","0.0","102","157.0","719.0","l","0.0","0.0"
"5.0","8.0","0.0","1.0","0.0","102","157.0","690.0","l","0.0","-1.0"
"0.0","18.0","-3.0","1.0","1.0","101","157.0","701.0","a","1.0","7.5"
"0.0","16.0","-2.0","1.0","1.0","101","175.0","693.0","l","0.0","7.0"
"0.0","14.0","-8.0","1.0","0.0","101","191.0","580.0","a","1.0","3.0"
"4.0","14.0","0.0","1.0","1.0","102","183.0","697.0","a","1.0","3.0"
"6.0","14.0","0.0","1.0","0.0","102","197.0","820.0","l","0.0","1.0"
"0.0","12.0","-5.0","1.0","1.0","101","197.0","436.0","a","1.0","3.5"
"0.0","14.0","-10.0","1.0","1.0","101","209.0","290.0","l","0.0","2.0"
"6.0","6.0","0.0","1.0","0.0","102","223.0","461.0","l","0.0","-3.0"
"0.0","20.0","-4.0","1.0","0.0","101","223.0","969.0","l","0.0","8.0"
"0.0","14.0","-2.0","1.0","1.0","101","219.0","670.0","l","0.0","6.0"
"4.0","10.0","0.0","1.0","0.0","102","233.0","695.0","l","0.0","1.0"
"0.0","15.0","-2.0","1.0","0.0","101","233.0","597.0","a","1.0","6.5"
"3.0","10.0","0.0","1.0","1.0","102","231.0","584.0","l","0.0","2.0"
"6.0","6.0","0.0","0.0","0.0","102","241.0","1082.0","l","1.0","-3.0"
"6.0","14.0","0.0","1.0","1.0","102","247.0","774.0","a","1.0","1.0"
"3.0","12.0","0.0","1.0","1.0","102","261.0","888.0","a","1.0","3.0"
"0.0","15.0","-5.0","1.0","0.0","101","273.0","325.0","a","1.0","5.0"
"3.0","10.0","0.0","1.0","1.0","102","268.0","711.0","a","1.0","2.0"
"0.0","20.0","-3.0","1.0","1.0","101","278.0","686.0","l","0.0","8.5"
"6.0","8.0","0.0","0.0","1.0","102","298.0","1067.0","l","1.0","-2.0"
"7.0","14.0","0.0","1.0","1.0","102","304.0","614.0","a","1.0","0.0"
"0.0","18.0","-10.0","0.0","1.0","101","318.0","684.0","a","0.0","4.0"
"0.0","13.0","-10.0","0.0","0.0","101","318.0","812.0","a","0.0","1.5"
"4.0","12.0","0.0","0.0","1.0","102","318.0","772.0","l","1.0","2.0"
"0.0","15.0","-6.0","1.0","1.0","101","322.0","696.0","a","1.0","4.5"
"5.0","14.0","0.0","1.0","1.0","102","337.0","598.0","l","0.0","2.0"
"0.0","12.0","-10.0","0.0","1.0","101","351.0","625.0","l","1.0","1.0"
"0.0","15.0","-5.0","1.0","1.0","101","351.0","1854.0","a","1.0","5.0"
"0.0","14.0","-3.0","1.0","1.0","101","366.0","718.0","a","1.0","5.5"
"0.0","20.0","-10.0","1.0","1.0","101","380.0","777.0","l","0.0","5.0"
"0.0","18.0","-5.0","1.0","1.0","101","400.0","852.0","l","0.0","6.5"
"0.0","20.0","-2.0","1.0","1.0","101","418.0","806.0","l","0.0","9.0"
"3.0","6.0","0.0","0.0","1.0","102","438.0","1439.0","a","0.0","0.0"
"0.0","12.0","-6.0","0.0","1.0","101","441.0","1187.0","a","0.0","3.0"
"0.0","14.0","-3.0","1.0","1.0","101","441.0","929.0","l","0.0","5.5"
"0.0","15.0","-3.0","1.0","1.0","101","455.0","653.0","l","0.0","6.0"
"0.0","16.0","-6.0","1.0","1.0","101","470.0","555.0","l","0.0","5.0"
"7.0","8.0","0.0","0.0","0.0","102","486.0","1014.0","a","0.0","-3.0"
"0.0","16.0","-2.0","1.0","1.0","101","493.0","650.0","a","1.0","7.0"
"0.0","13.0","-8.0","0.0","0.0","101","509.0","1236.0","l","1.0","2.5"
"0.0","16.0","-6.0","-999.0","1.0","101","509.0","","-999","1.0","5.0"
"0.0","20.0","-8.0","1.0","0.0","101","509.0","868.0","l","0.0","6.0"
"0.0","14.0","-4.0","1.0","1.0","101","501.0","1318.0","a","1.0","5.0"
"0.0","14.0","-5.0","1.0","0.0","101","515.0","708.0","l","0.0","4.5"
"0.0","15.0","-6.0","1.0","1.0","101","510.0","550.0","l","0.0","4.5"
"0.0","16.0","-4.0","1.0","0.0","101","525.0","492.0","a","1.0","6.0"
"0.0","16.0","-8.0","1.0","1.0","101","521.0","445.0","l","0.0","4.0"
"0.0","13.0","-3.0","1.0","1.0","101","537.0","697.0","a","1.0","5.0"
"7.0","12.0","0.0","0.0","1.0","102","550.0","895.0","l","1.0","-1.0"
"0.0","12.0","-3.0","1.0","1.0","101","557.0","628.0","a","1.0","4.5"
"0.0","13.0","-8.0","0.0","1.0","101","569.0","859.0","l","1.0","2.5"
"5.0","10.0","0.0","0.0","0.0","102","569.0","986.0","l","1.0","0.0"
"3.0","8.0","0.0","1.0","0.0","102","574.0","1339.0","l","0.0","1.0"
"0.0","18.0","-8.0","0.0","0.0","101","574.0","1194.0","l","1.0","5.0"
"0.0","12.0","-3.0","1.0","1.0","101","574.0","847.0","a","1.0","4.5"
"6.0","8.0","0.0","0.0","0.0","102","586.0","800.0","l","1.0","-2.0"
"3.0","12.0","0.0","0.0","1.0","102","592.0","1021.0","l","1.0","3.0"
"0.0","20.0","-8.0","1.0","1.0","101","595.0","904.0","a","1.0","6.0"
"0.0","15.0","-10.0","0.0","1.0","101","615.0","894.0","l","1.0","2.5"
"4.0","14.0","0.0","1.0","1.0","102","615.0","840.0","a","1.0","3.0"
"0.0","13.0","-5.0","1.0","1.0","101","629.0","704.0","l","0.0","4.0"
"0.0","18.0","-4.0","1.0","0.0","101","642.0","978.0","l","0.0","7.0"
"0.0","12.0","-5.0","1.0","1.0","101","638.0","638.0","a","1.0","3.5"
"0.0","15.0","-4.0","0.0","0.0","101","650.0","228.0","a","0.0","5.5"
"0.0","18.0","-4.0","1.0","1.0","101","650.0","745.0","a","1.0","7.0"
"0.0","12.0","-4.0","1.0","0.0","101","668.0","719.0","a","1.0","4.0"
"0.0","18.0","-6.0","1.0","1.0","101","664.0","16.0","a","1.0","6.0"
"7.0","8.0","0.0","1.0","0.0","102","682.0","502.0","l","0.0","-3.0"
"0.0","20.0","-6.0","1.0","1.0","101","682.0","624.0","l","0.0","7.0"
"0.0","13.0","-6.0","1.0","1.0","101","702.0","860.0","l","0.0","3.5"
"3.0","8.0","0.0","1.0","1.0","102","715.0","997.0","l","0.0","1.0"
"0.0","13.0","-2.0","1.0","0.0","101","723.0","850.0","l","0.0","5.5"
"6.0","12.0","0.0","1.0","1.0","102","721.0","498.0","a","1.0","0.0"
"5.0","12.0","0.0","1.0","0.0","102","733.0","592.0","l","0.0","1.0"
"0.0","12.0","-8.0","1.0","1.0","101","733.0","553.0","l","0.0","2.0"
"0.0","18.0","-6.0","1.0","1.0","101","745.0","621.0","l","0.0","6.0"
"7.0","6.0","0.0","0.0","1.0","102","763.0","696.0","l","1.0","-4.0"
"0.0","16.0","-8.0","0.0","1.0","101","770.0","1071.0","a","0.0","4.0"
"5.0","14.0","0.0","1.0","0.0","102","770.0","1256.0","a","1.0","2.0"
"7.0","10.0","0.0","1.0","1.0","102","770.0","988.0","l","0.0","-2.0"
"0.0","20.0","-10.0","0.0","1.0","101","780.0","1121.0","l","1.0","5.0"
"0.0","12.0","-4.0","1.0","0.0","101","780.0","775.0","l","0.0","4.0"
"0.0","20.0","-4.0","1.0","0.0","101","776.0","691.0","l","0.0","8.0"
"0.0","20.0","-5.0","1.0","1.0","101","772.0","533.0","l","0.0","7.5"
"0.0","16.0","-10.0","1.0","0.0","101","792.0","430.0","l","0.0","3.0"
"0.0","13.0","-2.0","1.0","1.0","101","782.0","869.0","a","1.0","5.5"
"0.0","13.0","-4.0","1.0","0.0","101","795.0","863.0","l","0.0","4.5"
"0.0","16.0","-10.0","0.0","1.0","101","791.0","785.0","l","1.0","3.0"
"0.0","16.0","-5.0","1.0","1.0","101","791.0","528.0","l","0.0","5.5"
