"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"4.0","6.0","0.0","0.0","1.0","102","150.0","1580.0","a","0.0","-1.0"
"5.0","6.0","0.0","0.0","1.0","102","154.0","1782.0","l","1.0","-2.0"
"0.0","14.0","-8.0","0.0","1.0","101","159.0","1339.0","a","0.0","3.0"
"0.0","18.0","-8.0","0.0","1.0","101","159.0","1400.0","l","1.0","5.0"
"0.0","18.0","-10.0","0.0","0.0","101","159.0","1129.0","l","1.0","4.0"
"3.0","10.0","0.0","1.0","0.0","102","159.0","1409.0","l","0.0","2.0"
"0.0","16.0","-6.0","0.0","1.0","101","159.0","1149.0","l","1.0","5.0"
"0.0","16.0","-2.0","1.0","0.0","101","159.0","1214.0","l","0.0","7.0"
"0.0","18.0","-6.0","0.0","1.0","101","157.0","1240.0","l","1.0","6.0"
"7.0","12.0","0.0","1.0","0.0","102","157.0","1534.0","l","0.0","-1.0"
"0.0","12.0","-6.0","0.0","0.0","101","157.0","1462.0","l","1.0","3.0"
"5.0","8.0","0.0","1.0","0.0","102","157.0","1294.0","a","1.0","-1.0"
"0.0","14.0","-2.0","1.0","1.0","101","157.0","758.0","a","1.0","6.0"
"0.0","14.0","-3.0","1.0","1.0","101","171.0","1108.0","a","1.0","5.5"
"3.0","6.0","0.0","1.0","0.0","102","185.0","1450.0","a","1.0","0.0"
"0.0","10.0","-10.0","0.0","0.0","101","185.0","1462.0","a","0.0","0.0"
"0.0","18.0","-2.0","1.0","0.0","101","185.0","889.0","l","0.0","8.0"
"0.0","12.0","-4.0","1.0","0.0","101","183.0","794.0","l","0.0","4.0"
"0.0","13.0","-8.0","0.0","1.0","101","179.0","1181.0","a","0.0","2.5"
"0.0","11.0","-5.0","1.0","0.0","101","179.0","685.0","a","1.0","3.0"
"0.0","10.0","-10.0","1.0","1.0","101","174.0","2057.0","l","0.0","0.0"
"0.0","12.0","-3.0","1.0","1.0","101","184.0","984.0","l","0.0","4.5"
"0.0","16.0","-10.0","1.0","0.0","101","196.0","2223.0","a","1.0","3.0"
"0.0","12.0","-2.0","1.0","1.0","101","186.0","972.0","l","0.0","5.0"
"0.0","11.0","-10.0","0.0","1.0","101","198.0","1987.0","a","0.0","0.5"
"0.0","13.0","-6.0","1.0","1.0","101","198.0","1170.0","l","0.0","3.5"
"5.0","8.0","0.0","1.0","1.0","102","211.0","1369.0","l","0.0","-1.0"
"7.0","10.0","0.0","1.0","0.0","102","219.0","1803.0","a","1.0","-2.0"
"4.0","14.0","0.0","1.0","1.0","102","219.0","1424.0","a","1.0","3.0"
"0.0","18.0","-4.0","1.0","1.0","101","233.0","998.0","a","1.0","7.0"
"0.0","14.0","-4.0","1.0","1.0","101","251.0","892.0","l","0.0","5.0"
"6.0","14.0","0.0","1.0","0.0","102","265.0","1112.0","a","1.0","1.0"
"5.0","12.0","0.0","1.0","1.0","102","265.0","1427.0","a","1.0","1.0"
"0.0","13.0","-3.0","1.0","0.0","101","277.0","828.0","a","1.0","5.0"
"7.0","10.0","0.0","0.0","0.0","102","274.0","1351.0","l","1.0","-2.0"
"6.0","12.0","0.0","1.0","0.0","102","281.0","1325.0","l","0.0","0.0"
"0.0","11.0","-2.0","1.0","0.0","101","281.0","842.0","a","1.0","4.5"
"4.0","6.0","0.0","0.0","0.0","102","279.0","1158.0","a","0.0","-1.0"
"0.0","18.0","-8.0","1.0","1.0","101","283.0","1489.0","l","0.0","5.0"
"6.0","10.0","0.0","0.0","1.0","102","301.0","1417.0","a","0.0","-1.0"
"7.0","8.0","0.0","0.0","1.0","102","307.0","2019.0","l","1.0","-3.0"
"0.0","18.0","-3.0","1.0","1.0","101","314.0","1347.0","a","1.0","7.5"
"0.0","13.0","-10.0","0.0","1.0","101","332.0","1475.0","l","1.0","1.5"
"0.0","13.0","-4.0","1.0","1.0","101","332.0","1251.0","l","0.0","4.5"
"0.0","12.0","-5.0","1.0","0.0","101","345.0","858.0","a","1.0","3.5"
"4.0","12.0","0.0","1.0","1.0","102","340.0","1463.0","a","1.0","2.0"
"7.0","12.0","0.0","0.0","0.0","102","352.0","1370.0","l","1.0","-1.0"
"6.0","14.0","0.0","0.0","1.0","102","359.0","1533.0","l","1.0","1.0"
"0.0","14.0","-4.0","1.0","1.0","101","365.0","1100.0","l","0.0","5.0"
"0.0","13.0","-8.0","1.0","0.0","101","379.0","2028.0","l","0.0","2.5"
"5.0","10.0","0.0","0.0","0.0","102","371.0","1376.0","l","1.0","0.0"
"4.0","10.0","0.0","1.0","0.0","102","376.0","1408.0","a","1.0","1.0"
"0.0","18.0","-2.0","1.0","0.0","101","376.0","938.0","a","1.0","8.0"
"6.0","10.0","0.0","0.0","1.0","102","374.0","1154.0","l","1.0","-1.0"
"3.0","10.0","0.0","1.0","0.0","102","380.0","1123.0","a","1.0","2.0"
