"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","17.0","-6.0","0.0","0.0","101","150.0","2994.0","a","0.0","5.5"
"0.0","18.0","-2.0","1.0","1.0","101","150.0","1110.0","l","0.0","8.0"
"0.0","19.0","-6.0","1.0","1.0","101","168.0","2204.0","l","0.0","6.5"
"0.0","24.0","-10.0","1.0","1.0","101","187.0","1359.0","l","0.0","7.0"
"0.0","19.0","-3.0","1.0","0.0","101","211.0","992.0","a","1.0","8.0"
"6.0","12.0","0.0","0.0","1.0","102","208.0","1212.0","l","1.0","0.0"
"0.0","17.0","-5.0","1.0","0.0","101","214.0","947.0","a","1.0","6.0"
"0.0","16.0","-4.0","1.0","0.0","101","209.0","1162.0","l","0.0","6.0"
"0.0","18.0","-8.0","1.0","1.0","101","205.0","961.0","a","1.0","5.0"
"0.0","19.0","-8.0","1.0","1.0","101","223.0","1186.0","l","0.0","5.5"
"5.0","12.0","0.0","0.0","1.0","102","242.0","1027.0","a","0.0","1.0"
"0.0","22.0","-2.0","1.0","0.0","101","247.0","1059.0","l","0.0","10.0"
"7.0","14.0","0.0","0.0","1.0","102","245.0","1146.0","a","0.0","0.0"
"3.0","14.0","0.0","1.0","0.0","102","252.0","1635.0","a","1.0","4.0"
"0.0","18.0","-10.0","0.0","0.0","101","252.0","1176.0","a","0.0","4.0"
"0.0","18.0","-5.0","1.0","1.0","101","252.0","998.0","l","0.0","6.5"
"0.0","16.0","-6.0","1.0","1.0","101","270.0","1284.0","a","1.0","5.0"
"0.0","17.0","-4.0","1.0","0.0","101","286.0","1012.0","l","0.0","6.5"
"0.0","24.0","-5.0","1.0","0.0","101","282.0","762.0","a","1.0","9.5"
"0.0","24.0","-4.0","1.0","0.0","101","277.0","697.0","a","1.0","10.0"
"0.0","19.0","-2.0","1.0","1.0","101","273.0","698.0","a","1.0","8.5"
"6.0","10.0","0.0","0.0","1.0","102","292.0","1207.0","a","0.0","-1.0"
"0.0","22.0","-2.0","1.0","0.0","101","298.0","758.0","l","0.0","10.0"
"0.0","20.0","-8.0","1.0","1.0","101","296.0","997.0","l","0.0","6.0"
"6.0","18.0","0.0","1.0","0.0","102","316.0","1734.0","a","1.0","3.0"
"0.0","20.0","-6.0","1.0","1.0","101","316.0","925.0","l","0.0","7.0"
"4.0","14.0","0.0","1.0","1.0","102","336.0","1519.0","a","1.0","3.0"
